[00:00:03--00:00:05] 大家都知道图像是大自然创造的
[00:32:49--00:32:54] 本来设计这个系统就是想做就是叫所谓的生成理解一体化
[00:32:54--00:32:58] 就从架构上仿佛实现了就既能生图也能理解图
[00:32:58--00:33:00] 也能生成文字也能理解文字
[00:33:00--00:33:02] 但是最后效果其实没有达到要求
[00:33:02--00:33:06] 同时期我们也注意到同时期像海外的一些比较有名的工作
[00:33:06--00:33:08] 像Gemmler 1.0
[00:33:08--00:33:10] 它也号称是动态训练
[00:33:10--00:33:15] 那最后我看它也没有做到图像和理解和生成的这一体化
[00:33:15--00:33:16] 还同时间呢
[00:33:16--00:33:20] 基地思维好像也没有实现
[00:33:20--00:33:22] 它也是通过外挂打理这种方式
[00:33:22--00:33:22] 对
[00:33:22--00:33:26] 这就让我意识到这件事情其实可能没有那么简单
[00:33:26--00:33:27] 对
[00:33:27--00:33:28] 就是说这个图像和这些东西呢
[00:33:28--00:33:28] 对就是说这个图像和这些东西呢
[00:33:28--00:33:35] 图像和视觉就看起来你是强行把这样的一个生成和理解做到了一个系统里面
[00:33:35--00:33:40] 但是从它实际的效果来看
[00:33:40--00:33:46] 它其实完全没有达到这个语言的这个生成和理解完全融合到一起
[00:33:46--00:33:48] 这样的一个特性
[00:33:48--00:33:52] 就是生成和理解在那个时间点看起来还是分开的
[00:33:52--00:33:52] 对
[00:33:52--00:33:55] 但是至于为什么导致了这个生成和理解
[00:33:55--00:33:58] 就图像的这个生成和理解也如此难以融合
[00:33:58--00:34:01] 其实在那个时间点我们已经没有太好的阿异了
[00:34:01--00:34:01] 对
[00:34:01--00:34:02] 所以呢
[00:34:02--00:34:05] 当时就做了很多种假设啊
[00:34:05--00:34:06] 对
[00:34:06--00:34:09] 可能认为是更多数据质量的问题
[00:34:09--00:34:15] 可能图文相关的这个这种图文高度相关的这种数据量
[00:34:15--00:34:17] 或者数据密度还是太少
[00:34:17--00:34:20] 你们知道从互联网拔了有很多看起来相关的
[00:34:20--00:34:23] 其实图文无关的这样的内容
[00:34:23--00:34:25] 这个很有可能干扰了这个训练
[00:34:25--00:34:25] 对
[00:34:25--00:34:26] 所以说呢
[00:34:26--00:34:27] 整个在整个14年
[00:34:27--00:34:28] 我们呢
[00:34:28--00:34:31] 我们这个生成和理解其实分开迭代
[00:34:31--00:34:34] 因为我看这个也是受就24年
[00:34:34--00:34:35] 对对24年
[00:34:35--00:34:37] 这块也是分开迭代
[00:34:37--00:34:39] 因为我观察到像海外的一些大厂
[00:34:39--00:34:41] 像欧巴尼亚泰也是的
[00:34:41--00:34:46] 他从那个他们一直就是他的理解这条线
[00:34:46--00:34:47] 把语言把声音
[00:34:47--00:34:50] 尤其是后之后把语言把声音
[00:34:50--00:34:52] 还把视觉理解
[00:34:52--00:34:54] 甚至后面还有视频理解
[00:34:54--00:34:55] 像金马也是的
[00:34:55--00:34:56] 都融合到一个模型
[00:34:56--00:34:58] 但是生成这部分的理解
[00:34:58--00:35:00] 这部分一直是单独做的
[00:35:00--00:35:02] 是达利到Sora这条路线
[00:35:02--00:35:03] 所以到二四年的时候
[00:35:03--00:35:05] 我们也是在走这条路线
[00:35:05--00:35:07] 但是我们在不断地在找
[00:35:07--00:35:09] 这中间有没有机会
[00:35:09--00:35:10] 能把它融到一起
[00:35:10--00:35:14] 因为对于一个生成模型来说
[00:35:14--00:35:18] 它需要构造文本和视觉信号的配合
[00:35:18--00:35:22] 我完全可以用我最新版的理解模型
[00:35:22--00:35:23] 给它W
[00:35:23--00:35:26] W我就可以做到一个
[00:35:26--00:35:28] 更好的一个视觉生成模型
[00:35:28--00:35:33] 再把生成模型外挂到理解模型里面
[00:35:33--00:35:35] 我去继续训练我的理解模型
[00:35:35--00:35:36] 这样我的生成模型
[00:35:36--00:35:37] 它可以提供梯度
[00:35:37--00:35:42] 这个梯度是可以指导我理解模型
[00:35:42--00:35:44] 这样的话经过这样一轮迭代
[00:35:44--00:35:45] 我就认为生成和理解
[00:35:45--00:35:48] 这中间的gap又缩小了一截
[00:35:48--00:35:50] 我再利用这个生成模型
[00:35:50--00:35:52] 给这个理解模型
[00:35:52--00:35:53] 再给生成模型W
[00:35:53--00:35:55] 需要下一代的生成模型
[00:35:55--00:35:57] 再反过来再给理解
[00:35:57--00:35:57] 我在想
[00:35:57--00:35:58] 是不是来到
[00:35:58--00:35:59] 就是到中间某一个时刻
[00:35:59--00:36:01] 这两个等半的gap
[00:36:01--00:36:02] 就会越来越小
[00:36:02--00:36:03] 最后在某一个时刻
[00:36:03--00:36:05] 我就可以把它放在一块
[00:36:05--00:36:06] 进行训练
[00:36:06--00:36:07] 我以为一个这样的好的一个出手
[00:36:07--00:36:09] 已经充分对齐的
[00:36:09--00:36:11] 这样的一个初始的系统
[00:36:11--00:36:12] 我把它放在一块
[00:36:12--00:36:16] 我就可以把整个连路给跑起来
[00:36:16--00:36:16] 对
[00:36:16--00:36:17] 但是呢
[00:36:17--00:36:19] 其实我做了大半年
[00:36:19--00:36:21] 这件事都没有成功
[00:36:21--00:36:24] 我得到了一个越来越强的理解模型
[00:36:24--00:36:26] 和一个越来越强的生成模型
[00:36:26--00:36:27] 但是把它放在一块
[00:36:27--00:36:27] 不是说不成功
[00:36:27--00:36:29] 不是说不work
[00:36:29--00:36:31] 你永远可以放在一块
[00:36:31--00:36:33] 但是它没有1加1大于2的效果
[00:36:33--00:36:35] 我放到一块以后
[00:36:35--00:36:39] 它的表现还是两个模型
[00:36:39--00:36:39] 还是两个模型
[00:36:39--00:36:42] 也就是说我随便把它摘掉一个
[00:36:42--00:36:45] 另一个的效果不受影响
[00:36:45--00:36:46] 既不会变强也不会变弱
[00:36:46--00:36:48] 那我还要把它两个放在一块
[00:36:48--00:36:50] 也就是说它完全没有起到
[00:36:50--00:36:53] 这两个叠加的这样的一个效果
[00:36:53--00:36:55] 这是理解对生成
[00:36:55--00:36:57] 生成对理解就更糟糕
[00:36:57--00:36:57] 我刚说出来
[00:36:57--00:37:01] 刚刚我说的是生成对理解
[00:37:01--00:37:03] 理解对生成就更为糟糕
[00:37:03--00:37:04] 虽然我打了这么多数据
[00:37:04--00:37:05] 我还联合训练了半天
[00:37:05--00:37:08] 但是我生成分支的可控性
[00:37:08--00:37:10] 仍然是非常的差
[00:37:10--00:37:11] 对
[00:37:11--00:37:14] 比如说它经常会生成一些
[00:37:14--00:37:16] 像比如说有肢体畸变
[00:37:16--00:37:19] 有违反几何约束
[00:37:19--00:37:21] 尤其是我做视频生成的时候
[00:37:21--00:37:24] 是大量的违反物理约束的
[00:37:24--00:37:25] 这样的一个视频
[00:37:25--00:37:26] 其实要被生成出来
[00:37:26--00:37:27] 我把这样的一个视频生成的时候
[00:37:27--00:37:30] 我把这个信号直接送给理解模型
[00:37:30--00:37:32] 它能够准确地告诉我
[00:37:32--00:37:35] 这个东西是不符合常识的
[00:37:35--00:37:37] 它自己都知道
[00:37:37--00:37:39] 但是它自己无法控制住自己
[00:37:39--00:37:44] 生成出这些显著违反物理常识
[00:37:44--00:37:47] 或者空间透视关系的这样一个图像
[00:37:47--00:37:50] 所以这件事就一直卡在这里
[00:37:50--00:37:54] 我当时是一直是没有想清楚
[00:37:54--00:37:55] 这件事要怎么做
[00:37:55--00:37:57] 所以生成理解模型
[00:37:57--00:37:58] 我当时是一体化
[00:37:58--00:38:00] 当时我做了大半年研究
[00:38:00--00:38:02] 其实当时是一个很迷茫的
[00:38:02--00:38:04] 但是这个转机
[00:38:04--00:38:07] 其实出现在欧系列
[00:38:07--00:38:12] 语言模型欧系列产生之后
[00:38:12--00:38:14] 就是欧一
[00:38:14--00:38:17] 其实欧一这个东西非常了不起
[00:38:17--00:38:20] 我可能还要把时间回退了
[00:38:20--00:38:21] 我再研究一下
[00:38:21--00:38:22] 其实在20年之后
[00:38:22--00:38:25] 我们语言模型也走到了一个很大的弯路
[00:38:25--00:38:26] 对 转向了一个转向的转向的转向
[00:38:26--00:38:27] 我知道了
[00:38:27--00:38:29] 我才知道欧系列出现
[00:38:29--00:38:31] 我才把所有这些事情想清楚
[00:38:31--00:38:32] 对
[00:38:32--00:38:36] 时间回到这个二三年底
[00:38:36--00:38:38] 其实到二三年底
[00:38:38--00:38:40] 我们是把那个三维一给做完了
[00:38:40--00:38:43] 它其实是一个刚刚主要介绍了
[00:38:43--00:38:44] 它是一个多摩台
[00:38:44--00:38:46] 这个多摩台这样的
[00:38:46--00:38:47] 这样的模型训练
[00:38:47--00:38:48] 对
[00:38:48--00:38:51] 它参数大概是100多币
[00:38:51--00:38:52] 就是一个千亿参数
[00:38:52--00:38:54] 那很自然的就想
[00:38:54--00:38:56] 我当时说我现在数据量也够了
[00:38:56--00:38:57] 我算力可能也不够了
[00:38:57--00:38:59] 对
[00:38:59--00:38:59] 然后呢
[00:38:59--00:39:01] 我是不是要挑战一些更大的
[00:39:01--00:39:02] 对
[00:39:02--00:39:05] 所以在24年初的时候
[00:39:05--00:39:07] 我们选择就上码了一个
[00:39:07--00:39:08] 一个更大的一个模型
[00:39:08--00:39:10] 就是Step2
[00:39:10--00:39:12] 这个万亿参数
[00:39:12--00:39:14] 尤其是它跟今天的这些万亿参数
[00:39:14--00:39:15] 它不一样
[00:39:15--00:39:16] 它激活非常大
[00:39:16--00:39:17] 激活有200多币
[00:39:17--00:39:19] 对
[00:39:19--00:39:21] 这是一个非常巨无霸的模型
[00:39:21--00:39:24] 但是一旦这个模型开训以后
[00:39:24--00:39:26] 我们发现这个
[00:39:26--00:39:27] 它这个投入进度
[00:39:27--00:39:29] 就简直是一个无底洞
[00:39:29--00:39:31] 一方面
[00:39:31--00:39:33] 一开始大大低估了
[00:39:33--00:39:34] 就训练这么大的模型的时候
[00:39:34--00:39:35] 需要的数据量
[00:39:35--00:39:36] 对
[00:39:36--00:39:37] 在数据不足的情况下
[00:39:37--00:39:38] 你
[00:39:38--00:39:40] 光把这个模型strap到非常大的
[00:39:40--00:39:42] 其实效果是很差的
[00:39:42--00:39:43] 对
[00:39:43--00:39:45] 还需要巨大的数据量
[00:39:45--00:39:46] 大家都知道这个
[00:39:46--00:39:47] 算力
[00:39:47--00:39:48] 跟你的卡数
[00:39:48--00:39:49] 算力需求
[00:39:49--00:39:51] 跟那个卡数是
[00:39:51--00:39:52] 正比关系
[00:39:52--00:39:53] 是吧
[00:39:53--00:39:54] 随着数据的增长
[00:39:54--00:39:56] 跟你的算力也是个增长
[00:39:56--00:39:57] 也是个正比关系
[00:39:57--00:40:00] 所以你同时扩大模型的
[00:40:00--00:40:01] 参数
[00:40:01--00:40:04] 和数据量
[00:40:04--00:40:06] 对算力需求就是个平方关系
[00:40:06--00:40:07] 我们是
[00:40:08--00:40:10] 训练这个模型是非常非常吃力
[00:40:10--00:40:11] 这个Project前后
[00:40:11--00:40:12] 做了九个多月
[00:40:13--00:40:14] 总算
[00:40:14--00:40:15] 训到一个
[00:40:15--00:40:16] 我们认为
[00:40:16--00:40:18] 就是其实比较满意的一个状态
[00:40:19--00:40:19] 对
[00:40:20--00:40:20] 但是当时
[00:40:21--00:40:23] 发生了一件事让我们就觉得
[00:40:24--00:40:25] 就百思不得其解
[00:40:26--00:40:27] 一般我们认为啊
[00:40:27--00:40:29] 就随着这个数据扩大
[00:40:29--00:40:31] 这个模型扩大
[00:40:31--00:40:34] 这个模型应该是能力的全方位增长
[00:40:35--00:40:35] 但是
[00:40:36--00:40:37] 我们就发现了
[00:40:37--00:40:38] SATUR这个模型的
[00:40:38--00:40:39] 性质很奇怪
[00:40:39--00:40:40] 他在文科上非常非常强
[00:40:41--00:40:42] 文科类
[00:40:42--00:40:43] 包括写作类
[00:40:43--00:40:43] 非常的强
[00:40:44--00:40:46] 但他在理科类尤其数学
[00:40:46--00:40:49] 数学上表现的还不如一个7B的模型
[00:40:49--00:40:50] 而且是很困难
[00:40:51--00:40:51] 你想把它
[00:40:52--00:40:53] 通过LM的这个方式
[00:40:53--00:40:55] 把它的数学或者逻辑能力做上去
[00:40:55--00:40:57] 这是一个非常困难的事情
[00:40:57--00:40:58] 对
[00:40:59--00:41:00] 这个事情是其实非常选
[00:41:01--00:41:02] 因为当时在整个commitment
[00:41:02--00:41:03] 大家都认为是
[00:41:04--00:41:07] 模型越大应该是in general越好
[00:41:07--00:41:09] 对但是我们
[00:41:09--00:41:12] 发现这个现象以后一开始觉得我们数据质量不行
[00:41:12--00:41:14] 或者没有训够时间
[00:41:14--00:41:15] 等等
[00:41:15--00:41:18] 但后来做了一系列非常严谨的那个测试
[00:41:18--00:41:19] 我们在野小模型
[00:41:20--00:41:21] 从1B到7B再到
[00:41:22--00:41:23] 30B再到
[00:41:23--00:41:24] 70B
[00:41:24--00:41:25] 这样一路测
[00:41:26--00:41:27] 我们训了一系列这个小模型
[00:41:27--00:41:28] 我们发现
[00:41:28--00:41:30] 确实模型通路对话能力
[00:41:30--00:41:32] 尤其是情商这一块
[00:41:32--00:41:33] 是确实是
[00:41:33--00:41:34] 还有知识量确实越来越强
[00:41:35--00:41:36] 但模型推理能力
[00:41:37--00:41:39] 尤其是数学这种比较
[00:41:39--00:41:41] 比较局限的这个推理能力
[00:41:42--00:41:43] 比较局部的推理能力
[00:41:44--00:41:46] 它其实是表现为一个先上升
[00:41:47--00:41:47] 然后再平
[00:41:48--00:41:50] 再扩大了反而是个下降
[00:41:50--00:41:51] 这个是不是一个业界的非共识
[00:41:52--00:41:52] 很多人
[00:41:53--00:41:53] 还没怎么
[00:41:54--00:41:56] 到今天已经有很多人意识到了
[00:41:56--00:41:57] 对
[00:41:57--00:41:57] 但在去年
[00:41:57--00:41:58] 那个时间点
[00:41:59--00:41:59] 其实
[00:42:00--00:42:01] 因为还很少有人
[00:42:01--00:42:03] 真做到这么大
[00:42:03--00:42:04] 把他这个曲线
[00:42:04--00:42:06] 增长曲线的后半段给画下来
[00:42:06--00:42:08] 他其实是个下降
[00:42:08--00:42:10] 这件事其实让我们
[00:42:10--00:42:12] 就是比较诧异
[00:42:12--00:42:13] 但仔细一想
[00:42:13--00:42:15] 其实我们看到
[00:42:15--00:42:17] 就是说为什么更大的模型
[00:42:17--00:42:19] 他这个做这些理科这些问题
[00:42:19--00:42:21] 他效果是变差
[00:42:21--00:42:23] 然后是发现了一些
[00:42:23--00:42:24] 一些蛛丝马迹
[00:42:24--00:42:25] 就比如说
[00:42:25--00:42:26] 更大的模型
[00:42:26--00:42:27] 他在作业数学系
[00:42:27--00:42:29] 他更轻易跳脑
[00:42:29--00:42:30] 对
[00:42:30--00:42:34] 他不会像一些相对比较小的模型
[00:42:34--00:42:34] 他虽然能力很弱
[00:42:34--00:42:37] 但他处理一些长练的算式
[00:42:37--00:42:38] 不管他再简单
[00:42:38--00:42:40] 他都会老老实实的一步计算
[00:42:40--00:42:41] 对
[00:42:41--00:42:42] 你一个较大的模型
[00:42:42--00:42:44] 较大的模型
[00:42:44--00:42:45] 他总是写了
[00:42:45--00:42:47] 比如说写了三个书
[00:42:47--00:42:49] 这三个书相加
[00:42:49--00:42:50] 他经常就是
[00:42:50--00:42:51] 他放弃一步步推导
[00:42:51--00:42:52] 他直接一口
[00:42:52--00:42:55] 就是报出这个最后的结果
[00:42:55--00:42:55] 对
[00:42:55--00:42:58] 虽然从总体的这个思维链来看
[00:42:58--00:42:59] 他是从
[00:42:59--00:42:59] 从前写到后面
[00:42:59--00:43:01] 但他中间的某些细节步骤
[00:43:01--00:43:03] 他总是倾向于跳步
[00:43:03--00:43:04] 一跳步呢
[00:43:04--00:43:06] 其实大部分情况都是对的
[00:43:06--00:43:08] 但是就有那么少量的情况是错的
[00:43:08--00:43:09] 数学题大家都知道
[00:43:09--00:43:10] 你错一步
[00:43:10--00:43:12] 那最后的结果就完全错了
[00:43:12--00:43:13] 对
[00:43:13--00:43:15] 这件事
[00:43:15--00:43:17] 其实当时就引起了我注意
[00:43:17--00:43:17] 我就很好奇
[00:43:17--00:43:19] 实际上我们在训练的语调
[00:43:19--00:43:20] 因为很多是来自互联网
[00:43:20--00:43:22] 但也包括很多核能数据
[00:43:22--00:43:24] 核能数据我是可以保证
[00:43:24--00:43:26] 他跳步的情况是很少的
[00:43:26--00:43:26] 对
[00:43:26--00:43:28] 但是对于那互联网数据
[00:43:28--00:43:29] 因为人类的数据
[00:43:29--00:43:30] 很多是省略了中间过程
[00:43:30--00:43:33] 那跳步应该是非常多的
[00:43:33--00:43:35] 这种情况跳步是非常多的
[00:43:35--00:43:36] 所以这很容易理解
[00:43:36--00:43:39] 为什么这些大模型会跳步
[00:43:39--00:43:41] 但是那些相对比较小的模型
[00:43:41--00:43:42] 为什么我训练完以后
[00:43:42--00:43:44] 他反而不会跳步呢
[00:43:44--00:43:44] 对
[00:43:44--00:43:46] 最后我经过分析
[00:43:46--00:43:47] 我认为这其实就是
[00:43:47--00:43:48] Nectar and Prediction
[00:43:48--00:43:49] 它有一个本质的缺陷
[00:43:49--00:43:50] 对
[00:43:50--00:43:52] Nectar and Prediction大家都知道
[00:43:52--00:43:53] 其实就是
[00:43:53--00:43:55] 其实就是这个GPT的核心范式
[00:43:55--00:43:57] 也是支撑这一代大模型
[00:43:57--00:43:58] 呃
[00:43:58--00:43:59] 起飞的就是第一代了
[00:43:59--00:44:01] 最最基础的一个算法
[00:44:01--00:44:01] 是
[00:44:01--00:44:02] 啊
[00:44:02--00:44:03] 它本质是
[00:44:03--00:44:05] 连个概率的建模
[00:44:05--00:44:07] 连个概率建模
[00:44:07--00:44:07] 也就是说
[00:44:07--00:44:09] 模型会在优化过程中
[00:44:09--00:44:10] 会尽可能
[00:44:10--00:44:12] 呃
[00:44:12--00:44:13] 调整了输出
[00:44:13--00:44:13] 啊
[00:44:13--00:44:14] 实在是输出更
[00:44:14--00:44:17] 就越来越接近你输入数据了
[00:44:17--00:44:19] 这个数据的分布
[00:44:19--00:44:20] 就是我
[00:44:20--00:44:21] 模型输出的分布和数
[00:44:21--00:44:22] 和数据的分布
[00:44:22--00:44:23] 要越接近越好
[00:44:23--00:44:24] 啊
[00:44:24--00:44:26] 他还有一种理解就是做压缩
[00:44:26--00:44:26] 对
[00:44:26--00:44:27] 因为大家知道就
[00:44:27--00:44:28] 就是
[00:44:28--00:44:29] 模型计论大家知道
[00:44:29--00:44:31] 你连个概率对一个压缩起来
[00:44:31--00:44:33] 你连个概率估的越准
[00:44:33--00:44:35] 那么你对这个数据做无损压缩的时候
[00:44:35--00:44:38] 你的码率其实可以做到越小
[00:44:38--00:44:41] 就通过他其实是通过对数据的压缩
[00:44:41--00:44:45] 通过这种归纳的方式获得了一定的这个质量啊
[00:44:45--00:44:46] 这其实来做的也是
[00:44:46--00:44:47] 就
[00:44:47--00:44:48] 的主要的原因
[00:44:48--00:44:49] 但是对
[00:44:49--00:44:50] 但是呢
[00:44:50--00:44:51] 到了数学这个
[00:44:51--00:44:54] 就是刚刚说了数学这样的问题
[00:44:54--00:44:58] 你会发现这两件事之间存在一个非常本质的概念
[00:44:58--00:44:58] 嗯
[00:44:58--00:45:00] 就是说更大的压缩率
[00:45:00--00:45:03] 其实未必对应更高的计算精度
[00:45:03--00:45:04] 对
[00:45:04--00:45:05] 我们举一个思想实验
[00:45:05--00:45:06] 对
[00:45:06--00:45:09] 就是我们举一个思想实验
[00:45:09--00:45:12] 现在假设这个数据集里面啊
[00:45:12--00:45:15] 他有很多的这个操作都在做
[00:45:15--00:45:17] 比如十几个数字相加啊
[00:45:17--00:45:19] 这样的一个操作啊
[00:45:19--00:45:20] 对
[00:45:20--00:45:21] 可能呢
[00:45:21--00:45:22] 有50%的数据
[00:45:22--00:45:24] 他来自于互联网正常的预料啊
[00:45:24--00:45:26] 他是没有给出计算过程的
[00:45:26--00:45:28] 他就直接十几个数字
[00:45:28--00:45:28] 相加了
[00:45:28--00:45:31] 最后一个等号得到了最后的结果
[00:45:31--00:45:32] 对
[00:45:32--00:45:33] 还有一些数据呢
[00:45:33--00:45:37] 可能是你精心清洗或者专门找了有过程的数据
[00:45:37--00:45:37] 啊
[00:45:37--00:45:37] 对
[00:45:37--00:45:42] 他会非常老老实实的一步一步的把这十几个数字
[00:45:42--00:45:44] 就是一步步相加
[00:45:44--00:45:45] 啊
[00:45:45--00:45:45] 对
[00:45:45--00:45:48] 最后得到了这个最终的最终的结果
[00:45:48--00:45:49] 好
[00:45:49--00:45:51] 我现在让这个小模型去
[00:45:51--00:45:54] 我让一个模型去你和亮点分布
[00:45:54--00:45:55] 大家在想在
[00:45:55--00:45:58] 当你达到这个最优的结果的时候呢
[00:45:58--00:46:00] 在这个模型的这种情况下
[00:46:00--00:46:01] 就最大压缩的情况下
[00:46:01--00:46:07] 那个模型就应该是以50%概率直接输出结果
[00:46:07--00:46:10] 还有50%概率按右边那样
[00:46:10--00:46:13] 就一个一个次这样输出结果
[00:46:13--00:46:15] 这是理论的最后一步
[00:46:15--00:46:18] 但是我当我们拿一个小模型去训练的时候
[00:46:18--00:46:22] 你会发现其实左边那个风直接一口爆出结果
[00:46:22--00:46:24] 因为他模型参数量有限
[00:46:24--00:46:28] 他他处理不了这么复杂的函数
[00:46:28--00:46:31] 所以他几乎会出现几乎拟合不上
[00:46:31--00:46:32] 这样的一个问题
[00:46:32--00:46:33] 对
[00:46:33--00:46:37] 所以最后他能够学会的其实只有右边那个风
[00:46:37--00:46:39] 这其实就是非常经典的
[00:46:39--00:46:42] 就生成模型里面的叫特征坍缩现象
[00:46:42--00:46:42] 对
[00:46:42--00:46:43] 就就像大家我们做一个
[00:46:43--00:46:46] 比如说我们做一个DPU型模组啊
[00:46:46--00:46:47] 去生成图像
[00:46:47--00:46:52] 你会发现他总是先建模那些比较简单的图
[00:46:52--00:46:55] 当你这个模型能力或者训练时间更久以后
[00:46:55--00:46:58] 他才逐渐才会把完成的这个分布刻画出来
[00:46:58--00:46:58] 对
[00:46:58--00:47:00] 如果你训练不足或者模型能力有限
[00:47:00--00:47:01] 他只会建模
[00:47:01--00:47:04] 就每次输出你会发现基本都一样
[00:47:04--00:47:06] 我们把这个现象做特征坍缩
[00:47:06--00:47:07] 对
[00:47:07--00:47:08] 那大模型就不一样
[00:47:08--00:47:09] 大模型会尝试
[00:47:09--00:47:11] 比如我们尝试过这个Stamplow
[00:47:11--00:47:13] 他的机会有200多币
[00:47:13--00:47:17] 他真的可以十几个两位数相加
[00:47:17--00:47:19] 他直接一口爆出最后那个答案
[00:47:19--00:47:20] 而且那个答案大概率都对了
[00:47:20--00:47:22] 可能有个90
[00:47:22--00:47:24] 91万的概率是对的
[00:47:24--00:47:24] 对
[00:47:24--00:47:26] 当然他也有概率
[00:47:26--00:47:28] 一步一步
[00:47:28--00:47:29] 就是输出
[00:47:29--00:47:30] 对
[00:47:30--00:47:31] 但现在问题来了
[00:47:31--00:47:34] 就是从如果你以压缩率论英雄
[00:47:34--00:47:37] 那当然是那个大模型压缩率更高
[00:47:37--00:47:39] 因为他跟原来分布更接近
[00:47:39--00:47:43] 你这小模型直接直接直接扫了一个封
[00:47:43--00:47:45] 那肯定是压缩率不足
[00:47:45--00:47:46] 就得一个表现
[00:47:46--00:47:47] 但是呢
[00:47:47--00:47:51] 对于数学题我们首要的要求是你得算对
[00:47:51--00:47:56] 而不是你的分布离那个预训练语料更为接近
[00:47:56--00:47:57] 这就产生问题了
[00:47:58--00:47:59] 小模型
[00:47:59--00:48:00] 不管小模型大模型
[00:48:00--00:48:01] 只要他是一步步算
[00:48:01--00:48:04] 因为都是一些比较简单的数字运算
[00:48:04--00:48:05] 他几乎是不会错
[00:48:05--00:48:06] 他肯定是对的
[00:48:06--00:48:09] 但大模型他总有倾向
[00:48:09--00:48:11] 他觉得他行了
[00:48:11--00:48:13] 他确实走了那个就是一步
[00:48:13--00:48:17] 就是一步直接爆出了答案
[00:48:17--00:48:19] 你想对于一个相对比较复杂的数学题
[00:48:19--00:48:21] 可能有很多很多的步骤
[00:48:21--00:48:22] 他可能有很多种步骤
[00:48:22--00:48:23] 然后呢
[00:48:23--00:48:25] 中间任何一步
[00:48:25--00:48:26] 只要他觉得他
[00:48:26--00:48:28] 他觉得他很行
[00:48:28--00:48:29] 对他不用一个
[00:48:29--00:48:30] 他不用那个一步步计算
[00:48:30--00:48:31] 开始偷懒
[00:48:31--00:48:33] 就一步步爆出答案
[00:48:33--00:48:34] 可能90%都是对的
[00:48:34--00:48:36] 但他就那错了10%
[00:48:36--00:48:38] 就那10%他就要命
[00:48:38--00:48:40] 对只要错一步
[00:48:40--00:48:41] 尤其是很长的人
[00:48:41--00:48:43] 他最终的错误率就会非常的高
[00:48:43--00:48:47] 所以你会发现他做那些常练的这种COT
[00:48:47--00:48:48] 数学是这样的
[00:48:48--00:48:50] 很多那种推理型需要推理的问题
[00:48:50--00:48:51] 也是一样
[00:48:51--00:48:55] 对他总是在中间跳过了一些必要的步骤
[00:48:55--00:48:58] 然后直接输出一个他自认为
[00:48:58--00:49:00] 很对的答案
[00:49:00--00:49:01] 很多时候确实是对的
[00:49:01--00:49:03] 但是一旦我这个逻辑推理越复杂
[00:49:03--00:49:04] 步骤越多
[00:49:04--00:49:07] 这种小的错误可能性的累积
[00:49:07--00:49:09] 就使得你整个的这个错误率
[00:49:09--00:49:11] 反而就大幅增加
[00:49:11--00:49:13] 就很多时候还远远不如
[00:49:13--00:49:14] 那些小模型走到
[00:49:14--00:49:15] 对
[00:49:15--00:49:17] 就这个现象非常糟糕
[00:49:17--00:49:18] 对
[00:49:18--00:49:18] 而且我们
[00:49:18--00:49:21] 它可能直接指向了
[00:49:21--00:49:24] 我们做那个next token prediction
[00:49:24--00:49:26] 这样一个本质的缺陷
[00:49:26--00:49:27] 对
[00:49:27--00:49:28] 其实next token prediction
[00:49:28--00:49:31] 大家其实在业界
[00:49:31--00:49:33] 大家对它的批评也很多
[00:49:33--00:49:35] 因为它本质是个比较比较可容易
[00:49:35--00:49:37] 就天生容易OOD
[00:49:37--00:49:40] 容易在中间出现分叉
[00:49:40--00:49:42] 其实就是OOD
[00:49:42--00:49:45] 以后就是它容易陷入了一个
[00:49:45--00:49:46] 它没见过的环境
[00:49:46--00:49:48] 很多幻觉是这样产生的
[00:49:48--00:49:48] 对
[00:49:48--00:49:49] 这个都是老生常谈
[00:49:49--00:49:52] 但是我刚发现这个现象
[00:49:52--00:49:55] 可能我想在业界里讨论的还不多
[00:49:55--00:49:56] 对
[00:49:56--00:49:58] 这还是一个比较有趣的
[00:49:58--00:49:58] 一个
[00:49:58--00:49:59] 一个问题
[00:49:59--00:50:00] 对
[00:50:00--00:50:01] 当然这个解决方案
[00:50:01--00:50:03] 大家也比较自然
[00:50:03--00:50:04] 因为
[00:50:04--00:50:05] 因为你刚刚说了嘛
[00:50:05--00:50:07] 压缩率就next token prediction了
[00:50:07--00:50:09] 本质上还是基于信息论
[00:50:09--00:50:10] 是压缩率
[00:50:10--00:50:11] 对
[00:50:11--00:50:13] 是最大化这个压缩率的
[00:50:13--00:50:15] 但是如果
[00:50:15--00:50:16] 就是怎么说呢
[00:50:16--00:50:18] 如果
[00:50:18--00:50:20] 你的这个问题本身跟压缩率
[00:50:20--00:50:21] 最大化压缩率
[00:50:21--00:50:23] 这两个优化目标是存在概率
[00:50:23--00:50:24] 那你还不如直接优化
[00:50:24--00:50:26] 这个我关心的那个任务本身
[00:50:26--00:50:28] 其实就是RL所提出的
[00:50:28--00:50:30] 这个问题的依据
[00:50:30--00:50:31] 对
[00:50:31--00:50:34] 所以像你像大家像这一波OE出现以后
[00:50:34--00:50:36] 包括像R1
[00:50:36--00:50:38] 像就Diosec R1这些
[00:50:38--00:50:40] 就非常优秀的这些工作
[00:50:40--00:50:40] 对
[00:50:40--00:50:43] 其实大家都用了这个Rubase RL这套方案
[00:50:43--00:50:45] 但实际上这套方案
[00:50:45--00:50:48] 真正在大模型里面使用
