[00:00:02--00:00:06] 不能称作是AI Bubble
[00:00:06--00:00:07] 更像是AI War
[00:00:07--00:00:10] AI可能就是得看作
[00:21:29--00:21:31] 也验证了我上一期博客的一些判断
[00:21:31--00:21:34] 其实大家在通用能力上你追我赶
[00:21:34--00:21:35] 对吧
[00:21:35--00:21:36] 甩不开
[00:21:36--00:21:40] 但是都有了各自的战略的beta重点
[00:21:40--00:21:46] 你比如说Gemini3其实是在多摩泰是断档式领先的
[00:21:46--00:21:47] 对吧
[00:21:47--00:21:49] 但是在Tex和Coding包括Agent
[00:21:49--00:21:53] 其实差不多也是追平OPEN和SRP之前的模型
[00:21:53--00:21:54] 那个
[00:21:54--00:21:55] 呃
[00:21:55--00:21:58] Tex能力其实感觉像是优先级放后了
[00:21:58--00:22:00] 那个多摩泰战略放前面了
[00:22:00--00:22:01] 嗯
[00:22:01--00:22:05] 那你再比如说Anthropic的这个OPUS4.5
[00:22:05--00:22:09] 它还是Coding软件开发领域最好的这个模型
[00:22:09--00:22:12] OPUS4.5我觉得依然是被低估的一个
[00:22:12--00:22:15] 因为它做的任务更长更可靠也更好
[00:22:15--00:22:17] 还更省token
[00:22:17--00:22:20] 那个我估计还能后面能解锁很多东西
[00:22:20--00:22:23] 那再比如说ChatGP的BET
[00:22:23--00:22:24] 其实它就是
[00:22:24--00:22:26] 非消费端依然是断档式领先的
[00:22:26--00:22:29] 差不多4.85个亿的日活对吧
[00:22:29--00:22:31] 还是Gemini可能五六倍的关系
[00:22:31--00:22:34] 那那ChatGP长期想做一个
[00:22:34--00:22:37] 10-20亿日活的个人助理个人朋友
[00:22:37--00:22:39] 那这也是一个战略BET
[00:22:39--00:22:41] 我觉得他们会突出个性化能力对吧
[00:22:41--00:22:44] 所以你看Google的多摩泰
[00:22:44--00:22:46] ChatGP的朋友
[00:22:46--00:22:48] Anthropic的Coding和Agent
[00:22:48--00:22:52] 那包括Elia的SSA或者这个Thinking Machines
[00:22:52--00:22:53] 这个
[00:22:53--00:22:55] 去搞下一代方式
[00:22:55--00:22:58] 所以我觉得这比较有意思的一个点就是
[00:22:58--00:23:01] 模型分化这个点一个启发就是说
[00:23:01--00:23:04] Anthropic专注2B放弃了2C
[00:23:04--00:23:06] 专注Coding和Agent
[00:23:06--00:23:09] 这个战略BET是很值得AI创业者去学习的
[00:23:09--00:23:11] 就是就不然的话Anthropic
[00:23:11--00:23:15] 早就在这么激烈的形成中就挂掉了
[00:23:15--00:23:19] 那个所以大家在各自的战略BET之下
[00:23:19--00:23:23] 一定要做到这个鲜明的特点
[00:23:23--00:23:27] 都是要为这个战略BET以中为始的
[00:23:27--00:23:29] 有一个你优化的目标
[00:23:29--00:23:31] 端到端的优化
[00:23:31--00:23:33] 这个剑下优化模型
[00:23:33--00:23:35] 那本质是优化数据对吧
[00:23:35--00:23:37] 那你看ChatGP在C端
[00:23:37--00:23:40] 其实体验明显还是比Gemini要好一些的
[00:23:40--00:23:43] 然后因为是对数据做了专门的优化
[00:23:43--00:23:47] 那Cloud在2B企业或者知识工作者
[00:23:47--00:23:48] 这个体验也是更好的
[00:23:48--00:23:51] 那本质还是对数据做了优化
[00:23:51--00:23:52] 嗯
[00:23:52--00:23:54] 那你说Mirror的Thinking Machine Lab
[00:23:54--00:23:55] 代表新一代范式
[00:23:55--00:23:57] 这个范式指的是什么
[00:23:57--00:23:58] 嗯
[00:23:58--00:23:59] 这个只是猜测啊
[00:23:59--00:24:01] 那个Elia和Mirror
[00:24:01--00:24:05] John Schumann肯定是很懂OpenAI未来的roadmap的
[00:24:05--00:24:06] 对吧
[00:24:06--00:24:11] 其实这两个人没必要说再去catch up现有的model
[00:24:11--00:24:13] 肯定是想去拜访下一代的
[00:24:13--00:24:15] 不管说Online Learning也好
[00:24:15--00:24:17] Continue Learning也好
[00:24:17--00:24:20] 我觉得他们都是有自己的路线
[00:24:20--00:24:22] 和一盘大棋的
[00:24:22--00:24:23] 嗯
[00:24:23--00:24:27] 那你觉得今天再去争夺这个SOTA模型的位置还有意义吗
[00:24:27--00:24:28] 意义是什么呢
[00:24:28--00:24:30] 既然大家都是在交替领先
[00:24:30--00:24:31] 秀肌肉啊
[00:24:31--00:24:34] 我觉得我们就拿Meta来说啊
[00:24:34--00:24:37] 就是你再退一个SOTA的model
[00:24:37--00:24:39] 只是交一个作业肯定是不够的
[00:24:39--00:24:43] 他得有个很牛的爆款产品才够的
[00:24:43--00:24:45] 起码得到ChatGP这种量级吧
[00:24:45--00:24:46] 才算爆款
[00:24:46--00:24:50] 那个因为这样才能撑得起Meta
[00:24:50--00:24:52] 1200亿美金的
[00:24:52--00:24:54] 明年的CAPEX投入对吧
[00:24:54--00:24:57] 你看Meta现在账上现金大概500亿美金
[00:24:57--00:24:58] 嗯
[00:24:58--00:25:00] 明年利润可能600亿美金
[00:25:00--00:25:02] 但他明年要投入1200亿美金
[00:25:02--00:25:06] 其实只有一个SOTA Model肯定是不够的对吧
[00:25:06--00:25:11] 那包括今天的SOTA都是Benchmark的SOTA对吧
[00:25:11--00:25:16] 我觉得那个Gemini3和GPT5.2都是有很大刷分的这个嫌疑的
[00:25:16--00:25:18] 因为很多模型都是得分很高
[00:25:18--00:25:21] 但这个低能对吧高分低能
[00:25:21--00:25:26] 那个其实真的SOTA我觉得应该好的定义是
[00:25:26--00:25:28] 有多少营收有多少客户
[00:25:28--00:25:30] 输出多少的Tokens来定义
[00:25:30--00:25:32] 而不是Benchmark的榜单了
[00:25:32--00:25:35] 就是看有多少人用嘛
[00:25:35--00:25:38] 之前你在播客上有一个观点是说
[00:25:38--00:25:41] 基础模型攫取了价值链的大部分价值
[00:25:41--00:25:44] 那现在你还是这个观点吗
[00:25:44--00:25:46] 我觉得还是这个判断吧
[00:25:46--00:25:49] 就是这里面有一个偷懒的类比就是
[00:25:49--00:25:55] 基础模型公司就很像十年前的综合电商平台
[00:25:55--00:26:00] 你Scale这个SQ的时候就是模型公司ScaleData
[00:26:00--00:26:01] 这个是更容易的
[00:26:01--00:26:06] 你最后看模型公司想做好哪些能力就是加数据
[00:26:06--00:26:09] 你比如说ChatGPT也好Coding也好
[00:26:09--00:26:12] 就很像Amazon早年卖书一样
[00:26:12--00:26:16] 它通过卖书拉通了物流仓储和用户对吧
[00:26:16--00:26:19] 那接下来它横向的Scale更多的SQ了
[00:26:19--00:26:22] 那今天领先的模型公司也是对吧
[00:26:22--00:26:26] 你看它自己都在努力的做好Office里面的PPT
[00:26:26--00:26:29] Excel数据分析也包括反档投研的对吧
[00:26:29--00:26:33] 其实基础模型公司他们ScaleData的效率是更高的
[00:26:33--00:26:37] 那个因为之前ChatGPT做Chat也好Coding也好
[00:26:37--00:26:42] 其实都拉通了Fullstack整个Data的这个Pipeline也比较好
[00:26:42--00:26:45] 所以我觉得理解基础模型公司的特点
[00:26:45--00:26:49] 尤其是他们未来半年模型公司内部的研发
[00:26:49--00:26:51] 也会更加有点点的目标
[00:26:51--00:26:52] 这个是很关键的
[00:26:52--00:26:56] 所以今天对投资和创业我觉得意义很大的一个点
[00:26:56--00:27:01] 就是说你到底是做的一个垂直电商还是一个小红书
[00:27:01--00:27:03] 你做垂直电商可能也能赚钱
[00:27:03--00:27:04] 但是要退得很灵活
[00:27:04--00:27:09] 但是历史上垂直电商没有很大的平台公司的
[00:27:09--00:27:13] 但是你看小红书是在综合电商平台之上
[00:27:13--00:27:18] 又构建出了一层叫消费价值很高的叫内容资产对吧
[00:27:18--00:27:21] 所以今天我们去思考Perplexity也好
[00:27:21--00:27:22] 思考Cursor也好对吧
[00:27:22--00:27:24] 包括一些Agent的公司也好
[00:27:24--00:27:27] 所以它到底是垂直电商还是小红书
[00:27:27--00:27:28] 我觉得这个今天还没有答案
[00:27:28--00:27:29] 大家都在探索期
[00:27:29--00:27:32] 我觉得这个是比较有意思值得思考的一个
[00:27:32--00:27:34] 现在还太早了
[00:27:34--00:27:35] 是
[00:27:35--00:27:40] 今天这个时间点的一部分特殊性是在于Gemina崛起了
[00:27:40--00:27:42] 大家会担心那OpenAI会怎么办
[00:27:42--00:27:44] 它会不会对OpenAI有很大的影响
[00:27:44--00:27:46] 你会怎么看待这两家公司的竞争
[00:27:46--00:27:47] 对
[00:27:47--00:27:49] 我觉得这里的核心一个观点就是
[00:27:49--00:27:53] Google加OpenAI总市值能到10个T以上
[00:27:53--00:27:56] 我对OpenAI现在比较乐观
[00:27:56--00:27:58] 觉得被大幅低估了
[00:27:58--00:28:00] 我觉得有几个原因
[00:28:00--00:28:04] 第一就是OpenAI可能是过去20年里面
[00:28:04--00:28:07] 唯一一家有机会挑战Google的公司
[00:28:07--00:28:10] 微软并其实都没有真的挑战到Google
[00:28:10--00:28:14] 第二OpenAI还是今天当下最好的AI标的
[00:28:14--00:28:16] 如果OpenAI你不配置不投对吧
[00:28:16--00:28:19] 其实其他的风险是更大的
[00:28:19--00:28:21] 其实OpenAI的人才密度
[00:28:21--00:28:23] 包括产品的领先性都还是很好的
[00:28:23--00:28:25] 今年200多亿美金AR
[00:28:25--00:28:27] 明年四五百亿美金AR
[00:28:27--00:28:31] 其实你说很高的multiple也没有很贵
[00:28:31--00:28:36] 而且第三OpenAI还是有最高的概率
[00:28:36--00:28:38] 继续立的下一代范式创新对吧
[00:28:38--00:28:42] Online Learning或者下一代的探索还是最领先的
[00:28:42--00:28:45] 现在资本市场担心的无非是财务的亏损
[00:28:45--00:28:49] 我感觉财务亏损这个问题不用过度谈心吧
[00:28:49--00:28:53] 因为过去几十年资本主义国家积累的财富是足够多的
[00:28:53--00:28:56] 你看今天除了AI还能投啥呢
[00:28:56--00:28:59] 我估计所有的钱都会砸到AI领域吧
[00:28:59--00:29:03] 我觉得至于Google的竞争
[00:29:03--00:29:05] 我觉得Google也不会一家独大吧
[00:29:05--00:29:07] 因为这个市场也不是一个零和博弈
[00:29:07--00:29:09] 因为Chatbot做了很多增量市场
[00:29:09--00:29:13] 就很像之前我们比喻的短视频
[00:29:13--00:29:16] 这个抖音至于优酷的竞争对吧
[00:29:16--00:29:19] 我觉得Google和OpenAI还是比较好的组合吧
[00:29:19--00:29:22] 未来在C端平衡天下
[00:29:22--00:29:25] 所以今天我觉得是Google短期高估
[00:29:25--00:29:27] OpenAI短期被低估
[00:29:27--00:29:30] 其实Google这一波因为推了一个Sultan Model
[00:29:30--00:29:34] 它的估值是从十八九倍的PE
[00:29:34--00:29:36] 变成了一个二十八九倍的PE
[00:29:36--00:29:38] 其实是一个估值扩张的逻辑对吧
[00:29:38--00:29:42] 我觉得背后的原因还有很多的就是
[00:29:42--00:29:45] 你比如说GPT和Gemini
[00:29:45--00:29:48] 它们在模型上拉不开很大差距
[00:29:48--00:29:51] 假设模型是交替领先的
[00:29:51--00:29:54] 模型上都无法大赢
[00:29:54--00:29:57] 但是GPT是在产品和品牌优势是很强的
[00:29:57--00:30:00] 但Google有生态优势对吧
[00:30:00--00:30:05] OpenAI的人才我们感觉还是整体略优于Google的
[00:30:05--00:30:08] 而且它的产品Sense和战略也是更好的
[00:30:08--00:30:11] 我觉得还有一个有意思的可以对比的就是说
[00:30:11--00:30:16] ChatGPT过去三年的增速是远超微信当年的
[00:30:16--00:30:21] 微信是三年的时间可能涨到了4.5亿的MAU
[00:30:21--00:30:25] ChatGPT是三年涨到了14个亿的MAU
[00:30:25--00:30:27] 我觉得这是比较厉害的一个数字了
[00:30:27--00:30:31] 就是说ChatGPT现在日活比如4.8到5个亿对吧
[00:30:31--00:30:33] Gemini现在只有9000万
[00:30:33--00:30:36] 它日活大概还是一个五到六倍的关系
[00:30:36--00:30:38] 我们不知道最终比例是多少
[00:30:38--00:30:41] 可能7比3 6比4 5比5还不好说
[00:30:41--00:30:47] 但还是倾向于判断ChatGPT依然会是长期的第一对吧
[00:30:47--00:30:50] 最终可能是一个10到20亿日活的产品
[00:30:50--00:30:58] 但Google的崛起王者归来还是会压制OpenAI的规模或者回报率的
[00:30:58--00:31:02] 但这里还有一个很关键的判断就是说
[00:31:02--00:31:07] 最终的最终ChatGPT会不会融合传统搜索
[00:31:07--00:31:10] 最终也会吃掉传统搜索的广告的份额
[00:31:11--00:31:15] 但另外一面就是说传统搜索会融合Chatbot对吧
[00:31:15--00:31:22] 我觉得不排除一种可能就是ChatGPT它会形成一套自己全新的搜索引擎
[00:31:22--00:31:24] 而且这个模型更快个性化也更好对吧
[00:31:24--00:31:28] 而且这些模型生成的内容还能被反复利用起来
[00:31:28--00:31:33] 那ChatGPT的终局它就是一个信息分化融合的产品
[00:31:33--00:31:37] 但我觉得说了这么多就是说不代表Google不好
[00:31:37--00:31:40] Google也是好的它有很多好的资产对吧
[00:31:40--00:31:44] Wemo也很好它还是SpaceX股东对吧
[00:31:44--00:31:48] 它还有Answermatic那个要治愈人类所有疾病
[00:31:48--00:31:54] 我觉得Google包括英伟达可能还是人类最快接近10个T的公司的候选人吧
[00:31:54--00:31:59] 就是十年前大家不敢想象有万亿美金公司对吧
[00:31:59--00:32:02] 就像今天不敢想象有十万亿美金公司
[00:32:02--00:32:05] 我觉得未来有可能有好几家十万亿美金公司
[00:32:05--00:32:09] 就是其实今天它从3到5万亿涨到10万亿的难度
[00:32:09--00:32:14] 是远远小于今天市面上比如说几百亿美金的公司涨到千亿美金的难度的
[00:32:14--00:32:18] 也小于千亿美金公司涨到万亿美金这个难度
[00:32:18--00:32:21] 所以大公司有可能确实会变强
[00:32:21--00:32:29] 这是一个这可能就是一个我们即将面对的一个趋势
[00:32:29--00:32:33] 但是今天Google是不便宜的因为刚才说到它那个估值扩张的逻辑
[00:32:33--00:32:37] 你看Gemina现在有一个Sota模型外界都觉得Gemina领先了
[00:32:37--00:32:41] 据你们了解到实际它的流量是什么样的有变化吗
[00:32:41--00:32:46] Gemina 3显著在模型上进步我觉得是好事的
[00:32:46--00:32:49] 如果不进步反而就更担心了
[00:32:49--00:32:53] 首先Gemina 3我觉得对模型的格局是产生了一些影响的
[00:32:53--00:32:56] 因为Google第一次成为明显的Sota
[00:32:56--00:32:59] 但是反映到产品和流量的增速上
[00:32:59--00:33:06] Gemina 3这个对DAU的拉动甚至还不如当时的Nano Banana这个产品拉动的更明显
[00:33:07--00:33:13] 其实ChatGPT在生活助手这个心智是非常强的
[00:33:13--00:33:16] 很多人是把ChatGPT放在手机的手屏上了
[00:33:16--00:33:18] 我们上一期博客提到
[00:33:18--00:33:22] 其实Gemina很多的还是在web端的生产力
[00:33:22--00:33:25] 你看ChatGPT周末是也在用的
[00:33:25--00:33:29] Gemina很大程度上是周一到周五的工作时间
[00:33:29--00:33:34] 叫牛马工具比如做前端开发做PPT
[00:33:34--00:33:36] 还有数字就是说
[00:33:36--00:33:43] Gemina的MAU大概是ChatGPT的20到25
[00:33:43--00:33:47] 但Gemina的DAU比MAU的比例是很低的
[00:33:47--00:33:48] 只有10%
[00:33:48--00:33:52] ChatGPT的DAU比MAU的比例大概是25%
[00:33:52--00:33:55] 这其实是一个更高频打低频的
[00:33:55--00:34:01] 这就说明单月的绘画的次数ChatGPT是Gemina也是高三四倍的
[00:34:01--00:34:05] 然后还有一些角度就是说
[00:34:05--00:34:07] 移动端ChatGPT的统治力是非常强的
[00:34:07--00:34:09] 活跃度是比Gemina高非常多的
[00:34:09--00:34:13] 因为移动端才是叫生活助理的主战场
[00:34:13--00:34:20] 而且你从地域上看ChatGPT守住的是叫最高价值的地区
[00:34:20--00:34:24] 就是北美 欧洲这些付费能力很强的发达市场
[00:34:24--00:34:26] 都是ChatGPT的主战场
[00:34:26--00:34:28] 我觉得它的商业化的根基是很稳的
[00:34:28--00:34:32] Gemina其实是走了农村包围城市的路
[00:34:32--00:34:34] 就是在巴西 在印度 在约翰市场上
[00:34:35--00:34:40] 越南这些安卓主导的新兴市场
[00:34:40--00:34:43] 在新兴市场Gemina的渗透率是很高的
[00:34:43--00:34:46] MAU可能到了ChatGPT的三分之一左右吧
[00:34:46--00:34:49] 所以就说从流量的大盘来看
[00:34:49--00:34:54] ChatGPT比整个Google搜索从年初的95比5
[00:34:54--00:34:59] 现在变成了85比15这样的比例了吧
[00:34:59--00:35:01] 其实ChatGPT已经不再是边缘流量了
[00:35:01--00:35:04] 已经变成一个主流的流量平台了
[00:35:04--00:35:06] 你看最近Google的表现不错
[00:35:06--00:35:08] 你觉得根本的原因是什么呀
[00:35:08--00:35:11] 你觉得Google今天的危机解除了没有
[00:35:11--00:35:14] 我觉得Gemina3肯定是有刷宝的
[00:35:14--00:35:16] PR上肯定有很多工作的
[00:35:16--00:35:18] 确实是模型上骚擦领先了
[00:35:18--00:35:22] 大家只是不把Google当AI的loser
[00:35:22--00:35:24] Nogia这种看了
[00:35:24--00:35:27] 把它当一个AIwinner了
[00:35:27--00:35:29] 蓄势的反转
[00:35:29--00:35:32] 我觉得长期危机是没有真正解除的
[00:35:32--00:35:36] 未来Agent的对传统搜索和广告怎么影响
[00:35:36--00:35:37] 这个还不知道
[00:35:37--00:35:43] 那一种情况就是明年ChatGPT真的会吃掉很多传统搜索的份额广告
[00:35:43--00:35:46] 那还有一种情况就是Google自我革新
[00:35:46--00:35:49] 集成AI继续做AI时代的王者
[00:35:49--00:35:52] 我觉得这两种走线还是要持续的观察思考的
[00:35:52--00:35:55] 过去三年我们看到两个范式的演进
[00:35:55--00:35:57] 分别是运训练和强化学习
[00:35:57--00:35:59] 那在今天这个时间点
[00:35:59--00:36:01] 你看伊莉娅说scaling结束了
[00:36:01--00:36:03] 现在进入了研究时代
[00:36:03--00:36:07] 那之前我们有一期播客也提前预言了O1的强化学习的范式
[00:36:07--00:36:09] 今天你有看到第三个范式没有
[00:36:09--00:36:12] 有新的这种范式级别的跃迁吗
[00:36:12--00:36:15] Pre-training的scaling确实快结束了
[00:36:15--00:36:18] 但应该说online learning刚开始
[00:36:18--00:36:20] 那现有的范式
[00:36:20--00:36:22] 那第一个就是Pre-training
[00:36:22--00:36:24] 运训练应该说走到七八十了
[00:36:24--00:36:25] 还有空间
[00:36:25--00:36:26] 但投入很大
[00:36:26--00:36:29] 那第二个就是RO强化学习
[00:36:29--00:36:31] 走到了百分之百
[00:36:31--00:36:33] 可能三十到五十的阶段
[00:36:33--00:36:35] 那大家今天都在scale data
[00:36:35--00:36:37] 这两条范式下
[00:36:37--00:36:40] 可能格局不会发生翻天覆地的变化
[00:36:40--00:36:42] 那头上的几家彼此也都比较清楚
[00:36:42--00:36:45] 加上人才流动和信息流动
[00:36:45--00:36:47] 其实都是名牌的竞争了
[00:36:47--00:36:49] 其实最主要原因还是
[00:36:49--00:36:51] 运训练搞不出更多数据了
[00:36:51--00:36:52] 比如说五六十个T
[00:36:52--00:36:55] 可能也是很多模型公司的一个极限了
[00:36:55--00:36:59] 而且今天模型的激活参数并没有无限变大
[00:36:59--00:37:00] 反而是在变小的
[00:37:00--00:37:02] 而是稀疏度在变高
[00:37:02--00:37:04] 今天趋势是走向了一个
[00:37:04--00:37:07] 很大的MOE的一个架构
[00:37:07--00:37:09] 我的感受是
[00:37:09--00:37:10] OpenAI也好
[00:37:10--00:37:11] SSA也好
[00:37:11--00:37:12] Synchro Machines也好
[00:37:12--00:37:13] 都看到了下一个范式
[00:37:13--00:37:16] 都在赌下一个大的范式创新
[00:37:16--00:37:18] 硅谷现在最热的还是
[00:37:18--00:37:20] 叫continuous learning
[00:37:20--00:37:22] 我们很多人叫online learning
[00:37:22--00:37:24] 其实就是模型的自主学习
[00:37:24--00:37:25] 学习效率更高
[00:37:25--00:37:28] 更少的数据就可以学得更快
[00:37:28--00:37:30] 编推理和交互的时候
[00:37:30--00:37:32] 也在学习
[00:37:32--00:37:35] 这个我觉得还是一个最根本性的变革
[00:37:35--00:37:38] 你看移动互联网就是交互的过程
[00:37:38--00:37:39] 沉淀数据
[00:37:39--00:37:42] 今天的大模型还是一个叫静态的
[00:37:42--00:37:43] 冰冻的
[00:37:43--00:37:44] 没有数据费能的产品
[00:37:44--00:37:47] 它没有办法从每天的交互中
[00:37:47--00:37:50] 吸取足够的信息
[00:37:50--00:37:52] 它需要大量的样本数据
[00:37:52--00:37:54] 才能做预训练
[00:37:54--00:37:55] 才能学到
[00:37:55--00:37:59] 为什么移动互联网比PC互联网大十倍
[00:37:59--00:38:01] 因为每天的交互过程中
[00:38:01--00:38:02] 沉淀了互动
[00:38:02--00:38:03] 吸收了用户偏好
[00:38:03--00:38:05] 我觉得online learning work以后
[00:38:05--00:38:09] AI是会吸收人的智能的
[00:38:09--00:38:11] 就从人类的经验中学习
[00:38:11--00:38:13] 但新范式的成熟
[00:38:13--00:38:16] 可能还需要一些基础设施的成熟
[00:38:16--00:38:19] 比如说更长的context
[00:38:19--00:38:22] 包括laura也是重要的东西
[00:38:22--00:38:25] 比如说多个模型的变形采样
[00:38:25--00:38:28] 反正我们还是花了不少时间
[00:38:28--00:38:32] 跟领先的研究员去聊下一个范式
[00:38:32--00:38:34] 大家都还是比较乐观的
[00:38:34--00:38:35] 应该在2026年
[00:38:35--00:38:37] 比如说夏天或者什么时间
[00:38:37--00:38:40] 能看到突破的一些信号
[00:38:40--00:38:43] 这些新范式主要是由哪些公司在主导
[00:38:43--00:38:45] 谁是其中比较领先的
[00:38:45--00:38:48] OpenAI还是最遥遥领先的
[00:38:48--00:38:49] 投入最大
[00:38:49--00:38:53] 其次还是Illia的SSI
[00:38:53--00:38:55] Mira的Thinking Machines
[00:38:55--00:38:58] 这也还是比较看好Thinking Machines
[00:38:58--00:39:01] 或者其他的Neo Labs的一个原因
[00:39:01--00:39:04] 我觉得大家都是有一盘自己的大棋的
[00:39:04--00:39:07] 其实这比较有意思
[00:39:07--00:39:10] Anthropic是OpenAI最早的scaling的team
[00:39:10--00:39:13] Illia是最早的project training的team
[00:39:13--00:39:18] Thinking Machines其实是原班chat GPT和post training team
[00:39:18--00:39:20] 其实这几个团队都很强
[00:39:20--00:39:23] OpenAI即便在分崩离析了三四次以后
[00:39:23--00:39:25] 依然还很强
[00:39:25--00:39:27] 那个
[00:39:28--00:39:33] Google其实今天应该还没有整体top down的做online learning这些探索
[00:39:33--00:39:38] 可能还是独立的一些研究员在个人探索的角度吧
[00:39:38--00:39:44] 我们什么时候能看到SSI和Thinking Machines Lab的一些比较主要的产品
[00:39:44--00:39:47] 我觉得20年应该能看到一些东西吧
[00:39:47--00:39:49] 为什么你觉得online learning特别重要
[00:39:49--00:39:51] 我觉得这里有一个暴乱
[00:39:51--00:39:56] 就是大家提的机器人世界模型甚至多姆泰
[00:39:56--00:39:58] 其实可能很多是假问题
[00:39:58--00:40:02] online learning可能才是唯一重要的真问题
[00:40:02--00:40:04] 就是模型的自主学习
[00:40:04--00:40:06] 学习效率比较高
[00:40:06--00:40:10] 只有这个突破了其他的问题才是本质上的解决
[00:40:10--00:40:13] 因为这里最重要的还是泛化性
[00:40:13--00:40:17] 如果不泛化那后面还是走动驾驶的老路
[00:40:17--00:40:20] 就是有多少人工就有多少智能
[00:40:20--00:40:22] 所以有一个很大的概率就是说
[00:40:22--00:40:26] 未来机器人世界模型的突破
[00:40:26--00:40:29] 可能不一定是今天在座的这批人
[00:40:29--00:40:34] 有可能今天在座的这批人是上一代NLP的一样的结果
[00:40:34--00:40:36] 确实是暴乱
[00:40:36--00:40:39] 就机器人最大问题还是不泛化对吧
[00:40:39--00:40:43] 那没泛化你就要像自动驾驶一样做个十年
[00:40:43--00:40:45] 一点点的采数据
[00:40:45--00:40:49] 我觉得下一代范式对现有格局影响是很大的
[00:40:49--00:40:54] 所以我觉得理解技术每个季度review之前的观点还是比较重要的吧
[00:40:54--00:40:57] 你能不能更形象的解释一下这三个范式
[00:40:57--00:41:00] 从print training到RL再到online learning
[00:41:00--00:41:02] 我觉得有三种比喻
[00:41:02--00:41:05] 这个是我们团队内提的
[00:41:05--00:41:10] print training预训练的数据就像石油化石燃料
[00:41:10--00:41:12] 量非常大但总共是有限的
[00:41:12--00:41:14] 现在已经用了七八成了
[00:41:14--00:41:20] RL强化的专家数据就是蒸馏的人类专家的数据
[00:41:20--00:41:23] 就像新能源有用
[00:41:23--00:41:25] 有用但总量比较小
[00:41:25--00:41:27] 所以出现了像SEARCH也好
[00:41:27--00:41:31] 默克尔这种专门帮招聘人类专家的外包公司
[00:41:31--00:41:33] 收入也在快速的爆发
[00:41:33--00:41:38] 那online learning有一个比喻就是叫核聚变
[00:41:38--00:41:40] 这是核能还没有突破
[00:41:40--00:41:42] 但如果突破了就是无敌的
[00:41:42--00:41:44] 人类就进入归基时代了
[00:41:44--00:41:50] By the way你觉得一定会出现这个所谓的第三个范式吗
[00:41:50--00:41:53] 会不会AI的技术跃迁就此终结了呢
[00:41:53--00:41:54] 我觉得可以从
[00:41:54--00:41:56] 基础设施成熟的角度去理解吧
[00:41:56--00:41:57] 因为技术在向前发展
[00:41:57--00:42:00] 可能突破就是一个时间问题
[00:42:00--00:42:03] 因为过去三年GPU的出货量
[00:42:03--00:42:05] 每个研究员手上拥有的算力
[00:42:05--00:42:09] 研究员的能力和数量都是爆发性成长的
[00:42:09--00:42:11] 这个就很像好莱坞
[00:42:11--00:42:14] 整个工业化的创作体系形成了
[00:42:14--00:42:17] 那持续做出新的作品就是时间问题
[00:42:17--00:42:18] 我觉得是有因果的
[00:42:18--00:42:24] 所以这个也是做这个播客很大的一个意义
[00:42:24--00:42:28] 就是要有passion去鼓动中国的科技公司多买卡
[00:42:28--00:42:32] 给年轻的研究员更多的撮卡的机会
[00:42:32--00:42:35] 就是我们想为什么伊利亚诞生在硅谷
[00:42:35--00:42:38] 因为Google这种大厂很早期就做长期投入
[00:42:38--00:42:40] 其实没有计算短期的ROI的
[00:42:40--00:42:45] 如果中国大厂多投入多买卡培养人才
[00:42:45--00:42:48] 那中国的伊利亚下一代的伊利亚
[00:42:48--00:42:50] 那大概率是未来三五年一定会出来的
[00:42:50--00:42:54] 现在已经有很多年轻的研究员已经有这个苗头了
[00:42:54--00:42:56] 而且都好年轻
[00:42:56--00:42:59] 我最近聊下来我觉得大家对于AGI的故事
[00:42:59--00:43:01] 似乎都出现了现实性的回归
[00:43:01--00:43:05] 那你作为一直在鼓吹AGI的人
[00:43:05--00:43:08] 你今天对于AGI有了进一步思考没有
[00:43:08--00:43:10] 你还相信AGI吗
[00:43:10--00:43:12] 这是比较重要的一个问题
[00:43:12--00:43:14] 就是说我们过去半年
[00:43:14--00:43:19] 认真花时间研究了给这些frontier model
[00:43:19--00:43:21] 做数据标注的公司
[00:43:21--00:43:23] 最大的一个体感就是
[00:43:24--00:43:26] 数据分布里面没有这类数据
[00:43:26--00:43:27] 这类任务就是不work
[00:43:27--00:43:29] 只有压缩过这类数据
[00:43:29--00:43:31] 这个任务才work
[00:43:31--00:43:35] 所以你就感觉今天的模型呢
[00:43:35--00:43:36] 还是一个巨大的压缩器
[00:43:36--00:43:37] 数据太重要了
[00:43:37--00:43:38] 是的
[00:43:38--00:43:41] 它都需要很多冷启动的激活数据
[00:43:41--00:43:43] 其实今天的模型呢
[00:43:43--00:43:45] 它在知识层面已经超过了
[00:43:45--00:43:47] 巨大多数的人
[00:43:47--00:43:51] 但是Agent却没有见过人真实工作的环境
[00:43:51--00:43:53] 所以就是还要找大量的人类专家
[00:43:53--00:43:56] 真实工作环境的数据
[00:43:56--00:43:59] 比如说打印链店员怎么操作FoodShop的
[00:43:59--00:44:02] 销售人员怎么操作CRM
[00:44:02--00:44:03] Salesforce的
[00:44:03--00:44:05] 银行的会员怎么用系统的
[00:44:05--00:44:07] 皮肤科医生怎么看病的
[00:44:07--00:44:10] 其实都要征流人类金牌级别的专家
[00:44:10--00:44:11] 这些数据
[00:44:11--00:44:13] 然后在L的training
[00:44:13--00:44:15] 才让Python才能翻画
[00:44:15--00:44:17] 你就突然感觉
[00:44:17--00:44:18] 这很像自动驾驶
