[00:00:00 - 00:00:02] 原来你做DeepResearch单独做的
[00:39:02 - 00:39:05] 我们同事去一条一条去看
[00:39:05 - 00:39:06] 那个分析那个
[00:39:06 - 00:39:07] 那个为什么可能
[00:39:07 - 00:39:10] 这个人是不满意这个结果
[00:39:10 - 00:39:11] 他为什么没有去订票
[00:39:11 - 00:39:12] 然后去归因说
[00:39:12 - 00:39:14] OK他可能可能因为AF助
[00:39:14 - 00:39:16] 最后打一个多少钱
[00:39:16 - 00:39:19] 然后再慢慢的给到这个产品团队
[00:39:19 - 00:39:20] 给到散发团队
[00:39:20 - 00:39:21] 然后去迭代这个服务
[00:39:21 - 00:39:22] 这个流程还是挺长的
[00:39:22 - 00:39:24] 就目前还是没有自己的事忘起来
[00:39:24 - 00:39:26] 这也是一个入口即应
[00:39:26 - 00:39:27] 我就天天面临的一个问题
[00:39:27 - 00:39:29] 因为他一开始不知道什么是赚钱的
[00:39:29 - 00:39:31] 也就是说从学术来讲
[00:39:31 - 00:39:32] 你们的reward
[00:39:32 - 00:39:35] 是一个充满噪音的
[00:39:35 - 00:39:36] 而且很难去
[00:39:36 - 00:39:38] 就是你们这个环境的reward
[00:39:38 - 00:39:40] 首先很难被见过
[00:39:40 - 00:39:41] 就是你不知道
[00:39:41 - 00:39:42] 这个储债亏是
[00:39:42 - 00:39:44] 就如果有上帝来讲
[00:39:44 - 00:39:45] 你这储债亏是
[00:39:45 - 00:39:47] reward是10.5还是0
[00:39:47 - 00:39:47] 你很难给
[00:39:47 - 00:39:49] 就是你很难从
[00:39:49 - 00:39:50] 比如说买票这个因素
[00:39:50 - 00:39:51] 或者各种各样因素去给
[00:39:51 - 00:39:52] 可能他就心情不好
[00:39:52 - 00:39:53] 或者他就
[00:39:53 - 00:39:54] 就有什么事情了
[00:39:54 - 00:39:55] 然后这种
[00:39:55 - 00:39:57] 然后甚至说你这个
[00:39:57 - 00:39:58] 而且导致了说
[00:39:58 - 00:39:59] 你这个auto-judger
[00:39:59 - 00:40:00] 根本不可能产生
[00:40:00 - 00:40:02] 人的作为一个judger
[00:40:02 - 00:40:02] 甚至可能
[00:40:02 - 00:40:03] 我不知道
[00:40:03 - 00:40:04] 可能你能有100张票
[00:40:04 - 00:40:05] 可能能分出来50条
[00:40:05 - 00:40:06] 甚至可能分析不出来
[00:40:06 - 00:40:07] 所以我觉得
[00:40:07 - 00:40:08] 这个是个很好的
[00:40:08 - 00:40:08] resource setting
[00:40:08 - 00:40:10] 就这个我们
[00:40:10 - 00:40:10] 就是benchmark
[00:40:10 - 00:40:12] 其实跟这个是差很多
[00:40:12 - 00:40:13] 就更何况中间
[00:40:13 - 00:40:14] 还有很多其他人的
[00:40:14 - 00:40:15] 介入这个部分
[00:40:15 - 00:40:16] 而且我发现
[00:40:16 - 00:40:17] 我们和那个像你看
[00:40:17 - 00:40:17] 推荐系统
[00:40:17 - 00:40:18] 很不一样的区别
[00:40:18 - 00:40:19] 就是那个推荐系统的
[00:40:19 - 00:40:20] 那个人的输入
[00:40:20 - 00:40:22] 是非常有限的
[00:40:22 - 00:40:24] 他就是在这停留了几秒几秒
[00:40:24 - 00:40:25] 都是很量化的
[00:40:25 - 00:40:27] 我们这里呢又有
[00:40:27 - 00:40:29] 就听刚才你讲交互的问题
[00:40:29 - 00:40:31] 其实是我们的交互定义了
[00:40:31 - 00:40:33] 我们能收集什么样的数据
[00:40:33 - 00:40:35] 然后这个数据又多种多样
[00:40:35 - 00:40:37] 然后就还得给它一个
[00:40:37 - 00:40:40] 很合适的一个这个空间来表达
[00:40:40 - 00:40:41] 就套不太上传统的
[00:40:41 - 00:40:43] 传统学习的模式来的
[00:40:43 - 00:40:44] 对 是
[00:40:44 - 00:40:46] 刚才提到交互就是提起了
[00:40:46 - 00:40:50] 就是就那个刚才我第一次提到
[00:40:50 - 00:40:51] 那个就是说我们最开始有一个
[00:40:51 - 00:40:54] 那个小窗口的那个模式
[00:40:54 - 00:40:56] 其实就是我在交互上犯了一个巨大的错误
[00:40:56 - 00:40:57] 但是我在我们团队内部
[00:40:57 - 00:40:58] 就说我们上来这个东西
[00:40:58 - 00:40:59] 一定要有一个用户
[00:40:59 - 00:41:00] 能够看得见的呀
[00:41:00 - 00:41:02] 不然他以为是
[00:41:02 - 00:41:04] 是背后是人帮他做的
[00:41:04 - 00:41:05] 或者就是我们也是
[00:41:05 - 00:41:06] 直接拿到API怎么办
[00:41:06 - 00:41:07] 一定要让他看到
[00:41:07 - 00:41:08] 我们是真的帮他
[00:41:08 - 00:41:09] 打开了一个电脑帮他做呀
[00:41:09 - 00:41:10] 我当时就一直
[00:41:10 - 00:41:11] 非常强调了这件事情
[00:41:11 - 00:41:13] 后面然后我就发现
[00:41:13 - 00:41:14] 其实用户根本
[00:41:14 - 00:41:15] 根本不要这件事情
[00:41:15 - 00:41:17] 对所以我会有一个问题
[00:41:17 - 00:41:20] 就是用户为什么要在乎
[00:41:20 - 00:41:22] 你是再用一个agent
[00:41:22 - 00:41:23] 去做点击还是在调API
[00:41:23 - 00:41:26] 对用户来说这个事情重要吗
[00:41:26 - 00:41:26] 是不是其实不重要
[00:41:26 - 00:41:29] 对就我犯的一个非常大的错误
[00:41:29 - 00:41:31] 我当时我记得我还跟我们
[00:41:31 - 00:41:32] 尤其我应该道个歉
[00:41:32 - 00:41:33] 就跟我们产品负责人
[00:41:33 - 00:41:34] 就冲着一点
[00:41:34 - 00:41:36] 他就他就争不过
[00:41:36 - 00:41:37] 我就上了
[00:41:37 - 00:41:39] 上了以后又过几天就下了
[00:41:39 - 00:41:40] 对对
[00:41:40 - 00:41:41] 但是就是让我感觉到
[00:41:41 - 00:41:42] 我犯的一个很大错误
[00:41:42 - 00:41:46] 其实是我和我的用户
[00:41:46 - 00:41:48] 其实可能是差异非常大的
[00:41:48 - 00:41:49] 就大家想的那个
[00:41:49 - 00:41:50] 想要达成的效果不一样
[00:41:50 - 00:41:51] 我们的用户
[00:41:51 - 00:41:52] 其实他不在意
[00:41:52 - 00:41:54] 这个价格是不是真实的
[00:41:54 - 00:41:57] 或者是不是真的怎么样来的
[00:41:57 - 00:41:58] 他在意的其实是
[00:41:58 - 00:41:59] 他要订票就便宜嘛
[00:41:59 - 00:42:00] 对吧
[00:42:00 - 00:42:01] 你怎么搞得过来
[00:42:01 - 00:42:03] 这张票便宜就行了
[00:42:03 - 00:42:04] 他心里觉得便宜
[00:42:04 - 00:42:06] 交互就是让我吃了很多的这种
[00:42:06 - 00:42:08] 就是我当时就非常想证明
[00:42:08 - 00:42:10] 我当时就非常想证明
[00:42:10 - 00:42:11] 就是说我是真的
[00:42:11 - 00:42:12] 替你去点开了booking
[00:42:12 - 00:42:14] 你看booking是这个价格
[00:42:14 - 00:42:16] 我又真的替你点开了那个XP
[00:42:16 - 00:42:17] 你看他来一笔
[00:42:17 - 00:42:18] 是不是这个更便宜
[00:42:18 - 00:42:20] 我当时特别想证明这件事情
[00:42:20 - 00:42:21] 然后发现我的用户其实也
[00:42:21 - 00:42:24] 没那么讲的耐心
[00:42:24 - 00:42:26] 就是看我在那操作一个小时的屏幕
[00:42:26 - 00:42:27] 然后把它证明了
[00:42:27 - 00:42:29] 确实这么多个网站的评测
[00:42:29 - 00:42:30] 对
[00:42:30 - 00:42:32] 所以我觉得这就是
[00:42:32 - 00:42:34] 每个人有巨大的bias
[00:42:34 - 00:42:36] 就是你可能觉得这个交互好
[00:42:36 - 00:42:37] 然后他觉得那个交互好
[00:42:37 - 00:42:39] 我的一个主观感受是
[00:42:39 - 00:42:41] 二十五年的下半年
[00:42:41 - 00:42:42] 其实大家的这个产品上的release
[00:42:42 - 00:42:45] 特别是那种the world's first
[00:42:45 - 00:42:46] 然后入口机的这种release
[00:42:46 - 00:42:48] 就其实是在变
[00:42:48 - 00:42:50] 变少了
[00:42:50 - 00:42:52] 我觉得那种很傻瓜式的这种
[00:42:52 - 00:42:52] 就一个query
[00:42:52 - 00:42:54] 然后就是一个一个一个
[00:42:54 - 00:42:55] Agen结果的
[00:42:55 - 00:42:55] 它在变少
[00:42:55 - 00:42:57] 大家都逐渐在找一些
[00:42:57 - 00:42:57] 细分的场景
[00:42:57 - 00:42:59] 然后也有一些
[00:42:59 - 00:43:01] 我估计很多人
[00:43:01 - 00:43:02] 也在传一些大货
[00:43:02 - 00:43:04] 对可能明年会看到
[00:43:04 - 00:43:05] 更好的招呼
[00:43:05 - 00:43:06] 就是形态出来
[00:43:06 - 00:43:08] 然后比如说
[00:43:08 - 00:43:10] 我最近其实在用
[00:43:10 - 00:43:11] 那个语音输入法
[00:43:11 - 00:43:13] 那个GLM那个
[00:43:13 - 00:43:13] 制谱
[00:43:13 - 00:43:15] 对制谱的那个输入法
[00:43:15 - 00:43:15] 我在用
[00:43:15 - 00:43:17] 然后我觉得那时候
[00:43:17 - 00:43:18] 是一个会改变
[00:43:18 - 00:43:20] 我日常使用习惯的
[00:43:20 - 00:43:20] 一个场景
[00:43:20 - 00:43:21] 对
[00:43:21 - 00:43:23] 所以产品的优化
[00:43:23 - 00:43:25] 就最好的playground
[00:43:25 - 00:43:27] 永远是真实世界
[00:43:27 - 00:43:29] 其实我有点想回到
[00:43:29 - 00:43:30] 就是evaluation这个话题
[00:43:30 - 00:43:32] 就刚天宝其实提到有一点
[00:43:32 - 00:43:34] 就是我非常想要继续去聊
[00:43:34 - 00:43:35] 就是天宝说
[00:43:35 - 00:43:37] 如果是一个人类的神童
[00:43:37 - 00:43:39] 比如说他维系下特别好
[00:43:39 - 00:43:40] 他大概就是个很聪明的人
[00:43:40 - 00:43:41] 他可能数学
[00:43:41 - 00:43:44] 可能逻辑这些都会非常好
[00:43:44 - 00:43:47] 但是这是我们现在看到的
[00:43:47 - 00:43:49] 就是AI或者至少是GLM的AI
[00:43:49 - 00:43:50] 很欠缺的
[00:43:50 - 00:43:51] 对吧
[00:43:51 - 00:43:52] 这个其实有一个词叫这个jack
[00:43:52 - 00:43:54] 就是说是锯齿状的伶俐
[00:43:54 - 00:43:57] 所以我觉得这个其实回到学术研究来说
[00:43:57 - 00:43:59] 就是回到就是我觉得学术研究
[00:43:59 - 00:44:01] 你要去做evaluation
[00:44:01 - 00:44:02] 你得有一个
[00:44:02 - 00:44:06] 就是有一个你想要去evaluate的hypothesis
[00:44:06 - 00:44:07] 你想去evaluate假设是什么
[00:44:07 - 00:44:08] 我觉得一个很重要的
[00:44:08 - 00:44:10] 可能我们想要去evaluate的假设
[00:44:10 - 00:44:11] 就是模型的一致性
[00:44:11 - 00:44:13] 或智能的一致性
[00:44:13 - 00:44:14] 对吧
[00:44:14 - 00:44:15] 这个东西是一个你可以
[00:44:15 - 00:44:18] 通过严格控制你的setting
[00:44:18 - 00:44:20] 来去evaluate的东西
[00:44:20 - 00:44:21] 就是一致性确实是一个很大的问题
[00:44:21 - 00:44:23] 你就比如说就现在大家在用很多工具
[00:44:23 - 00:44:24] 可能会就比如说
[00:44:24 - 00:44:25] coding 对吧
[00:44:25 - 00:44:27] coding agent 这个我现在常用
[00:44:27 - 00:44:28] 但经常有个现象就是
[00:44:29 - 00:44:30] 比如说他可能会
[00:44:30 - 00:44:32] 好多次哪里一个不存在的 library
[00:44:32 - 00:44:33] 他去写他
[00:44:33 - 00:44:35] 但假如你同一个模型你去问他
[00:44:36 - 00:44:37] biden 有这个 library 吗
[00:44:37 - 00:44:38] 他是知道没有的
[00:44:38 - 00:44:39] 对所以就是
[00:44:40 - 00:44:41] 他会存在这样的
[00:44:41 - 00:44:43] 就是 in consistency
[00:44:44 - 00:44:45] 我觉得 in consistency
[00:44:45 - 00:44:45] 其实也是就是
[00:44:45 - 00:44:47] 放话一个很重要的问题
[00:44:47 - 00:44:48] 就如果你能永远做到 consistency
[00:44:49 - 00:44:50] 那你自然就会带来放话
[00:44:50 - 00:44:51] 要说白就是
[00:44:51 - 00:44:54] 当你知道了你不存在这个library
[00:44:54 - 00:44:56] 你有一致性的话
[00:44:56 - 00:44:58] 那就就导致了你去写课语的时候
[00:44:58 - 00:44:59] 你不可能去写一个不存在的library
[00:44:59 - 00:45:01] 所以我就在想就是
[00:45:01 - 00:45:04] 就学术界可能可以
[00:45:04 - 00:45:06] 就是做一些更可控的
[00:45:06 - 00:45:07] 就是evaluation
[00:45:07 - 00:45:11] 来就是针对inconsistent这件事情去做评估
[00:45:11 - 00:45:13] 但这个事情的形式
[00:45:13 - 00:45:15] 不一定是一个静态的benchmark
[00:45:15 - 00:45:18] 它可能是一个更动态的一个setting
[00:45:18 - 00:45:20] 就比如说我举的那个例子
[00:45:20 - 00:45:21] 比如说你去evaluate应该是
[00:45:21 - 00:45:23] 如果你这个模型已经知道
[00:45:23 - 00:45:26] 它一个library不存在
[00:45:26 - 00:45:28] 那它是不是还会去写
[00:45:28 - 00:45:32] 会不会去holocenate
[00:45:32 - 00:45:32] 这个不存在的library
[00:45:32 - 00:45:35] 所以我觉得一个可能的形式是
[00:45:35 - 00:45:37] 就是我们会跳出benchmark这种形式
[00:45:37 - 00:45:41] 然后去做一些这种更行为
[00:45:41 - 00:45:44] 就behavior oriented evaluation
[00:45:44 - 00:45:46] 对我觉得这个可能是
[00:45:46 - 00:45:47] 就是学这一个
[00:45:47 - 00:45:49] 就research一个新的机会
[00:45:49 - 00:45:51] 所以就是感觉跟大家聊完
[00:45:51 - 00:45:51] 我会有种感觉
[00:45:51 - 00:45:52] 就是不管是对于
[00:45:53 - 00:45:54] 产品业界
[00:45:54 - 00:45:55] 还对于学界来说
[00:45:55 - 00:45:58] 好像benchmark都要完了
[00:45:58 - 00:46:02] 觉得似乎我们会需要一些
[00:46:02 - 00:46:04] 就是别样的benchmark的东西
[00:46:04 - 00:46:06] benchmark会有新的形态
[00:46:06 - 00:46:07] 对
[00:46:07 - 00:46:09] 然后社会也在被这种
[00:46:09 - 00:46:10] 新的形态教育着
[00:46:10 - 00:46:12] 我觉得就他们会逐渐接受
[00:46:12 - 00:46:12] 对
[00:46:12 - 00:46:16] 这个就有点像是
[00:46:16 - 00:46:18] 我们以前做软件测试的时候
[00:46:18 - 00:46:20] 其实会先复刻一个软件
[00:46:20 - 00:46:22] 然后你就有了环境
[00:46:22 - 00:46:23] 可以做AD test
[00:46:23 - 00:46:24] 对
[00:46:24 - 00:46:27] 对 然后可能真实世界应该可能永远在一个进化的过程
[00:46:28 - 00:46:33] 然后我觉得我们相比真实世界如果想做一个更好的环境
[00:46:33 - 00:46:36] 我们追求的体育就是希望它的进化速度比真实世界更快
[00:46:37 - 00:46:38] 就像网站的话 我们可能复刻一个网站
[00:46:38 - 00:46:39] 它就没有网络延迟了
[00:46:39 - 00:46:41] 就疯狂的可以训练
[00:46:41 - 00:46:44] 对 然后但是真实的网络就很慢对吧
[00:46:44 - 00:46:48] 然后我们其实想提升的就是可能这个的频率的迭代
[00:46:48 - 00:46:50] 对于我们来说就是最重要的一个环境
[00:46:51 - 00:46:51] 对
[00:46:52 - 00:46:53] 第一个就是真实环境的一个可动
[00:46:53 - 00:46:54] 对
[00:46:56 - 00:46:58] 你可以去模拟这种网络延迟
[00:46:58 - 00:47:00] 就是在你的虚拟环境
[00:47:00 - 00:47:02] 模拟比如说有一定的概率
[00:47:02 - 00:47:03] 系统会崩掉
[00:47:03 - 00:47:03] 对
[00:47:03 - 00:47:05] 对这个确实现在有一些
[00:47:05 - 00:47:07] benchmark在做的
[00:47:07 - 00:47:08] 我觉得这种其实就有点像是
[00:47:08 - 00:47:09] 贴合业界的
[00:47:09 - 00:47:11] 就是要让它的
[00:47:11 - 00:47:12] 意外流行的场景跟
[00:47:12 - 00:47:14] 你实际的部署场景
[00:47:14 - 00:47:17] 更接近这种感觉
[00:47:17 - 00:47:18] 有API就经常崩
[00:47:18 - 00:47:19] 我觉得API崩的
[00:47:19 - 00:47:20] 其实比网页崩的还要频
[00:47:20 - 00:47:21] 对
[00:47:21 - 00:47:24] 而确实就是
[00:47:24 - 00:47:26] 一个benchmark的生命周期
[00:47:26 - 00:47:27] 在也在变短了
[00:47:27 - 00:47:31] 就是一个是就是机座的技术是在很快的发展的
[00:47:31 - 00:47:36] 然后再有就是在业界我们发现用户的行为也是在不断的很快的变化
[00:47:36 - 00:47:45] 因为我觉得现在的人可能每天确实在暴露在就是就各种这个非常变化非常大的这种信息下
[00:47:45 - 00:47:45] 对吧
[00:47:45 - 00:47:48] 然后他的使用任何产品的习惯
[00:47:48 - 00:47:52] 然后去去去做事情的方式都会在剧烈的变化
[00:47:52 - 00:47:53] 导致我们其实
[00:47:53 - 00:47:55] 确实需要一个
[00:47:55 - 00:47:58] 非常能够skill的评测
[00:47:58 - 00:47:59] 对吧
[00:47:59 - 00:48:00] 就当下用户
[00:48:00 - 00:48:02] 反馈好坏的一个system
[00:48:02 - 00:48:03] 对
[00:48:03 - 00:48:04] 而不只是一个
[00:48:04 - 00:48:06] 很静态的benchmark
[00:48:06 - 00:48:08] 人的变化
[00:48:08 - 00:48:09] 这个实际上非常明显
[00:48:09 - 00:48:10] 其实就是那个
[00:48:10 - 00:48:11] with resenting在变
[00:48:11 - 00:48:13] 就是网络热词
[00:48:13 - 00:48:14] 就是大家的语言学在变
[00:48:14 - 00:48:15] 就是以前这件事
[00:48:15 - 00:48:16] 就代表这件
[00:48:16 - 00:48:17] 慢慢这个词
[00:48:17 - 00:48:18] 就有了其他的意思
[00:48:18 - 00:48:19] 然后呢实际上
[00:48:19 - 00:48:20] 我们如果有一个
[00:48:20 - 00:48:22] 固定不变的一个
[00:48:22 - 00:48:24] 关于意思的一个表达空间
[00:48:24 - 00:48:26] 其实它的指定就是意义那边
[00:48:26 - 00:48:26] 对
[00:48:26 - 00:48:30] 然后这个呢就需要依赖
[00:48:30 - 00:48:32] 大量的现在的人
[00:48:32 - 00:48:34] 到底什么样的社会状态的一个搜集的
[00:48:34 - 00:48:35] 现在跟得上这种点
[00:48:35 - 00:48:39] 这个事其实就是我之前看过
[00:48:39 - 00:48:41] 其实人的这个
[00:48:41 - 00:48:43] 注意力其实在一件事上
[00:48:43 - 00:48:44] 一个词上它是
[00:48:44 - 00:48:46] 快速的
[00:48:46 - 00:48:48] 时间变短了
[00:48:48 - 00:48:51] 这个的原因就是因为我们奔入了
[00:48:51 - 00:48:52] 就往整个系统里面奔入了
[00:48:53 - 00:48:54] 大量的信息
[00:48:54 - 00:48:56] 我只要放入大量的信息
[00:48:56 - 00:48:59] 大概在某一件事情上的注意力就会
[00:48:59 - 00:49:00] 变短
[00:49:00 - 00:49:02] 对然后一件事情从它能够
[00:49:02 - 00:49:05] 被很长久的留存下来的
[00:49:05 - 00:49:07] 可能性就会变小
[00:49:07 - 00:49:08] 对
[00:49:08 - 00:49:09] 对是
[00:49:09 - 00:49:14] 人年纪越大越觉得时间过得快
[00:49:14 - 00:49:15] 嗯
[00:49:15 - 00:49:17] 因为每多的一年变成了
[00:49:17 - 00:49:20] 人生的可能像我三十分之一
[00:49:20 - 00:49:22] 小时候一年就是人生的可能
[00:49:22 - 00:49:22] 七分之一
[00:49:22 - 00:49:24] 我说到这个商业模式
[00:49:24 - 00:49:25] 其实我想跟大家聊的是
[00:49:25 - 00:49:27] 你看那个过去的互联网时代
[00:49:27 - 00:49:28] 大的商业模式
[00:49:28 - 00:49:29] 其实就有两类了
[00:49:29 - 00:49:30] 就在CDR
[00:49:30 - 00:49:32] 就谷歌这种广告付费
[00:49:32 - 00:49:35] 然后另外的就是这种SaaS付费
[00:49:35 - 00:49:37] 然后订阅
[00:49:37 - 00:49:40] 订阅就是给这种工具型的
[00:49:40 - 00:49:41] 对 三种商业模式
[00:49:41 - 00:49:43] 然后还有一种就是交易抽用
[00:49:43 - 00:49:44] 电商是比较典型
[00:49:44 - 00:49:46] 然后电商还要履行
[00:49:46 - 00:49:48] 我们履行也是这种交易付费
[00:49:48 - 00:49:49] Commission fee
[00:49:49 - 00:49:50] Commission fee
[00:49:50 - 00:49:51] 对 其实主要就是三种模式
[00:49:51 - 00:49:53] 对agent来说的话
[00:49:53 - 00:49:55] 可能是那商业模式适合吧
[00:49:55 - 00:49:57] 或者说是那商业模式的抢走
[00:49:57 - 00:50:00] 这个其实是一个很大的问题
[00:50:00 - 00:50:02] 就是很多人都在讨论这个事情
[00:50:02 - 00:50:05] 但我因为我背景更多还是在学术
[00:50:05 - 00:50:07] 所以这方面其实我是想要请教一下
[00:50:07 - 00:50:08] 就是念一
[00:50:08 - 00:50:11] 就是你是怎么看待这个事情的
[00:50:11 - 00:50:12] 因为很多人说
[00:50:12 - 00:50:15] 就是agent一定是会去挑战传统广告模式
[00:50:15 - 00:50:17] 就当你做agent做入口的时候
[00:50:17 - 00:50:17] 广告模式
[00:50:17 - 00:50:20] 因为你看内容的人
[00:50:20 - 00:50:22] 从人变成了agent
[00:50:22 - 00:50:24] 所以导致广告模式会失效
[00:50:24 - 00:50:25] 所以这时候我们可能会需要
[00:50:25 - 00:50:28] 一个新的模式
[00:50:28 - 00:50:29] 那这个新的模式应该是什么样的
[00:50:29 - 00:50:32] 其实我
[00:50:32 - 00:50:36] 我其实在agent的广告模式里面
[00:50:36 - 00:50:36] 我自己想不清楚
[00:50:36 - 00:50:39] 所以其实我就很难碰这个事情
[00:50:39 - 00:50:41] 所以我们看到其实一个perplexity
[00:50:41 - 00:50:42] 是直接挑战顾客的
[00:50:42 - 00:50:44] 然后等他收的是订阅费
[00:50:44 - 00:50:46] 然后就变成了可能少部分
[00:50:46 - 00:50:48] 愿意付订阅费的人才愿意用这样的服务
[00:50:48 - 00:50:49] 然后在这样的服务里面
[00:50:49 - 00:50:52] 我们又算起来就是其实呃
[00:50:52 - 00:50:53] 在托特拉Z这个产品里面
[00:50:53 - 00:50:55] 那个人流失的他的广告费
[00:50:56 - 00:50:59] 的部分远远比他赚到的订阅费要高的多嘛
[00:51:00 - 00:51:02] 所以就这个商业模式其实就不成立
[00:51:02 - 00:51:05] 就从已经这个世界就是除了 AI 公司
[00:51:05 - 00:51:06] 互联网公司以外
[00:51:06 - 00:51:08] 其他的所有广告商都不忍痛
[00:51:08 - 00:51:09] 这样的这种商业模式
[00:51:09 - 00:51:10] 导致的一个这样的结果
[00:51:11 - 00:51:12] 然后所以我们自己选旅行
[00:51:12 - 00:51:14] 当时觉得一个主要的一个
[00:51:14 - 00:51:17] 好处是因为旅行是承认这样的商业模式
[00:51:17 - 00:51:19] 它是为这个交易来去奉用的
[00:51:19 - 00:51:21] 然后在旅行里面的话
[00:51:21 - 00:51:24] 我们觉得就很像旅行社
[00:51:24 - 00:51:26] 旅行社就叫Travel Agents
[00:51:26 - 00:51:28] 以前大家就是比较付费的
[00:51:28 - 00:51:29] 所以大家就觉得
[00:51:29 - 00:51:32] 再往后退一层
[00:51:32 - 00:51:34] 我觉得AI和互联网很不一样
[00:51:34 - 00:51:36] 互联网其实是已经把信息链接做完了
[00:51:36 - 00:51:38] 链接信息本身那一刻
[00:51:38 - 00:51:39] 其实它才能赚到广告
[00:51:39 - 00:51:42] 信息广告费是直接对应的一种传言模式
[00:51:42 - 00:51:45] 然后Agent输出了一种智力
[00:51:45 - 00:51:48] 智力在人类社会永远都是一种
[00:51:48 - 00:51:48] 劳动力付费
[00:51:48 - 00:51:51] 大家付的都是一个人的工资
[00:51:51 - 00:51:52] 类似于这样的一种东西
[00:51:52 - 00:51:56] 要么就是付的是一种中介费
[00:51:56 - 00:51:58] 就是买卖房子的中介费
[00:51:58 - 00:52:00] 劳动力在人类社会里面
[00:52:00 - 00:52:02] 约定俗成的一般都是这两种
[00:52:02 - 00:52:04] 所以其实我感觉
[00:52:04 - 00:52:06] 更接近就是软件里面的
[00:52:06 - 00:52:09] 订阅值和抽用
[00:52:09 - 00:52:10] 这两种概念
[00:52:10 - 00:52:12] 所以这两种概念
[00:52:12 - 00:52:15] 可能是更适合AI的
[00:52:15 - 00:52:18] 所以现在爱命的travel agent
[00:52:18 - 00:52:20] 也是订阅模式
[00:52:20 - 00:52:22] 我们是主要是现在是那个
[00:52:22 - 00:52:23] 抽用
[00:52:23 - 00:52:25] 是平台的抽成
[00:52:25 - 00:52:26] 对平台抽成
[00:52:26 - 00:52:30] 就是比如说一些酒店
[00:52:30 - 00:52:32] 然后再返回来给你一个分
[00:52:32 - 00:52:34] 就是跟传统的travel
[00:52:34 - 00:52:34] 是一样的
[00:52:34 - 00:52:36] 我觉得就是我们的一个思路
[00:52:36 - 00:52:39] 就是我们想赚一个行业的钱的时候
[00:52:39 - 00:52:41] 作为一个很小的新的公司
[00:52:41 - 00:52:43] 不想去打破那个行业
[00:52:43 - 00:52:45] 已经有的那个利润分费模式嘛
[00:52:45 - 00:52:48] 以前他们就是那么分的
[00:52:48 - 00:52:49] 对我们就那么赚
[00:52:49 - 00:52:51] 说到这儿
[00:52:51 - 00:52:54] 就是突然想问那个豆包的问题
[00:52:54 - 00:52:57] 就是说那个
[00:52:57 - 00:52:58] 前一阵那个豆包手机嘛
[00:52:58 - 00:52:59] 大家也都知道
[00:52:59 - 00:53:00] 就是很多人说
[00:53:00 - 00:53:03] 他挑战了这个传统的商业模式
[00:53:03 - 00:53:05] 然后以及一些相关的秩序吧
[00:53:05 - 00:53:07] 然后但这个东西
[00:53:07 - 00:53:08] 从我们GYA这种角度来讲
[00:53:08 - 00:53:09] 其实做的
[00:53:09 - 00:53:10] 他的技术我们背后
[00:53:10 - 00:53:11] 肯定是非常认可的
[00:53:11 - 00:53:12] 就这个是没有任何问题
[00:53:12 - 00:53:14] 所以这个我们可能主要讨论
[00:53:14 - 00:53:15] 还是讨论一下
[00:53:15 - 00:53:18] 它这个东西的商业角度
[00:53:18 - 00:53:18] 以及它
[00:53:18 - 00:53:20] 就是从一些人类社会角度
[00:53:20 - 00:53:22] 看它到底有多大潜力
[00:53:22 - 00:53:23] 还是说你觉得
[00:53:23 - 00:53:24] 这上面有没有可能
[00:53:24 - 00:53:25] 做一些修改
[00:53:25 - 00:53:26] 或者说这个东西
[00:53:26 - 00:53:27] 整个可能
[00:53:27 - 00:53:28] 有哪种可能性吧
[00:53:28 - 00:53:28] 我觉得
[00:53:28 - 00:53:29] 对
[00:53:29 - 00:53:31] 你自己的感觉
[00:53:31 - 00:53:32] 就是感觉需要
[00:53:32 - 00:53:34] 一种表征的方式
[00:53:34 - 00:53:36] 就把以前的广告
[00:53:36 - 00:53:37] 推荐的那种
[00:53:37 - 00:53:39] 点一点滑一滑
[00:53:39 - 00:53:41] 留下那种信息
[00:53:41 - 00:53:42] 大数据的信息
[00:53:42 - 00:53:43] 变成一个就是
[00:53:43 - 00:53:47] 我可能也只能在
[00:53:47 - 00:53:48] 我自己熟悉的旅行一面举例
[00:53:48 - 00:53:49] 对旅行的话
[00:53:49 - 00:53:51] 用户其实很多时候也告诉我
[00:53:51 - 00:53:52] 他可能想去海岛
[00:53:52 - 00:53:54] 然后掌握了这个信息
[00:53:54 - 00:53:56] 就比其他的任何广告公司掌握的
[00:53:56 - 00:53:58] 可能他在某个短视频
[00:53:58 - 00:53:59] 去个海岛的视频上
[00:53:59 - 00:54:00] 多听有了几秒的东西
[00:54:00 - 00:54:01] 要掌握得更充分
[00:54:01 - 00:54:03] 所以这种信息
[00:54:03 - 00:54:06] 如果我们能很好地把它表达得好
[00:54:06 - 00:54:07] 我们其实就能更好地搜索
[00:54:07 - 00:54:09] 更好地搜索
[00:54:09 - 00:54:11] 就能更好地帮他提供到这个货
[00:54:11 - 00:54:13] 然后就把这个货就更容易卖出去
[00:54:13 - 00:54:15] 但我这里面的疑问就是
[00:54:15 - 00:54:15] 我们这种匹配效率
[00:54:15 - 00:54:17] 是不是真的能比以前的匹配效率更好
[00:54:17 - 00:54:19] 我就是想到就是
[00:54:19 - 00:54:21] 我们的产品也涉及到用户
