[00:00:06--00:00:07] 开了一扇窗户
[00:28:05--00:28:06] 效率也不一样
[00:28:06--00:28:09] 处理数据的速度也不一样
[00:28:09--00:28:12] 可能准确率也可能不一样
[00:28:12--00:28:13] 高低反正就是
[00:28:13--00:28:14] 这个算力需要的大吗
[00:28:14--00:28:16] 那个时候机器学习算法不像现在
[00:28:16--00:28:17] 还好
[00:28:17--00:28:19] 也需要
[00:28:19--00:28:21] 其实是找到了一个场景
[00:28:21--00:28:22] 所以你们当时一出来创业
[00:28:22--00:28:24] 就是有一个确定性的场景的
[00:28:24--00:28:25] 刚是出来的时候
[00:28:25--00:28:26] 其实是在做这个事情
[00:28:26--00:28:28] 但本质上我们是在做背后的
[00:28:28--00:28:30] 这个核心的技术
[00:28:30--00:28:31] 就怎么样用数据
[00:28:31--00:28:33] 机器学习的算法
[00:28:33--00:28:34] 去构建这个模型
[00:28:34--00:28:36] 它本身跟大模型现在解决这个问题
[00:28:36--00:28:37] 是非常类似的
[00:28:37--00:28:39] 只不过是用了一些上一代的
[00:28:39--00:28:41] 像机器学习的办法
[00:28:41--00:28:42] 那个时候赚钱吗
[00:28:42--00:28:43] 那时候也挣钱
[00:28:43--00:28:45] 但肯定也还是亏着的
[00:28:45--00:28:46] 也是亏着的
[00:28:46--00:28:48] 但是那时候也开始融资了对吧
[00:28:48--00:28:50] 对我们出来学校
[00:28:50--00:28:53] 办完科技成果转化之后
[00:28:53--00:28:57] 第一笔天使投资很快就拿到了
[00:28:57--00:28:58] 那时候好拿吗
[00:28:58--00:28:59] 还好
[00:28:59--00:29:00] 怎么跟他们讲这个事
[00:29:00--00:29:02] 因为这个事情就是
[00:29:02--00:29:03] 我们跟他讲的
[00:29:03--00:29:05] 其实就刚才说的那个逻辑
[00:29:05--00:29:06] 首先第一我们是
[00:29:06--00:29:08] 核心我们是要做认知智能
[00:29:08--00:29:10] 做下一代人工智能技术
[00:29:10--00:29:11] 然后其次在这个基础上
[00:29:11--00:29:12] 我们找到一个场景
[00:29:12--00:29:14] 有这样一个产品和平台
[00:29:14--00:29:16] 它也有非常不错的用户基础
[00:29:16--00:29:17] 和市场基础
[00:29:17--00:29:18] 我们已经在学校里面
[00:29:18--00:29:20] 已经服务了这么多客户
[00:29:20--00:29:21] 所以这个事情大家一看
[00:29:21--00:29:22] 已经有了
[00:29:22--00:29:24] 都不需要等你去做产品了
[00:29:24--00:29:26] 是一个相对确定性的事情
[00:29:26--00:29:28] 19年到XGPT真正出来
[00:29:28--00:29:31] 你们中间一直在做这一件事情
[00:29:31--00:29:32] 倒没有
[00:29:32--00:29:34] 其实这个中间还是变化很大的
[00:29:34--00:29:36] 就是19年我们成立公司
[00:29:36--00:29:37] 其实那个时候
[00:29:37--00:29:38] 我们就在做相关一些
[00:29:38--00:29:40] 机器学习算法的研究
[00:29:40--00:29:42] 其实之前大模型的上一代
[00:29:42--00:29:43] 就是我们现在叫小模型
[00:29:43--00:29:46] 或者叫早期的预训练模型
[00:29:46--00:29:48] 比如说像Berta什么这类的东西
[00:29:48--00:29:49] 我们其实也一直在用
[00:29:49--00:29:50] 一直在研究
[00:29:50--00:29:52] 我们自己也做一些算法的研究
[00:29:52--00:29:54] 这个是用它的东西
[00:29:54--00:29:55] 自己训练一些模型
[00:29:55--00:29:57] 所以那个时候就关注到XGPT
[00:29:57--00:29:59] XGPT1是18年
[00:29:59--00:30:01] 19年发的是XGPT2
[00:30:01--00:30:02] 是
[00:30:02--00:30:04] 其实XGPT2已经在学术界有些影响了
[00:30:04--00:30:06] 大家争论其实比较多
[00:30:06--00:30:07] 讨论比较多
[00:30:07--00:30:08] 我们也一直在关注
[00:30:08--00:30:10] 这个技术到底行还是不行
[00:30:10--00:30:12] 其实是XGPT3 2020年发布
[00:30:12--00:30:14] 是个分水岭
[00:30:14--00:30:16] 是很大的分水岭
[00:30:16--00:30:17] 正好是公司一周年
[00:30:17--00:30:18] 也是6月
[00:30:18--00:30:20] 对它发布应该是5月底吧
[00:30:20--00:30:21] 还是6月初
[00:30:21--00:30:22] 我忘了
[00:30:22--00:30:23] 大概那个时间
[00:30:23--00:30:24] 就是公司大概一周年的时间
[00:30:24--00:30:25] 正好
[00:30:25--00:30:27] 说我们请詹院士
[00:30:27--00:30:30] 因为我们的战略的顾问
[00:30:30--00:30:31] 请他来公司
[00:30:31--00:30:33] 我们一起座谈聊一聊
[00:30:33--00:30:34] 那时候大家还比较轻松
[00:30:34--00:30:36] 就是没有现在这么倔
[00:30:36--00:30:37] 那时候多少人
[00:30:37--00:30:40] 那个时候大概几十个人
[00:30:40--00:30:41] 五六十人
[00:30:41--00:30:43] 肯定不到100人
[00:30:43--00:30:44] 人不多
[00:30:44--00:30:45] 然后请詹院士来
[00:30:45--00:30:46] 我们内部就讨论说
[00:30:46--00:30:47] 请詹院士来
[00:30:47--00:30:49] 你不能跟他闲哈了
[00:30:49--00:30:52] 还是得问他一些有意思的问题
[00:30:52--00:30:54] 他能帮我们解答的一些问题
[00:30:54--00:30:55] 我当然就说
[00:30:55--00:30:57] 因为我也在关注市面上很多的
[00:30:57--00:30:59] 一些最新的研究进展
[00:30:59--00:31:00] 我说
[00:31:00--00:31:02] 前段时间有一个东西很火
[00:31:02--00:31:03] 叫GPT-3
[00:31:03--00:31:05] 出现了之后很有意思
[00:31:05--00:31:07] 我就想问一下
[00:31:07--00:31:10] 这个詹院士怎么看GPT-3
[00:31:10--00:31:11] 当时我记得特别清楚
[00:31:11--00:31:12] 这个是我说的
[00:31:12--00:31:13] 后来来了以后
[00:31:13--00:31:14] 这个詹院士来了以后
[00:31:14--00:31:16] 还真问了讨论了这个问题
[00:31:16--00:31:18] 但是其实给出的评价还是非常高的
[00:31:18--00:31:20] 就对GPT-3的评价非常高
[00:31:20--00:31:22] 他说是这个积极学习
[00:31:22--00:31:27] 一个比较里程碑式的一个进步
[00:31:27--00:31:29] 就有一种新的方式
[00:31:29--00:31:32] 但是他当时还是除了肯定这个事情以外
[00:31:32--00:31:34] 他还是担心一个问题
[00:31:34--00:31:35] 就是刚才说的那个问题
[00:31:35--00:31:37] 他其实还是不知道自己不知道
[00:31:37--00:31:40] 甚至连他知道自己不知道都不行
[00:31:40--00:31:41] 对吧
[00:31:41--00:31:43] 因为那个时候你看GPT-3
[00:31:43--00:31:44] 那个时候大家都很开玩笑
[00:31:44--00:31:46] 说是一个就怎么说
[00:31:46--00:31:49] 他会一本正经的胡说八道
[00:31:49--00:31:50] 就是那个时候开始的
[00:31:50--00:31:51] 说这个话
[00:31:51--00:31:53] 你问他什么任何问题
[00:31:53--00:31:55] 他都会给你编一段答案出来
[00:31:55--00:31:56] 他其实不知道
[00:31:56--00:31:58] 但是他会编一个答案给你
[00:31:58--00:31:59] 对吧
[00:31:59--00:32:01] 所以他实际上就是不知道自己不知道
[00:32:01--00:32:02] 对吧
[00:32:02--00:32:04] 所以他给了很高的一个评价
[00:32:04--00:32:06] 说这个是个很好的一个进步
[00:32:06--00:32:09] 但是他仍然没有解决那个最本质的问题
[00:32:09--00:32:11] 其实是这已经是个很高的评价了
[00:32:11--00:32:13] 然后我们那个时候就开始关注这个事
[00:32:13--00:32:14] 做这个事情
[00:32:14--00:32:17] 开始用他的这个技术方案了吗
[00:32:17--00:32:19] 对我们就研究说这个预训练这个事情
[00:32:19--00:32:21] 就是GPT这个事情
[00:32:21--00:32:23] 自回归的预训练这个事情
[00:32:23--00:32:26] 他和我们之前用的像Berta类似的
[00:32:26--00:32:28] 这样到底有什么区别
[00:32:28--00:32:31] 他能不能干掉这个原来的这种方式
[00:32:31--00:32:33] 我们就开始研究这个算法相关的这些事情
[00:32:33--00:32:34] 做了很多的东西
[00:32:34--00:32:38] 所以我当然记得是20年年中间
[00:32:38--00:32:39] GPT-3发布
[00:32:39--00:32:42] 然后我们自己的GM这算法是在21年
[00:32:42--00:32:46] 大概我们把它相对比较成熟的成型
[00:32:46--00:32:47] 做了一年
[00:32:47--00:32:48] 研究嘛
[00:32:48--00:32:49] 对
[00:32:49--00:32:50] 做了一年差不多一年吧
[00:32:50--00:32:52] 所以那个时候还是follow了对吧
[00:32:52--00:32:53] 就是很快做了决定
[00:32:53--00:32:55] 对还是跟进了
[00:32:55--00:32:56] 我研究嘛
[00:32:56--00:32:57] 这个大家很喜欢的
[00:32:57--00:32:59] 很喜欢这些新的东西
[00:32:59--00:33:00] 我们去研究这些新的东西
[00:33:00--00:33:02] 但确实不一样的地方就在于
[00:33:02--00:33:03] 那个时候就是说
[00:33:03--00:33:04] 呃
[00:33:04--00:33:08] 业内其实并没有像现在这么高度统一的认为
[00:33:08--00:33:11] 那个GPT那个路线就是OK的
[00:33:11--00:33:12] 嗯
[00:33:12--00:33:13] 所以那个时候大家还是在想说
[00:33:13--00:33:17] 哎那有没有什么办法去走出自己新的创新的一些东西
[00:33:17--00:33:18] 嗯
[00:33:18--00:33:19] 所以GM是那个时候定下来的
[00:33:19--00:33:20] 嗯
[00:33:20--00:33:23] 所以GM是在Berta和GPT之间
[00:33:23--00:33:26] 我们当时想综合这两种算法的这个优势
[00:33:26--00:33:27] 哦
[00:33:27--00:33:28] 是一个综合性的
[00:33:28--00:33:29] 对哦
[00:33:29--00:33:32] 所以它出来这这个算法本身它是非常典型的一种
[00:33:32--00:33:34] 带自己典型特征的这样一个算法
[00:33:34--00:33:35] 嗯
[00:33:35--00:33:36] 所以那个时候是开始在做这个事情
[00:33:36--00:33:39] GPT和Berta它的差异是什么
[00:33:39--00:33:40] Berta它是一个双向注意力
[00:33:40--00:33:41] 嗯
[00:33:41--00:33:43] 它同样是基于transformer做注意力计算
[00:33:43--00:33:45] 比如你给给一个句子一个文本
[00:33:45--00:33:47] 它可以从前算到后
[00:33:47--00:33:49] 同时它也从后算到前
[00:33:49--00:33:51] GPT大家知道这是单向的嘛
[00:33:51--00:33:52] 嗯
[00:33:52--00:33:54] 我只看前面预测下一个预测下一个预测下一个预测下一个
[00:33:54--00:33:56] 它是单向这样主线线性的生成的
[00:33:56--00:33:58] Berta是把中间抠掉
[00:33:58--00:34:00] 就我让它预测中间
[00:34:00--00:34:01] 那预测中间呢
[00:34:01--00:34:04] 我既要看前面也要看后面
[00:34:04--00:34:05] 所以它是双向的
[00:34:05--00:34:06] 嗯
[00:34:06--00:34:10] 所以当当时这个大家很形象的描述说
[00:34:10--00:34:12] Berta就是个填空机器人
[00:34:12--00:34:14] GPT呢就是一个蹦瓷器
[00:34:14--00:34:15] 啊
[00:34:15--00:34:16] 就一个往外蹦一个往下蹦
[00:34:16--00:34:17] 预测
[00:34:17--00:34:18] 预测下一个
[00:34:18--00:34:19] 它其实都是预测
[00:34:19--00:34:22] 只不过是双向往中间预测和单向往后预测
[00:34:22--00:34:24] 那你们GM是怎么综合它们两个的
[00:34:24--00:34:25] GM的话综合的方式
[00:34:25--00:34:26] 其实还挺巧的
[00:34:26--00:34:29] 我们把这个问题做了一个统一
[00:34:29--00:34:31] 就是你看它原来不是往中间预测
[00:34:31--00:34:33] Berta往两向往中间预测嘛
[00:34:33--00:34:35] GPT是从前往后这样预测嘛
[00:34:35--00:34:38] 然后我们把这个两向往中间预测这件事情
[00:34:38--00:34:41] 把这个词的顺序调一下
[00:34:41--00:34:43] 它实际上也变成了单向往后预测
[00:34:43--00:34:44] 啊
[00:34:44--00:34:45] 一样的
[00:34:45--00:34:47] 所以把这两个模型就这样统一起来了
[00:34:47--00:34:49] 所以当时GM出来的时候
[00:34:49--00:34:51] 在很多效果上
[00:34:51--00:34:52] 最典型的一个特征就是
[00:34:52--00:34:55] 或者说最有优势的一个特征是说
[00:34:55--00:34:57] 它既能做填空体
[00:34:57--00:35:00] 也能做这个续写预测
[00:35:00--00:35:01] 就单向预测这个事情
[00:35:01--00:35:05] 因为当时GPT-3它们做填空体还挺麻烦的
[00:35:05--00:35:08] 它做的没有不好其实
[00:35:08--00:35:11] 所以当时GM出来的时候是综合了这两种能力
[00:35:11--00:35:12] 而且这是第一个
[00:35:12--00:35:14] 就是本身融合了两种方法
[00:35:14--00:35:15] 第二个呢
[00:35:15--00:35:19] 由于它采用了一部分的双向注意力
[00:35:19--00:35:21] 它不是全部的双向注意力
[00:35:21--00:35:23] 是一部分的双向注意力
[00:35:23--00:35:25] 其实取得了一个意外的一个结果
[00:35:25--00:35:27] 是说整个在训练的过程当中
[00:35:27--00:35:29] 它的稳定性更好
[00:35:29--00:35:30] 就大规模训练的时候
[00:35:30--00:35:32] 它稳定性感觉更好
[00:35:32--00:35:35] 就是体感上工程上得到的一个结果
[00:35:35--00:35:37] 然后再一个就是说
[00:35:37--00:35:38] 它训练完了以后
[00:35:38--00:35:42] 这个模型它得到的那个参数矩阵
[00:35:42--00:35:45] 它的分布相对来说比较集中
[00:35:45--00:35:47] 就是它不会特别散
[00:35:47--00:35:48] 所以集中的好处是什么呢
[00:35:48--00:35:50] 我可以做量化的时候
[00:35:50--00:35:52] 精度的损失少
[00:35:52--00:35:53] 这个很好理解
[00:35:53--00:35:54] 比如说你的质域是这么宽的话
[00:35:54--00:35:55] 你要做量化
[00:35:55--00:35:57] 比如说平均把它分八等份
[00:35:57--00:35:59] 每一个域的宽度就很大
[00:35:59--00:36:00] 你一个量化后的结果
[00:36:00--00:36:01] 代表的这个宽度
[00:36:01--00:36:02] 它的精度损失就大
[00:36:02--00:36:05] 但是如果我的分布本身就窄
[00:36:05--00:36:06] 我量化的时候
[00:36:06--00:36:07] 同样是分八等份
[00:36:07--00:36:11] 我每一等份它精度的这个域子就小
[00:36:11--00:36:13] 我的精度相位就更准确一些
[00:36:13--00:36:14] 对吧
[00:36:14--00:36:15] 这是很好理解的一件事情
[00:36:15--00:36:16] 数学上
[00:36:16--00:36:18] 所以这也是一些额外的一些因素
[00:36:18--00:36:21] 所以算法本身还是挺受
[00:36:21--00:36:23] 学术界和产业界的认可
[00:36:24--00:36:26] 到现在大家也还是认可
[00:36:26--00:36:28] GM是读书一致的一个流派
[00:36:28--00:36:31] 然后后来再接着下来
[00:36:31--00:36:32] 这是21年了
[00:36:32--00:36:34] 对21年
[00:36:34--00:36:36] 然后接下来就是22年
[00:36:36--00:36:39] 我们当时就开始决策
[00:36:39--00:36:42] 要不要像GPT-3一样去做一个
[00:36:42--00:36:43] 因为那个时候scanning load
[00:36:43--00:36:44] 还很简单的
[00:36:44--00:36:45] 你参数量翻一倍
[00:36:45--00:36:46] 翻十倍上去
[00:36:46--00:36:48] 你智能水平就啪就上去了
[00:36:48--00:36:49] 对吧
[00:36:49--00:36:50] 大家都相信这个
[00:36:50--00:36:52] 所以那时候就开始决策说
[00:36:52--00:36:53] 我们要不要去用
[00:36:53--00:36:56] GPTM算法去做一个千亿的模型
[00:36:56--00:36:57] 千亿的模型
[00:36:57--00:36:58] 二年
[00:36:58--00:36:59] 二年
[00:36:59--00:37:00] 二年几月份
[00:37:00--00:37:01] 应该是21年底
[00:37:01--00:37:03] 到时你们怎么认知OpenAI
[00:37:03--00:37:05] 其实我们就很关注OpenAI
[00:37:05--00:37:07] 一直在感觉这个公司挺神奇的
[00:37:07--00:37:08] 15年成立
[00:37:08--00:37:10] 然后之前一直在做强化学习
[00:37:10--00:37:13] 突然到18年的时候把强化学习扔了
[00:37:13--00:37:15] 然后开始搞GPT这个事
[00:37:15--00:37:17] 然后开始终身预训练
[00:37:17--00:37:18] 对终身预训练这个事
[00:37:18--00:37:22] 然后依然我个人还是挺喜欢
[00:37:22--00:37:24] 他基本上他的论文也好
[00:37:24--00:37:26] 他的很多的文章也好
[00:37:26--00:37:27] 我都看
[00:37:27--00:37:29] 我觉得他很多的思考还是非常深入的
[00:37:29--00:37:32] 而且确实是很到很到点子上
[00:37:32--00:37:34] 那时候应该觉得他们就是一个研究机构
[00:37:34--00:37:35] 对吗
[00:37:35--00:37:36] 对那个时候因为大家都知道
[00:37:36--00:37:39] 他是当时是很多人投资
[00:37:39--00:37:41] 包括马斯克在内投进来
[00:37:41--00:37:43] 是一个做非盈利的一个机构
[00:37:43--00:37:46] 都觉得他反正就是一个OpenLAB
[00:37:46--00:37:48] 你们当时有没有想也做一个这样的OpenLAB
[00:37:48--00:37:51] 你们做一个中国版的这种OpenAI
[00:37:51--00:37:53] 其实我们的气质就挺像的
[00:37:53--00:37:55] 在另一手就这么想了
[00:37:55--00:37:57] 对其实那个时候就想干这个事情
[00:37:57--00:37:58] 但是你公司已经成立了
[00:37:58--00:38:00] 你不已经不能退回去
[00:38:00--00:38:01] 那肯定还是得有公司的
[00:38:01--00:38:04] 对有公司实体就还是更方便
[00:38:04--00:38:07] 就那个时候就在公司实体里面就讨论说
[00:38:07--00:38:11] 要不要去对齐GPT-3去做这么一个模型的训练
[00:38:11--00:38:12] 投入挺大的
[00:38:12--00:38:13] 投入需要多少钱
[00:38:13--00:38:16] 因为GPT-3当时整个火了之后
[00:38:16--00:38:21] 大家分析它整个的训练成本是2000多万美
[00:38:21--00:38:22] 原
[00:38:22--00:38:23] 对吧
[00:38:23--00:38:25] 那个时候成本就已经这么高
[00:38:25--00:38:27] 然后我们自己要去训练的话
[00:38:27--00:38:32] 估计花费可能也得千万级人民币以上
[00:38:32--00:38:34] 这种水平
[00:38:34--00:38:35] 哪怕我们再节省
[00:38:35--00:38:38] 哪怕我们的成本控制的更好
[00:38:38--00:38:40] 也得也差不多这个水平
[00:38:40--00:38:42] 比如说我们在外面成立了一个公司
[00:38:42--00:38:43] 我们就做成本转化好了
[00:38:43--00:38:44] 只赚钱
[00:38:44--00:38:46] 就是把这个项目卖给客户
[00:38:46--00:38:48] 然后这也是一种做公司的方法
[00:38:48--00:38:49] 对吧
[00:38:49--00:38:50] 为什么还要去追求这种更好的技术
[00:38:50--00:38:51] 你看为什么
[00:38:51--00:38:53] 我们要讲从16年开始那个故事
[00:38:53--00:38:55] 从16年开始那个故事
[00:38:55--00:38:57] 其实就想给大家传递一个信息
[00:38:57--00:39:00] 就是说GPT-3其实不是单纯的说
[00:39:00--00:39:02] 我们就是想成立一个公司去挣钱
[00:39:02--00:39:06] 其实本愿还是在于我们要去探索AGI到底是什么
[00:39:06--00:39:08] 这才是我们的本愿
[00:39:08--00:39:11] 只不过我们觉得在成立一家公司
[00:39:11--00:39:13] 在产业里面去做这件事情
[00:39:13--00:39:18] 它更符合当下的人工智能发展的需求
[00:39:18--00:39:20] 而不是简单的只是做研究
[00:39:20--00:39:22] 也不是简单的去挣钱
[00:39:22--00:39:23] 不是简单的做商业化
[00:39:23--00:39:24] 对
[00:39:24--00:39:26] 其实这个事情它是这样
[00:39:26--00:39:28] 因为你是一个探索的过程
[00:39:28--00:39:32] 技术的往前的演进这件事情其实是一条主旋律
[00:39:32--00:39:34] 你的商业化是另外一条主旋律
[00:39:34--00:39:38] 这两者之间我们认为在人工智能当下的这个生态里头
[00:39:38--00:39:40] 没有办法完全分隔开的
[00:39:40--00:39:44] 就恰好后来OpenAI走出这条路之后
[00:39:44--00:39:46] 你会发现也事实证明就是这样
[00:39:46--00:39:48] 所以当时你们是很喜欢OpenAI的
[00:39:48--00:39:49] 在
[00:39:49--00:39:50] 很关注它
[00:39:50--00:39:52] 20年21年22年
[00:39:52--00:39:53] 是
[00:39:53--00:39:55] 然后你们最后是怎么决策的
[00:39:55--00:39:56] 要不要投入这千万
[00:39:56--00:39:57] 对当时
[00:39:57--00:39:58] 当然当然还有这么多钱吗
[00:39:58--00:40:00] 具体因为我不管财务
[00:40:00--00:40:02] 所以我不太很清楚
[00:40:02--00:40:03] 开玩笑
[00:40:03--00:40:06] 但其实确实这个事情的投入对我们来说还是挺大的
[00:40:06--00:40:08] 风险还是有的
[00:40:08--00:40:10] 所以当时要不要做这个事情
[00:40:10--00:40:13] 其实还是很慎重的考虑了一下
[00:40:13--00:40:16] 最后的决策应该还是就说我们应该做
[00:40:16--00:40:18] 而且必须我们自己来做
[00:40:18--00:40:19] 必须自己来做
[00:40:19--00:40:20] 我们的选择
[00:40:20--00:40:22] 别的选择就是等着看其他人
[00:40:22--00:40:24] 所以我们就很果断的去做
[00:40:24--00:40:26] 当然这个主要还是科学家团队
[00:40:26--00:40:28] 在里面起了很大的一个作用
[00:40:28--00:40:30] 因为之前的GM的研究
[00:40:30--00:40:31] 算法的研究
[00:40:31--00:40:33] 包括刚才说的那些特点
[00:40:33--00:40:36] 都使得我们有这个信心
[00:40:36--00:40:39] 说能把这个一样的一个模型把它训练出来
[00:40:39--00:40:41] 并且性能不会差
[00:40:41--00:40:43] 不会让这个钱打水漂
[00:40:43--00:40:45] 所以最后决策还是要做这个事情
[00:40:45--00:40:46] 我们就投了这个
[00:40:46--00:40:48] 21年12月底到大半年时间
[00:40:48--00:40:52] 一直到22年的7、8月份把它弄完
[00:40:52--00:40:54] 大概9个月时间
[00:40:54--00:40:56] 我们那个blog还挂在网上
[00:40:56--00:40:57] 可以看得到整个这个历程
[00:40:57--00:40:59] 然后又过了三个月
[00:40:59--00:41:00] Church BT就来了
[00:41:00--00:41:02] 对 年底正好22年年底的时候
[00:41:02--00:41:03] 11月30号的时候
[00:41:03--00:41:04] Church BT就上线了
[00:41:04--00:41:08] 其实这个中间这几个月其实还挺
[00:41:08--00:41:10] 我印象挺深刻的
[00:41:10--00:41:11] 我那时候也不在北京
[00:41:11--00:41:12] 我的外地在深圳回不来
[00:41:12--00:41:13] 那个时候我们就
[00:41:13--00:41:15] 因为花了这么大一笔钱
[00:41:15--00:41:17] 我们得去接着去融资
[00:41:17--00:41:18] 跟投资人聊
[00:41:18--00:41:19] 那是第几笔钱了
[00:41:19--00:41:21] 应该是开始融币轮了吧
[00:41:21--00:41:23] 币轮就是第二轮吗
[00:41:23--00:41:24] 对
[00:41:24--00:41:25] 对于你来说
[00:41:25--00:41:26] 第三轮吧
[00:41:26--00:41:27] 第三轮
[00:41:27--00:41:28] 我有点记不太清楚了细节
[00:41:28--00:41:31] 但那个时候就开始跟很多投资人聊
[00:41:31--00:41:32] 聊这个事情
[00:41:32--00:41:33] 然后跟大家讲
[00:41:33--00:41:35] 我们训练了这样一个模型
[00:41:35--00:41:36] 有几笔3
[00:41:36--00:41:37] 我们也训练了一个对标的模型
[00:41:37--00:41:38] 性能很不错
[00:41:38--00:41:39] 我们也把它开源了
[00:41:39--00:41:41] 那个时候我们第一次开源
[00:41:41--00:41:42] 8月份开源这个东西
[00:41:42--00:41:43] 为什么要开源
[00:41:43--00:41:45] 因为我们当时觉得这个东西
[00:41:45--00:41:46] 捏手里
[00:41:46--00:41:47] 你自己捏手里
[00:41:47--00:41:48] 你又没有短时间之内
[00:41:48--00:41:50] 你也没办法把它变成钱
[00:41:50--00:41:51] 而且这个事情刚启动
[00:41:51--00:41:52] 刚开始
[00:41:52--00:41:54] 让更多的人知道这件事情
[00:41:54--00:41:55] 是更重要
[00:41:55--00:41:56] 对吧
[00:41:56--00:41:58] 而且我们要打出我们自己的
[00:41:58--00:42:00] 在国际上的影响力
[00:42:00--00:42:01] 那时候我们都是看了国外
[00:42:01--00:42:02] 看了OpenAI
[00:42:02--00:42:04] 看了国际的这个事情
[00:42:04--00:42:07] 所以开源这种很容易接受的一种文化
[00:42:07--00:42:09] 中美之间现在还没有
[00:42:09--00:42:10] 现在那么复杂
[00:42:10--00:42:12] 所以我们就选择把它开源了
[00:42:12--00:42:14] 开了之后确实影响力非常不错
[00:42:14--00:42:15] 有多不错
[00:42:15--00:42:16] 国外还是非常认可
[00:42:16--00:42:18] 我们当时开完之后
[00:42:18--00:42:19] 应该是那个报告
[00:42:19--00:42:20] 斯坦福尼
[00:42:20--00:42:21] 李飞飞那个报告
[00:42:21--00:42:23] 我忘了是22年还是23年出来
[00:42:23--00:42:24] 应该是22年出来
[00:42:24--00:42:25] 就在我们开源后不久
[00:42:25--00:42:26] 出来那个报告
[00:42:26--00:42:27] 应该是10月份
[00:42:27--00:42:28] 11月份我忘了
[00:42:28--00:42:29] 他那个报告里面
[00:42:29--00:42:31] 唯一一个参与这个评估
[00:42:31--00:42:33] 而且排在比较靠前
[00:42:33--00:42:35] 来自中国的就是我们
[00:42:35--00:42:36] 就是这个
[00:42:36--00:42:37] 就是JM130B
[00:42:37--00:42:39] 所以影响力也非常不错
[00:42:39--00:42:41] 而且评估下结果也非常不错
[00:42:41--00:42:45] 基本上跟GP3会有胜负
[00:42:45--00:42:46] 我在想那个时候
[00:42:46--00:42:48] 国内同线还在做这件事情的
[00:42:48--00:42:49] 还有谁
[00:42:49--00:42:50] 只有你们在做这个事情
[00:42:50--00:42:52] 其实之前你看还有一些
[00:42:52--00:42:53] 百度在做
[00:42:53--00:42:55] 百度有Ernie
[00:42:55--00:42:57] 百度有Ernie
[00:42:57--00:42:59] 然后其实那个时候
[00:42:59--00:43:01] 阿里其实也开始做了
[00:43:01--00:43:02] 阿里好早
[00:43:02--00:43:03] 阿里红霞
[00:43:03--00:43:04] 对
[00:43:04--00:43:06] 他做MOE什么那些东西
[00:43:06--00:43:08] 然后研究机构就当时我们
[00:43:08--00:43:12] 因为唐老师是聚园的
[00:43:12--00:43:13] 聚园的副院长
[00:43:13--00:43:15] 聚园当时也是唐老师
[00:43:15--00:43:18] 也当时带着团队做了一些事情
[00:43:18--00:43:21] 对公司是除了阿里和百度以外
[00:43:21--00:43:22] 就是我们在做
[00:43:22--00:43:23] 跟投资人当时讲这个事的时候
[00:43:23--00:43:24] 他们兴奋吗
[00:43:24--00:43:25] 听不懂
[00:43:25--00:43:26] 听不懂
[00:43:26--00:43:27] 投资人听不懂
[00:43:27--00:43:28] 完全听不懂
[00:43:28--00:43:29] 这是什么东西
[00:43:29--00:43:31] 你们怎么挣钱
[00:43:31--00:43:33] 怎么把这个东西商业化了
[00:43:33--00:43:34] 投资人问的都是这个
[00:43:34--00:43:35] 我印象特别深刻
[00:43:35--00:43:37] 有个投资人线上聊的
[00:43:37--00:43:39] 这东西你们能变成钱吗
[00:43:39--00:43:41] 现在你看大环境怎么差
[00:43:41--00:43:42] 经济怎么差
[00:43:42--00:43:44] 要不你们把估值降一半
[00:43:44--00:43:45] 怎么样
[00:43:45--00:43:47] 降了没
[00:43:47--00:43:49] 我肯定不会
[00:43:49--00:43:51] 那笔融资其实没那么顺利的
[00:43:51--00:43:53] 其实那个时间其实挺艰难
[00:43:53--00:43:54] 拉了多久
[00:43:54--00:43:55] 这也是我们幸运的地方
[00:43:55--00:43:57] 你看我们把这个事情做完之后
[00:43:57--00:44:00] 到缺GPT活起来是11月底
[00:44:00--00:44:03] 真正在国内活起来是在春节前后
[00:44:03--00:44:04] 在国内
[00:44:04--00:44:06] 其实就小半年时间
[00:44:06--00:44:07] 就半年时间
[00:44:07--00:44:10] 这小半年你们正好是处于融资期
[00:44:10--00:44:12] 其实缺GPT活起来
[00:44:12--00:44:13] 就帮了我们一个很大的忙
[00:44:13--00:44:15] 就是大家再也不用质疑说
[00:44:15--00:44:16] 你这东西到底是啥
[00:44:16--00:44:17] 我们就告诉他说
[00:44:17--00:44:18] 缺GPT你懂吧
[00:44:18--00:44:19] 你看过吧
[00:44:19--00:44:20] 知道吧
[00:44:20--00:44:21] 我们做的这个事情就是往这儿去的
[00:44:21--00:44:23] 然后后来都是投资人找你们了是吧
[00:44:23--00:44:24] 对的就很多人就要问
[00:44:24--00:44:27] 你们什么时候能把缺GPT的东西做出来
[00:44:27--00:44:28] 什么之类的
[00:44:28--00:44:30] 所以你们这笔融资close是在那个之后了
[00:44:30--00:44:31] 春节之后了
[00:44:31--00:44:32] 应该是吧
[00:44:32--00:44:35] 就细节我还不太记得清楚了
[00:44:35--00:44:37] 过去也算比较久
[00:44:37--00:44:39] 所以那个时候确实是
[00:44:39--00:44:41] 有一段时间是正好砍了中间
[00:44:41--00:44:42] 然后
[00:44:42--00:44:44] 缺GPT帮了我们一个大忙
