[00:00:03--00:00:10] Hello 大家好,欢迎收听张小俊商业访谈录,我是小俊
[00:00:10--00:00:14] 这是一档由语言级世界工作室出品的深度访谈节目
[00:56:11--00:56:12] 会有更大的一个动力
[00:56:12--00:56:13] 像之前的话
[00:56:13--00:56:13] 比如我们在一个
[00:56:13--00:56:15] 纯粹的快节奏的过程中
[00:56:15--00:56:16] 你可能自上而下
[00:56:16--00:56:17] 是一个更稳健的一个做法
[00:56:17--00:56:18] 但现在我们在逐渐的
[00:56:18--00:56:20] 变得更成熟
[00:56:20--00:56:20] 我们刚才在聊
[00:56:20--00:56:22] 4月到10月份你在做什么
[00:56:22--00:56:23] 对 对不起
[00:56:23--00:56:24] 我都已经聊远了
[00:56:24--00:56:25] 当时我们做了
[00:56:25--00:56:26] 其实很多事情
[00:56:26--00:56:27] 但是其实围绕的一个目的
[00:56:27--00:56:28] 就是如何做一款
[00:56:28--00:56:30] AI native的浏览器
[00:56:30--00:56:30] 就是所谓的
[00:56:30--00:56:31] AI原生浏览器
[00:56:31--00:56:33] 当时做出来产品的形态
[00:56:33--00:56:34] 其实跟现在的
[00:56:34--00:56:34] 这个Chachupi Atlas
[00:56:34--00:56:35] 还有像那个D
[00:56:35--00:56:36] 已经很像了
[00:56:36--00:56:37] 当时我们想的
[00:56:37--00:56:38] 这个切入点有几个
[00:56:38--00:56:39] 一就是说
[00:56:39--00:56:40] 我们要训练一个
[00:56:40--00:56:41] 端凑的一个模型
[00:56:41--00:56:42] 来让一些操作
[00:56:42--00:56:43] 能够在用户的电脑上
[00:56:43--00:56:44] 去完成
[00:56:44--00:56:45] 既不产生API消耗
[00:56:45--00:56:46] 同时呢
[00:56:46--00:56:48] 也是充分尊重用户的隐私
[00:56:48--00:56:48] 这里就埋了
[00:56:48--00:56:49] 第一个很傻的坑
[00:56:49--00:56:50] 就是拜托
[00:56:50--00:56:51] 你做的是一款浏览器
[00:56:51--00:56:53] 浏览器本身就是联网的
[00:56:53--00:56:54] 你为什么要追求一个
[00:56:54--00:56:56] 一个离线端凑运行
[00:56:56--00:56:57] 现在想起来可能有点傻
[00:56:57--00:56:58] 第二点就是
[00:56:58--00:56:59] 用户其实大部分时候
[00:56:59--00:56:59] 不会关注你
[00:56:59--00:57:00] 到底是离线的
[00:57:00--00:57:01] 还是怎样的
[00:57:01--00:57:02] 他们要求最好的效果
[00:57:02--00:57:03] 而当时的话
[00:57:03--00:57:04] 你其实在电脑上
[00:57:04--00:57:05] 比如即使你只做
[00:57:05--00:57:06] 苹果对Apple Silicon芯片
[00:57:06--00:57:08] 你其实也就跑一个
[00:57:12--00:57:13] 端的旗舰模型去对比
[00:57:13--00:57:14] 你的效果一定会差一些
[00:57:14--00:57:15] 这我想的第一点
[00:57:15--00:57:16] 现在觉得很可笑
[00:57:16--00:57:17] 第二点
[00:57:17--00:57:18] 其实至今有很多人
[00:57:18--00:57:19] 在做的事情
[00:57:19--00:57:20] 就是想让AI
[00:57:20--00:57:21] 接管用户的浏览器
[00:57:21--00:57:22] 来完成一些
[00:57:22--00:57:23] 自动化的工作流
[00:57:23--00:57:25] 这个事我们当时也做了
[00:57:25--00:57:26] 但是这就是我刚才讲的
[00:57:26--00:57:27] 为什么不对劲
[00:57:27--00:57:27] 我可以展开讲一下
[00:57:27--00:57:29] 它是我们觉得有几点吧
[00:57:29--00:57:30] 可以细数一下
[00:57:30--00:57:31] 第一点就是说
[00:57:31--00:57:32] 如果你让AI
[00:57:32--00:57:33] 接管用户的电脑的话
[00:57:33--00:57:34] 你会发现一种
[00:57:34--00:57:36] 很奇怪的使用体验
[00:57:36--00:57:36] 就比如说
[00:57:36--00:57:38] 我让AI去帮我在一个
[00:57:38--00:57:39] 网页上完成填表
[00:57:39--00:57:40] 那这个时候
[00:57:40--00:57:41] 比如AI当它填了一个
[00:57:41--00:57:42] 一个字段之后
[00:57:42--00:57:43] 我一滚屏幕
[00:57:43--00:57:44] 比如我想看看下面
[00:57:44--00:57:45] 我其实打破了
[00:57:45--00:57:46] AI的observation
[00:57:46--00:57:48] 这可能待会再解释吧
[00:57:48--00:57:49] 就是agent
[00:57:49--00:57:50] 你工作的一个流程
[00:57:50--00:57:51] 那这时候agent可能会
[00:57:51--00:57:52] 他把这网页又拉了回来
[00:57:52--00:57:54] 那这个体验很奇怪
[00:57:54--00:57:55] 就好比你有一个
[00:57:55--00:57:56] 特别聪明的实习生
[00:57:56--00:57:58] 但你好像非要把你
[00:57:58--00:57:58] 跟这个实习生
[00:57:58--00:58:00] 一起共用一个电脑
[00:58:00--00:58:01] 这个体验就很怪
[00:58:01--00:58:02] 就是两个人
[00:58:02--00:58:03] 在一起抢一个系统
[00:58:03--00:58:04] 而实际上我们现在
[00:58:04--00:58:05] 用的所有的操作系统
[00:58:05--00:58:05] 和软件
[00:58:05--00:58:06] 本质上来说
[00:58:06--00:58:07] 还是为一个人
[00:58:07--00:58:08] 同时使用设计的
[00:58:08--00:58:09] 所以这个体验就不好
[00:58:11--00:58:13] 因为包括现在
[00:58:13--00:58:14] 也有很多人
[00:58:14--00:58:15] 在做所谓这个GUI agent
[00:58:15--00:58:16] 就是用户界面
[00:58:16--00:58:17] 自动控制的agent
[00:58:17--00:58:18] 你会发现
[00:58:18--00:58:19] 如果你让他去完成一些
[00:58:19--00:58:21] 你通过简单几次点击
[00:58:21--00:58:22] 就能完成的任务的话
[00:58:22--00:58:23] 你觉得是很亏的
[00:58:23--00:58:25] 因为你的迅速的决策
[00:58:25--00:58:26] 其实比AI还要快
[00:58:26--00:58:28] 而你即使让他
[00:58:28--00:58:28] 比如很简单的
[00:58:28--00:58:29] 帮我点一个外卖
[00:58:29--00:58:31] 他可能每两步之间
[00:58:31--00:58:32] 每两个两步之间的推理
[00:58:32--00:58:33] 可能也会
[00:58:33--00:58:34] 五秒十秒这样的一个时间
[00:58:34--00:58:35] 当然现在会更快
[00:58:35--00:58:36] 但你会觉得
[00:58:36--00:58:37] 正好没有产生多大的价值
[00:58:37--00:58:38] 我干更快
[00:58:38--00:58:39] 这是我们常见的一个想法
[00:58:39--00:58:41] 那AI真正
[00:58:41--00:58:42] 有价值的
[00:58:42--00:58:44] 应该是那种长任务
[00:58:44--00:58:45] 就是long horizon task
[00:58:45--00:58:47] 就是它的范围很广
[00:58:47--00:58:48] 它也许超过了我的能力
[00:58:48--00:58:50] 或者说它要运行很长时间
[00:58:50--00:58:52] 且运行很长时间
[00:58:52--00:58:52] 或者多步
[00:58:52--00:58:53] 几乎是一个必然的事
[00:58:53--00:58:54] 因为这种任务
[00:58:54--00:58:55] 我才不愿意做
[00:58:55--00:58:56] 我才想交给AI去做
[00:58:56--00:58:58] 但这时候会有一个问题
[00:58:58--00:58:59] 因为你做的是一款
[00:58:59--00:59:00] 原生的AI浏览器
[00:59:00--00:59:01] 那这时候AI
[00:59:01--00:59:03] 其实是在你的电脑上运行
[00:59:03--00:59:04] 虽然我不说模型在你电脑
[00:59:04--00:59:05] 但是它的持续操纵你的电脑
[00:59:05--00:59:06] 那就很尴尬
[00:59:06--00:59:08] 我不能把我的电脑盖上
[00:59:08--00:59:09] 我电脑盖上之后
[00:59:09--00:59:10] 我的电脑就休眠了
[00:59:10--00:59:11] 就卡死了
[00:59:11--00:59:11] 那怎么样
[00:59:11--00:59:13] 在AI在持续进行长春任务的时候
[00:59:13--00:59:14] 我还要一直盯着它们
[00:59:14--00:59:15] 保证我电脑不睡眠吗
[00:59:15--00:59:17] 我自己又不好干别的
[00:59:17--00:59:18] 所以我觉得这两种体验
[00:59:18--00:59:20] 我们用上都觉得非常的奇怪
[00:59:20--00:59:21] 当然这只是一个
[00:59:21--00:59:22] 模模糊糊觉得奇怪的一个点
[00:59:22--00:59:24] 其实更大的一个问题是
[00:59:24--00:59:24] 我们觉得团队
[00:59:24--00:59:26] 没能回答一个核心考问
[00:59:26--00:59:28] 就是到底做了这样一款
[00:59:28--00:59:29] 原生的AI浏览器之后
[00:59:29--00:59:31] 有什么是我们本来的
[00:59:31--00:59:33] Chrome加Monica做不到的吗
[00:59:33--00:59:34] 后来想想好像没有
[00:59:34--00:59:37] 然后我们就开始逐渐变得理智
[00:59:37--00:59:38] 我觉得这个过程也很重要
[00:59:38--00:59:39] 就是当你做
[00:59:39--00:59:40] 一款产品的时候
[00:59:40--00:59:41] 你会站在一个
[00:59:41--00:59:42] 想说服自己的立场上
[00:59:42--00:59:43] 即使我们都是
[00:59:43--00:59:45] 中登连续创业者
[00:59:45--00:59:46] 大家还是会有这样的惯性
[00:59:46--00:59:47] 就是我刚做完一个东西
[00:59:47--00:59:49] 我起码自己还是
[00:59:49--00:59:51] 偏心于自己一点的
[00:59:51--00:59:52] 但当你逐渐发现
[00:59:52--00:59:54] 更多这些问题暴露出来之后
[00:59:54--00:59:56] 你会更趋向于一个冷静的判断
[00:59:56--00:59:57] 然后我们越想就觉得
[00:59:57--00:59:57] 这事不对
[00:59:57--00:59:59] 就是人类历史上
[00:59:59--01:00:00] 浏览器的迁移
[01:00:00--01:00:00] 其实有几次
[01:00:00--01:00:02] 好像也就两次吧
[01:00:02--01:00:03] 一次是从网警
[01:00:03--01:00:04] 就Netscape到IE
[01:00:04--01:00:06] 还有一次是从IE到Chrome
[01:00:06--01:00:08] 这两次变革的根本原因
[01:00:08--01:00:08] 其实还是
[01:00:08--01:00:09] 就是
[01:00:09--01:00:11] 你的渠道分发能力所决定的
[01:00:11--01:00:11] 对吧
[01:00:11--01:00:13] IE是通过预装
[01:00:13--01:00:14] 而Chrome
[01:00:14--01:00:15] 它可能稍微复杂一点
[01:00:15--01:00:16] 就一方面当时谷歌
[01:00:16--01:00:17] 已经成为事实上大家的首页
[01:00:17--01:00:19] 且同时IE遇见了一些
[01:00:19--01:00:20] 非常严重的技术问题
[01:00:20--01:00:21] 包括安全问题
[01:00:21--01:00:22] 这是一个历史机遇
[01:00:22--01:00:23] 但是呢
[01:00:23--01:00:24] 如果我们现在在一个
[01:00:24--01:00:25] Chrome运行已经很好
[01:00:25--01:00:27] 且有Monica这样优秀的插件
[01:00:27--01:00:28] 在了一个生态里头
[01:00:28--01:00:29] 用户有多大的动力
[01:00:29--01:00:30] 会愿意因为AI
[01:00:30--01:00:31] 而把自己的浏览器
[01:00:31--01:00:32] 换成一个新的呢
[01:00:32--01:00:33] 所以当时我们就
[01:00:33--01:00:34] 就开始思考这个问题
[01:00:34--01:00:35] 但是心里还是没有
[01:00:35--01:00:36] 最终下决定要怎么办
[01:00:36--01:00:38] 直到又是后来
[01:00:38--01:00:39] 这个老天帮忙
[01:00:39--01:00:40] 我们有一天
[01:00:40--01:00:41] 上网看那个推特
[01:00:41--01:00:43] 发现我们很尊敬的
[01:00:43--01:00:44] 一家美国创业公司
[01:00:44--01:00:45] 叫做The Browser Company
[01:00:45--01:00:47] 它做的一款浏览器
[01:00:47--01:00:48] 可能很多朋友用过
[01:00:48--01:00:48] 叫做Arc
[01:00:48--01:00:50] Arc是一款主打设计
[01:00:50--01:00:51] 但是后来也会有一些
[01:00:51--01:00:52] 主打设计感
[01:00:52--01:00:53] 以及后来也有一些
[01:00:53--01:00:54] AI功能的一个浏览器
[01:00:54--01:00:56] 它很受一些
[01:00:56--01:00:57] 这个小众的极客的喜欢
[01:00:57--01:00:58] 比如它率先做了那种
[01:00:58--01:00:59] 就是竖排的那个
[01:00:59--01:01:00] 那个Tab编栏
[01:01:00--01:01:02] 然后呢
[01:01:02--01:01:03] 它突然那个创始人
[01:01:03--01:01:04] Josh Miller说
[01:01:04--01:01:04] 我决定
[01:01:04--01:01:06] Discontinue Arc了
[01:01:06--01:01:06] 就是我不做Arc了
[01:01:06--01:01:08] 这是一个很
[01:01:08--01:01:09] 很大的一个决定
[01:01:09--01:01:10] 然后他说的原因
[01:01:10--01:01:10] 一下就跟我们
[01:01:10--01:01:11] 一下就共鸣了
[01:01:11--01:01:13] 他说我做Arc这么久
[01:01:13--01:01:14] 我甚至无法说服
[01:01:14--01:01:15] 我的亲戚朋友
[01:01:15--01:01:16] 从Chrome换成Arc
[01:01:16--01:01:17] 所以我们觉得
[01:01:17--01:01:18] 好吧
[01:01:18--01:01:19] 他已经把我们心里的
[01:01:19--01:01:19] 担忧
[01:01:19--01:01:21] 黑纸白字的写出来了
[01:01:21--01:01:22] 我们就觉得
[01:01:22--01:01:23] 可能真的浏览器
[01:01:23--01:01:24] 不适合创业公司
[01:01:24--01:01:25] 去做颠覆
[01:01:25--01:01:27] 做了两遍浏览器对吧
[01:01:27--01:01:27] 对
[01:01:27--01:01:29] 这是我的第二遍浏览器
[01:01:29--01:01:30] 然后又得到了
[01:01:30--01:01:30] 相同的结论
[01:01:30--01:01:32] 当然可能之前
[01:01:32--01:01:33] 我没有这么
[01:01:33--01:01:34] 系统性的想过这个问题
[01:01:34--01:01:34] 因为那时候还是
[01:01:34--01:01:35] 像我刚才讲的
[01:01:35--01:01:36] 凭爱好再往前冲的
[01:01:36--01:01:37] 这样一个状态
[01:01:37--01:01:38] 而这次我们其实
[01:01:38--01:01:38] 很理智的想
[01:01:38--01:01:40] 其实觉得这个不太对
[01:01:40--01:01:41] 但是也是比较幸运
[01:01:41--01:01:43] 当时看到一些别的
[01:01:43--01:01:44] 就是一些苗头
[01:01:44--01:01:46] 绝份挺的这个项目
[01:01:46--01:01:47] 当时是这样
[01:01:47--01:01:48] 就是我们从我加入
[01:01:48--01:01:49] 2024年的4月
[01:01:49--01:01:52] 浏览器其实到8月就可用了
[01:01:52--01:01:53] 但是8月9月
[01:01:53--01:01:54] 甚至一直快到10月的时候
[01:01:54--01:01:55] 其实心里还是有些波动
[01:01:55--01:01:57] 所以真正停了
[01:01:57--01:01:58] 就算是9月底吧
[01:01:58--01:01:58] 应该是
[01:01:58--01:02:00] 小红说她当时
[01:02:00--01:02:02] 就觉得浏览器有点不对
[01:02:02--01:02:03] 但是不敢跟团队说
[01:02:03--01:02:04] 是
[01:02:04--01:02:05] 原因是因为你们都是
[01:02:05--01:02:07] 被她用浏览器忽悠进团队的
[01:02:07--01:02:08] 所以觉得
[01:02:08--01:02:09] 特别是你吧
[01:02:09--01:02:11] 其实我觉得我跟张涛吧
[01:02:11--01:02:12] 应该说
[01:02:12--01:02:13] 对你和张涛
[01:02:13--01:02:13] 对对对
[01:02:13--01:02:14] 但肯定是这样
[01:02:14--01:02:15] 就是这也是小红
[01:02:15--01:02:15] 比较好的一点
[01:02:15--01:02:17] 我就说就是她非常会考虑
[01:02:17--01:02:18] 大家的一个感受
[01:02:18--01:02:20] 而不是以艺术家的方式
[01:02:20--01:02:21] 去解决一些问题
[01:02:21--01:02:22] 对但是那段时间
[01:02:22--01:02:23] 其实反过来看
[01:02:23--01:02:24] 我们觉得特别宝贵
[01:02:24--01:02:26] 就是大家在一个
[01:02:26--01:02:27] 很自然而然的
[01:02:27--01:02:28] 形成共识的过程中
[01:02:28--01:02:29] 逐渐逐渐放下了
[01:02:29--01:02:30] 浏览器这件事
[01:02:30--01:02:31] 处于一种
[01:02:31--01:02:33] 几乎无所事事的状态
[01:02:33--01:02:34] 当一群不太笨的人
[01:02:34--01:02:35] 无所事事的时候
[01:02:35--01:02:36] 就会产生很多
[01:02:36--01:02:37] 很好的想法
[01:02:37--01:02:38] 所以你们是
[01:02:38--01:02:39] 你们是怎么达成这个
[01:02:39--01:02:41] 要放弃浏览器的共识的
[01:02:41--01:02:42] 是她来找你说的吗
[01:02:42--01:02:43] 其实每个人心里
[01:02:43--01:02:44] 都会提前感觉到一些不对
[01:02:44--01:02:45] 我觉得一个
[01:02:45--01:02:46] 最典型的一个点
[01:02:46--01:02:47] 就是当你一款产品
[01:02:47--01:02:49] 你觉得已经打磨好之后
[01:02:49--01:02:50] 你突然觉得不是特别酷
[01:02:50--01:02:51] 这个产品就
[01:02:51--01:02:53] 如果我按今天的话
[01:02:53--01:02:54] 我可以断言说
[01:02:54--01:02:55] 如果一个产品做完
[01:02:55--01:02:56] 你觉得不太酷
[01:02:56--01:02:56] 就别发
[01:02:56--01:02:57] 你都觉得不酷
[01:02:57--01:02:58] 没人会觉得酷
[01:02:58--01:02:59] 不是特别酷
[01:02:59--01:03:01] 这个表达很艺术家
[01:03:01--01:03:01] 对
[01:03:01--01:03:02] 这是非常艺术家的一件事
[01:03:02--01:03:03] 因为我此刻
[01:03:03--01:03:04] 站在用户的立场上
[01:03:04--01:03:06] 就是如果你
[01:03:06--01:03:07] 本该最喜欢这个产品的人
[01:03:07--01:03:09] 你都不觉得喜欢
[01:03:09--01:03:10] 那你怎么能奢望
[01:03:10--01:03:11] 用户会喜欢你呢
[01:03:11--01:03:11] 对吧
[01:03:11--01:03:12] 我不是以一个
[01:03:12--01:03:14] 决策者的角度在说这件事
[01:03:14--01:03:15] 我是站在用户的身份去想
[01:03:15--01:03:17] 在一个新的时代
[01:03:17--01:03:18] 把上一个时代产品
[01:03:18--01:03:19] 重新做一遍
[01:03:19--01:03:19] 你觉得是一个
[01:03:19--01:03:20] 好的创业思路吗
[01:03:20--01:03:23] 我觉得这个话
[01:03:23--01:03:24] 不能非常
[01:03:24--01:03:25] 一概而论地去判断
[01:03:25--01:03:26] 我觉得首先
[01:03:26--01:03:27] 我有一句
[01:03:27--01:03:28] 特别喜欢的一个名言
[01:03:28--01:03:29] 叫做
[01:03:29--01:03:31] For every complex problem
[01:03:31--01:03:32] there is an answer
[01:03:32--01:03:33] that is simple, clear and wrong
[01:03:33--01:03:34] 就是说
[01:03:34--01:03:35] 对任何一个复杂问题
[01:03:35--01:03:36] 总能有一个
[01:03:36--01:03:38] 简单清晰但错误的回答
[01:03:38--01:03:39] 我觉得我们很多时候
[01:03:39--01:03:40] 都得过度总结一些事情
[01:03:40--01:03:41] 对
[01:03:41--01:03:42] 所以我觉得这件事
[01:03:42--01:03:42] 我不能二元地
[01:03:42--01:03:43] 直接就去切分它
[01:03:43--01:03:44] 但我觉得这确实是
[01:03:44--01:03:45] 值得警醒的
[01:03:45--01:03:46] 因为很多时候
[01:03:46--01:03:47] 大家选择这种做法
[01:03:47--01:03:49] 是基于一种思维的惰性
[01:03:49--01:03:49] 我觉得
[01:03:49--01:03:51] 就是你在参考
[01:03:51--01:03:53] 过去一个时代的
[01:03:53--01:03:53] 成功的因素
[01:03:53--01:03:55] 并想用一种新的技术
[01:03:55--01:03:56] 去把它再做一遍
[01:03:56--01:03:58] 但其实你要考虑到
[01:03:58--01:03:58] 环境的一个
[01:03:58--01:03:59] 外部环境的一个变化
[01:03:59--01:04:00] 所以我觉得
[01:04:00--01:04:01] 这不能二元地去切分
[01:04:01--01:04:03] 你们放下了
[01:04:03--01:04:04] AI浏览器的这个产品
[01:04:04--01:04:04] 但是其他团队
[01:04:04--01:04:06] 还有在探索的
[01:04:06--01:04:07] 你觉得
[01:04:07--01:04:08] AI浏览器的未来
[01:04:08--01:04:08] 会怎么样
[01:04:08--01:04:10] 我觉得我不能
[01:04:10--01:04:11] 替别的浏览器做主
[01:04:11--01:04:12] 而且我不是说
[01:04:12--01:04:13] 因为我们放弃这事
[01:04:13--01:04:14] 就一定不对
[01:04:14--01:04:16] 是因为我们团队
[01:04:16--01:04:17] 自己达成的共识是
[01:04:17--01:04:19] 我们可能做这个东西的
[01:04:19--01:04:20] 收益不是特别的明显
[01:04:20--01:04:21] 因为你想
[01:04:21--01:04:22] 如果我们选择了
[01:04:22--01:04:23] 另一种心态
[01:04:23--01:04:24] 就是说
[01:04:24--01:04:24] 它好吧
[01:04:24--01:04:25] 这个产品好像
[01:04:25--01:04:25] 不是特别酷
[01:04:25--01:04:26] 但既然已经做完了
[01:04:26--01:04:27] 我们就发出来看看
[01:04:27--01:04:28] 但这时候会把你
[01:04:28--01:04:29] 带入到一个
[01:04:29--01:04:30] 比较不好的漩涡中
[01:04:30--01:04:32] 就是当你发了一款产品之后
[01:04:32--01:04:33] 一个负责任的团队
[01:04:33--01:04:33] 会持续维护它
[01:04:33--01:04:35] 但这会带来
[01:04:35--01:04:36] 很大的机会成本
[01:04:36--01:04:37] 就是我们可能因为
[01:04:37--01:04:38] 要不断进入一种
[01:04:38--01:04:39] 自证的循环中
[01:04:39--01:04:40] 去措施明明
[01:04:40--01:04:41] 更有价值的新的机会
[01:04:41--01:04:43] 而如果有一个团队
[01:04:43--01:04:45] 现在已经把浏览器
[01:04:45--01:04:46] AI浏览器我说
[01:04:46--01:04:47] 做到一个
[01:04:47--01:04:48] 他们已经比较满意的
[01:04:48--01:04:48] 一个程度的话
[01:04:48--01:04:50] 那我觉得你进入一个
[01:04:50--01:04:50] 自证的循环
[01:04:50--01:04:51] 应该是对的
[01:04:51--01:04:52] 因为你可能今天
[01:04:52--01:04:53] 是一款所谓的AI浏览器
[01:04:53--01:04:54] 但你沿着你自己
[01:04:54--01:04:55] 选择这条路
[01:04:55--01:04:56] 你也许会发展出
[01:04:56--01:04:56] 一个完全不一样的
[01:04:56--01:04:57] 一个产品形态
[01:04:57--01:04:58] 没人知道会怎么样
[01:04:58--01:04:59] 所以我觉得
[01:04:59--01:04:59] 我不能替别人
[01:04:59--01:05:01] 做这个决定
[01:05:01--01:05:03] 你看小红说服你
[01:05:03--01:05:04] 加入说的是
[01:05:04--01:05:06] 在一个产品里
[01:05:06--01:05:07] 把浏览器搜索引擎
[01:05:07--01:05:08] 和大语言模型
[01:05:08--01:05:10] 全部重做一次
[01:05:10--01:05:11] 然后到了
[01:05:11--01:05:13] 24年的9月10月
[01:05:13--01:05:14] 你们决定放弃
[01:05:14--01:05:15] 浏览器这个项目
[01:05:15--01:05:16] 你当时心里有波动吗
[01:05:16--01:05:17] 你的真实想法是怎样
[01:05:17--01:05:18] 你会觉得被他骗了吗
[01:05:18--01:05:20] 我觉得其实不会
[01:05:20--01:05:21] 就我刚才讲到一点
[01:05:21--01:05:22] 就是他只是最后
[01:05:22--01:05:23] 用这句话
[01:05:23--01:05:23] 把我
[01:05:23--01:05:24] 说服我加入
[01:05:24--01:05:25] 但我肯定不会
[01:05:25--01:05:26] 只因为一句话
[01:05:26--01:05:27] 就被说服对吧
[01:05:27--01:05:28] 所以我觉得
[01:05:28--01:05:30] 我非常珍惜的一段
[01:05:30--01:05:30] 还是首先
[01:05:30--01:05:31] 我们通过Monica
[01:05:31--01:05:33] 真正的拿到了一张
[01:05:33--01:05:35] 理智的AI应用的传票
[01:05:35--01:05:37] 这是非常重要的一点
[01:05:37--01:05:37] 就是Monica
[01:05:37--01:05:38] 我觉得这个产品的意义
[01:05:38--01:05:39] 是非常非常大的
[01:05:39--01:05:39] 第一
[01:05:39--01:05:41] 它是一个正向现金流的产品
[01:05:41--01:05:42] 这个词我们可能会说
[01:05:42--01:05:43] 很多很多遍
[01:05:43--01:05:44] 正向现金流的产品
[01:05:44--01:05:45] 对 一个团队
[01:05:45--01:05:46] 如果有一个正向现金流的产品
[01:05:46--01:05:47] 你在做第二个
[01:05:47--01:05:48] 曲线的决策的时候
[01:05:48--01:05:50] 你会变得非常的理智
[01:05:50--01:05:51] 或者说
[01:05:51--01:05:52] 你既大胆也理智
[01:05:52--01:05:53] 我们之所以
[01:05:53--01:05:53] 后面敢
[01:05:53--01:05:55] 也好读很多的东西
[01:05:55--01:05:55] 是因为我们知道
[01:05:55--01:05:57] Monica一直在帮我们赚钱
[01:05:57--01:05:58] 所以我们会以一个
[01:05:58--01:06:00] 非常客观又大胆的方式
[01:06:00--01:06:00] 去做决策
[01:06:00--01:06:01] 第二点就是
[01:06:01--01:06:02] Monica真的让我们知道
[01:06:02--01:06:03] 用户在如何用AI
[01:06:03--01:06:04] 让我们理解了
[01:06:04--01:06:05] context的重要性
[01:06:05--01:06:06] 就或者说
[01:06:06--01:06:06] Monica这款产品
[01:06:06--01:06:07] 其实跟Chatbot
[01:06:07--01:06:08] 最大的区别是什么
[01:06:08--01:06:10] 就是如果你在用Chatbot的话
[01:06:10--01:06:11] 你一定要做的一件事
[01:06:11--01:06:12] 是把你要
[01:06:12--01:06:14] 你要看到网页的内容
[01:06:14--01:06:15] 复制粘贴进Chatbot的
[01:06:15--01:06:17] 那个对话框中
[01:06:17--01:06:19] 而Monica它本身
[01:06:19--01:06:20] 就是一个在被动
[01:06:20--01:06:20] 对不起
[01:06:20--01:06:22] 主动的去观测你的context
[01:06:22--01:06:22] 对吧
[01:06:22--01:06:24] 你只要在用浏览器
[01:06:24--01:06:25] 浏览器插进就在看着
[01:06:25--01:06:27] 它其实就把context的传递
[01:06:27--01:06:28] 变得非常的通畅
[01:06:28--01:06:29] 这其实给了我们
[01:06:29--01:06:30] 很大的启发
[01:06:30--01:06:31] 以及更具体就是
[01:06:31--01:06:31] 我们知道一些
[01:06:31--01:06:32] 用户的这个
[01:06:32--01:06:33] 整体的行为习惯
[01:06:33--01:06:34] 当然我们会非常尊重
[01:06:34--01:06:34] 用户的隐私
[01:06:34--01:06:35] 我们不会去窥探
[01:06:35--01:06:36] 你具体的这个session
[01:06:36--01:06:37] 但是其实通过一些
[01:06:37--01:06:38] 宏观的这个
[01:06:38--01:06:38] 透明的统计数据
[01:06:38--01:06:40] 能看出很多pattern
[01:06:40--01:06:41] 很多模式
[01:06:41--01:06:41] 对不起
[01:06:41--01:06:43] 为什么这些产品
[01:06:43--01:06:44] 都是M开头啊
[01:06:44--01:06:46] 还包括你之前的公司
[01:06:46--01:06:46] 对
[01:06:46--01:06:47] 这个我觉得是很好玩
[01:06:47--01:06:49] 这是我第一个产品
[01:06:49--01:06:50] 叫萌马浏览器
[01:06:50--01:06:51] Nemus M开头
[01:06:51--01:06:52] 第二款产品
[01:06:52--01:06:53] 叫Maggie M开头
[01:06:53--01:06:54] 然后Monica M开头
[01:06:54--01:06:55] Madness也是M开头
[01:06:55--01:06:55] 对
[01:06:55--01:06:56] 然后我觉得这完全
[01:06:56--01:06:58] 就是一个巧合
[01:06:58--01:06:59] 可能M开头的产品
[01:06:59--01:07:00] 运气都不会太差
[01:07:00--01:07:03] 对
[01:07:03--01:07:06] 而Madness可能有点私心
[01:07:06--01:07:07] 因为名字是我起的
[01:07:07--01:07:08] 怎么取代这个名字
[01:07:08--01:07:09] 这个名字其实
[01:07:09--01:07:10] 当时我们纠结过
[01:07:10--01:07:11] 很多名字
[01:07:11--01:07:12] 但是后来是真正
[01:07:12--01:07:13] 让我们想通
[01:07:13--01:07:14] 这件事的一个点
[01:07:14--01:07:15] 是我们想明白
[01:07:15--01:07:16] 自己该做什么
[01:07:16--01:07:17] 就是当时的话
[01:07:17--01:07:18] 其实做浏览器
[01:07:18--01:07:19] 我们已经
[01:07:19--01:07:19] 已经
[01:07:19--01:07:20] 依稀有一个感觉
[01:07:20--01:07:22] 就是模型在解决的是智力
[01:07:22--01:07:23] 但是再强的智能
[01:07:23--01:07:26] 你也不能把环境给内化掉
[01:07:26--01:07:28] 所以你一定是需要一个手
[01:07:28--01:07:30] 来去触及到现实世界中
[01:07:30--01:07:31] 否则你再强的思维
[01:07:31--01:07:32] 你也只是一个
[01:07:32--01:07:33] 理论物理学家
[01:07:33--01:07:34] 或者说甚至你可以说
[01:07:34--01:07:35] 是一个刚中之脑
[01:07:35--01:07:36] 所以我们想做的是
[01:07:36--01:07:39] 让智能真正去触及现实世界
[01:07:39--01:07:40] 所以让我想到了
[01:07:40--01:07:41] 其实是MIT的校训
[01:07:41--01:07:42] 叫Ments at Menace
[01:07:42--01:07:43] 是一个拉丁语
[01:07:43--01:07:45] 翻译成中文一个叫
[01:07:45--01:07:46] 心与手或者心手合一
[01:07:46--01:07:48] 我们觉得别人都已经在心
[01:07:48--01:07:49] 或者说心智之中
[01:07:49--01:07:49] 在心智这件事上
[01:07:49--01:07:50] 做了很远的探索
[01:07:50--01:07:51] 所有的机构
[01:07:51--01:07:52] 我们听公司的使命如此
