[00:00:12--00:00:15] 我可以这么说吗
[00:23:52--00:23:54] 需要成为这一领域的建筑师
[00:23:54--00:23:56] 并对其进行控制
[00:23:56--00:23:58] 也许你不必显每一行代码
[00:23:58--00:23:58] 你不必显每一行代码
[00:23:58--00:24:01] 在许多情况下
[00:24:01--00:24:02] 最好与科技公司合作
[00:24:02--00:24:04] 将他们的技术
[00:24:04--00:24:05] 集成到你的汽车中
[00:24:05--00:24:07] 比如高通
[00:24:07--00:24:08] 腾讯
[00:24:08--00:24:09] 或者高德等等
[00:24:09--00:24:14] 但你需要成为这个乐队的指挥
[00:24:14--00:24:17] 你需要理解正在播放的音乐
[00:24:17--00:24:20] 然后你也会把其他的音乐家带进来
[00:24:20--00:24:22] 使用我们自己编写的代码
[00:24:22--00:24:24] 你就可以反应更快
[00:24:24--00:24:27] 这是一个垂直整合的领域
[00:24:27--00:24:28] 但你可以选择
[00:24:28--00:24:29] 做或者不做
[00:24:29--00:24:32] 没有一条黄金法则说
[00:24:32--00:24:34] 你必须选择这个组件
[00:24:34--00:24:36] 或者说你必须自己做
[00:24:36--00:24:37] 它必须来自外部
[00:24:37--00:24:40] 随着时间的推移
[00:24:40--00:24:42] 你可以在垂直整合方面
[00:24:42--00:24:44] 进行任意切换
[00:24:44--00:24:45] 包括轮胎方面
[00:24:45--00:24:48] 轮胎已经有100多年的历史
[00:24:48--00:24:51] 你认为轮胎是高科技产品吗
[00:24:51--00:24:53] 也许你会说
[00:24:53--00:24:54] 我不认为
[00:24:54--00:24:55] 一个轮胎而已
[00:24:55--00:24:56] 你错了
[00:24:56--00:24:58] 轮胎也是一种高科技产品
[00:24:58--00:25:00] 我们与轮胎供应商合作
[00:25:00--00:25:06] 开发出完全适合这款车的抓地力和制动距离的轮胎
[00:25:06--00:25:10] 汽车的每一个方面都有高科技元素
[00:25:10--00:25:12] 我们更多的谈论数字科技
[00:25:12--00:25:14] 比如说驾驶辅助
[00:25:14--00:25:15] 智能座舱
[00:25:15--00:25:16] 虚拟助手
[00:25:16--00:25:18] 人工智能代理等等
[00:25:18--00:25:20] 但作为汽车制造商
[00:25:20--00:25:23] 你需要具备在所有这些方面的能力
[00:25:23--00:25:25] 这就是成就奔驰的原因
[00:25:25--00:25:26] 但这就是成就奔驰的原因
[00:25:26--00:25:27] 但这就是成就奔驰的原因
[00:25:28--00:25:30] 即使对汽车一无所知
[00:25:30--00:25:32] 不管是开车还是坐车
[00:25:32--00:25:35] 你会感觉还不错
[00:25:35--00:25:37] 但你可能不知道原因
[00:25:37--00:25:42] 但这就是一百多年卓越的工程经验带来的成就
[00:25:42--00:25:44] 汽车的每个领域
[00:25:44--00:25:46] 无论是物理领域还是数字领域
[00:25:46--00:25:49] 都是汽车智能的一部分
[00:25:49--00:25:51] 但是与其他团队合作
[00:25:51--00:25:53] 还是自己一路探索
[00:25:53--00:25:56] 这个可以灵活选择
[00:25:56--00:25:58] 我觉得这需要有强化的方式
[00:25:58--00:26:01] 你们正在测试固态电池
[00:26:01--00:26:04] 能否分享更多的进展
[00:26:04--00:26:10] 除了我们正在研发中的电池化学
[00:26:10--00:26:15] 我们还在研究如何让这台CLA的里程超过850公里
[00:26:15--00:26:18] 完美的空气动力学可以减少阻力
[00:26:18--00:26:21] 也可以让车的设计更加炫酷
[00:26:21--00:26:25] 一个完美的结果需要对每一个小点都做到最好
[00:26:25--00:26:27] 所以我们想要加倍提高效率
[00:26:28--00:26:32] 电池效率就像是电动车上的一枚新的货币
[00:26:32--00:26:37] 但我们在电池技术、电池化学方面
[00:26:37--00:26:40] 拥有深厚的垂直整合的研发能力
[00:26:40--00:26:43] 我们选择了与领域内最好的合作伙伴
[00:26:43--00:26:46] 研发出电池来适配奔驰
[00:26:46--00:26:49] 这就是现在的情况
[00:26:49--00:26:52] 这是一个全新层面的任务
[00:26:52--00:26:55] 除此之外我们还有其他研发中的技术
[00:26:55--00:26:56] 除此之外我们还有其他研发中的技术
[00:26:56--00:26:57] 除此之外我们还有其他研发中的技术
[00:26:57--00:27:00] 比如与两三个合作伙伴共同开发不同版本的固态电池
[00:27:00--00:27:02] 比如与两三个合作伙伴共同开发不同版本的固态电池
[00:27:02--00:27:04] 研究高硅含量阳极电池
[00:27:04--00:27:06] 研究高硅含量阳极电池
[00:27:06--00:27:08] 未来有一天可能会实现百分百硅含量的阳极电池
[00:27:08--00:27:10] 未来有一天可能会实现百分百硅含量的阳极电池
[00:27:10--00:27:12] 最近我们还和一家公司一起打造了新的技术
[00:27:12--00:27:14] 最近我们还和一家公司一起打造了新的技术
[00:27:14--00:27:16] 以展示固态电池的利用水平
[00:27:16--00:27:18] 以展示固态电池的利用水平
[00:27:18--00:27:19] 可以让一台EQS轿车单次充电行驶超过1000公里
[00:27:19--00:27:21] 可以让一台EQS轿车单次充电行驶超过1000公里
[00:27:21--00:27:23] 可以让一台EQS轿车单次充电行驶超过1000公里
[00:27:23--00:27:25] 这些都是我们正在研发的未来技术
[00:27:25--00:27:27] 这些都是我们正在研发的未来技术
[00:27:27--00:27:29] 我们将看到他们何时准备就绪
[00:27:29--00:27:31] 在经过足够的测试基础上
[00:27:31--00:27:33] 等到所有的工程都完成
[00:27:33--00:27:35] 就可以将其用于满足客户需求
[00:27:35--00:27:37] 就可以将其用于满足客户需求
[00:27:37--00:27:39] 你认为CLA这款车型的推出会改变奔驰的现状吗
[00:27:39--00:27:41] 你认为CLA这款车型的推出会改变奔驰的现状吗
[00:27:41--00:27:43] 尤其在中国市场
[00:27:43--00:27:45] 我们不应该过分强调艺术车型
[00:27:45--00:27:47] 我们不应该过分强调艺术车型
[00:27:47--00:27:49] 我们不应该过分强调艺术车型
[00:27:49--00:27:51] 重要的是随着它的推出
[00:27:51--00:27:53] 公司内部推出了两个新的技术平台
[00:27:53--00:27:55] 公司内部推出了两个新的技术平台
[00:27:55--00:27:57] 一个是我提到的电驱
[00:27:57--00:27:59] 一个是我提到的电驱
[00:27:59--00:28:01] 一个是我提到的电驱
[00:28:00--00:28:07] 当然,不同的电动传感系统将为未来三年推出的电动车系列提供动力
[00:28:07--00:28:15] 还有一个是对软件站进行全面的重新设计,包括与软件站配套的硬件
[00:28:15--00:28:17] 这是一种非常全面的软件方法
[00:28:17--00:28:24] 它包括汽车中的人工智能,我们称之为芯片道云
[00:28:24--00:28:29] 它决定了你所需要的算力,你如何构建整个软件站的架构
[00:28:29--00:28:39] 你如何将其链接到云端,你如何使用人工智能以及现代的生成式AI为客户提供更好的数字体验
[00:28:39--00:28:45] 就像奔驰内部的一个平台,我们所有的汽车都将安装
[00:28:45--00:28:53] 我们之所以如此强调CLA,是因为它为我们带来了新一代的技术
[00:28:53--00:28:58] 我们有40多种型号的车,我们不能只推出几款汽车
[00:28:58--00:29:08] 我们必须实现芯片道云,并且推广到所有车型中
[00:29:08--00:29:17] 一个中国新能源品牌的创始人说,他们希望成为一家人工智能公司,而不是一家汽车制造商,你怎么看?
[00:29:17--00:29:22] 奔驰在人工智能和智能技术方面的投资是否足够了?
[00:29:22--00:29:24] 奔驰在人工智能和智能技术方面的投资是否足够了?
[00:29:24--00:29:26] 奔驰在人工智能和智能技术方面的投资是否足够了?
[00:29:26--00:29:28] 奔驰代表的是什么?
[00:29:28--00:29:30] 奔驰代表的是什么?
[00:29:30--00:29:32] 我们仍然是一家实体汽车制造商
[00:29:32--00:29:40] 但毫无疑问,人工智能领域正在发生的革命,以及人工智能与实体产品的结合,将汽车推向了一个新的水平
[00:29:40--00:29:43] 但毫无疑问,人工智能领域正在发生的革命,以及人工智能与实体产品的结合,将汽车推向了一个新的水平
[00:29:43--00:29:45] 这将进一步提升道路安全
[00:29:45--00:29:51] 因为,由人工智能驱动的计算机,将做出比人类驾驶更好的决策
[00:29:51--00:29:53] 很不幸的是,世界上仍然有很多事故发生
[00:29:56--00:30:07] 但如果我们能够解决这一点,我们就可以更接近奔驰一直致力于实现的零事故愿景
[00:30:07--00:30:14] 我们可以利用人工智能将汽车提升到一个全新的水平
[00:30:14--00:30:18] 不仅是安全性,也包括便利性
[00:30:18--00:30:21] 如果你选择智能辅助驾驶
[00:30:21--00:30:25] 我们是世界上第一家,真正将经过全面认证的安全级车
[00:30:25--00:30:26] 我们是世界上第一家,真正将经过全面认证的安全级车
[00:30:26--00:30:27] 我们是世界上第一家,真正 various reasons
[00:30:27--00:30:55] 我们是世界上第一家,真正 reinforced
[00:30:55--00:30:57] 或者你有紧急的事务处理
[00:30:57--00:30:59] 有一个视频会议要参加
[00:30:59--00:31:04] 所以智能辅助驾驶必须安全方便
[00:31:04--00:31:07] 同时可以连接到其他的一切
[00:31:07--00:31:10] 当然汽车实现联网已经很久了
[00:31:10--00:31:16] 多年来我们一直在云端保存驾驶信息
[00:31:16--00:31:19] 由人工智能驱动的不同机器之间的连接
[00:31:19--00:31:21] 开启了一个全新的世界
[00:31:21--00:31:27] 可以说CLA是我们第一款AI车型
[00:31:27--00:31:29] 但这只是第一个版本
[00:31:29--00:31:31] 它还需要完善
[00:31:31--00:31:36] 通过不同领域之间的整合
[00:31:36--00:31:39] 智能驾驶可以提高更多
[00:31:39--00:31:41] 但我绝对同意
[00:31:41--00:31:42] 未来五到十年内
[00:31:42--00:31:46] 人工智能将改变我们对汽车行业的看法
[00:31:46--00:31:50] 你认为人工智能将如何改变全球汽车行业
[00:31:50--00:31:51] 它将如何改变全球汽车行业
[00:31:51--00:31:52] 它将如何改变游戏规则
[00:31:52--00:31:59] 我认为这将改变所有行业
[00:31:59--00:32:01] 也将改变我们的生活
[00:32:01--00:32:05] 在这款车里我们有奔驰虚拟助手
[00:32:05--00:32:07] 早在七八年前
[00:32:07--00:32:09] 我们就已经推出了第一个版本
[00:32:09--00:32:11] 所以我们拥有了
[00:32:11--00:32:14] 具有某种自然语言理解能力的技术
[00:32:14--00:32:16] 这也是第一次
[00:32:16--00:32:18] 驾驶者可以和车辆对话
[00:32:18--00:32:20] 当我们通过云
[00:32:20--00:32:21] 在后台使用人工智能
[00:32:21--00:32:22] 代理时
[00:32:22--00:32:25] 就像你在车里有自己的超级智能
[00:32:25--00:32:29] 就像拥有自己的管家一样
[00:32:29--00:32:31] 我不知道你是不是钢铁侠的粉丝
[00:32:31--00:32:33] 这部神奇的电影
[00:32:33--00:32:35] 讲述了钢铁侠的故事
[00:32:35--00:32:38] 电影中他得到了贾维斯的帮助
[00:32:38--00:32:42] 可以帮助他摆脱困境
[00:32:42--00:32:44] 现在你有自己的贾维斯了
[00:32:44--00:32:46] 无论在车内还是车外
[00:32:46--00:32:50] 在未来每个人都会拥有超级智能
[00:32:50--00:32:51] 像是朋友
[00:32:51--00:32:52] 或者另一个自我
[00:32:52--00:32:55] 可能会在未来的任何事情上帮助我们
[00:32:55--00:32:57] 它正在改变所有行业
[00:32:57--00:32:59] 也在改变我们的生活
[00:32:59--00:33:06] 中国的DeepSeek
[00:33:06--00:33:08] 正在全球范围内崛起
[00:33:08--00:33:09] 你对此有何看法
[00:33:09--00:33:11] 你会考虑和他们合作吗
[00:33:11--00:33:12] 当然
[00:33:12--00:33:15] 这方面有很多好消息分享
[00:33:15--00:33:17] 当我第一次读到
[00:33:17--00:33:18] 关于DeepSeek的报道时
[00:33:18--00:33:20] 我打电话给我们的战略主管
[00:33:21--00:33:22] 他是中国人
[00:33:22--00:33:24] 在北京和斯图加特两地工作
[00:33:24--00:33:25] 我问他
[00:33:25--00:33:26] 高旭
[00:33:26--00:33:29] 我读到一篇关于DeepSeek的文章
[00:33:29--00:33:30] 他说
[00:33:30--00:33:31] 真的吗
[00:33:31--00:33:32] 让我看看
[00:33:32--00:33:34] 最后他说
[00:33:34--00:33:37] 看起来是真的
[00:33:37--00:33:38] 这家公司最好的
[00:33:38--00:33:40] 显然是利用他们的原创思维
[00:33:40--00:33:42] 并且加以利用
[00:33:42--00:33:44] 将技术提升到一个新的水平
[00:33:44--00:33:48] 而且并没有花多少成本
[00:33:48--00:33:50] 所以这不是盲目的开发
[00:33:50--00:33:53] 你可以把钱投到任何东西上
[00:33:53--00:33:55] 这家公司的成功表明
[00:33:55--00:33:57] 只要使用更聪明的方法
[00:33:57--00:34:00] 创新也可以一蹴而就
[00:34:00--00:34:02] 这是非常好的一点
[00:34:02--00:34:04] 因为这意味着
[00:34:04--00:34:08] 在人工智能和生成式人工智能的发展
[00:34:08--00:34:11] 以及如何利用大型语言模型方面
[00:34:11--00:34:13] 我们可以走得更快
[00:34:13--00:34:14] 更节约
[00:34:14--00:34:17] 在我看来
[00:34:17--00:34:19] 这项技术将更加普及
[00:34:19--00:34:19] 这项技术将更加普及
[00:34:19--00:34:19] 这项技术将更加普及
[00:34:19--00:34:20] 这项技术将更加普及
[00:34:20--00:34:22] 如果我能以更低的成本
[00:34:22--00:34:23] 获得更多效益
[00:34:23--00:34:26] 作为这项技术的用户和继承商
[00:34:26--00:34:28] 那就不妨试试
[00:34:28--00:34:31] 更值得讨论的一个话题是
[00:34:31--00:34:33] 智能技术和人工智能
[00:34:33--00:34:34] 现在已经成为了日常
[00:34:34--00:34:37] 也非常的容易获得
[00:34:37--00:34:39] 正如我们提到的DeepSeek
[00:34:39--00:34:41] 我们称之为技术民主化
[00:34:41--00:34:43] 技术不再是超级排他性的
[00:34:43--00:34:45] 那在这种情况下
[00:34:45--00:34:47] 消费者还需要豪华车吗
[00:34:50--00:34:52] 当然需要
[00:34:52--00:34:54] 因为这也是一种价值观
[00:34:54--00:34:56] 造一款车
[00:34:56--00:34:57] 尤其是豪华车
[00:34:57--00:35:00] 就好比你是奥运会
[00:35:00--00:35:02] 需要掌握十项不同的运动
[00:35:02--00:35:06] 随着汽车的电动化和人工智能的发展
[00:35:06--00:35:08] 你需要掌握十二项运动
[00:35:08--00:35:11] 但这只是豪华车的基础
[00:35:11--00:35:15] 我可以买一套非常漂亮的现成西装
[00:35:15--00:35:18] 价格非常合理
[00:35:18--00:35:22] 但我也可以选择给自己买一套意大利定制的西装
[00:35:22--00:35:26] 同时你可以买一个知名品牌的手提包
[00:35:26--00:35:30] 也可以选择功能性为主的书包
[00:35:30--00:35:32] 顾客总是有这样的渴望
[00:35:32--00:35:36] 他们想找到更特别的东西
[00:35:36--00:35:41] 而梅塞德斯奔驰品牌的可取之处可以说是超出常规
[00:35:41--00:35:46] 在工程方面非常注重美学、工艺和细节
[00:35:46--00:35:49] 这就是我们与众不同的地方
[00:35:49--00:35:52] 我们永远不会成为一个
[00:35:52--00:35:55] 有一个人生中最好的美学品牌
[00:35:55--00:35:59] 我们永远不会成为一个批量销售的品牌
[00:35:59--00:36:04] 如果选择了我们的豪华车
[00:36:04--00:36:07] 这正如法国人所说的定制
[00:36:07--00:36:12] 或者你也可以从我们这里得到为你量身定制的西装
[00:36:12--00:36:16] 我们一直在加强和建设我们所说的全面制造
[00:36:16--00:36:19] 如果你要个性化自己的汽车
[00:36:19--00:36:22] 如果你买了一款G级车
[00:36:22--00:36:25] 也许你想选一个超炫的颜色
[00:36:25--00:36:27] 想要一个特殊的内饰
[00:36:27--00:36:30] 我们都可以为你做
[00:36:30--00:36:36] 我们永远会给有特别需求的客户提供更多选择
[00:36:36--00:36:39] 即使在CLA这个细分市场
[00:36:39--00:36:41] 你也可以找到很多的竞争对手
[00:36:41--00:36:44] 但CLA是最有特点的一款
[00:36:44--00:36:47] 当我第一次坐这台车的时候
[00:36:47--00:36:49] 即使是一台CLA
[00:36:49--00:36:52] 但我感觉它的空间超出预期
[00:36:52--00:36:55] 这就是我们在行业里的做事方式
[00:36:55--00:36:59] 也是让奔驰与众不同的原因
[00:36:59--00:37:00] 在新的时代
[00:37:00--00:37:03] 你们是否需要重新定义豪华
[00:37:03--00:37:06] 豪华车从不止步
[00:37:06--00:37:09] 你在梅赛德斯奔驰博物馆
[00:37:09--00:37:11] 你会看到几十年来
[00:37:11--00:37:14] 各种优美而令人向往的豪华车
[00:37:14--00:37:18] 现在的豪华车显然和一百年前不一样
[00:37:18--00:37:21] 甚至和十年前的都不一样
[00:37:21--00:37:24] 所以豪华从来不会停滞不前
[00:37:25--00:37:27] 你要重新发明
[00:37:27--00:37:30] 要透过挡风玻璃向前看
[00:37:30--00:37:33] 即使你必须知道自己来自哪里
[00:37:33--00:37:35] 但也不要过于关注后视镜
[00:37:35--00:37:39] 可不可以告诉我豪华车的秘诀是什么
[00:37:39--00:37:47] 豪华不是单一一个维度的
[00:37:47--00:37:50] 我们的创始人汽车的最初发明者
[00:37:50--00:37:53] 作为企业家他们当时的想法是
[00:37:53--00:37:56] 我们如何把马从等式中去掉
[00:37:56--00:37:59] 这并不是说把马提铁做得更轻
[00:37:59--00:38:01] 让马跑得更快
[00:38:01--00:38:03] 而是要把马去掉
[00:38:03--00:38:05] 来创造一个全新的行业
[00:38:05--00:38:08] 这种开创精神是骨子里的
[00:38:08--00:38:12] 所以奔驰所定义的高科技豪华车
[00:38:12--00:38:14] 必须以创新为主
[00:38:14--00:38:19] 你看几十年来那些电影明星
[00:38:19--00:38:21] 国家领导人行业领袖
[00:38:21--00:38:23] 他们都会选择奔驰
[00:38:23--00:38:26] 我认为对美学的追求
[00:38:26--00:38:29] 和对现代豪华车的理解
[00:38:29--00:38:33] 这两个方面是相辅相成的
[00:38:33--00:38:35] 豪华车从不止步
[00:38:35--00:38:37] 它总是展望未来
[00:38:37--00:38:39] 所以你不能回头
[00:38:39--00:38:41] 要向前看
[00:38:41--00:38:43] 德语中有一个词可以形容
[00:38:43--00:38:45] 时代精神
[00:38:45--00:38:47] 也就是要关注当下
[00:38:47--00:38:49] 现在的趋势是什么
[00:38:49--00:38:51] 你如何定义豪华车呢
[00:38:51--00:38:53] 这就是梅塞德斯·奔驰的
[00:38:53--00:38:55] 意义所在
[00:38:55--00:38:57] 卓越的工艺和永恒的美
[00:38:57--00:39:01] 如果必须要在豪华和科技之间选择一个
[00:39:01--00:39:03] 你会选择哪一个
[00:39:03--00:39:05] 好消息是我不必选择
[00:39:05--00:39:07] 我们两者兼备
[00:39:07--00:39:11] 如果奔驰的创始人卡尔·本茨先生还在世
[00:39:11--00:39:13] 你觉得他会选择哪一个呢
[00:39:13--00:39:17] 回顾卡尔·本茨和戈特利布·戴姆勒的创业史
[00:39:17--00:39:19] 以这两位发明家的性格
[00:39:19--00:39:21] 我认为他们的创业史
[00:39:21--00:39:23] 是戈特利布·戴姆勒
[00:39:23--00:39:25] 和他非常著名的首席工程师
[00:39:25--00:39:27] 威廉·麦巴赫
[00:39:27--00:39:29] 发明了豪华汽车
[00:39:29--00:39:31] 他们除了有卓越的工程技术
[00:39:31--00:39:33] 还有一种创新的美学
[00:39:33--00:39:35] 他们创造的东西
[00:39:35--00:39:37] 会让人惊呼
[00:39:37--00:39:39] 我想要它
[00:39:39--00:39:41] 这种精神
[00:39:41--00:39:43] 超越了基础的需求本身
[00:39:43--00:39:45] 而到达了渴望的地步
[00:39:45--00:39:47] 这不仅仅是一个从A到B的交通工具
[00:39:47--00:39:49] 而是一种全球的工具
[00:39:49--00:39:51] 这种精神
[00:39:51--00:39:53] 是一个全新的风格
[00:39:53--00:39:55] 卡尔·本茨是一位更理性的人
[00:39:55--00:39:57] 他不仅是当年汽车的共同发明者
[00:39:57--00:39:59] 也是发明卡车
[00:39:59--00:40:01] 公共汽车
[00:40:01--00:40:03] 和所有其他实用型商用车的人
[00:40:03--00:40:05] 所以我们的车
[00:40:05--00:40:07] 永远有双重性
[00:40:07--00:40:09] 优越的工程和技术
[00:40:09--00:40:11] 和值得向往的永恒的美
[00:40:11--00:40:13] 但是也有
[00:40:13--00:40:15] 无限的期望
[00:40:15--00:40:17] 和无限的美
[00:40:17--00:40:19] 接下来我想谈谈你的领导
[00:40:19--00:40:21] 和车子
[00:40:21--00:40:23] 我想谈谈处于转折时期的
[00:40:23--00:40:25] 奔驰
[00:40:25--00:40:27] 是否可以说拥有139年历史的
[00:40:27--00:40:29] 奔驰巨头
[00:40:29--00:40:31] 如今正处于历史上前所未有的转折点上
[00:40:31--00:40:33] 用你的话来说
[00:40:33--00:40:35] 这个转折点意味着什么
[00:40:35--00:40:37] 我觉得整个自动车业
[00:40:37--00:40:39] 正在转折的时刻
[00:40:39--00:40:41] 我们只看到了
[00:40:41--00:40:43] 第一个基础转折的
[00:40:43--00:40:45] 这就是一年中的
[00:40:45--00:40:47] 转折的转折
[00:40:47--00:40:49] 我认为整个汽车行业
[00:40:49--00:40:51] 正处于转折点
[00:40:51--00:40:53] 只看到了根本性变革的第一步
[00:40:53--00:40:55] 这是百年一遇的转变
[00:40:55--00:40:57] 正如我刚才提到的两位创始人
[00:40:57--00:40:59] 戈特利布戴姆勒
[00:40:59--00:41:01] 和卡尔本茨
[00:41:01--00:41:03] 他们在139年前
[00:41:03--00:41:05] 发明了汽车
[00:41:05--00:41:07] 今天的我们
[00:41:07--00:41:09] 必须寻求这种内在的精神
[00:41:09--00:41:11] 并把这种精神继承下去
[00:41:11--00:41:13] 寻找的过程
[00:41:13--00:41:15] 包括哪些关注点
[00:41:15--00:41:17] 我认为有两大趋势
[00:41:17--00:41:19] 首先是零排放
[00:41:19--00:41:21] 实现的途径是新能源汽车
[00:41:21--00:41:23] 和电动车
[00:41:23--00:41:25] 可以说零排放正在逐步实现
[00:41:25--00:41:27] 就新能源汽车而言
[00:41:27--00:41:29] 中国是一个领先的市场
[00:41:29--00:41:31] 显然
[00:41:31--00:41:33] 世界各地的进程并不同
[00:41:33--00:41:35] 但整个行业正在走向零排放
[00:41:35--00:41:37] 这是推动这一转变的一个方面
[00:41:37--00:41:39] 另一个方面
[00:41:39--00:41:41] 则是智能和人工智能
[00:41:41--00:41:43] 目前他们得到了计算能力的支持
[00:41:43--00:41:45] 比如说
[00:41:45--00:41:47] 这款CLA
[00:41:47--00:41:49] 我们在车里装了超级电脑
[00:41:49--00:41:51] 对比回想一下十年前
[00:41:51--00:41:53] 或十五年前
[00:41:53--00:41:55] 现在这里的计算机部分
[00:41:55--00:41:57] 其中一个芯片
[00:41:57--00:41:59] 每秒可以完成270万亿次计算
[00:42:00--00:42:03] 这种计算能力简直太疯狂了
[00:42:03--00:42:08] 如果你把汽车周围的传感器结合起来
[00:42:08--00:42:13] 把它结合到一个如今已经非常智能的人工智能堆栈上
[00:42:13--00:42:15] 再加上生成式人工智能
[00:42:15--00:42:18] 现在更多的关注是端到端模型
[00:42:18--00:42:21] 而不是第一代人工智能
[00:42:21--00:42:25] 这就是这场革命的意义所在
[00:42:25--00:42:27] 这一切正在发生
[00:42:27--00:42:29] 正在改变整个汽车行业
[00:42:29--00:42:32] 像奔驰这样的公司
[00:42:32--00:42:34] 即使作为汽车发明者
[00:42:34--00:42:38] 我们的战略也从来不是对着后视镜向后看
[00:42:38--00:42:41] 而是穿过挡风玻璃向前看
[00:42:41--00:42:43] 这是一种开拓精神
[00:42:43--00:42:45] 让我们重新发明汽车
[00:42:45--00:42:47] 综合考虑这些因素
[00:42:47--00:42:50] 是什么让梅塞德斯奔驰如此杰出
[00:42:50--00:42:52] 是安全和质量
[00:42:52--00:42:54] 是驾乘体验
[00:42:54--00:42:56] 驾驶感和美学
[00:42:56--00:42:57] 所有这些都很重要
[00:42:57--00:42:59] 必须把它们带到位
[00:42:59--00:43:02] 而不仅仅是关注这两个趋势
[00:43:02--00:43:04] 这是必须的
[00:43:04--00:43:08] 我们有数十亿欧元的研发资金和工程人员的投入
[00:43:08--00:43:12] 我们也在完善奔驰其他杰出的价值观
[00:43:12--00:43:20] 让我们回到2019年5月22日
[00:43:20--00:43:22] 也就是你接任CEO的那一天
[00:43:22--00:43:24] 那天都发生了什么事
[00:43:24--00:43:26] 一家拥有如此悠久历史的公司
[00:43:26--00:43:28] 当你作为CEO接任时
[00:43:28--00:43:29] 举行了什么样的行动
[00:43:29--00:43:30] 当你做了这一份特殊的仪式吗
[00:43:30--00:43:31] 感觉如何
[00:43:31--00:43:36] 尽管我在奔驰工作了很长时间
[00:43:36--00:43:38] 对品牌很了解
[00:43:38--00:43:40] 认识很多公司里的人
[00:43:40--00:43:41] 也熟悉我们的合作伙伴
[00:43:41--00:43:43] 从某种意义上说
[00:43:43--00:43:45] 这确实是一个熟悉的环境
[00:43:46--00:43:47] 在接管之前
[00:43:47--00:43:49] 我就知道公司有这样的决定
[00:43:49--00:43:51] 差不多是六个月前
[00:43:51--00:43:54] 我知道这肯定是要发生的
[00:43:54--00:43:57] 一旦你真的做到了这个职位
[00:43:57--00:43:58] 这确实令人兴奋
[00:43:59--00:44:01] 但你也会意识到
[00:44:01--00:44:03] 只有在真正肩负责任时
[00:44:03--00:44:06] 你才会了解到什么是责任
[00:44:06--00:44:08] 也就是说
[00:44:08--00:44:10] 你必须自我重新调整
[00:44:10--00:44:13] 如果你是团队的一员
[00:44:13--00:44:15] 或者你处于较低的级别
[00:44:15--00:44:17] 总是会有另一个人
[00:44:17--00:44:19] 作为你的上级
[00:44:19--00:44:21] 承担着最终的责任
[00:44:21--00:44:24] 而一旦你成为首席执行官
[00:44:24--00:44:25] 回头再看
[00:44:25--00:44:27] 没有其他人
[00:44:27--00:44:27] 只有你
[00:44:27--00:44:29] 你别无选择
[00:44:29--00:44:32] 你必须承担这个责任
[00:44:32--00:44:34] 而且你需要激励你的团队
[00:44:34--00:44:37] 你需要从你的团队中获得力量
[00:44:37--00:44:39] 在汽车行业
[00:44:39--00:44:41] 成功在与终极的团队协作
[00:44:41--00:44:45] 我们公司有着悠久的传统
[00:44:45--00:44:49] 是在全球有超过16万名员工的大公司
[00:44:49--00:44:52] 业务遍及150多个国家
[00:44:52--00:44:54] 这是一个非常大的系统
[00:44:54--00:44:57] 你必须为不确定性做好准备
[00:44:57--00:44:59] 做出艰难的决定
[00:44:59--00:45:00] 所以我意识到
[00:45:00--00:45:03] 责任其实就在自己的肩上
[00:45:03--00:45:09] 我可以这么说吗
[00:45:09--00:45:10] 梅夏尔德斯·奔驰
[00:45:10--00:45:11] 现在正处于一个转折点
[00:45:11--00:45:14] 而你是转型时期的首席执行官
[00:45:14--00:45:15] 对吧
[00:45:15--00:45:17] 确实如此
[00:45:17--00:45:19] 作为变革时期的掌舵者
[00:45:19--00:45:22] 请说出你至今面临过的最大的困境
[00:45:22--00:45:24] 我很难选出一个准确回答
[00:45:24--00:45:27] 但是通常当你做决定时
[00:45:27--00:45:29] 其实很清楚该做什么
[00:45:29--00:45:31] 要么做要么不做
[00:45:31--00:45:36] 就像在A和B或者80和20之间选择
[00:45:36--00:45:38] 但有时由于不确定性
[00:45:38--00:45:41] 你不知道市场将如何发展
[00:45:41--00:45:43] 这就像51和49
[00:45:43--00:45:45] 正常肯定要选51
[00:45:45--00:45:46] 这非常重要
[00:45:46--00:45:48] 不要考虑面子
[00:45:48--00:45:50] 但如果发现情况相反
[00:45:50--00:45:52] 你当初选择了49
[00:45:52--00:45:55] 那你必须做好改变的准备
[00:45:55--00:45:57] 因为迟早要改
[00:45:57--00:45:59] 所以我要做的就是不改变了
[00:45:59--00:46:01] 不要困于不纠结
[00:46:01--00:46:03] 不要困于无法挽回的事
[00:46:03--00:46:05] 如果做出了错误的决定
[00:46:05--00:46:07] 就去收集新的信息
[00:46:07--00:46:08] 做好准备
[00:46:08--00:46:10] 不要害怕丢脸
[00:46:10--00:46:11] 继续前进
[00:46:11--00:46:13] 这才是应有的态度
[00:46:13--00:46:15] 特斯拉和中国的车企
[00:46:15--00:46:17] 仍然是创始人驱动型
[00:46:17--00:46:19] Founder Driven
[00:46:19--00:46:21] 而德国的汽车制造商
[00:46:21--00:46:23] 已经经历了好几代的职业经理人
[00:46:23--00:46:24] 这是否会意味着
[00:46:24--00:46:26] 德国汽车制造商更加保守
[00:46:26--00:46:28] 你们如何打破职业经理人的僵局呢?
[00:46:29--00:46:35] 你必须保持创业精神
