[00:00:04--00:00:06] 我觉得给通用Editor换个描述方式
[00:44:43--00:44:45] 就Token的整个输出率是达不到的
[00:44:45--00:44:47] 所以我说这是第一个步骤
[00:44:47--00:44:48] 这是预训练的
[00:44:48--00:44:49] 然后这个环节
[00:44:49--00:44:50] 接下来
[00:44:50--00:44:51] 然后第二个部分
[00:44:51--00:44:53] 其实是要做后训练
[00:44:53--00:44:54] 预训练什么
[00:44:54--00:44:55] 预训练相当于
[00:44:55--00:44:57] 然后学习人类的知识
[00:44:57--00:44:59] 就是先学习了人类的
[00:44:59--00:45:01] 怎么去理解物理世界
[00:45:01--00:45:03] 然后怎么去看物理世界
[00:45:03--00:45:04] 怎么理解物理世界
[00:45:04--00:45:05] 这样的一个知识
[00:45:05--00:45:06] 蒸馏前是3.2B对吧
[00:45:06--00:45:08] 蒸馏前是3.2B在云端
[00:45:08--00:45:09] 一会儿我还讲
[00:45:09--00:45:10] 云端3.2B仍然到后边
[00:45:10--00:45:12] 还是还要继续去使用
[00:45:12--00:45:14] 并不是只是蒸馏完
[00:45:14--00:45:16] 那个基座就放在那里了
[00:45:16--00:45:18] 那我觉得第二步是什么
[00:45:18--00:45:19] 第二步是做后训练
[00:45:19--00:45:20] 后训练是什么呢
[00:45:20--00:45:22] 后训练其实是我要
[00:45:22--00:45:23] 然后把它变成VLA
[00:45:23--00:45:25] 然后我要把action
[00:45:25--00:45:26] 其实放进来
[00:45:26--00:45:27] 这个后训练什么呢
[00:45:27--00:45:28] 其实是一种
[00:45:28--00:45:30] 还仍然也是一种模仿学习
[00:45:30--00:45:31] 特别像什么呢
[00:45:31--00:45:33] 特别像你去驾校学开车
[00:45:33--00:45:36] 就是你在驾校里学开车
[00:45:36--00:45:37] 就是相当于
[00:45:37--00:45:38] 其实我训练VLA
[00:45:38--00:45:39] 把它组合成一个VLA的
[00:45:39--00:45:41] 端到端的这样一个方式
[00:45:41--00:45:42] 我觉得这是
[00:45:42--00:45:44] 然后这个第二个部分
[00:45:44--00:45:45] 那这个时候
[00:45:45--00:45:46] 大概模型规模
[00:45:46--00:45:47] 就会从3.2B
[00:45:47--00:45:49] 大概扩大到接近4B
[00:45:49--00:45:50] 就大概这么一个
[00:45:50--00:45:51] 规模了
[00:45:51--00:45:53] 其实它一方面是个VLA
[00:45:53--00:45:54] 就是能够直接
[00:45:54--00:45:57] 然后从视觉到理解
[00:45:57--00:45:58] 到最后的这个输出
[00:45:58--00:46:00] 但是比如我们的COT
[00:46:00--00:46:01] 就会很短
[00:46:01--00:46:02] 我不会做超长的COT
[00:46:02--00:46:04] 我的COT链条一般两步到三步
[00:46:04--00:46:05] 我不会再做更多的
[00:46:05--00:46:07] 因为否则延时太长
[00:46:07--00:46:09] 没有办法满足交通
[00:46:09--00:46:10] 或者机器人的安全
[00:46:10--00:46:11] 那另外
[00:46:11--00:46:13] 然后当我action做完以后
[00:46:13--00:46:14] 然后我还会做一个什么呢
[00:46:14--00:46:16] 还会做一个diffusion的预测
[00:46:16--00:46:17] 就是下边会发生
[00:46:17--00:46:18] 什么样的一个
[00:46:18--00:46:20] 然后时长的一个长期的
[00:46:20--00:46:21] 环境
[00:46:21--00:46:22] 这个主要根据性能
[00:46:22--00:46:23] 会做出来
[00:46:23--00:46:24] 然后四到八秒的
[00:46:24--00:46:25] 这样的一个
[00:46:25--00:46:27] 然后diffusion的轨迹
[00:46:27--00:46:28] 和环境的一个预测
[00:46:28--00:46:30] 所以我说这是第二个部分
[00:46:30--00:46:32] 比较像人去驾校
[00:46:32--00:46:33] 需要学开车
[00:46:33--00:46:34] 这样的一个环节
[00:46:34--00:46:35] 然后第三个部分
[00:46:35--00:46:36] 是什么
[00:46:36--00:46:37] 是强化
[00:46:37--00:46:39] 然后是要做强化的这个训练
[00:46:39--00:46:40] 人像到社会上开车了
[00:46:40--00:46:41] 所以强化
[00:46:41--00:46:42] 我们分成两个部分
[00:46:42--00:46:43] 然后第一个部分
[00:46:43--00:46:44] 先做什么呢
[00:46:44--00:46:45] 先做RHF
[00:46:45--00:46:47] 就带有人类反馈的
[00:46:47--00:46:49] 所以我们有很多人类数据
[00:46:49--00:46:50] 就是当它这样的话
[00:46:50--00:46:51] 人类会接管
[00:46:51--00:46:52] 对吧
[00:46:52--00:46:53] 然后当代人类不会接管
[00:46:53--00:46:55] 包括人类的一些习惯
[00:46:55--00:46:56] 现在拿这会儿
[00:46:56--00:46:58] 其实来做一个人类反馈的
[00:46:58--00:46:59] 然后一个强化的训练
[00:46:59--00:47:00] 大概一个意思
[00:47:00--00:47:01] 什么意思
[00:47:01--00:47:02] 包括我们安全的对齐
[00:47:02--00:47:04] 都是在这个强化的环节完成的
[00:47:04--00:47:06] 就是你要遵守
[00:47:06--00:47:08] 你除了要遵守交通规则以外
[00:47:08--00:47:09] 你要遵守
[00:47:09--00:47:11] 然后比如中国的
[00:47:11--00:47:13] 大家的驾驶习惯
[00:47:13--00:47:14] 就是你的开车习惯
[00:47:14--00:47:15] 能够融入社会
[00:47:15--00:47:16] 你首先要开的
[00:47:16--00:47:17] 跟整个社会的
[00:47:17--00:47:19] 环境上的大家一样好
[00:47:19--00:47:20] 你不能给人家
[00:47:20--00:47:21] 带来麻烦
[00:47:21--00:47:22] 对吧
[00:47:22--00:47:23] 而不是个新手在路上的时候
[00:47:23--00:47:24] 对你变成一个阻碍
[00:47:24--00:47:25] 所以我说这个是
[00:47:25--00:47:26] 强化的第一部分
[00:47:26--00:47:27] 然后第二个部分
[00:47:27--00:47:29] 然后是纯粹达L
[00:47:29--00:47:30] 是什么呢
[00:47:30--00:47:31] 是我们拿我们的世界模型
[00:47:31--00:47:32] 生成的数据
[00:47:32--00:47:33] 然后训练
[00:47:33--00:47:34] 那这会儿的目的什么呢
[00:47:34--00:47:36] 就是开的比人类更好
[00:47:36--00:47:37] 嗯
[00:47:37--00:47:38] 那这会儿的话呢
[00:47:38--00:47:40] 我们中间不会给人类的反馈
[00:47:40--00:47:41] 然后呢
[00:47:41--00:47:42] 我们只会给一个结果
[00:47:42--00:47:43] 就是从A点到B点
[00:47:43--00:47:44] 你要开过去
[00:47:44--00:47:45] 但中边呢
[00:47:45--00:47:46] 会有三类的
[00:47:46--00:47:47] 然后会有三类的
[00:47:47--00:47:48] 有三类的这种
[00:47:48--00:47:50] 这个训练的要求
[00:47:50--00:47:51] 第一个是
[00:47:51--00:47:52] 我们可以通过G值
[00:47:52--00:47:53] 来判断它的舒适性
[00:47:53--00:47:54] 给舒适性的反馈
[00:47:54--00:47:55] 嗯
[00:47:55--00:47:56] 然后第二个
[00:47:56--00:47:57] 然后是
[00:47:57--00:47:58] 然后做碰撞的反馈
[00:47:58--00:47:59] 因为它碰撞了
[00:47:59--00:48:01] 这个强化就没有完成
[00:48:01--00:48:02] 然后第三个
[00:48:02--00:48:03] 是交通规则的反馈
[00:48:03--00:48:04] 如果它违反交通规则
[00:48:04--00:48:05] 就没有完成
[00:48:05--00:48:06] 所以是舒适交通规则
[00:48:06--00:48:07] 和碰撞事故
[00:48:07--00:48:09] 然后让它其实自己来做
[00:48:09--00:48:11] 然后整个的强化的训练
[00:48:11--00:48:13] 那当这三个步骤完成了以后
[00:48:13--00:48:15] 然后VLA的
[00:48:15--00:48:17] 能够跑在车端的模型
[00:48:17--00:48:18] 其实就产生了
[00:48:18--00:48:19] 大概是这么一个方式
[00:48:19--00:48:20] 跟人非常像
[00:48:20--00:48:22] 先学习世界和交通的
[00:48:22--00:48:23] 交通啊
[00:48:23--00:48:24] 和人类的这些知识
[00:48:24--00:48:25] 对这是
[00:48:25--00:48:27] 然后预训练的这个环节
[00:48:27--00:48:28] 后训练的环节
[00:48:28--00:48:29] 其实是相当于去驾校
[00:48:29--00:48:31] 然后认真的去学开车
[00:48:31--00:48:32] 对然后我觉得
[00:48:32--00:48:33] 第三个环节
[00:48:33--00:48:34] 其实相当于来到社会上
[00:48:34--00:48:35] 然后来开车
[00:48:35--00:48:36] 其实社会上这个开车
[00:48:36--00:48:38] 也是我们的训练的一个过程
[00:48:38--00:48:41] 然后通过人类的RHF
[00:48:41--00:48:43] 对然后来跟人类做对齐
[00:48:43--00:48:44] 嗯
[00:48:44--00:48:45] 对然后跟社会的
[00:48:45--00:48:46] 这个环境来对齐
[00:48:46--00:48:47] 然后另外一方面
[00:48:47--00:48:48] 然后通过纯R的强化
[00:48:48--00:48:49] 以及我们自己
[00:48:49--00:48:50] 然后在
[00:48:50--00:48:52] 世界模型里生成的数据
[00:48:52--00:48:53] 然后来让他做强化的训练
[00:48:53--00:48:55] 从而开的比人类更好
[00:48:55--00:48:56] 能够解决更复杂的问题
[00:48:56--00:48:57] 嗯
[00:48:57--00:48:58] 或者比通用的
[00:48:58--00:48:59] 比这种人类的平均值
[00:48:59--00:49:00] 要开的要好得多
[00:49:00--00:49:01] 大概是这么一个过程
[00:49:01--00:49:02] 那我觉得这还没有完
[00:49:02--00:49:03] 嗯
[00:49:03--00:49:04] 那这个
[00:49:04--00:49:05] 我觉得这是有了VLA
[00:49:05--00:49:06] 但人类是怎么跟VLA
[00:49:06--00:49:07] 工作的时候
[00:49:07--00:49:08] 其实我要搭建一个
[00:49:08--00:49:09] 司机的agent
[00:49:09--00:49:10] 然后司机的agent
[00:49:10--00:49:11] 是什么呢
[00:49:11--00:49:12] 然后是人类
[00:49:12--00:49:13] 就是以自然语言的方式
[00:49:13--00:49:14] 就是你跟一个司机
[00:49:14--00:49:15] 怎么说话
[00:49:15--00:49:16] 你跟一个正常的驾驶员
[00:49:16--00:49:18] 对然后假设你有男朋友
[00:49:18--00:49:19] 你男朋友在开车
[00:49:19--00:49:20] 你怎么跟他说
[00:49:20--00:49:22] 对你就怎么跟司机的agent来说
[00:49:22--00:49:23] 或者一个代驾
[00:49:23--00:49:24] 然后你怎么跟他说就说了
[00:49:24--00:49:25] 那这里边的话
[00:49:25--00:49:26] 如果是一些短指令
[00:49:26--00:49:27] 通用的短指令
[00:49:27--00:49:28] 会直接
[00:49:28--00:49:29] 然后VLA直接就处理了
[00:49:29--00:49:30] 嗯
[00:49:30--00:49:31] 对然后不需要
[00:49:31--00:49:32] 然后再经过云端
[00:49:32--00:49:34] 然后如果是复杂的长指令
[00:49:34--00:49:36] 其实是先要到云端的
[00:49:36--00:49:37] 那32B的
[00:49:37--00:49:39] 然后VL那里处理完以后
[00:49:39--00:49:41] 对然后因为他理解交通的一切
[00:49:41--00:49:43] 然后他再整个的
[00:49:43--00:49:44] 然后交给VLA
[00:49:44--00:49:45] 然后来进行处理
[00:49:45--00:49:47] 就大概这么运行的一个过程
[00:49:47--00:49:48] 嗯
[00:49:48--00:49:49] 说白了就是
[00:49:49--00:49:51] 他最后的一个好处是说
[00:49:51--00:49:54] 他能够像人一样去理解物理世界
[00:49:54--00:49:56] 然后能够像人类司机一样去理解物理世界
[00:49:56--00:49:58] 能够像人类司机一样去开车
[00:49:58--00:50:00] 去处理复杂的问题
[00:50:00--00:50:01] 然后也能
[00:50:01--00:50:03] 然后像人类司机一样
[00:50:03--00:50:04] 跟其他人类进行沟通
[00:50:04--00:50:06] 对我觉得这是最后我们
[00:50:06--00:50:08] 然后交付到优惠那里的产品
[00:50:08--00:50:11] 这其中这些步骤里面哪一个是最难的呀
[00:50:11--00:50:12] 没法预测
[00:50:12--00:50:14] 对因为这些东西
[00:50:14--00:50:17] 我们前面没有任何人走过这条路
[00:50:17--00:50:18] 对DeepSeek也没走过
[00:50:18--00:50:19] 这条路
[00:50:19--00:50:20] 然后OpenAI也没有走过这条路
[00:50:20--00:50:22] 谷歌vimo也没有走过这条路
[00:50:22--00:50:25] 对我们其实走的是个无人区
[00:50:25--00:50:26] 那你们为什么就Bet
[00:50:26--00:50:28] 为什么就压住了这条路呢
[00:50:28--00:50:30] 因为我最近做了一个技术播客
[00:50:30--00:50:31] 就是讲VLA
[00:50:31--00:50:34] 我就感觉这个技术路线还没有收敛
[00:50:34--00:50:35] 为什么你们觉得你们可以做
[00:50:35--00:50:36] 我觉得
[00:50:36--00:50:39] 我觉得交通领域应该是VLA最早实现的
[00:50:39--00:50:40] 对吧因为
[00:50:40--00:50:41] 规则清晰
[00:50:41--00:50:43] 因为车对因为一是规则清楚
[00:50:43--00:50:45] 包括你说做强化是非常容易的
[00:50:45--00:50:47] 按照每个来讲是吧交通的世界
[00:50:47--00:50:49] 一个车会跑到哪里是有的
[00:50:49--00:50:50] 虽然它很复杂
[00:50:50--00:50:52] 但是确定的对吧
[00:50:52--00:50:53] 车又不能开到水里写
[00:50:53--00:50:54] 车也不能开到空中
[00:50:54--00:50:56] 车只能开到有路的地方
[00:50:56--00:50:58] 所以它是复杂的具备确定性
[00:50:58--00:50:59] 然后我觉得这是一点
[00:50:59--00:51:01] 然后第二呢其实车的控制
[00:51:01--00:51:02] 其实车是个三道斧
[00:51:02--00:51:03] 就车有三个自由度
[00:51:03--00:51:04] 然后左右是个自由度
[00:51:04--00:51:06] 前后是个自由度
[00:51:06--00:51:08] 某种程度上还有一点轻微的旋转
[00:51:08--00:51:10] 是个自由度对吧
[00:51:10--00:51:11] 甚至自动驾驶某种程度下
[00:51:11--00:51:13] 就控制两个多撑死就三个自由度嘛
[00:51:13--00:51:15] 对如果这个都不能实现
[00:51:15--00:51:16] 机器人的上来就是
[00:51:16--00:51:17] 40多个自由度
[00:51:17--00:51:19] 那个挑战就更大了
[00:51:19--00:51:20] 所以呢这时候
[00:51:20--00:51:23] 然后我们进行模仿学习是特别容易的
[00:51:23--00:51:25] 所以呢车看到的就是人类看到的
[00:51:25--00:51:27] 人操作的其实就是
[00:51:27--00:51:29] 然后就是车操作的
[00:51:29--00:51:30] 所以我觉得第二个
[00:51:30--00:51:31] 它能做特别好的模仿学习
[00:51:31--00:51:34] 第三个它能做特别好的强化
[00:51:34--00:51:36] 就是大家在使用的过程中
[00:51:36--00:51:37] 不满意的时候就接管了
[00:51:37--00:51:40] 其实这就是跟人类没有对齐
[00:51:40--00:51:41] 就告诉你不应该这么做
[00:51:41--00:51:42] 以及告诉你该怎么做
[00:51:42--00:51:44] 这是非常清晰的指标
[00:51:44--00:51:46] 包括后面我不做人类节目
[00:51:46--00:51:48] 我靠生成数据来做训练的时候
[00:51:48--00:51:49] 也非常清晰
[00:51:49--00:51:50] 因为什么是舒适
[00:51:50--00:51:52] 计值是可以表达的
[00:51:52--00:51:53] 什么是符合交通规则
[00:51:53--00:51:55] 是能够表达出来的
[00:51:55--00:51:57] 然后因为交通规则是个清晰的规则
[00:51:57--00:52:00] 然后第三个是否发生碰撞是可以表达的
[00:52:00--00:52:01] 然后如果它很舒适
[00:52:01--00:52:03] 又不违反交通规则
[00:52:03--00:52:05] 然后第三个然后又没有发生碰撞
[00:52:05--00:52:07] 然后它到A点到B点
[00:52:07--00:52:08] 它就是会开的越来越好
[00:52:08--00:52:12] 我觉得这个其实它是一个最好的一个VLA的
[00:52:12--00:52:13] 第一个重要的实验场
[00:52:13--00:52:14] 我听你说
[00:52:14--00:52:16] 我有一个感受
[00:52:16--00:52:17] 刚开始大模型伙的时候
[00:52:17--00:52:19] 大家都说创业要做AI是造人
[00:52:19--00:52:21] 你们这个其实就是在造司机
[00:52:21--00:52:22] 对
[00:52:22--00:52:23] 而且我觉得
[00:52:23--00:52:26] 我有一个很重要的一个感觉
[00:52:26--00:52:28] 我们只有让它变成一个真正的司机
[00:52:28--00:52:30] 它才是一个生产力工具
[00:52:30--00:52:31] 不只是一个辅助工具
[00:52:31--00:52:35] 今天L2然后L2加其实是个辅助工具
[00:52:35--00:52:36] 对
[00:52:36--00:52:39] 辅助工具其实还需要人大量的一个参与
[00:52:39--00:52:41] 但是我觉得如果想变成一个生产工具
[00:52:41--00:52:43] 然后我个人认为
[00:52:43--00:52:45] 然后并不会出现通用的agent
[00:52:45--00:52:46] 对
[00:52:46--00:52:49] 而是每个专业领域其实做专业的agent
[00:52:49--00:52:51] 然后就刚才我刚才讲的
[00:52:51--00:52:53] 其实要想开好车
[00:52:53--00:52:55] 它所有的V神的语料
[00:52:55--00:52:58] Language的语料和Action
[00:52:58--00:53:00] 然后其实都是不一样的
[00:53:00--00:53:02] 然后你想做好一个医生
[00:53:02--00:53:04] 然后你想做好一个律师
[00:53:04--00:53:07] 其实包括它背后的整个思维链
[00:53:07--00:53:09] 然后背后的这些所有的数据
[00:53:09--00:53:11] 其实都是完全不同的
[00:53:11--00:53:12] 所以我这是判断
[00:53:12--00:53:13] 而且另外一方面
[00:53:13--00:53:15] 如果然后你想变成一个生产工具
[00:53:15--00:53:17] 那这时候
[00:53:17--00:53:19] 然后就会和专业的人已经比较
[00:53:19--00:53:23] 比如说你是否比一个专业的司机开的更好
[00:53:23--00:53:26] 你是否比一个专业的医生表现的更好
[00:53:26--00:53:29] 你是否比一个专业的律师表现的更好
[00:53:29--00:53:32] 你是否比一个专业的程序员表现的更好
[00:53:32--00:53:36] 因为你会影响到他的整个的生产
[00:53:36--00:53:37] 然后他的整个的业绩
[00:53:37--00:53:38] 他的工作的结果
[00:53:38--00:53:40] 甚至他的财产和生命安全
[00:53:40--00:53:42] 我觉得这是我们看到的重点
[00:53:42--00:53:44] 所以这也是为什么我们必须
[00:53:44--00:53:47] 很耐心很深入的去解决
[00:53:47--00:53:50] 然后哪怕一个司机这样的一个问题
[00:53:50--00:53:54] 他并不可能通过一个泛化的一个大的一个机座模型
[00:53:54--00:53:56] 或者一个大圆模型这些东西都能实现了
[00:53:56--00:53:58] 我觉得这是不现实的
[00:53:58--00:54:01] 为什么通用agent不如专业agent在你看来
[00:54:01--00:54:03] 我们需要通用agent吗
[00:54:03--00:54:05] 我就给通用agent换个描述方式
[00:54:05--00:54:08] 我觉得通用agent比较好的描述方式应该是agent os
[00:54:08--00:54:10] 我觉得五年之内没有通用agent
[00:54:10--00:54:12] 会有一个agent os
[00:54:12--00:54:14] 方便各个专业的人在这agent os里面
[00:54:14--00:54:17] 其实开发出来自己需要的agent
[00:54:17--00:54:20] 我觉得这个其实反而我认为其实需要的
[00:54:20--00:54:22] 所以你觉得agent可能是不同的工种
[00:54:22--00:54:25] 然后他们都共同享用一个agent os
[00:54:25--00:54:27] 对呀因为你要做一个agent
[00:54:27--00:54:29] 或者说你要作为一个生产工具
[00:54:29--00:54:32] 你就是能够替代和解放人类真实的工作
[00:54:32--00:54:34] 每天那个高频的工作
[00:54:34--00:54:38] 比如开车比如编程比如很多事情
[00:54:38--00:54:40] 而并不是只是信息索引一下
[00:54:40--00:54:42] 在脑子里转一圈就结束了
[00:54:42--00:54:44] 我觉得这个是根本性的不同
[00:54:44--00:54:46] 而且这时候还要跟我刚才讲
[00:54:46--00:54:48] 它会影响到你的收入
[00:54:48--00:54:50] 然后它会调用你的资产
[00:54:50--00:54:52] 然后它会调用你的工具
[00:54:52--00:54:54] 或者你的财产
[00:54:54--00:54:56] 你的电脑你的车
[00:54:56--00:54:58] 这时候我觉得整个的
[00:54:58--00:55:00] 包括对齐的要求也不一样了
[00:55:00--00:55:03] 比如说你今天拿什么去查找一个信息
[00:55:03--00:55:07] 你拿DeepSeek或者拿正常的openAI查找一个信息
[00:55:07--00:55:09] 它就用reg方式去做索引了
[00:55:09--00:55:11] 但是你拿DeepResearch
[00:55:11--00:55:13] 或者你拿Minders这样的
[00:55:13--00:55:15] 还会去找信息的源头
[00:55:15--00:55:17] 而不是简单的通过reg就可以了
[00:55:17--00:55:19] 因为专业的人员一定是找信息的源头
[00:55:19--00:55:23] 找到那最真实的源头信息才能往下去做分析
[00:55:23--00:55:25] 你们是不是也要做agentOS
[00:55:25--00:55:28] 我觉得我希望的我们做的agentOS
[00:55:28--00:55:30] 想来想去只有司机这一个
[00:55:30--00:55:32] 其他的我们不专业
[00:55:32--00:55:33] 你说我们做教育的
[00:55:33--00:55:37] 我觉得那应该是原辅导好未来他们去做的
[00:55:37--00:55:38] 对吧
[00:55:38--00:55:40] 然后agent会搭载在我们车上有可能的
[00:55:40--00:55:42] 但是我觉得我们比较重要的是说
[00:55:42--00:55:44] 我们先做好公司内部的agent
[00:55:44--00:55:46] 因为公司内部要需要很多的agent
[00:55:46--00:55:48] 然后有客服的agent
[00:55:48--00:55:50] 刚才讲的有编程的agent
[00:55:50--00:55:51] 对吧
[00:55:51--00:55:54] 所以我也提出了一个很重要的需求
[00:55:54--00:55:55] 因为都在CNN的团队
[00:55:55--00:55:58] 机组模型团队和操作系统团队
[00:55:58--00:56:00] 还有我们的智能商业的团队
[00:56:00--00:56:01] 因为智能商业做工具的
[00:56:01--00:56:03] 他们三个如何联合在一起
[00:56:03--00:56:06] 搭建出来有效的一个agentOS
[00:56:06--00:56:08] 并让每个专业自己在上面
[00:56:08--00:56:11] 然后来开发出来自己所在专业领域的agent
[00:56:12--00:56:13] 不可能智能商业的团队
[00:56:13--00:56:15] 做出来一个客服的agent
[00:56:15--00:56:17] 然后应该是客服团队
[00:56:17--00:56:18] 来借助这个平台
[00:56:18--00:56:20] 借助整个这样的一个agentOS
[00:56:20--00:56:22] 来开发出来自己的
[00:56:22--00:56:24] 真正的专业的agentOS
[00:56:24--00:56:26] 他们一个人带多个agent
[00:56:26--00:56:27] 一起来做客服
[00:56:27--00:56:29] 然后应该是我们的销售团队
[00:56:29--00:56:31] 来做出来电话专家的agent
[00:56:31--00:56:33] 然后开发人员做出来
[00:56:33--00:56:35] 对应他们的编程的agent
[00:56:35--00:56:37] 然后对应他们的整个的
[00:56:37--00:56:39] 做这验证实验的agent
[00:56:39--00:56:40] 我觉得这个其实
[00:56:40--00:56:42] 都应该是每个专业自己去做的
[00:56:42--00:56:44] 对不会有一个团队帮大家做好
[00:56:44--00:56:46] 但是我觉得智能商业团队
[00:56:46--00:56:47] 可以把一个公司
[00:56:47--00:56:49] 然后内部的agentOS做出来
[00:56:49--00:56:50] 所有人方便的在上面
[00:56:50--00:56:53] 然后去放入自己所需要的数据
[00:56:53--00:56:56] 语料去做对应的这方面的训练
[00:56:56--00:56:59] 然后去调整他这个专业领域的思维链
[00:56:59--00:57:01] 我觉得这是大家可以去做的
[00:57:01--00:57:03] agentOS是一个对内的事
[00:57:03--00:57:04] 不是一个对外的事
[00:57:04--00:57:05] 我觉得先做对内的
[00:57:05--00:57:07] 以后会开源吗
[00:57:07--00:57:09] 这个怎么开源
[00:57:09--00:57:10] 我们还没想呢
[00:57:10--00:57:11] 对因为
[00:57:11--00:57:12] 就是
[00:57:12--00:57:14] 我们之所以开源汽车的OS
[00:57:14--00:57:16] 因为我们做的真的挺好的
[00:57:16--00:57:18] 我们明显比AutoSat
[00:57:18--00:57:19] 比QNX好得多
[00:57:19--00:57:20] 自研了4年
[00:57:20--00:57:21] 对那真的是做的好
[00:57:21--00:57:22] 明显的好
[00:57:22--00:57:23] 如果你做的不好的东西
[00:57:23--00:57:25] 注意开源不就丢人吗
[00:57:25--00:57:27] 我觉得还在摸索的一个过程中
[00:57:27--00:57:28] 也包含其实刚才讲的
[00:57:28--00:57:30] 其实很多人到了工作的时候
[00:57:30--00:57:31] 就像Mindless一样
[00:57:31--00:57:32] 包括像JSPA一样
[00:57:32--00:57:34] 我怎么把todolist做出来
[00:57:34--00:57:36] todolist一定不是做系统的人做
[00:57:36--00:57:39] 而是说我把todolist这样的一个
[00:57:39--00:57:41] 然后架构设计出来
[00:57:41--00:57:43] 每个专业在放todolist
[00:57:43--00:57:45] 每个todolist里边的思维链怎么做
[00:57:45--00:57:48] 我觉得这时候才是真正的专业agent
[00:57:48--00:57:50] 我们刚才在聊VLA
[00:57:50--00:57:52] 那是不是意味着端到端才出来一年
[00:57:52--00:57:53] 你们就要换架构了
[00:57:53--00:57:54] 这个是不是太快了
[00:57:54--00:57:55] 去年端到端就被放弃了吗
[00:57:55--00:57:56] 我觉得没有放弃
[00:57:56--00:57:57] 还是我刚才讲的
[00:57:57--00:57:58] 其实端到端
[00:57:58--00:58:00] 其实是VLA的一部分
[00:58:00--00:58:02] 如果你把端到端想象成
[00:58:02--00:58:04] 其实是巨神智能的执行的一个环节
[00:58:04--00:58:05] 对吧
[00:58:05--00:58:07] 那它其实就是我们VLA的A的部分
[00:58:07--00:58:08] 就我A的部分
[00:58:08--00:58:10] 其实仍然是在拿这个预料在做训练的
[00:58:10--00:58:11] 嗯
[00:58:11--00:58:13] 其实它就组成了我的A的部分了
[00:58:13--00:58:15] 但只是我要多语言的部分
[00:58:15--00:58:19] 还要多更强的3D威神和高清2D威神的部分
[00:58:19--00:58:20] 嗯
[00:58:20--00:58:22] 所以有可能一步直达VLA吗
[00:58:22--00:58:23] 就比如说去年不推出端到端
[00:58:23--00:58:24] 加VLM那个版本
[00:58:24--00:58:26] 然后直接推VLA
[00:58:26--00:58:30] 直接研发VLA
[00:58:30--00:58:31] 没有可能
[00:58:31--00:58:33] 至少从我们自己的体验上其实没有可能
[00:58:33--00:58:35] 就我觉得说不太好听的话
[00:58:35--00:58:39] 就是没有办法直接摘第十个包子
[00:58:39--00:58:41] 虽然可能大家觉得第十个包子吃饱了
[00:58:41--00:58:42] 嗯
[00:58:42--00:58:43] 但前面每一个包子其实都跳不过去
[00:58:43--00:58:45] 然后我觉得往往很多时候
[00:58:45--00:58:48] 如果大家不想做前面任何的包子的积累
[00:58:48--00:58:49] 只想摘第十个包子
[00:58:49--00:58:51] 很多时候非常像练葵花宝典
[00:58:51--00:58:52] 对
[00:58:52--00:58:54] 我觉得今天包括DeepSeek的出现
[00:58:54--00:58:55] 并不是练葵花宝典练出来的
[00:58:55--00:58:56] 嗯
[00:58:56--00:58:57] 对
[00:58:57--00:58:59] 过去的时候它很早就构建这种集群的能力
[00:58:59--00:59:01] 去做这些
[00:59:01--00:59:02] 连路的
[00:59:02--00:59:03] 对
[00:59:03--00:59:04] 然后这些基建的优化
[00:59:04--00:59:05] 对
[00:59:05--00:59:06] 我觉得都是非常之重要的
[00:59:06--00:59:08] 所以才有了它的低成本和效率
[00:59:08--00:59:09] 我们特别喜欢
[00:59:09--00:59:11] 然后讲这种有一个人很聪明
[00:59:11--00:59:12] 直接摘到第十个包子
[00:59:12--00:59:13] 对
[00:59:13--00:59:16] 但现实中其实
[00:59:16--00:59:19] 至少今天这个社会的整个的知识
[00:59:19--00:59:20] 文明发展的越来越好了
[00:59:20--00:59:22] 不是胆大大于一切
[00:59:22--00:59:23] 我看不到什么捷径
[00:59:23--00:59:25] 包括今天很多企业做单道单都很吃力
[00:59:25--00:59:28] 因为在规则算法的时候都没做好
[00:59:28--00:59:30] 但是大家就觉得理想才是
[00:59:30--00:59:31] 摘第十个包子的人啊
[00:59:31--00:59:34] 因为你们做智能驾驶的时间比别人晚嘛
[00:59:34--00:59:37] 但我们自研的时间并不短啊
[00:59:37--00:59:39] 我们从2021年
[00:59:39--00:59:41] 然后上Grow3的时候就开始来做自研
[00:59:41--00:59:42] 对
[00:59:42--00:59:43] 然后
[00:59:43--00:59:45] 我们研究做的也很扎实
[00:59:45--00:59:47] 我觉得中国的所有企业里边
[00:59:47--00:59:48] 关于自动驾驶的论文
[00:59:48--00:59:49] 我们应该发表
[00:59:49--00:59:52] 然后以及被大的会议啊
[00:59:52--00:59:54] 大的社区这个录取引用的
[00:59:54--00:59:56] 其实应该也是最多的
[00:59:56--00:59:58] 我觉得这个情况我们还是做的挺扎实的
[00:59:58--01:00:00] 因为我们这个用户导向的公司
[01:00:00--01:00:02] 我们认为技术是一种能力
[01:00:02--01:00:03] 那所以其实我们更多的时候
[01:00:03--01:00:05] 讲的是用户的价值
[01:00:05--01:00:06] 今天大家讲
[01:00:06--01:00:08] 然后无论冰箱 彩电 大沙发
[01:00:08--01:00:09] 对吧
[01:00:09--01:00:10] 但是背后的话
[01:00:10--01:00:12] 我们的冰箱 彩电 大沙发的
[01:00:12--01:00:13] 智能化的背后的基础
