[00:00:00--00:00:02] 就是蒋曾国藩从二十多岁
[00:32:10--00:32:11] 我觉得才有更多的成长机会
[00:32:11--00:32:13] 神经网络对于广告来说
[00:32:13--00:32:14] 可能是优化
[00:32:14--00:32:15] 对
[00:32:15--00:32:16] pass了云
[00:32:16--00:32:17] pass了云
[00:32:17--00:32:18] 对
[00:32:18--00:32:20] 云因为当时就是把一些模型包装成API去做
[00:32:20--00:32:21] 我觉得
[00:32:21--00:32:23] 我觉得这个也不是很本质
[00:32:23--00:32:24] 在当时只剩自动驾驶
[00:32:24--00:32:25] 对
[00:32:25--00:32:26] 然后呢自动驾驶这事儿
[00:32:26--00:32:27] 我又延展了一下
[00:32:27--00:32:29] 我觉得这个是物理世界AI
[00:32:29--00:32:31] 就是AI加robot
[00:32:31--00:32:32] 我觉得这个
[00:32:32--00:32:33] 当时真的这么想吗
[00:32:33--00:32:34] 当时真的这么想
[00:32:34--00:32:35] AI加robot
[00:32:35--00:32:36] 对
[00:32:36--00:32:37] 然后我觉得这事儿
[00:32:37--00:32:38] 这事儿超牛
[00:32:38--00:32:40] 你为什么不去robot呢
[00:32:40--00:32:42] 当时也有很多的研究方向是
[00:32:42--00:32:43] 没错
[00:32:43--00:32:45] 也有这些公司
[00:32:45--00:32:46] 我是觉得
[00:32:46--00:32:47] 因为传统那些
[00:32:47--00:32:50] 读博士的时候也接触过这些方向和领域
[00:32:50--00:32:51] 传统的robot
[00:32:51--00:32:52] 控制优化
[00:32:52--00:32:53] 然后呢
[00:32:53--00:32:54] 这个SLAM
[00:32:54--00:32:55] 这些技术
[00:32:55--00:32:56] 这些技术呢
[00:32:56--00:32:57] 我觉得它
[00:32:57--00:32:58] 它很难从底层
[00:32:58--00:33:00] 因为它跟人的这个工作方法不一样
[00:33:00--00:33:04] 它很难从底层让这个机器人真的像人一样工作
[00:33:04--00:33:06] 它机器人里面更偏机器
[00:33:06--00:33:07] 而不是更偏人
[00:33:07--00:33:08] 你想它变成人
[00:33:08--00:33:09] 还是得有AI的这种方法
[00:33:09--00:33:10] 虽然那个时候
[00:33:10--00:33:12] AI或者神经网络
[00:33:12--00:33:13] 还没有那个
[00:33:13--00:33:15] 那个今天这么这么好吧
[00:33:15--00:33:17] 但我觉得这是个大方向
[00:33:17--00:33:18] 还是回到那个就是
[00:33:18--00:33:20] AI的魔力在于
[00:33:20--00:33:22] 能够代替人总结规律
[00:33:22--00:33:24] 这是你擅长干的
[00:33:24--00:33:25] 对
[00:33:25--00:33:27] 但我发现AI做这个事也做的很好
[00:33:27--00:33:28] 然后呢
[00:33:28--00:33:31] 那我觉得就是这个它是有机会
[00:33:31--00:33:33] 把这问题真正解决的
[00:33:33--00:33:34] 然后AI加robot
[00:33:34--00:33:35] 也是从底层
[00:33:35--00:33:37] 变革人类生产力的
[00:33:37--00:33:40] 超大型行业
[00:33:40--00:33:43] 所以我觉得这个就是值得投身
[00:33:43--00:33:44] 值得投身
[00:33:44--00:33:46] 你第一站选择了vimo
[00:33:46--00:33:47] 对
[00:33:47--00:33:48] 在聊你第一段工作之前
[00:33:48--00:33:50] 你能不能从你的视角复盘一下
[00:33:50--00:33:51] 过去十年
[00:33:51--00:33:54] 纵加时这个产业的变更
[00:33:54--00:33:55] 嗯
[00:33:55--00:33:57] 首先呢我觉得
[00:33:57--00:33:58] 当时确实是啊
[00:33:58--00:34:00] 就是说我在加入vimo
[00:34:00--00:34:02] 开始干纵加时之前
[00:34:02--00:34:04] 其实纵加时已经有十年了
[00:34:04--00:34:05] 它是08 09对吧
[00:34:05--00:34:07] 对dark heart challenge
[00:34:07--00:34:08] 然后所以当时呢
[00:34:08--00:34:10] 我就在当时那个时间点
[00:34:10--00:34:11] 我就回过头去
[00:34:11--00:34:13] 开始看当年的paper
[00:34:13--00:34:14] 全看了一遍
[00:34:14--00:34:15] 大部分看了一遍
[00:34:15--00:34:17] 对我不止把paper看了一遍
[00:34:17--00:34:18] 我去了vimo之后
[00:34:18--00:34:19] 我就最喜欢干的事
[00:34:19--00:34:20] 就是读vimo的code
[00:34:20--00:34:21] 好
[00:34:21--00:34:23] 历史严格也都看了一遍
[00:34:23--00:34:24] 然后呢
[00:34:24--00:34:27] 当时其实你可以看到的一个很明确的点
[00:34:27--00:34:28] 就是说
[00:34:28--00:34:31] 18年那会儿的整体的
[00:34:31--00:34:33] 自动驾驶的技术架构
[00:34:33--00:34:36] 和08年那会儿的自动驾驶的
[00:34:36--00:34:38] 大的技术架构框架
[00:34:38--00:34:39] 其实都一样
[00:34:39--00:34:40] 没区别
[00:34:40--00:34:41] 08年的paper里面
[00:34:41--00:34:42] 已经说清楚了
[00:34:42--00:34:44] 这事儿分感知
[00:34:44--00:34:46] 分这个定位
[00:34:46--00:34:47] 然后离线做好箭图
[00:34:47--00:34:49] 然后感知定位
[00:34:49--00:34:52] 之后在这个地图里面做
[00:34:52--00:34:53] 这个规控
[00:34:53--00:34:55] 然后感知做的好一些
[00:34:55--00:34:57] 规控这边就可以做更好的
[00:34:57--00:34:58] 这个力量动作
[00:34:58--00:34:59] 做判别
[00:34:59--00:35:00] 然后规控里边
[00:35:00--00:35:01] 先是决策
[00:35:01--00:35:02] 再是规划
[00:35:02--00:35:03] 然后是控制
[00:35:03--00:35:05] 大的paper plan
[00:35:05--00:35:06] 08年就是这个样子
[00:35:06--00:35:07] 只不过呢
[00:35:07--00:35:09] 后来随着AI技术的成熟
[00:35:09--00:35:11] 尤其是在CV领域的成熟
[00:35:11--00:35:15] 把很多感知部分的模块
[00:35:15--00:35:18] 替换成了这个AI的算法驱动的
[00:35:18--00:35:21] 比如说最早的就是激光雷达
[00:35:21--00:35:23] 最早激光雷达是什么
[00:35:23--00:35:25] 它是clustering这种
[00:35:25--00:35:26] 就是聚类
[00:35:26--00:35:27] 它发现这儿有一堆点云
[00:35:27--00:35:28] 它给你聚到一块
[00:35:28--00:35:30] 它是通过这样的方式
[00:35:30--00:35:31] 去判断这儿有没有障碍物
[00:35:31--00:35:34] 后来逐渐变成了神经网络
[00:35:34--00:35:37] 去做推理
[00:35:37--00:35:40] 所以它的整体的自动驾驶
[00:35:40--00:35:41] 在18年的技术架构
[00:35:41--00:35:42] 和08年的技术架构
[00:35:42--00:35:43] 没区别
[00:35:43--00:35:46] 但是这一套技术架构的底层逻辑
[00:35:46--00:35:47] 不是AI的
[00:35:47--00:35:49] 它的底层逻辑是robotics的
[00:35:49--00:35:51] robotics的底层逻辑
[00:35:51--00:35:52] 我的观察
[00:35:52--00:35:53] 我的认知上会定对
[00:35:53--00:35:56] 它是做系统拆分
[00:35:56--00:35:58] 然后关注corner case
[00:35:58--00:36:01] 正是因为它关注corner case
[00:36:01--00:36:04] 所以它要把这个系统
[00:36:04--00:36:06] 分成一个一个可解释的模块
[00:36:06--00:36:08] 然后在这个可解释的模块里
[00:36:08--00:36:09] 去解决这些case的问题
[00:36:09--00:36:11] AI的方法论不是这样
[00:36:11--00:36:14] AI的方法论是追求数据驱动
[00:36:14--00:36:16] 然后端到端
[00:36:16--00:36:20] 然后AI不太擅长解决一个两个具体的case
[00:36:20--00:36:21] 但是它特别擅长的是
[00:36:21--00:36:24] 我从整体上提升benchmark的性能
[00:36:24--00:36:27] 我在一个大的benchmark之前是80
[00:36:27--00:36:28] 我一波优化干到90
[00:36:28--00:36:30] 再一波优化干到95
[00:36:30--00:36:32] 这里边90到95
[00:36:32--00:36:34] 肯定我有相当多的case变好了
[00:36:34--00:36:36] 不排除有部分的case变差了
[00:36:36--00:36:38] 所以这个就是我们看到
[00:36:38--00:36:42] 当时我看到robotics追问的技术架构
[00:36:42--00:36:46] 是分模块,感知,堆控
[00:36:46--00:36:48] 定位,然后离线践途
[00:36:48--00:36:50] 但是AI的底层逻辑其实不是这个
[00:36:50--00:36:52] AI的底层逻辑就是端到端
[00:36:52--00:36:54] 然后呢
[00:36:54--00:36:57] 同时间其实18、19、20年那会儿
[00:36:57--00:37:00] 就是特斯拉开始去做自动驾驶
[00:37:00--00:37:03] 而且是用AI的方式推端到端的
[00:37:03--00:37:05] 它最早做的端到端是什么呢
[00:37:05--00:37:09] 是把感知先统一
[00:37:09--00:37:11] 但是它就是感知的一个模型
[00:37:11--00:37:13] 解决所有的感知问题
[00:37:13--00:37:15] 同期其实vimu是怎么干的
[00:37:15--00:37:18] 感知里边就可能有几十个模型
[00:37:18--00:37:20] 真的是几十个模型
[00:37:20--00:37:25] 这个detection可能是有一两个
[00:37:25--00:37:27] detection完了之后呢
[00:37:27--00:37:29] 要做这个tracking
[00:37:29--00:37:31] tracking里边有一些小的classifier
[00:37:31--00:37:33] 然后去做一些类别的判断
[00:37:33--00:37:36] tracking完了之后形成了track
[00:37:36--00:37:39] 然后再去判断做classification
[00:37:39--00:37:40] 每一类classification
[00:37:40--00:37:43] 可能pedestrian什么这个vehicle
[00:37:43--00:37:45] 都有自己的classifier
[00:37:45--00:37:47] 然后这些弄完了之后
[00:37:47--00:37:48] 在sin这个level
[00:37:48--00:37:49] sin understanding
[00:37:49--00:37:51] 再做一些这个什么分类器
[00:37:51--00:37:53] 所以就是看整个的感知
[00:37:53--00:37:54] 就有几十个模型
[00:37:54--00:37:56] 然后再是这个规划
[00:37:56--00:37:58] 规划里面当时还是
[00:37:58--00:38:00] 传统的这个规划算法
[00:38:00--00:38:01] 但是逐渐再具体
[00:38:01--00:38:02] 但是这种方法论
[00:38:02--00:38:05] 就跟AI的方法论不一样
[00:38:05--00:38:07] AI方法论还是说
[00:38:07--00:38:08] 它不是一个一个小模块
[00:38:08--00:38:11] 我还是要追求尽可能追求端到端
[00:38:11--00:38:13] 所以是那个时间点
[00:38:13--00:38:14] 我觉得就是说
[00:38:14--00:38:15] 就是说也是进了vmall
[00:38:15--00:38:18] 开始学习这个历史
[00:38:18--00:38:22] 我发现vmall因为过去很长时间主导
[00:38:22--00:38:25] 是robotics的人主导
[00:38:25--00:38:27] 所以它形成了这样一套东西
[00:38:27--00:38:28] Tesla在做这件事的时候
[00:38:28--00:38:30] 那马斯克他就肯定是
[00:38:30--00:38:31] 是驱动AI
[00:38:31--00:38:32] 他相信是这一套
[00:38:32--00:38:35] 所以他们就是完全就是AI native的去设计了
[00:38:35--00:38:37] 整个自动驾驶的这个框架
[00:38:37--00:38:38] 人也不一样对吧
[00:38:38--00:38:40] 人也不一样
[00:38:40--00:38:43] 或者我觉得在leader这个层面也真不一样
[00:38:43--00:38:44] 你说工程师这个层面
[00:38:44--00:38:47] vmall当时的这个人才密度非常的高
[00:38:47--00:38:48] 应该很高
[00:38:48--00:38:49] 非常的高
[00:38:49--00:38:51] 就是不缺有判断力的
[00:38:51--00:38:52] 或者有技术能力的这些工程师
[00:38:52--00:38:53] 都是很好的工程师
[00:38:53--00:38:55] 但是我觉得就还是说
[00:38:55--00:38:57] 自上而下的一些东西吧
[00:38:57--00:38:58] 缺失了
[00:39:00--00:39:02] 我觉得如果咱们回到刚才那个问题
[00:39:02--00:39:04] 回顾过去的这一段时间的话
[00:39:04--00:39:06] 其实就是我觉得从08年
[00:39:06--00:39:09] 到16 17 18年这段时间
[00:39:09--00:39:11] 都是robotics主导的模块拆分
[00:39:11--00:39:13] 然后AI起来之后
[00:39:13--00:39:16] 先是去做了一些模块内的
[00:39:16--00:39:18] 这个算法的替代
[00:39:18--00:39:19] 整个框架robotics
[00:39:19--00:39:21] 里边小模块替换成AI
[00:39:21--00:39:23] 但是从17 18 19年开始
[00:39:23--00:39:25] 另外一个路线就是
[00:39:25--00:39:27] 我AI native的重新去设计这个框架
[00:39:27--00:39:29] 演化到今天
[00:39:29--00:39:32] 其实逐渐的就是后来说的什么BEV
[00:39:32--00:39:34] 这个端到端
[00:39:34--00:39:35] VLA
[00:39:35--00:39:36] 就是这套了
[00:39:36--00:39:38] 所以到今天其实这套已经成了主流
[00:39:38--00:39:41] 所以你当时18年进入vmall之后
[00:39:41--00:39:43] 你发现迷失的还是错的吗
[00:39:43--00:39:45] 那时候不敢讲它是错的
[00:39:45--00:39:47] 我就感觉不太对
[00:39:47--00:39:49] 你的直观感觉是什么
[00:39:49--00:39:54] 我觉得vmall当时我的感受有两个
[00:39:54--00:39:56] 首先vmall大部分还是很好的
[00:39:56--00:39:57] 咱们只说问题
[00:39:57--00:39:59] 我觉得有两个小问题
[00:39:59--00:40:03] 第一个小问题是vmall里面
[00:40:03--00:40:05] 它太有大公司病了
[00:40:05--00:40:08] 它本身我们还没有做出价值
[00:40:08--00:40:10] 然后还是一个创业状态我理解
[00:40:10--00:40:12] 它里边人其实挺多的
[00:40:12--00:40:13] 它多少人
[00:40:13--00:40:15] 我当时去的时候有1000人了吧
[00:40:15--00:40:17] 我走的时候可能快2000了吧
[00:40:17--00:40:18] 快2000了
[00:40:18--00:40:19] 那是一个迅速膨胀期
[00:40:19--00:40:20] 迅速膨胀
[00:40:20--00:40:22] 因为我当时
[00:40:22--00:40:23] 我开始跟的leader
[00:40:23--00:40:25] 可能开始就是十来个人
[00:40:25--00:40:27] 我走的时候是七八十人吧
[00:40:27--00:40:29] 就是感知团队在那个时间
[00:40:29--00:40:30] 就迅速的在扩充
[00:40:30--00:40:31] 为什么扩充
[00:40:31--00:40:34] 那时候就是想用开始用AI的方法
[00:40:34--00:40:36] 系统性的改变感知了
[00:40:36--00:40:39] 之前还有很多传统的Ubase的东西
[00:40:39--00:40:40] 对
[00:40:40--00:40:41] 然后
[00:40:41--00:40:43] 对因为那时候vmall也不缺钱嘛
[00:40:43--00:40:44] 钱也很多
[00:40:44--00:40:46] 所以我当时感觉就是说
[00:40:46--00:40:47] 这个
[00:40:47--00:40:48] 这个
[00:40:48--00:40:52] 过早的进入到一个可能大公司的一个状态了
[00:40:52--00:40:55] 它所有都跟Google是对齐的对吧
[00:40:55--00:40:56] 职级体系
[00:40:56--00:40:58] 对职级体系是对齐的
[00:40:58--00:41:00] 然后包括整个的工程体系也是对齐的
[00:41:00--00:41:01] 文化
[00:41:01--00:41:02] 文化也很像
[00:41:02--00:41:03] 就是很那个
[00:41:03--00:41:04] 就是
[00:41:04--00:41:06] 我觉得硅谷最近的状态
[00:41:06--00:41:08] 可能跟十年前的状态又不一样了
[00:41:08--00:41:10] 最近硅谷的状态还是比较这个
[00:41:10--00:41:11] 卷
[00:41:11--00:41:13] 就是founder mode了已经
[00:41:13--00:41:17] 那些年我觉得还是比较peace and love
[00:41:17--00:41:18] 大家就是民主
[00:41:18--00:41:19] 然后这个什么的
[00:41:19--00:41:21] 现在我觉得也不太是那样了
[00:41:21--00:41:23] 早起晚起啊你们当时
[00:41:23--00:41:24] 哎呀
[00:41:24--00:41:26] 我是很勤奋的
[00:41:26--00:41:27] 我是
[00:41:27--00:41:30] 我一般就是自动加班那种的
[00:41:30--00:41:33] 但是如果是没人管正常的
[00:41:33--00:41:35] 有四五点加班的
[00:41:35--00:41:36] 去接孩子的
[00:41:36--00:41:39] 然后也有六七点走的
[00:41:39--00:41:40] 对
[00:41:40--00:41:42] 我那反正一般都会
[00:41:42--00:41:43] 因为我觉得我要好好干
[00:41:43--00:41:44] 我要好好学
[00:41:44--00:41:46] 所以正常工作做完了之后
[00:41:46--00:41:48] 我就开始看Google里边的所有的doc
[00:41:48--00:41:49] design doc
[00:41:49--00:41:50] 加上code base
[00:41:50--00:41:51] 就看
[00:41:51--00:41:54] 这是你当时意识到第一点可能的问题
[00:41:54--00:41:55] 就是大公司病
[00:41:55--00:41:56] 第二个呢
[00:41:56--00:41:58] 第二个我觉得就是说
[00:41:58--00:41:59] 就是
[00:41:59--00:42:01] 这大公司病背后我觉得
[00:42:01--00:42:02] 它这是个表象
[00:42:02--00:42:04] 它不是本质
[00:42:04--00:42:05] 本质是什么
[00:42:05--00:42:06] 本质是我觉得
[00:42:06--00:42:09] VMware是没有founder的
[00:42:09--00:42:11] 它的founder其实是Google的founder
[00:42:11--00:42:12] 但是Google的founder
[00:42:12--00:42:14] 又没时间直接去管这事
[00:42:14--00:42:15] 所以在这个里面
[00:42:15--00:42:16] 就是自上而下的力量
[00:42:16--00:42:18] 我觉得是缺失的
[00:42:18--00:42:19] 不像特斯拉
[00:42:19--00:42:20] 马斯克说干啥
[00:42:20--00:42:21] 哪怕是错了
[00:42:21--00:42:22] 他也能开始干
[00:42:22--00:42:25] 我觉得在这种行业里面创业
[00:42:25--00:42:26] 其实错不怕
[00:42:26--00:42:28] 有错我们快速迭代
[00:42:28--00:42:29] 快速调整
[00:42:29--00:42:30] 这都OK
[00:42:30--00:42:31] 怕的是力量不集中
[00:42:31--00:42:32] 不统一
[00:42:32--00:42:35] 我觉得这个很危险
[00:42:35--00:42:37] 假设VMware有一个更强势的founder
[00:42:37--00:42:38] 他应该做什么呢
[00:42:38--00:42:40] 在18年那个时间点上
[00:42:40--00:42:42] 我觉得就是要系统性的改变
[00:42:42--00:42:43] 整个的架构
[00:42:43--00:42:45] 应该另起一个team
[00:42:45--00:42:49] 然后从头开始去做这个架构
[00:42:49--00:42:51] 然后用一套的infra
[00:42:51--00:42:52] 一套的评测体系
[00:42:52--00:42:54] 但是整个的这个架构
[00:42:54--00:42:56] 要AI native的重新去设计
[00:42:56--00:42:57] 但是他从第一天
[00:42:57--00:42:59] 跟特斯拉就是两类公司
[00:42:59--00:43:00] 一个是好像想做
[00:43:00--00:43:01] 那个技术大脑的公司
[00:43:01--00:43:03] 另一类是有肢体的公司
[00:43:03--00:43:04] 就是有车
[00:43:04--00:43:05] 有很多的车能开在路上
[00:43:05--00:43:07] 那精英的特斯拉如此的不一样
[00:43:07--00:43:08] 他在那一刻
[00:43:08--00:43:09] 能做什么样的调整呢
[00:43:09--00:43:11] 他也不能马上说
[00:43:11--00:43:12] 我要变成一个车企
[00:43:12--00:43:14] 我觉得倒不是说
[00:43:14--00:43:15] 调整到一个车企的状态
[00:43:15--00:43:17] 而是就是在做自动驾驶软件
[00:43:17--00:43:19] 自动驾驶系统的这件事上面
[00:43:19--00:43:21] 我们以什么样的方法论
[00:43:21--00:43:22] 什么样的底层逻辑
[00:43:22--00:43:24] 去指导我们的系统设计
[00:43:24--00:43:27] 是robotics的去设计
[00:43:27--00:43:29] 还是AI native的去设计
[00:43:29--00:43:33] 就这个跟我们是不是一个车企
[00:43:33--00:43:35] 还是是不是一个自动驾驶企业
[00:43:35--00:43:36] 没关系
[00:43:36--00:43:37] 就事实上你看
[00:43:37--00:43:40] 很多国内的自动驾驶的
[00:43:40--00:43:41] 制作大脑的企业
[00:43:41--00:43:42] 他也可以很
[00:43:42--00:43:44] 就是用特斯拉那种方式
[00:43:44--00:43:45] 我就是AI native
[00:43:45--00:43:46] 然后就是data driven
[00:43:46--00:43:47] 坚定的走data driven
[00:43:47--00:43:50] 然后不断的去把rubase的东西
[00:43:50--00:43:51] 越搞越少
[00:43:51--00:43:53] 然后去完成这个过程
[00:43:53--00:43:54] 他现在完成了没有
[00:43:54--00:43:55] vmall
[00:43:55--00:43:57] 现在肯定比之前好得多得多
[00:43:57--00:43:58] 好得多得多
[00:43:58--00:43:59] 对好得多
[00:43:59--00:44:00] 但是具体的我也不是很清楚了
[00:44:00--00:44:02] 但他这个转换过程是很慢的
[00:44:02--00:44:03] 转换过程是比较慢的
[00:44:03--00:44:04] 所以其实我觉得vmall
[00:44:04--00:44:05] 是可以做的更快的
[00:44:05--00:44:07] 但今天vmall的
[00:44:07--00:44:08] 这个结果又很好
[00:44:08--00:44:10] 所以所以我又很佩服
[00:44:10--00:44:11] 对为什么呢这是
[00:44:11--00:44:13] 我觉得还是就是说
[00:44:13--00:44:14] 这个这个
[00:44:14--00:44:17] 他对于长期的这个战略的这个
[00:44:17--00:44:18] 一旦选择了之后
[00:44:18--00:44:20] 他的执行是很坚定的
[00:44:20--00:44:21] 那然后同时呢里边
[00:44:21--00:44:22] 还是有对的人
[00:44:22--00:44:24] 只是调整的速度慢了一些
[00:44:24--00:44:25] 但是他是在调整
[00:44:25--00:44:28] 你怎么看vmall的商业模式
[00:44:28--00:44:32] 就我觉得就是自动驾驶这里边
[00:44:32--00:44:34] 有有这么几种商业模式啊
[00:44:34--00:44:36] 就是我们说自动驾驶的
[00:44:36--00:44:37] 这个概念下
[00:44:37--00:44:39] 有这么几种商业模式
[00:44:39--00:44:41] 第一种商业模式呢
[00:44:41--00:44:42] 其实就是vmall
[00:44:42--00:44:44] 这种代表的robotaxi
[00:44:44--00:44:47] 那他们相当于是我自己运营车队
[00:44:47--00:44:49] 以自动驾驶技术
[00:44:49--00:44:50] 然后我运营车队
[00:44:50--00:44:51] 然后呢这个
[00:44:51--00:44:54] 这个通过提供服务的形式
[00:44:54--00:44:57] 然后呢去赚每单的这个费用
[00:44:57--00:44:59] 然后呢第二种模式呢
[00:44:59--00:45:01] 是像车企这样的
[00:45:01--00:45:02] 让他卖车
[00:45:02--00:45:05] 然后把自动驾驶作为一个
[00:45:05--00:45:08] 软件订阅的形式
[00:45:08--00:45:09] 向你向你收费
[00:45:09--00:45:11] 然后第三种模式呢
[00:45:11--00:45:14] 是像比如说像momenta
[00:45:14--00:45:15] 这样的供应商
[00:45:15--00:45:18] 那么他其实是NRE加license
[00:45:18--00:45:22] 向这个车企提供自动驾驶的解决方案
[00:45:22--00:45:23] 其实还有第四种
[00:45:23--00:45:25] 我觉得我觉得可能华为算是第四种
[00:45:25--00:45:28] 他是介于车企和那个
[00:45:28--00:45:29] 供应商之间
[00:45:29--00:45:30] 供应商之间的
[00:45:30--00:45:32] 我觉得他本质上其实还是
[00:45:32--00:45:34] 在这个车企这个层面
[00:45:34--00:45:35] 就赚的整车的利润
[00:45:35--00:45:38] 他通过这个更好的自动驾驶体验
[00:45:38--00:45:40] 就顶级的自动驾驶体验
[00:45:40--00:45:41] 和顶级的座舱体验
[00:45:41--00:45:42] 重新定义了车
[00:45:42--00:45:45] 然后再加上他自己的品牌和渠道影响力
[00:45:45--00:45:48] 我觉得他的整个的营收和利润
[00:45:48--00:45:50] 是建立在整车这个层面的
[00:45:50--00:45:53] 所以你觉得vmall的商业模式能走通吗
[00:45:53--00:45:55] 我觉得我觉得他这商业模式
[00:45:55--00:45:56] 本身是没问题的
[00:45:56--00:45:58] 只不过在走空的过程当中
[00:45:58--00:46:03] 他就是需要克服的这个困难和阻力
[00:46:03--00:46:05] 然后这个周期是非常长的
[00:46:05--00:46:07] 直到今天为止我觉得已经算是
[00:46:07--00:46:09] 看到那个走通的曙光了
[00:46:09--00:46:10] 我觉得vmall和特斯拉
[00:46:10--00:46:12] 他这两条路线现在有胜负手
[00:46:12--00:46:14] 一个是走的是这种
[00:46:14--00:46:16] 我觉得科学驱动
[00:46:16--00:46:18] 然后另外一个走的是更工程驱动
[00:46:18--00:46:20] 一天就有很多的车在路上跑
[00:46:20--00:46:21] 然后搜集很多的数据
[00:46:21--00:46:23] 这两条路线
[00:46:23--00:46:25] 今天能说哪条路线是正确
[00:46:25--00:46:27] 哪条路线是错误的吗
[00:46:27--00:46:28] 明白
[00:46:28--00:46:31] 首先我觉得vmall不算是科学驱动
[00:46:31--00:46:33] vmall的工程基因非常非常的强
[00:46:33--00:46:35] 就是vmall的工程化基因
[00:46:35--00:46:36] 和Tesla的工程基因
[00:46:36--00:46:37] 我觉得是一样的
[00:46:37--00:46:39] 因为vmall的工程基因来自于Google
[00:46:39--00:46:42] 我自己的工程师这方面的训练
[00:46:42--00:46:43] 我觉得就是在Google
[00:46:43--00:46:45] vmall这个体系里面完成的
[00:46:45--00:46:47] 所以我倒不觉得vmall是个科学的公司
[00:46:47--00:46:49] vmall非常的工程
[00:46:49--00:46:51] 只是就是说
[00:46:51--00:46:53] 我觉得他们两个区别还是在于
[00:46:53--00:46:55] 就是对待AI的态度上
[00:46:55--00:46:58] 以及面向AI的这个
[00:46:58--00:47:00] AI驱动的整体的系统设计的
[00:47:00--00:47:02] 调整速度和力度上面
[00:47:02--00:47:03] 它都不一样
[00:47:03--00:47:05] 我觉得主要还是来源于在这儿
[00:47:05--00:47:06] 你能不能预判一下vmall的未来
[00:47:06--00:47:09] 我觉得vmall
[00:47:09--00:47:13] 因为我去年的11月份
[00:47:13--00:47:15] 我就是回到美国嘛
[00:47:15--00:47:17] 然后我特地去LA
[00:47:17--00:47:18] 因为我没去三藩
[00:47:18--00:47:20] 我没在LA做过
[00:47:20--00:47:23] 因为我看vmall在LA开通服务了
[00:47:23--00:47:24] 我去做了一下
[00:47:24--00:47:25] 我觉得体验特别好
[00:47:25--00:47:27] 然后确实是已经做到了
[00:47:27--00:47:30] 比大部分Uber要好得多的体验了
[00:47:30--00:47:32] 所以我觉得它的商业模式
[00:47:32--00:47:35] 已经算是进行走通的边缘了
[00:47:35--00:47:37] 它是一个AI时代的Uber
[00:47:37--00:47:38] 应该是了
[00:47:38--00:47:39] 对
[00:47:39--00:47:40] 它运营的范围很广
[00:47:40--00:47:43] 它是从这个洛杉矶Downtown
[00:47:43--00:47:44] 然后到好莱坞
[00:47:44--00:47:45] 然后一直到Santa Monica
[00:47:45--00:47:47] 这一大片全都在运营
[00:47:47--00:47:49] 所以你在vmall期间
[00:47:49--00:47:50] 你做了哪些工作
[00:47:50--00:47:51] 以及你学到了什么
[00:47:51--00:47:52] 有哪些重要的learning
[00:47:52--00:47:54] 我当时在vmall
[00:47:54--00:47:56] 我主要做的还是就是预测和感知
[00:47:56--00:47:57] 这块
[00:47:57--00:47:59] 我先去做的其实是预测
[00:47:59--00:48:01] 因为当时正好有一个机会
[00:48:01--00:48:04] 就是传统的自动驾驶的预测
[00:48:04--00:48:05] 预测是干什么
[00:48:05--00:48:07] 预测就是说我要预测
[00:48:07--00:48:09] 我周围的行人和车辆
[00:48:09--00:48:11] 它下一步会干什么
[00:48:11--00:48:13] 我得大概预判出它要干什么
[00:48:13--00:48:14] 我才能决定我自己要干什么
[00:48:14--00:48:16] 而且本质上这也是一个交互
[00:48:16--00:48:18] 和博弈的一个过程
[00:48:18--00:48:21] 所以我当时就刚进vmall
[00:48:21--00:48:24] 然后领导说有这么一个机会
[00:48:24--00:48:26] 我就觉得挺好的
[00:48:26--00:48:27] 我就开始做
[00:48:27--00:48:30] 然后当时我们去尝试用
[00:48:30--00:48:34] 肯定是用AI的方式去做预测
[00:48:34--00:48:36] 之前其实也有人尝试
[00:48:36--00:48:38] 之前用AI的方式做预测
[00:48:38--00:48:40] 这个方法不太对
[00:48:40--00:48:41] 方法是什么
[00:48:41--00:48:42] 就是说它先把地图
[00:48:42--00:48:43] 渲染成一张图片
[00:48:43--00:48:45] 然后用卷积神经网络
[00:48:45--00:48:47] 去处理这张图片
[00:48:47--00:48:49] 带来的问题是什么
[00:48:49--00:48:51] 带来的问题就是
[00:48:51--00:48:54] 卷积神经网络它是一个局部事业
[00:48:54--00:48:57] 但是地图这个东西它是很长的
[00:48:57--00:48:58] 所以它就会导致
[00:48:58--00:49:00] 它对信息的处理不够好
[00:49:00--00:49:03] 在当时我们做的一个创新
[00:49:03--00:49:05] 就是说我们用图神经网络的方式
[00:49:05--00:49:08] 去把地图
[00:49:08--00:49:10] 变成用向量去表达
[00:49:10--00:49:12] 而不是把地图渲染成一张图片
[00:49:12--00:49:14] 就把地图变成向量
[00:49:14--00:49:17] 然后把向量放到图神经网络里面
[00:49:17--00:49:18] 去做处理
[00:49:18--00:49:19] 这个图神经网络当时
[00:49:19--00:49:20] 我们用的最基础的算子
[00:49:20--00:49:22] 就是这个self-attention
[00:49:22--00:49:23] 其实当时也是参考了
[00:49:23--00:49:24] Transformer里面
[00:49:24--00:49:25] 这个self-attention的设计
[00:49:25--00:49:27] 但是没有搞它那么重的架构
[00:49:27--00:49:28] 但是还很轻的一个
[00:49:28--00:49:30] 因为给我们的算力也很小
[00:49:30--00:49:31] 做了一个很轻的架构
[00:49:31--00:49:32] 做self-attention
