[00:00:02--00:00:04] 就在京都在鸭川边上
[00:30:03--00:30:03] 相对成熟
[00:30:03--00:30:04] 跟今天的
[00:30:04--00:30:05] 比如Banana
[00:30:05--00:30:06] 这些是不能比的
[00:30:06--00:30:07] 但在那个时间点
[00:30:07--00:30:08] Diffusion Based Model
[00:30:08--00:30:09] 是一个已经
[00:30:09--00:30:10] 相对成熟的技术
[00:30:10--00:30:11] 周边生态
[00:30:11--00:30:12] 也开发的比较好
[00:30:12--00:30:13] 所以我们
[00:30:13--00:30:14] 就决定
[00:30:14--00:30:16] 在图像上试一试
[00:30:16--00:30:17] 我们作为一个
[00:30:17--00:30:18] 后发的产品
[00:30:18--00:30:19] 后发的团队
[00:30:19--00:30:20] 当时已经有
[00:30:20--00:30:21] 比如说
[00:30:21--00:30:21] Miderni这些
[00:30:21--00:30:23] 当然最火的topic
[00:30:23--00:30:24] 就是Miderni
[00:30:24--00:30:25] 各个大厂
[00:30:25--00:30:26] 都在做各种各样
[00:30:26--00:30:26] 类似Miderni
[00:30:26--00:30:27] 这样的产品
[00:30:27--00:30:28] 我们再去做这个事
[00:30:28--00:30:29] 显然是不make sense
[00:30:29--00:30:30] 因为我第一个理念就是
[00:30:30--00:30:31] 大家这事
[00:30:31--00:30:31] 已经做得很好了
[00:30:31--00:30:32] 我们到底
[00:30:32--00:30:33] 有什么不一样
[00:30:33--00:30:33] 没什么不一样
[00:30:33--00:30:34] 我们为什么要做一遍
[00:30:34--00:30:35] 其次我们又没卡
[00:30:35--00:30:36] 又没钱又没人
[00:30:36--00:30:37] 我们为什么
[00:30:37--00:30:38] 能做成这个事
[00:30:38--00:30:39] 所以做的第二个决策
[00:30:39--00:30:40] 我们一定要找一个
[00:30:40--00:30:41] 足够垂直
[00:30:41--00:30:42] 足够细分的事情去做
[00:30:42--00:30:43] 在这一件事上
[00:30:43--00:30:44] 尝试比别人做得都好
[00:30:44--00:30:46] 这就用到了一个
[00:30:46--00:30:47] 就Jobs有一个
[00:30:47--00:30:50] 很经典的演讲
[00:30:50--00:30:51] 它就是Connecting the dots
[00:30:51--00:30:53] 所以那个时候
[00:30:53--00:30:54] 我就跟团队讲
[00:30:54--00:30:55] 因为我以前做过相册
[00:30:55--00:30:56] 相册会做
[00:30:56--00:30:57] 用户照片的
[00:30:57--00:30:58] 自动的分类
[00:30:58--00:30:59] 我就说
[00:30:59--00:31:00] 其实人的照片
[00:31:00--00:31:01] 占了70%
[00:31:01--00:31:02] 第二名是截图
[00:31:02--00:31:04] 所以其实我们
[00:31:04--00:31:04] 只要能把人
[00:31:04--00:31:05] 这个事做好
[00:31:05--00:31:06] 就会非常好
[00:31:06--00:31:07] 所以我们就定下了
[00:31:07--00:31:07] OK我们要做
[00:31:07--00:31:09] 写实的人像
[00:31:09--00:31:09] 这样一个垂直的方向
[00:31:09--00:31:10] 再去看
[00:31:10--00:31:12] 其实团队的第一反应
[00:31:12--00:31:13] 是去做一些
[00:31:13--00:31:14] 比如说淘宝换装
[00:31:14--00:31:15] 模特图生产
[00:31:15--00:31:16] 电商图生产
[00:31:16--00:31:17] 因为毕竟是阿里的团队
[00:31:17--00:31:19] 但这样的事情
[00:31:19--00:31:21] 其实是很难有利润的
[00:31:21--00:31:22] 很难有利润的
[00:31:22--00:31:23] 因为电商是一个
[00:31:23--00:31:25] 很长的商业链条
[00:31:25--00:31:26] 很长的商业链条
[00:31:26--00:31:27] 在这么长的一个
[00:31:27--00:31:28] 商业链条里
[00:31:28--00:31:30] 你不是核心环节的话
[00:31:30--00:31:31] 你是很难有
[00:31:31--00:31:32] 好的利润空间
[00:31:32--00:31:33] 你是没有溢价权
[00:31:33--00:31:34] 所以我觉得
[00:31:34--00:31:34] 这不是好生意
[00:31:34--00:31:35] 当时就想找一个
[00:31:35--00:31:37] 2C的能够端端端
[00:31:37--00:31:37] 定价的东西
[00:31:37--00:31:38] 就选了写真
[00:31:38--00:31:40] 所以这几个决策
[00:31:40--00:31:41] 做完之后
[00:31:41--00:31:42] 你就变得比较简单
[00:31:42--00:31:44] 我要用一个
[00:31:44--00:31:45] 垂直于写实人像的
[00:31:45--00:31:45] AI模型
[00:31:45--00:31:47] 去做一个写真的生意
[00:31:47--00:31:48] 因为今天的写真
[00:31:48--00:31:49] 它成本高
[00:31:49--00:31:50] 周期慢
[00:31:50--00:31:51] 重资产
[00:31:51--00:31:53] 这几个决策之后
[00:31:53--00:31:54] 就开始做这个产品
[00:31:54--00:31:55] 后来结果也还不错
[00:31:55--00:31:59] 其实我们不是
[00:31:59--00:32:00] 第一个做这个事
[00:32:00--00:32:02] 在我们做这个事之前
[00:32:02--00:32:03] 当时B612
[00:32:03--00:32:04] 美图这些产品
[00:32:04--00:32:05] 都已经上线了
[00:32:05--00:32:06] 一模一样的功能
[00:32:06--00:32:07] 甚至连交互流程
[00:32:07--00:32:08] 跟我们基本上都是类似
[00:32:08--00:32:08] 所以我们
[00:32:08--00:32:10] 但确实效果
[00:32:10--00:32:11] 做到了比较好
[00:32:11--00:32:12] 是哪方面
[00:32:12--00:32:13] 效果做得比较好
[00:32:13--00:32:13] 因为当时我们
[00:32:13--00:32:14] 做这个项目的时候
[00:32:14--00:32:16] 我定了一个要求
[00:32:16--00:32:17] 我们当时定了三个样
[00:32:17--00:32:18] 一个叫真
[00:32:18--00:32:18] 一个叫像
[00:32:18--00:32:19] 一个叫美
[00:32:19--00:32:21] 真要看不出来
[00:32:21--00:32:21] 是AI做的
[00:32:21--00:32:22] 到今天为止
[00:32:22--00:32:23] 我觉得所有AI
[00:32:23--00:32:24] 今天很少有人
[00:32:24--00:32:26] 还提AIGC这种词
[00:32:26--00:32:28] 但你只要是AI generating
[00:32:28--00:32:30] 是不是足够
[00:32:30--00:32:31] 真到看不出来
[00:32:31--00:32:33] 就是一条线
[00:32:33--00:32:34] 你能卖过去
[00:32:34--00:32:34] 你的价值
[00:32:34--00:32:35] 就会被无限放大
[00:32:35--00:32:36] 你卖不过去
[00:32:36--00:32:36] 你的价值
[00:32:36--00:32:37] 还是会有一个
[00:32:37--00:32:38] 很低的条件
[00:32:38--00:32:38] 所以
[00:32:38--00:32:39] 很真
[00:32:39--00:32:40] 看不出来是AI做的
[00:32:40--00:32:40] 像你
[00:32:40--00:32:41] 肯定要跟用户
[00:32:41--00:32:42] 要足够像
[00:32:42--00:32:43] 人最喜欢传播的东西
[00:32:43--00:32:44] 永远就只有三类
[00:32:44--00:32:46] 一种叫与我有关
[00:32:46--00:32:47] 第二种叫对我有用
[00:32:47--00:32:48] 第三种叫喜闻乐见
[00:32:48--00:32:49] 对
[00:32:49--00:32:50] 所以一定要足够像
[00:32:50--00:32:52] 一定要让它足够
[00:32:52--00:32:52] 与我有关
[00:32:52--00:32:53] 第三个就是美
[00:32:53--00:32:54] 还得比我好看点
[00:32:54--00:32:56] 没有人想要看到
[00:32:56--00:32:57] 完全想真实的自己
[00:32:57--00:32:58] 对
[00:32:58--00:32:58] 还要美化一点
[00:32:58--00:32:59] 所以
[00:32:59--00:33:01] 所以我觉得本质上
[00:33:01--00:33:02] 是在这三个要求上
[00:33:02--00:33:03] 做到了比较高的
[00:33:03--00:33:03] 一个分数
[00:33:03--00:33:04] 其实我
[00:33:04--00:33:05] 我自己有一个产品理念
[00:33:05--00:33:06] 也是我
[00:33:06--00:33:08] 我现在去做AI产品
[00:33:08--00:33:08] 在过去两年
[00:33:08--00:33:10] 坦白说
[00:33:10--00:33:11] 中间摸索了很多东西
[00:33:11--00:33:11] 但很多东西
[00:33:11--00:33:12] 都让我不是很兴奋
[00:33:12--00:33:14] 我们都用比较
[00:33:14--00:33:15] 低成本的方式去做
[00:33:15--00:33:16] 或者叫用
[00:33:16--00:33:17] 用小的试错的方式去做
[00:33:17--00:33:18] 有一个原因就是
[00:33:18--00:33:19] 我比较喜欢
[00:33:19--00:33:20] one way door的产品
[00:33:20--00:33:21] 单向门产品
[00:33:21--00:33:22] 单向门产品
[00:33:22--00:33:23] 就是说你
[00:33:23--00:33:24] 你用了这个产品
[00:33:24--00:33:24] 你就知道
[00:33:24--00:33:26] 这个需求以后
[00:33:26--00:33:27] 我只会用这种东西解决
[00:33:27--00:33:28] 你比如说
[00:33:28--00:33:29] coding IDE
[00:33:29--00:33:30] 就IDE这个事情
[00:33:30--00:33:31] 你用了Cursor
[00:33:31--00:33:32] 或者用Cloud Code
[00:33:32--00:33:33] 你就知道
[00:33:33--00:33:34] 你再也不会用
[00:33:34--00:33:35] 以前的IDE
[00:33:35--00:33:36] 就这也是为什么
[00:33:36--00:33:37] 它的商业线这么大
[00:33:37--00:33:38] 就它才是一个
[00:33:38--00:33:39] 被充分放大的东西
[00:33:39--00:33:40] 它是个单向门
[00:33:40--00:33:42] 你为什么喜欢这种
[00:33:42--00:33:44] 因为这个东西
[00:33:44--00:33:45] 你可以慢慢做
[00:33:45--00:33:47] 你可以长期的做它
[00:33:47--00:33:49] 它是一个足够
[00:33:49--00:33:50] 长期正确的事情
[00:33:50--00:33:51] 有些产品是wow
[00:33:51--00:33:54] 但实际上它不是单向门
[00:33:54--00:33:55] 你wow完了之后
[00:33:55--00:33:55] 你还会退回去
[00:33:55--00:33:57] 或者你无法完全取代
[00:33:57--00:33:59] 以前的使用习惯
[00:33:59--00:34:02] 你会非常的痛苦
[00:34:02--00:34:03] 你这种生意
[00:34:03--00:34:05] 是不断的需要去循环去做的
[00:34:05--00:34:06] 你要不断的把
[00:34:06--00:34:07] 用户还要召回回来
[00:34:07--00:34:08] 它本来用的
[00:34:08--00:34:08] 挺好
[00:34:08--00:34:10] 过两天你解决不了
[00:34:10--00:34:10] 我这个问题
[00:34:10--00:34:11] 我还得再用回原来那个
[00:34:11--00:34:13] 过两天又得想起你来
[00:34:13--00:34:15] 这是一个很麻烦的事情
[00:34:15--00:34:16] 但如果你非常确定
[00:34:16--00:34:17] 你是单向门
[00:34:17--00:34:18] 那就意味着
[00:34:18--00:34:19] 你的市场份额
[00:34:19--00:34:20] 哪怕今天你再小
[00:34:20--00:34:22] 哪怕今天你再小
[00:34:22--00:34:23] 你一定会一天一天
[00:34:23--00:34:23] 往上涨
[00:34:23--00:34:25] 我觉得这个东西
[00:34:25--00:34:26] 就最终是一个
[00:34:26--00:34:27] 来自于自己的
[00:34:27--00:34:28] 其实它不是因为数据
[00:34:28--00:34:29] 你用了之后
[00:34:29--00:34:29] 你就觉得自己
[00:34:29--00:34:31] 至少你自己回不去了
[00:34:31--00:34:31] 你自己回不去了
[00:34:31--00:34:35] 反正可能大家不同的人
[00:34:35--00:34:36] 有不同的做产品的方法
[00:34:36--00:34:37] 我可能我自己的水平
[00:34:38--00:34:39] 我很难逃离出
[00:34:39--00:34:41] 我自己完全不会用的
[00:34:41--00:34:42] 我完全不会用的东西
[00:34:42--00:34:44] 我是很难去做产品判断
[00:34:44--00:34:46] 所以我更多去做的
[00:34:46--00:34:46] 每个产品都是
[00:34:46--00:34:47] 我自己就用
[00:34:47--00:34:49] 我用了这个东西
[00:34:49--00:34:50] 觉得可能是个单向门
[00:34:50--00:34:51] 我自己真的觉得
[00:34:51--00:34:52] 我以后不会再用
[00:34:52--00:34:53] 以前的解决方案了
[00:34:53--00:34:54] 我就会觉得
[00:34:54--00:34:56] 这是一个真实的
[00:34:56--00:34:57] 其实需求往往不是
[00:34:57--00:34:58] 创造新需求
[00:34:58--00:34:59] 创新不是创造新需求的
[00:34:59--00:35:01] 往往是为一个旧需求
[00:35:01--00:35:01] 解决一个新
[00:35:01--00:35:02] 提供一个新解法
[00:35:02--00:35:03] 或者新价值
[00:35:03--00:35:06] 就是所谓单向门产品的意思
[00:35:06--00:35:07] 就是你这个新解法
[00:35:07--00:35:08] 比起旧解法
[00:35:08--00:35:11] 是一个全方位优势的解法
[00:35:11--00:35:13] 那你一定会赢的
[00:35:13--00:35:13] 对
[00:35:13--00:35:14] 哪怕一开始
[00:35:14--00:35:15] 大家都不认同你
[00:35:15--00:35:15] 或者这么说
[00:35:15--00:35:16] 甚至你一开始
[00:35:16--00:35:17] 觉得这个解法
[00:35:17--00:35:19] 效果还没有足够好
[00:35:19--00:35:21] 你无法今天就做到
[00:35:21--00:35:23] 全面优势
[00:35:23--00:35:24] 但你能看到一个
[00:35:24--00:35:25] 很未来的东西
[00:35:25--00:35:26] 你看到一个未来
[00:35:26--00:35:26] 它会针对今天
[00:35:26--00:35:28] 是一个全面优势
[00:35:28--00:35:29] 也是OK的
[00:35:29--00:35:30] 当然最大的机会
[00:35:30--00:35:30] 往往在这里
[00:35:30--00:35:31] 你看到了一个
[00:35:31--00:35:32] 别人都还没看到的
[00:35:32--00:35:35] 其实会全面优势的单向门
[00:35:35--00:35:36] 去做
[00:35:36--00:35:37] 等到大家意识到
[00:35:37--00:35:38] 它是个单向门的时候
[00:35:38--00:35:40] 你就已经赢了
[00:35:40--00:35:41] 你今天会怎么看
[00:35:41--00:35:42] 妙鸦这个产品
[00:35:42--00:35:43] 首先我觉得
[00:35:43--00:35:45] 第一个最核心的结论
[00:35:45--00:35:46] 就是这个其实是我花了两年
[00:35:46--00:35:50] 做了一些思维上的调整和变化
[00:35:50--00:35:51] 我先给一个
[00:35:51--00:35:52] 最笼统的结论
[00:35:52--00:35:53] 就是我觉得妙鸦
[00:35:53--00:35:54] 不是一个AI native的产品
[00:35:54--00:35:57] 它是一个把AI能力
[00:35:57--00:35:59] 发挥得非常好的互联网产品
[00:35:59--00:36:01] 今天AI native这个词
[00:36:01--00:36:02] 都已经被念烂了
[00:36:02--00:36:03] 人人都在讲AI native
[00:36:03--00:36:04] 绝大部分的AI native的定义
[00:36:04--00:36:05] 也非常简单
[00:36:05--00:36:06] 没有这代AI技术
[00:36:06--00:36:07] 就做不了的产品
[00:36:08--00:36:09] 我觉得这个不够
[00:36:09--00:36:11] 显然如果没有这代的技术
[00:36:11--00:36:12] 妙鸦这样的产品
[00:36:12--00:36:13] 是不成立的
[00:36:13--00:36:13] 确实不成立
[00:36:13--00:36:14] 但不代表它就是
[00:36:14--00:36:15] AI native产品
[00:36:15--00:36:16] 这是一个必要条件
[00:36:16--00:36:18] 不是一个充分条件
[00:36:18--00:36:18] 至少我觉得
[00:36:18--00:36:20] 今天AI native的产品
[00:36:20--00:36:22] 还有一些其他的特征
[00:36:22--00:36:23] 比如说
[00:36:23--00:36:24] 我觉得这个不是全机
[00:36:24--00:36:24] 我只能说自己的
[00:36:24--00:36:25] 有一些感知
[00:36:25--00:36:27] 比如说用户输入的开放性
[00:36:27--00:36:28] 输出的开放性
[00:36:28--00:36:29] 是非常重要的
[00:36:29--00:36:29] 开放性
[00:36:29--00:36:33] 就是在整个互联网20年
[00:36:33--00:36:34] 不管是PC互联网
[00:36:34--00:36:35] 还是移动互联网
[00:36:35--00:36:38] 产品设计的基本的
[00:36:38--00:36:38] 原则
[00:36:38--00:36:40] 就是面向流程的产品设计
[00:36:40--00:36:41] 用户进来
[00:36:41--00:36:43] 产品经理的工作
[00:36:43--00:36:44] 就好像你要设计一个路线
[00:36:44--00:36:44] 这个人进来
[00:36:44--00:36:45] 拥有五个门
[00:36:45--00:36:46] 他推这个门
[00:36:46--00:36:47] 能干什么事
[00:36:47--00:36:48] 上面有五个钮
[00:36:48--00:36:49] 按这个钮会发生什么
[00:36:49--00:36:50] 按那个钮会发生什么
[00:36:50--00:36:51] 他最后
[00:36:51--00:36:52] 简单的那产品
[00:36:52--00:36:53] 可能是个竖形结构
[00:36:53--00:36:55] 它是个竖形的决策竖
[00:36:55--00:36:56] 或者叫流程竖
[00:36:56--00:36:58] 最强的产品
[00:36:58--00:36:59] 就比如像微信这样的产品
[00:36:59--00:37:00] 它就像一个游乐园一样
[00:37:00--00:37:01] 其实你不管从哪进去
[00:37:01--00:37:02] 它其实是连着的
[00:37:02--00:37:04] 整个产品是一个循环
[00:37:04--00:37:05] 你去迪士尼
[00:37:05--00:37:06] 你不是一定要
[00:37:06--00:37:07] 沿着一个路线走
[00:37:07--00:37:08] 它是可以自由走的
[00:37:08--00:37:10] 但它的所有的东西
[00:37:10--00:37:11] 是相互连通的
[00:37:11--00:37:13] 但说到底
[00:37:13--00:37:14] 你用户其实是一个
[00:37:14--00:37:15] 有限自由度
[00:37:15--00:37:16] 其实是有限自由度
[00:37:16--00:37:17] 有限自由度
[00:37:17--00:37:17] 这就是为什么
[00:37:17--00:37:19] 很多时候大家会描述
[00:37:19--00:37:20] 产品经理叫做一个
[00:37:20--00:37:21] 叫什么上帝
[00:37:21--00:37:22] 或者叫什么游戏设计师
[00:37:22--00:37:23] 你就把你的用户
[00:37:23--00:37:24] 其实都想明白了
[00:37:24--00:37:25] 他就会干这些事情
[00:37:25--00:37:27] 我给他设计了一个动线
[00:37:27--00:37:27] 你就给我这么动
[00:37:27--00:37:29] 但AI Native的产品
[00:37:29--00:37:30] 用户的输入是非常开放的
[00:37:30--00:37:31] 就什么都有可能
[00:37:31--00:37:34] 对用户是
[00:37:34--00:37:35] 用语言输入进去
[00:37:35--00:37:36] 而且用户语言输入
[00:37:36--00:37:37] 特别是到了
[00:37:37--00:37:38] 比如说今天Agent的
[00:37:38--00:37:39] 这个时代
[00:37:39--00:37:41] 它还需要发生点什么
[00:37:41--00:37:42] 你比如说
[00:37:42--00:37:43] 如果是拆GPT纯对话
[00:37:43--00:37:45] 就我一段文字扔进去
[00:37:45--00:37:46] 我的预期回复
[00:37:46--00:37:47] 还是一段文字
[00:37:47--00:37:49] 相对的可控性还好一点
[00:37:49--00:37:51] 但所谓Agent的时代
[00:37:51--00:37:53] 那其实你就更开放了
[00:37:53--00:37:54] 这是一个非常开放的问题
[00:37:54--00:37:55] 不仅输入是开放的
[00:37:55--00:37:58] 输出可能也是比较开放的
[00:37:58--00:37:59] 这个确实是整个
[00:37:59--00:38:00] 互联网20年里
[00:38:00--00:38:00] 所有产品
[00:38:00--00:38:01] 从来没有出现过的情况
[00:38:01--00:38:03] 互联网产品的
[00:38:03--00:38:04] 有限自由度是为什么
[00:38:04--00:38:06] 它为什么是有限的
[00:38:06--00:38:07] 就比如说
[00:38:07--00:38:08] 比如说做妙牙
[00:38:08--00:38:09] 我的流程就是
[00:38:09--00:38:11] 用户你给我20张照片
[00:38:11--00:38:12] 我给你训练一个你的模型
[00:38:12--00:38:14] 以后你每次点一个模板
[00:38:14--00:38:16] 就会根据这个模板
[00:38:16--00:38:17] 和你的模型
[00:38:17--00:38:18] 给你生成一张照片
[00:38:18--00:38:19] 其实就是这么一个
[00:38:19--00:38:20] 很简单的东西
[00:38:20--00:38:21] 它其实是通过
[00:38:21--00:38:23] 限制用户的自由度
[00:38:23--00:38:24] 来谋求更好
[00:38:24--00:38:25] 更稳定的效果
[00:38:25--00:38:26] 在当时技术条件下
[00:38:26--00:38:26] 你比如说
[00:38:26--00:38:28] 当时正常的纹生图
[00:38:28--00:38:29] 或图生图产品
[00:38:29--00:38:30] 用户相对开放
[00:38:30--00:38:32] 是非常开放的
[00:38:32--00:38:33] 用户传张图上来
[00:38:33--00:38:33] 不管
[00:38:33--00:38:35] 你也不知道它会说什么
[00:38:35--00:38:35] 对
[00:38:35--00:38:37] 但比如妙牙
[00:38:37--00:38:39] 它实际上是全都写字的
[00:38:39--00:38:41] 就是你20张照片扔上来
[00:38:41--00:38:43] 它固定会生成这个模型
[00:38:43--00:38:45] 你每选一个模板
[00:38:45--00:38:46] 这个模板背后的
[00:38:46--00:38:47] prom的流程
[00:38:47--00:38:48] 它调用的模型的
[00:38:48--00:38:49] 整个生成流程
[00:38:49--00:38:50] 工艺链
[00:38:50--00:38:51] 工程链条
[00:38:51--00:38:52] 都是固定的
[00:38:52--00:38:53] 它就会带来更稳定
[00:38:53--00:38:54] 和时间点的
[00:38:54--00:38:55] 技术条件下更好的成果
[00:38:55--00:38:56] 这本质上
[00:38:56--00:38:56] 仍然是一个
[00:38:56--00:38:57] 互联网产品的思维
[00:38:57--00:38:59] 这是一个非常
[00:38:59--00:39:00] 典型的互联网产品的思维
[00:39:00--00:39:02] 就我今天回过头
[00:39:02--00:39:03] 去看这个东西的话
[00:39:03--00:39:04] 会有一个很深刻的感觉
[00:39:04--00:39:06] 就是互联网产品设计
[00:39:06--00:39:08] 和AI Native产品设计
[00:39:08--00:39:09] 真的是有一个
[00:39:09--00:39:10] 很重要的范式变化
[00:39:10--00:39:12] 我自己都花了很多时间
[00:39:12--00:39:13] 才去突破这个思维
[00:39:13--00:39:14] 说坦白说
[00:39:14--00:39:14] 真的要花很多时间
[00:39:14--00:39:15] 突破这个思维
[00:39:15--00:39:17] 总结来说是开放性
[00:39:17--00:39:18] 如果
[00:39:18--00:39:20] 开放性是它的一个特征
[00:39:20--00:39:21] 但对应到
[00:39:21--00:39:23] 它的产品的构建方法
[00:39:23--00:39:24] 是从流程设计
[00:39:24--00:39:25] 变成了上下文设计
[00:39:25--00:39:28] 产品经理原来的工作
[00:39:28--00:39:30] 就是原来的整个产业
[00:39:30--00:39:31] 的协作流程
[00:39:31--00:39:32] 是一个很线性的东西
[00:39:32--00:39:33] 产品经理
[00:39:33--00:39:34] 先想好了用户进来能干什么
[00:39:34--00:39:36] 他一共能干这几件事
[00:39:36--00:39:37] 他能够输入什么
[00:39:37--00:39:38] 我应
[00:39:38--00:39:39] 根据他的输入
[00:39:39--00:39:41] 我应该给他什么输出
[00:39:41--00:39:43] 是完全可以预定
[00:39:43--00:39:43] 预议出来的
[00:39:43--00:39:45] 产品经理预定一好之后
[00:39:45--00:39:47] 设计师会拿到这个定义
[00:39:47--00:39:47] 把它变成图
[00:39:47--00:39:50] 最后工程师拿着这个图
[00:39:50--00:39:51] 把它施工给它盖出来
[00:39:51--00:39:53] 就像盖一个房子一样
[00:39:53--00:39:55] 这是整个互联网20年
[00:39:55--00:39:57] 最基本的产业协同范式
[00:39:57--00:39:59] 这就是面向流程的产品设计
[00:39:59--00:40:00] 今天面向上下文的产品设计
[00:40:00--00:40:01] 是不能这么干的
[00:40:01--00:40:03] 因为没有哪个产品经理
[00:40:03--00:40:05] 能穷举用户的所有行为可能
[00:40:05--00:40:06] 你不知道用户会给出
[00:40:06--00:40:07] 什么奇怪的命令
[00:40:07--00:40:07] 比如说尤其你设计
[00:40:07--00:40:09] 如果还是个比如说agent之类的
[00:40:09--00:40:10] 这样的产品的话
[00:40:10--00:40:11] 甚至它的输出
[00:40:11--00:40:12] 也并没有那么高的确定性
[00:40:12--00:40:13] 那么你很难说产品经理
[00:40:13--00:40:15] 上来先把需求都定义完了
[00:40:15--00:40:17] 定义完了之后交给设计
[00:40:17--00:40:18] 设计把稿都出好了
[00:40:18--00:40:19] 用户体验都设计完了
[00:40:19--00:40:20] 就开发实现出来
[00:40:20--00:40:21] 发现好像效果不是这样
[00:40:21--00:40:22] 非常容易出现这种情况
[00:40:22--00:40:26] 所以传统的互联网产品的设计团队
[00:40:26--00:40:29] 哪怕是经验很充分的团队
[00:40:29--00:40:30] 它的协同方式
[00:40:30--00:40:33] 在今天这个AI Native产品的
[00:40:33--00:40:34] 团队的协同方式里
[00:40:34--00:40:35] 是很可能会出现问题
[00:40:35--00:40:37] 很有可能出现问题
[00:40:37--00:40:38] 大家还停留在
[00:40:38--00:40:40] OK我要设计什么样的UI UX
[00:40:40--00:40:42] 用户有多少个选择
[00:40:42--00:40:43] 出来预期是什么
[00:40:43--00:40:46] 但实际上最核心的中间那部分
[00:40:46--00:40:48] 到底用户它的输入
[00:40:48--00:40:50] 你怎么去给它带来
[00:40:50--00:40:51] 它看不见的上限文
[00:40:51--00:40:53] 这些上限文在你这个生成的环节
[00:40:53--00:40:55] 到底带来什么效果
[00:40:55--00:40:56] 产生了什么影响
[00:40:56--00:40:58] 什么是这里面的最佳context
[00:40:58--00:40:59] 和最佳problem的实践
[00:40:59--00:41:01] 这个已经成了
[00:41:01--00:41:03] 今天AI Native产品设计
[00:41:03--00:41:04] 最关键的那个部分
[00:41:04--00:41:07] 就是你得先有这个部分
[00:41:07--00:41:08] 你对这个部分
[00:41:08--00:41:09] 充分了解了之后
[00:41:09--00:41:11] 再讨论OK
[00:41:11--00:41:12] 在这个基础上
[00:41:12--00:41:13] 我们要给用户
[00:41:13--00:41:14] 做一个什么样的流程
[00:41:14--00:41:15] 来实现这个事情
[00:41:15--00:41:16] 而不是倒过来
[00:41:16--00:41:17] 说你先把流程都设计好了
[00:41:17--00:41:19] 期待用户到这会这么干
[00:41:19--00:41:20] 不会了
[00:41:21--00:41:22] 你先手写也是开放的
[00:41:22--00:41:24] 但是你应该对用户有引导
[00:41:24--00:41:25] 对
[00:41:25--00:41:26] 我觉得其实不是
[00:41:26--00:41:27] 说对用户的引导问题
[00:41:27--00:41:29] 因为今天大家的交互方案
[00:41:29--00:41:30] 也没有那么大的差异
[00:41:30--00:41:31] 说到底最后
[00:41:31--00:41:32] 大家也都是一些对话框
[00:41:32--00:41:34] 或对话框里面差一些GUI
[00:41:34--00:41:36] 或最多甚至是生成是GUI
[00:41:36--00:41:38] 而是在于你要知道
[00:41:38--00:41:40] 当一旦模型要发挥作用的时候
[00:41:40--00:41:41] 就今天任何一个AI产品
[00:41:41--00:41:43] 一定是有一部分时间
[00:41:43--00:41:44] 是模型在发挥作用
[00:41:44--00:41:45] 有一部分时间
[00:41:45--00:41:47] 不是模型发挥作用
[00:41:47--00:41:49] 就是标准的互联网正常的产品
[00:41:49--00:41:50] 比如说用户要登录
[00:41:50--00:41:51] 要注册
[00:41:51--00:41:52] 或者要做一些
[00:41:52--00:41:54] 跟模型没有关系的操作
[00:41:54--00:41:56] 这个是传统的互联网
[00:41:56--00:41:56] 产品的部分
[00:41:56--00:41:59] 但只要需要模型
[00:41:59--00:42:00] 去进行执行任务的时候
[00:42:00--00:42:02] 你就必须面临
[00:42:02--00:42:03] 这个模型
[00:42:03--00:42:05] 它的输入和输出的问题
[00:42:05--00:42:07] 所以今天做一个产品需求的时候
[00:42:07--00:42:09] 你的第一有限制会变成
[00:42:09--00:42:10] OK 我想干这个事
[00:42:10--00:42:13] 用户可能会跟模型
[00:42:13--00:42:14] 发生几次交互
[00:42:14--00:42:16] 然后什么样的交互
[00:42:16--00:42:18] 这个模型到底需要些什么
[00:42:18--00:42:20] 有什么东西会让这个模型
[00:42:20--00:42:21] 最后出来的结果
[00:42:21--00:42:22] 更符合用户的预期
[00:42:22--00:42:24] 我怎么才能摁着用户
[00:42:24--00:42:25] 想办法把这东西给我
[00:42:25--00:42:27] 这个就变成了最重要的问题
[00:42:27--00:42:29] 而不是一开始
[00:42:29--00:42:30] 你对这个如果没有预期的话
[00:42:30--00:42:31] 你先去设计了用户
[00:42:31--00:42:32] 进来会怎么点点点
[00:42:32--00:42:33] 可能到最后
[00:42:33--00:42:34] 真进到这个环节的时候
[00:42:34--00:42:36] 他没有给你这些东西
[00:42:36--00:42:38] 然后你就拿不到预期的效果
[00:42:38--00:42:40] 所以我觉得就总结起来
[00:42:40--00:42:43] 叫做从面向流程的产品设计
[00:42:43--00:42:45] 变成面向context的产品设计
[00:42:45--00:42:48] 在面向context产品设计的
[00:42:48--00:42:48] 这个框架下面
[00:42:48--00:42:50] 有什么具体的好的做法吗
[00:42:50--00:42:50] 我有很多
[00:42:50--00:42:52] 我就share一个东西
[00:42:52--00:42:52] 我觉得最起码
[00:42:52--00:42:54] 或者可能是最重要的一个问题
[00:42:55--00:42:57] 就是AI的组织需要一些变化
[00:42:57--00:42:58] 这个问题其实我也想了很久
[00:42:58--00:43:00] 就AI到底需要什么样的组织形式
[00:43:00--00:43:01] 或者叫AI的组织
[00:43:01--00:43:04] 到底和互联网时代有什么不同
[00:43:04--00:43:06] 如果完全没有不同
[00:43:06--00:43:07] 其实这是个很危险的事情
[00:43:07--00:43:11] 就因为这个说明你的延续性非常好
