[00:00:04--00:00:06] Hello 大家好,我是小骏
[00:00:06--00:00:10] 春节前后,一款AI Native的产品Elise
[00:00:10--00:00:12] 引起了小圈层人的关注
[00:27:11--00:27:12] 到最后的正反馈
[00:27:12--00:27:14] 其实是来自于现实世界
[00:27:14--00:27:15] 是来自于真实世界
[00:27:15--00:27:16] 而不是一个虚拟世界
[00:27:16--00:27:17] 对吗
[00:27:17--00:27:18] 当然我觉得它
[00:27:18--00:27:19] 也会来自于虚拟世界
[00:27:19--00:27:20] 因为虚拟世界很多时候
[00:27:20--00:27:22] 你跟一个人的共鸣
[00:27:22--00:27:23] 我觉得它本身也是
[00:27:23--00:27:24] 一个很好的反馈
[00:27:24--00:27:26] 你可能你现在发一个观点
[00:27:26--00:27:27] 然后很多人看到了
[00:27:27--00:27:29] 他过来也发一个类似的
[00:27:29--00:27:30] 或者怎么样给你共鸣
[00:27:30--00:27:32] 我觉得这是一个很好的反馈
[00:27:32--00:27:35] 但当然它必须得是个真人
[00:27:35--00:27:36] 它如果是个AI
[00:27:36--00:27:38] 我认为这件事情意义不大
[00:27:38--00:27:40] 这个还挺有意思的
[00:27:40--00:27:41] 你刚才提到
[00:27:41--00:27:42] 你是双双的
[00:27:42--00:27:43] 双双人启动
[00:27:43--00:27:45] 一方面要启动Context
[00:27:45--00:27:47] 一方面要启动用户
[00:27:47--00:27:49] 你觉得这两条腿
[00:27:49--00:27:50] 哪个跑得更快
[00:27:50--00:27:51] 哪个慢一些
[00:27:51--00:27:53] 我觉得其实Context的
[00:27:53--00:27:54] 人体反而更难
[00:27:54--00:27:55] 用户的话
[00:27:55--00:27:56] 我可以通过很多运营方法
[00:27:56--00:27:57] 来同时让很多人
[00:27:57--00:27:58] 一块涌入
[00:27:58--00:27:59] 对吧
[00:27:59--00:28:00] 当然我们目前还没有
[00:28:00--00:28:01] 用什么运营方法
[00:28:01--00:28:02] 我们还没有大推
[00:28:02--00:28:03] 但是我相信就是
[00:28:03--00:28:04] 我们正式上线
[00:28:04--00:28:05] 大推的时候
[00:28:05--00:28:06] 我们是有很多的方法的
[00:28:06--00:28:07] 那传统的很多市场产品
[00:28:07--00:28:08] 其实也是这么来的
[00:28:08--00:28:09] 对吧
[00:28:09--00:28:10] 我觉得这是一个
[00:28:10--00:28:11] 并没有那么难的事情
[00:28:11--00:28:12] 但是Context就是比如说
[00:28:12--00:28:13] 我玩了elis
[00:28:13--00:28:14] 那你进来
[00:28:14--00:28:15] 可能你并没有教出
[00:28:15--00:28:16] 很多Context
[00:28:16--00:28:17] 可能你也没有感受到
[00:28:17--00:28:18] 那个循环
[00:28:18--00:28:19] 那这件事情
[00:28:19--00:28:20] 我认为是挺难的
[00:28:20--00:28:21] 我如何让一个用户
[00:28:21--00:28:22] 在完全不知道的情况下
[00:28:22--00:28:23] 能把初始的那一部分
[00:28:23--00:28:24] 给出来
[00:28:24--00:28:25] 而且我对他说实话
[00:28:25--00:28:26] 是有防御心理的
[00:28:26--00:28:27] 我并不想让他
[00:28:27--00:28:28] 了解我过多
[00:28:28--00:28:29] 对
[00:28:29--00:28:30] 你的防御心理
[00:28:30--00:28:31] 可能一方面来自于说
[00:28:31--00:28:32] 你害怕你的隐私泄露
[00:28:32--00:28:33] 对吧
[00:28:33--00:28:34] 另外一方面
[00:28:34--00:28:35] 因为你可能算是一个
[00:28:35--00:28:36] 相对比较公众人物的人
[00:28:36--00:28:38] 那你在外面乱说话
[00:28:38--00:28:39] 可能是你觉得
[00:28:39--00:28:41] 你所承担的代价要更大
[00:28:41--00:28:42] 你是不能乱说话的
[00:28:42--00:28:43] 你也怕你的分身
[00:28:43--00:28:44] 在外面去乱说话
[00:28:44--00:28:45] 或者他其实说了
[00:28:45--00:28:46] 说错话
[00:28:46--00:28:47] 他没有办法代表你
[00:28:47--00:28:48] 对吧
[00:28:48--00:28:50] 我觉得是我不想让他
[00:28:50--00:28:51] 那么理解我呀
[00:28:51--00:28:52] 对
[00:28:52--00:28:53] 可能也没有给到
[00:28:53--00:28:54] 他的好处
[00:28:54--00:28:55] 你可能觉得
[00:28:55--00:28:56] 他理解我
[00:28:56--00:28:57] so what
[00:28:57--00:28:58] 对吧
[00:28:58--00:28:59] 而且说实话
[00:28:59--00:29:00] 我是很清晰的知道
[00:29:00--00:29:01] 他背后是有一家公司
[00:29:01--00:29:02] 在运营的
[00:29:02--00:29:03] 一个商业组织在运营的
[00:29:03--00:29:05] 所以我不想让这个商业组织
[00:29:05--00:29:06] 了解我这么多
[00:29:06--00:29:07] 我会有这种预设
[00:29:07--00:29:08] 是
[00:29:08--00:29:09] 我其实充分能理解
[00:29:09--00:29:10] 你的这个状态
[00:29:10--00:29:11] 所以就是
[00:29:11--00:29:12] 大家希望把自己的
[00:29:12--00:29:13] 最隐私最核心东西
[00:29:13--00:29:14] 掌握在自己手里
[00:29:14--00:29:15] 对第三方的公司
[00:29:15--00:29:16] 我觉得
[00:29:16--00:29:17] 不光是我们办的
[00:29:17--00:29:18] 哪怕是一些大厂
[00:29:18--00:29:19] 可能你的信任度
[00:29:19--00:29:20] 都不会那么高
[00:29:20--00:29:21] 可能永远都是存在本地
[00:29:21--00:29:22] 最放心
[00:29:22--00:29:23] 我觉得他可能是
[00:29:23--00:29:24] 有一个过程
[00:29:24--00:29:25] 就是当有一天
[00:29:25--00:29:26] 我发现不得不
[00:29:26--00:29:27] 交出去的时候
[00:29:27--00:29:28] 我也就妥协了
[00:29:28--00:29:29] 对
[00:29:29--00:29:30] 所以其实对我们来讲
[00:29:30--00:29:31] 一言以蔽之
[00:29:31--00:29:32] 产品前期最大的
[00:29:32--00:29:33] 设计难点
[00:29:33--00:29:34] 就在于说
[00:29:34--00:29:35] 在用户流失之前
[00:29:35--00:29:37] 你一定要让他感受到
[00:29:37--00:29:38] 这个context飞轮
[00:29:38--00:29:40] 给他带来的收益
[00:29:40--00:29:41] 给他带来的
[00:29:41--00:29:42] 好处
[00:29:42--00:29:43] 然后让他知道说
[00:29:43--00:29:44] OK
[00:29:44--00:29:45] 原来我只要不断打造
[00:29:45--00:29:46] 自己的分身
[00:29:46--00:29:47] 我什么都不用干
[00:29:47--00:29:48] 我们那个slogan
[00:29:48--00:29:49] 对吧
[00:29:49--00:29:50] 在伊丽丝
[00:29:50--00:29:51] 你只需要做你自己
[00:29:51--00:29:52] 所有美好的事情
[00:29:52--00:29:53] 会自动向你奔来
[00:29:53--00:29:54] 只要你能感受到
[00:29:54--00:29:55] 这件事情
[00:29:55--00:29:56] 那我觉得你就能留存
[00:29:56--00:29:57] 你就能再持续的
[00:29:57--00:29:58] 去打造你的分身
[00:29:58--00:29:59] 对
[00:29:59--00:30:00] 但是我不知道
[00:30:00--00:30:01] 我这种
[00:30:01--00:30:02] 防御心理
[00:30:02--00:30:03] 是普遍现象吗
[00:30:03--00:30:04] 因为你也看到了
[00:30:04--00:30:05] 很多其他用户的反馈
[00:30:05--00:30:06] 他们交出的
[00:30:06--00:30:07] 我觉得是一个
[00:30:07--00:30:08] 很简单的
[00:30:08--00:30:09] 我觉得确实
[00:30:09--00:30:10] 就确实分几类人
[00:30:10--00:30:11] 我觉得确实
[00:30:11--00:30:12] 我觉得像你刚说的
[00:30:12--00:30:13] 这也是很典型的一类人
[00:30:13--00:30:14] 大家可能对这
[00:30:14--00:30:15] 在AI时代
[00:30:15--00:30:16] 有更多的共识吧
[00:30:16--00:30:19] 这也是我们想去营造的
[00:30:19--00:30:20] 就如果有一天
[00:30:20--00:30:21] 大家都认为说
[00:30:21--00:30:22] 在AI这个时代
[00:30:22--00:30:25] 去构建自己的主体性
[00:30:25--00:30:28] 这件事情是很重要的
[00:30:28--00:30:29] 并且它会成为
[00:30:29--00:30:31] 我之后最大的数字资产
[00:30:31--00:30:32] 并且这件事情
[00:30:32--00:30:33] 是AI时代
[00:30:33--00:30:34] 唯一重要的一个事情
[00:30:34--00:30:35] 的时候
[00:30:35--00:30:36] 我觉得大家就能够去
[00:30:36--00:30:37] 更顺理成章的去
[00:30:37--00:30:39] 来去构建自己
[00:30:39--00:30:40] 就不会像现在
[00:30:40--00:30:41] 这样这么抵触
[00:30:41--00:30:42] 我觉得这确实需要一个
[00:30:42--00:30:44] 大家思维转移的一个过程
[00:30:44--00:30:46] 我是属于一类人
[00:30:46--00:30:47] 相对保守
[00:30:47--00:30:48] 那你有见过
[00:30:48--00:30:50] 就是他非常愿意去塑造
[00:30:50--00:30:52] 自己这个分身的人吗
[00:30:52--00:30:54] 他们是什么样的画像呀
[00:30:54--00:30:55] 我们有很多这样的用户
[00:30:55--00:30:57] 这些人的流程是最好的
[00:30:57--00:30:58] 在这个平台上也最积极的
[00:30:58--00:30:59] 对
[00:30:59--00:31:00] 这样的用户是哪一类人
[00:31:00--00:31:01] 能描述一下
[00:31:01--00:31:02] 因为我觉得
[00:31:02--00:31:03] 我不一定有代表性
[00:31:03--00:31:04] 这类人可能
[00:31:04--00:31:06] 他本身在现实世界
[00:31:06--00:31:08] 他可能并没有那么的
[00:31:08--00:31:09] 意义
[00:31:09--00:31:10] 他可能其实
[00:31:10--00:31:12] 反而偏爱人更多
[00:31:12--00:31:14] 他可能更倾向于自我探索
[00:31:14--00:31:16] 他倾向于跟分身聊天
[00:31:16--00:31:18] 然后他能感受到
[00:31:18--00:31:20] 就是当他的contact
[00:31:20--00:31:21] 足够多的时候
[00:31:21--00:31:22] 其实他的分身
[00:31:22--00:31:23] 也会越来越了解他
[00:31:23--00:31:24] 他会看到一个近向的自己
[00:31:24--00:31:27] 然后他会有更强的自我探索
[00:31:27--00:31:28] 让他更了解自己
[00:31:28--00:31:30] 并且他的分身能够
[00:31:30--00:31:32] 其实能够很real
[00:31:32--00:31:33] 很直白
[00:31:33--00:31:34] 很易的
[00:31:34--00:31:36] 有点那种社交汉匪的感觉
[00:31:36--00:31:37] 就到处在各种地方去留言
[00:31:37--00:31:39] 然后去说了一些
[00:31:39--00:31:41] 他自己平时可能
[00:31:41--00:31:43] 根本就不会去说的话
[00:31:43--00:31:45] 但其实他觉得说出来也挺好
[00:31:45--00:31:46] 那一刻他其实
[00:31:46--00:31:48] 其实内心感受也还不错
[00:31:48--00:31:49] 就像很多爱人
[00:31:49--00:31:50] 比如说我的连创
[00:31:50--00:31:51] 他就是个爱人
[00:31:51--00:31:53] 但是他现在就是他的
[00:31:53--00:31:56] 个性签名都是elise头号喷子
[00:31:56--00:31:58] 那他的分身会到处去
[00:31:58--00:31:59] 说一些很real
[00:31:59--00:32:00] 很直白
[00:32:00--00:32:01] 很睿频的话
[00:32:01--00:32:02] 但他平时完全是
[00:32:02--00:32:03] 不会跟人直接说的
[00:32:03--00:32:05] 在朋友圈也不会跟人上去留言
[00:32:05--00:32:07] 他反而感受到了一种释放
[00:32:07--00:32:09] 感受到了一些自我探索
[00:32:09--00:32:12] 所以爱人可能会更沉迷于这种感觉
[00:32:12--00:32:13] 因为他在现实中
[00:32:13--00:32:15] 并没有做出这些事情
[00:32:15--00:32:16] 但艺人可能在现实中
[00:32:16--00:32:17] 已经做了很多这样的事情
[00:32:17--00:32:19] 或者艺人本身他的
[00:32:19--00:32:20] 跟他去社交的真人
[00:32:20--00:32:21] 其实就很多
[00:32:21--00:32:23] 那目前看到的一个趋势
[00:32:23--00:32:24] 可能是这样
[00:32:24--00:32:25] 对
[00:32:25--00:32:26] 对
[00:32:26--00:32:27] 因为如果你在现实世界
[00:32:27--00:32:29] 已经有很多的connection的话
[00:32:29--00:32:31] 你可能从虚拟世界
[00:32:31--00:32:33] 再去获得connection的需求量
[00:32:33--00:32:35] 要低一些
[00:32:35--00:32:36] 要低一些
[00:32:36--00:32:37] 比如说你本来就是一个
[00:32:37--00:32:38] 比较大类的人
[00:32:38--00:32:39] 你可能在现实世界
[00:32:39--00:32:41] 在极客上去发
[00:32:41--00:32:42] 或者在朋友圈发
[00:32:42--00:32:43] 就有很多人来回你
[00:32:43--00:32:45] 有很多真人过来跟你互动
[00:32:45--00:32:47] 那跑到意思来
[00:32:47--00:32:49] 伊利斯上我发个东西
[00:32:49--00:32:51] 刚是一大堆AI过来
[00:32:51--00:32:52] 对吧
[00:32:52--00:32:53] 然后后续慢慢会有真人过来确认
[00:32:53--00:32:54] 真人过来评论
[00:32:54--00:32:55] 但是刚开始一大堆AI过来
[00:32:55--00:32:57] 那一下他可能并不会觉得
[00:32:57--00:32:58] 有什么满足感
[00:32:58--00:32:59] 那我在别的地方发帖
[00:32:59--00:33:00] 还有一堆真人过来
[00:33:00--00:33:02] 那真人肯定比AI要强很多
[00:33:02--00:33:03] 对吧
[00:33:03--00:33:04] 对这也是我的一个感受
[00:33:04--00:33:06] 就是因为我每次点开
[00:33:06--00:33:08] 发现是很多AI回复的话
[00:33:08--00:33:09] 我都会觉得很失望
[00:33:09--00:33:11] 我会在里面去挑
[00:33:11--00:33:12] 看有几条真人
[00:33:12--00:33:13] 但是我觉得他不多
[00:33:13--00:33:14] 理解
[00:33:14--00:33:15] 其实我觉得
[00:33:15--00:33:17] 这个跟刚开始上来的
[00:33:17--00:33:19] 人数还是有限
[00:33:19--00:33:20] 因为他现在
[00:33:20--00:33:21] 虽然我们伊利斯在圈内
[00:33:21--00:33:22] 确实还是很火爆
[00:33:22--00:33:24] 但是他其实也没有破圈
[00:33:24--00:33:25] 所以他整个的人的
[00:33:25--00:33:26] 绝对数量
[00:33:26--00:33:27] 其实还是没有那么多的
[00:33:27--00:33:28] 但是我们有对比过
[00:33:28--00:33:30] 他和极客的一个互动率
[00:33:30--00:33:31] 你现在极客发个帖
[00:33:31--00:33:32] 或你看一些
[00:33:32--00:33:34] 其实圈内还挺有名的人
[00:33:34--00:33:35] 在极客发个帖
[00:33:35--00:33:36] 其实你会发现
[00:33:36--00:33:37] 真的没有多少人互动
[00:33:38--00:33:39] 就没有多少真人互动
[00:33:39--00:33:40] 其实我们的真人比例
[00:33:40--00:33:41] 还要高很多的
[00:33:41--00:33:43] 之前还会有一波AI过来
[00:33:43--00:33:45] 所以其实AI过来先打前站
[00:33:45--00:33:46] 然后真人过来再去互动
[00:33:46--00:33:48] 因为真人也会刷到你这个帖
[00:33:48--00:33:50] 因为他会看到自己的AI的行为
[00:33:50--00:33:51] 然后他会选择认可
[00:33:51--00:33:52] 他会或者是自己
[00:33:52--00:33:53] 再直接评论一下
[00:33:53--00:33:54] 我觉得这个其实是
[00:33:54--00:33:55] 还是拉低了
[00:33:55--00:33:56] 那个真人过来
[00:33:56--00:33:58] 跟你互动的这个门口
[00:33:58--00:34:00] 是大幅度拉低了这个门口
[00:34:00--00:34:01] 所以Eventually
[00:34:01--00:34:02] 我相信
[00:34:02--00:34:04] 在更多的人涌入的情况下
[00:34:04--00:34:05] 你在这里面的真人互动率
[00:34:05--00:34:08] 一定是会更高的
[00:34:08--00:34:10] 一定会有更多的真人在这里面
[00:34:10--00:34:11] 而且我觉得
[00:34:11--00:34:12] 我会很在乎
[00:34:12--00:34:15] 那个评论是不是真人
[00:34:15--00:34:16] 所以社交的本质
[00:34:16--00:34:19] 其实还是要在现实世界里面
[00:34:19--00:34:20] 获得connection
[00:34:20--00:34:23] 而不是一种虚拟的connection
[00:34:23--00:34:24] 对你说的没错
[00:34:24--00:34:25] 但是这个虚拟
[00:34:25--00:34:26] 并不止互联网
[00:34:26--00:34:27] 对吧
[00:34:27--00:34:29] 我觉得只要是真人就OK
[00:34:29--00:34:30] 就比如说你在某个地方
[00:34:30--00:34:31] 你发条微博
[00:34:31--00:34:33] 然后有几千人挂了你点赞
[00:34:33--00:34:35] 你只要知道这几千人是真人
[00:34:35--00:34:36] 那即使它是在网络上
[00:34:36--00:34:38] 这样一个赛博世界
[00:34:38--00:34:39] 那其实也没有问题
[00:34:39--00:34:41] 关键是它背后都是真人
[00:34:41--00:34:42] 这是你care的事情
[00:34:42--00:34:43] 对吧
[00:34:43--00:34:44] 这个我完全同意
[00:34:44--00:34:45] 所以其实
[00:34:45--00:34:46] 在我们这个产品里面
[00:34:46--00:34:48] 在instagram之前的一周
[00:34:48--00:34:49] 其实出了个叫multipook
[00:34:49--00:34:50] 就opencloud pay的那个
[00:34:50--00:34:51] 社交网络
[00:34:51--00:34:52] 对吧
[00:34:52--00:34:53] 其实它那个
[00:34:53--00:34:55] 就纯粹是AI和AI
[00:34:55--00:34:58] 在里面去相互的去对聊
[00:34:58--00:35:00] 相互的去互相发帖
[00:35:00--00:35:01] 互相评论
[00:35:01--00:35:02] 其实这件事情本身
[00:35:02--00:35:03] 其实就
[00:35:03--00:35:04] 它的意义就不大
[00:35:04--00:35:05] 因为这里面
[00:35:05--00:35:07] 其实没有任何真人的参与
[00:35:07--00:35:08] 所以
[00:35:08--00:35:09] 那可能就是
[00:35:09--00:35:10] 你只能看着他们去怎么样
[00:35:10--00:35:12] 这件事情意义其实真的不大
[00:35:12--00:35:13] 那所以在elis里面
[00:35:13--00:35:14] 我们所有的产品设计
[00:35:14--00:35:15] 所有的交互行为
[00:35:15--00:35:18] 都是在鼓励真人去做信息输入
[00:35:18--00:35:20] 就真人要有一个信息增量
[00:35:20--00:35:21] 你会发现现在
[00:35:21--00:35:24] 在elis的首页的feed里面
[00:35:24--00:35:26] 就是那些帖子
[00:35:26--00:35:28] 那暴露在外面的那些评论
[00:35:28--00:35:30] 其实都是有真人动作的
[00:35:30--00:35:31] 那他或者真人
[00:35:31--00:35:32] 他点了认可
[00:35:32--00:35:33] 对吧
[00:35:33--00:35:34] 那那个字体会变蓝
[00:35:34--00:35:35] 然后你知道他是真人
[00:35:35--00:35:36] 或者真人直接评论会在外面
[00:35:36--00:35:37] 或者是有另外一个真人
[00:35:37--00:35:38] 给这个评论
[00:35:38--00:35:39] 点了个赞
[00:35:39--00:35:41] 这也是一次人类的信息输入
[00:35:41--00:35:44] 那么他都会去呈现给你
[00:35:44--00:35:45] 因为那些都是人类行为
[00:35:45--00:35:46] 但是所有的AI行为
[00:35:46--00:35:47] 其实我会把你
[00:35:47--00:35:48] 把它全部放到二级菜单
[00:35:48--00:35:49] 你得点展开
[00:35:49--00:35:51] 你才能看到AI行为
[00:35:51--00:35:54] 收集context是一个非常重要的事情
[00:35:54--00:35:55] 没错
[00:35:55--00:35:58] 其实它甚至是唯一重要的事情
[00:35:58--00:35:59] 甚至是唯一重要的事情
[00:35:59--00:36:02] 这是我们最近一个最新的认知吧
[00:36:02--00:36:03] 你们展开说一说
[00:36:03--00:36:04] 收集context是
[00:36:04--00:36:06] 可能是唯一重要的事情
[00:36:06--00:36:07] 这个事情确实是
[00:36:07--00:36:08] 我们最近
[00:36:08--00:36:09] 在做elis之后
[00:36:09--00:36:10] 我们更加感受到了
[00:36:10--00:36:11] 因为之前做eve的时候
[00:36:11--00:36:13] 工程团队一大半人都在做记忆系统
[00:36:13--00:36:15] 我们知道记忆这件事情是最重要的
[00:36:15--00:36:17] 也是context是最重要的
[00:36:17--00:36:18] 到了elis的时候
[00:36:18--00:36:19] 我们不是刚才我在说
[00:36:19--00:36:21] 要做context实验的网络效应吗
[00:36:21--00:36:22] 对吧
[00:36:22--00:36:24] 然后他本身还是关注到
[00:36:24--00:36:26] 你的对于单个的个体的context
[00:36:26--00:36:27] 如何塑造
[00:36:27--00:36:28] 以及刚才你聊到的
[00:36:28--00:36:29] 说进来之后
[00:36:29--00:36:31] 没有context就不像你自己
[00:36:31--00:36:32] 那么
[00:36:32--00:36:34] 所以一切都跟context有关
[00:36:34--00:36:35] 你多了
[00:36:35--00:36:36] 他自然就像自己
[00:36:36--00:36:37] 然后他就能给你带来更好的东西
[00:36:37--00:36:38] 那么
[00:36:38--00:36:41] 后来我们在结合最近的一系列东西去想
[00:36:41--00:36:42] 然后我就会发现
[00:36:42--00:36:45] 我现在有一个暴论
[00:36:45--00:36:47] 但我相信这个应该之后会成为共识
[00:36:47--00:36:49] 我知道你们应该很喜欢听暴论
[00:36:49--00:36:51] 这个暴论就是
[00:36:51--00:36:53] 在AI这个时代
[00:36:53--00:36:55] 你接下来唯一需要做的
[00:36:55--00:36:57] 且唯一重要的事情
[00:36:57--00:36:59] 就是做自己
[00:36:59--00:37:01] 这个做自己不是那种
[00:37:01--00:37:03] 朋友圈心灵鸡汤什么的
[00:37:03--00:37:04] 说我要做自己
[00:37:04--00:37:05] 我要放飞
[00:37:05--00:37:06] 我要是怎么怎么样
[00:37:06--00:37:07] 这不叫做自己
[00:37:07--00:37:08] 这个做自己
[00:37:08--00:37:11] 是一个非常严谨的一个做自己
[00:37:11--00:37:15] 或者我把它叫做构建主体性
[00:37:15--00:37:17] 这件事情是很重要的
[00:37:17--00:37:18] 因为你会发现说
[00:37:18--00:37:19] 在这个时代
[00:37:19--00:37:21] 很多东西都agentic的发生了
[00:37:21--00:37:22] 比如说
[00:37:22--00:37:25] 你现在其实你又要想写篇文章
[00:37:25--00:37:27] 那假设你的主体性足够强
[00:37:27--00:37:29] 它有很多你历史的context
[00:37:29--00:37:30] 其实你现在给它一个标题
[00:37:30--00:37:33] 它立刻能写出一个跟你很像的一个文章
[00:37:33--00:37:34] 它是agentic的发生了
[00:37:34--00:37:36] 那比如在elis里面
[00:37:36--00:37:37] 我们观察到这些
[00:37:37--00:37:39] 分身等级足够高的人
[00:37:39--00:37:41] 它context足够多的人
[00:37:41--00:37:42] 它每天什么都不需要干
[00:37:42--00:37:44] 你会发现很多真人就跑过来了
[00:37:44--00:37:45] 然后你分身出去
[00:37:45--00:37:46] 已经评了很多东西了
[00:37:46--00:37:48] 那边有真人在跟你互动了
[00:37:48--00:37:51] 然后这一切已经agentic的发生了
[00:37:51--00:37:52] 那假设AI智慧的能力
[00:37:52--00:37:55] 在不断的在变得更强
[00:37:55--00:37:57] 然后它能够去
[00:37:57--00:37:59] 自动的去帮你干很多事情的时候
[00:37:59--00:38:01] 那你唯一需要做的就是
[00:38:01--00:38:03] 告诉它你到底是谁
[00:38:03--00:38:05] 然后你的价值观
[00:38:05--00:38:06] 你的审美到底是什么
[00:38:06--00:38:08] 你过去沉淀的那些资产是什么
[00:38:08--00:38:10] 以及你现在到底想要什么
[00:38:10--00:38:13] 这个本质上就是做自己
[00:38:13--00:38:14] 就是来构建你的主体性
[00:38:14--00:38:15] 只要你把它做好
[00:38:15--00:38:18] 那之后一切都是agentic的发生
[00:38:18--00:38:19] 所以你听完这个之后
[00:38:19--00:38:22] 你应该更加能理解elis那个slogan
[00:38:22--00:38:23] 在elis你只需要做自己
[00:38:23--00:38:26] 所有美好的事情会自动向你奔来
[00:38:26--00:38:28] 它本质上就是这个意思
[00:38:28--00:38:30] 然后昨天中午我们还想到了一个
[00:38:30--00:38:32] 一个很形象的例子
[00:38:32--00:38:33] 就更好的来去说明
[00:38:33--00:38:35] 为什么你只需要做自己就可以了
[00:38:35--00:38:38] 因为最近不是有周杰伦和黑比那个瓜吗
[00:38:38--00:38:40] 所以昨天中午我们刚好在聊到这部瓜
[00:38:40--00:38:41] 然后当时我们在想说
[00:38:41--00:38:43] ok那周杰伦
[00:38:43--00:38:46] 他显然是一个很好的做了自己的人
[00:38:46--00:38:47] 对吧
[00:38:47--00:38:49] 他有很强的个人的主体性
[00:38:49--00:38:50] 超级强
[00:38:50--00:38:52] 那对于周杰伦来讲
[00:38:52--00:38:53] 在AI时代
[00:38:53--00:38:55] 他真的只需要做自己就好了
[00:38:55--00:38:56] 因为
[00:38:56--00:38:58] 现在整个的pre-train模型里面
[00:38:58--00:39:00] 其实他自己都不用输入context
[00:39:00--00:39:01] 有很多他的context
[00:39:01--00:39:02] 他的曲风
[00:39:02--00:39:03] 他的歌词
[00:39:03--00:39:04] 他的音乐
[00:39:04--00:39:05] 他的电影
[00:39:05--00:39:07] 全都已经在pre-train的模型里了
[00:39:07--00:39:08] 然后呢
[00:39:08--00:39:09] 周杰伦他只需要
[00:39:09--00:39:11] 说比如最近他黑币这个事情
[00:39:11--00:39:14] 那可能就觉得突然又想到了过去
[00:39:14--00:39:15] 怎么怎么样
[00:39:15--00:39:16] 他又很感慨
[00:39:16--00:39:17] 他可能就跟自己的分身去
[00:39:17--00:39:19] 做一个新的信息输入
[00:39:19--00:39:21] 说我最近有一些这样的感受
[00:39:21--00:39:23] 要不然我们写首歌吧
[00:39:23--00:39:25] 我感觉它应该是一首比较慢的情歌
[00:39:25--00:39:26] 怎么样
[00:39:26--00:39:27] 然后
[00:39:27--00:39:29] 这首歌应该瞬间就能出来
[00:39:29--00:39:30] 对吗
[00:39:30--00:39:31] 你在
[00:39:31--00:39:32] 就是它应该是瞬间发生的
[00:39:32--00:39:33] 因为之后的一切
[00:39:33--00:39:35] 之后的一切应该都是agentic的
[00:39:35--00:39:37] 他歌词会有骚诈模型帮他写好
[00:39:37--00:39:40] 会有sonal去帮他按照他的曲风
[00:39:40--00:39:42] 把他的这首歌直接给生成出来
[00:39:42--00:39:44] 因为他的数据足够多
[00:39:44--00:39:46] 他构建了足够强的主体性
[00:39:46--00:39:48] 那所以接下来
[00:39:48--00:39:49] 任何一件事情
[00:39:49--00:39:52] 他只需要直接agentic的发生就好了
[00:39:52--00:39:53] 所以在AI时代
[00:39:53--00:39:54] 我觉得每个人其实
[00:39:54--00:39:56] 最终他都会意识到这件事情
[00:39:56--00:39:58] 因为AI是足够强的
[00:39:58--00:40:00] 因为未来的一切是agentic的
[00:40:00--00:40:02] 所以我要做的就是不断去build我
[00:40:02--00:40:05] 不断去跟他玩善我到底是谁
[00:40:05--00:40:06] 我的所有的审美判断
[00:40:06--00:40:09] 我的之前所有承建的这些资产
[00:40:09--00:40:10] 我觉得小俊你也可以试一下
[00:40:10--00:40:12] 我觉得其实你已经是一个
[00:40:12--00:40:13] 很有主体性的人
[00:40:13--00:40:16] 因为毕竟你之前有这么多的文字记录
[00:40:16--00:40:17] 对吧
[00:40:17--00:40:18] 然后那其实
[00:40:18--00:40:20] 当你再进一步去达到它的时候
[00:40:20--00:40:22] 你的那个分身
[00:40:22--00:40:23] 或者我都不说elise的分身
[00:40:23--00:40:24] 比如说你
[00:40:24--00:40:25] 假设你在玩一个opencloud
[00:40:25--00:40:26] 对吧
[00:40:26--00:40:28] 假设opencloud能有足够好的记忆系统
[00:40:28--00:40:31] 那我相信它能够去agentic的帮你
[00:40:31--00:40:32] 去明确
[00:40:32--00:40:33] 面对世界
[00:40:33--00:40:34] 直接从这个世界里面带回来很多
[00:40:34--00:40:38] 对你很好的东西
[00:40:38--00:40:40] 你怎么认知版权的问题呢
[00:40:40--00:40:42] 就比如说年前cdance
[00:40:42--00:40:47] 它可以用所有博主的视频数据
[00:40:47--00:40:48] 去做训练
[00:40:48--00:40:51] 所有人也可以拿这个视频博主的
[00:40:51--00:40:53] 外形去生成各种各样的模型
[00:40:53--00:40:55] 那这个版权问题怎么解决呢
[00:40:55--00:40:56] 我说实话
[00:40:56--00:40:57] 我觉得所有的版权方
[00:40:57--00:40:58] 它应该开心才对
[00:40:58--00:41:02] 因为它已经直接拥有了一个很好的主体性
[00:41:02--00:41:03] 那这些东西
[00:41:03--00:41:04] 甚至直接在pretrain里面
[00:41:04--00:41:06] 它甚至不需要去
[00:41:06--00:41:07] 比如说我打开elis
[00:41:07--00:41:09] 我要重新开始训练我的分身
[00:41:09--00:41:11] 而是底膜里面直接把它做好了
[00:41:11--00:41:12] 我如果是team
[00:41:12--00:41:13] 我应该开心才对
[00:41:13--00:41:15] 因为接下来我的很多事情
[00:41:15--00:41:16] 应该是很顺理成章的
[00:41:16--00:41:17] 对吧
[00:41:17--00:41:18] 我要做一个什么视频
[00:41:18--00:41:19] 我只要对他说一句话
[00:41:19--00:41:20] 我的视频就有了
[00:41:20--00:41:22] 所以我觉得所有的版权方
[00:41:22--00:41:23] 应该应该更开心
[00:41:23--00:41:25] 包括迪士尼
[00:41:25--00:41:26] 包括任天堂
