[00:00:01--00:00:03] 为什么你做这件事情比大部分人都早
[00:40:00--00:40:04] 就是说我想定义一个reward
[00:40:04--00:40:05] 这个reward是
[00:40:06--00:40:10] 基于结果而不是过程的
[00:40:10--00:40:14] 而且它是一个基于规则
[00:40:14--00:40:16] 或者说能够很清晰的算出来
[00:40:16--00:40:18] 而不是基于人的偏好
[00:40:18--00:40:20] 或者模型的偏好
[00:40:20--00:40:23] 或者一些非常黑盒的东西的
[00:40:23--00:40:26] 然后就是我们做webshop
[00:40:26--00:40:27] 这个工作的时候
[00:40:27--00:40:29] 其实当时最困难的一点
[00:40:29--00:40:32] 就是说我怎么去定义reward
[00:40:32--00:40:34] 实际上我认为做任何的rl task
[00:40:34--00:40:36] 最难的部分其实是怎么定义reward
[00:40:36--00:40:37] 对吧
[00:40:37--00:40:40] 因为你永远可以把亚马逊
[00:40:40--00:40:42] 或者把Facebook
[00:40:42--00:40:43] 你可以做各种各样的环境
[00:40:43--00:40:44] 就这个事情工程上非常难
[00:40:44--00:40:46] 但是这个东西总是可以做的
[00:40:46--00:40:48] 最难的部分是
[00:40:48--00:40:49] 我怎么去设计任务
[00:40:49--00:40:51] 然后让这个任务既有难度
[00:40:51--00:40:54] 又有真实的价值
[00:40:54--00:40:57] 又有一个很好的reward
[00:40:57--00:40:59] 而且这个reward又不是很noisy
[00:40:59--00:41:01] 它是一个基于规则
[00:41:01--00:41:02] 或者是白盒的reward
[00:41:02--00:41:04] 而不是一个黑盒的reward
[00:41:04--00:41:05] 对然后
[00:41:06--00:41:08] 我觉得事实后来证明
[00:41:08--00:41:10] 就是说这个是现在的rl
[00:41:10--00:41:11] 就是成功的关键
[00:41:11--00:41:12] 对吧
[00:41:12--00:41:14] 就是说像math和coding
[00:41:14--00:41:15] 这样的任务
[00:41:15--00:41:17] 它最重要的一点就是说
[00:41:17--00:41:18] 首先它是基于结果
[00:41:18--00:41:19] 而不是基于过程的
[00:41:19--00:41:21] 第二是说我有一个非常清晰的
[00:41:21--00:41:23] 基于规则的reward
[00:41:23--00:41:25] 而不是基于奇怪的人
[00:41:25--00:41:27] 或者模型偏好的reward
[00:41:27--00:41:28] 对吧
[00:41:28--00:41:29] 就是说答案是3
[00:41:29--00:41:30] 那它就是3
[00:41:30--00:41:32] 你只要最终这个答案
[00:41:32--00:41:33] 它是3
[00:41:33--00:41:34] 那它就是对的
[00:41:34--00:41:35] 它不是3它就是错的
[00:41:35--00:41:38] 如果你去做任何其他的设计
[00:41:38--00:41:40] 好像都会出现hacking
[00:41:40--00:41:43] 就如果你基于过程去定义reward
[00:41:43--00:41:44] 那你可能会出现hacking
[00:41:44--00:41:46] 如果你去优化人的偏好
[00:41:46--00:41:48] 或者说机器的偏好
[00:41:48--00:41:50] 那你也会出现hacking
[00:41:50--00:41:52] 那你可能会产生一个非常优美的代码
[00:41:52--00:41:54] 但是它可能不解决问题
[00:41:54--00:41:55] 对吧
[00:41:55--00:41:57] 然后我做的其他的这些task
[00:41:57--00:41:58] 我觉得也是这样的failover
[00:41:58--00:41:59] 就比如sweepbench
[00:41:59--00:42:01] 包括一些其他的
[00:42:01--00:42:05] 像callly或者其他各种各样的任务
[00:42:05--00:42:08] 我觉得就是一点是基于结果而不是过程
[00:42:08--00:42:11] 第二点是百合的基于规则的
[00:42:11--00:42:13] 而不是基于人或者模型偏好的
[00:42:13--00:42:16] 因为OpenAI它对产品有五个分级
[00:42:16--00:42:17] 那如果是基于agent
[00:42:17--00:42:19] 就是基于任务的定义
[00:42:19--00:42:22] 来给有可能的产品做一些分级
[00:42:22--00:42:24] 随着模型能力的溢出
[00:42:24--00:42:26] 当我们要用模型能力的时候
[00:42:26--00:42:29] 那agent可以怎么做一个分级呢
[00:42:29--00:42:31] 在你脑海中有这样的一个框架没有
[00:42:32--00:42:34] 我现在感觉倾向于
[00:42:34--00:42:37] 会有不同的类型的应用
[00:42:37--00:42:38] 会有不同的挑战
[00:42:38--00:42:42] 然后这些挑战可能是正交的
[00:42:42--00:42:46] 或者说没有很难说谁比谁更难
[00:42:46--00:42:48] 或者谁比谁更简单
[00:42:48--00:42:52] 就是从某种角度来说
[00:42:52--00:42:54] 人类也有这样的问题
[00:42:54--00:42:55] 对吧
[00:42:55--00:42:58] 就比如说诺克菲勒和爱因斯坦
[00:42:58--00:42:59] 谁更厉害
[00:42:59--00:43:01] 这个事情是很难去定义
[00:43:01--00:43:02] 对吧
[00:43:02--00:43:03] 就成为一个大公司的CEO
[00:43:03--00:43:05] 和成为一个数学家
[00:43:05--00:43:07] 谁哪件事情更难
[00:43:07--00:43:08] 我觉得这个事情是
[00:43:08--00:43:12] 他可能是不同的难或者不同的挑战
[00:43:12--00:43:14] 但是对于agent来说还有另外一点
[00:43:14--00:43:16] 就是说可能对于人来说
[00:43:16--00:43:18] 一个很简单或者很难的事情
[00:43:18--00:43:19] 对于agent
[00:43:19--00:43:21] 他可能并没有这样的
[00:43:21--00:43:23] 简单很难的区分
[00:43:23--00:43:26] 就比如说可能对于人来说
[00:43:26--00:43:30] 做一个客服比作为一个软件工程师
[00:43:30--00:43:31] 要简单很多
[00:43:31--00:43:32] 对吧
[00:43:32--00:43:33] 也少很多
[00:43:33--00:43:34] 然后需要的文凭
[00:43:34--00:43:36] 或者需要的各种各样的资历也少很多
[00:43:36--00:43:42] 现在反而做软件工程是比做客服
[00:43:42--00:43:43] 我觉得更简单的事情
[00:43:43--00:43:44] 因为做软件工程
[00:43:44--00:43:47] 你有一个更好的环境
[00:43:47--00:43:49] 有一个更清晰的reward
[00:43:49--00:43:52] 然后你有更多数据
[00:43:52--00:43:53] 或者各种各样原因
[00:43:53--00:43:55] 你想要去做一个非常robust
[00:43:55--00:43:57] 或者reliable的客服
[00:43:57--00:44:00] 实际上是有reliability的challenge
[00:44:00--00:44:01] 对
[00:44:01--00:44:05] 所以我觉得我们可以把人类的各种各样工作
[00:44:05--00:44:07] 分成很多各种各样的category
[00:44:07--00:44:12] 但是人本身就有很多不同aspect的challenge
[00:44:12--00:44:14] 然后对于机器来说
[00:44:14--00:44:16] 或者对于AI来说
[00:44:16--00:44:19] 人的这些challenge的相对难易
[00:44:19--00:44:24] 可能也不完全反映到AI上
[00:44:24--00:44:27] 什么样的任务整体来说更适合agent做
[00:44:27--00:44:28] 什么样的任务
[00:44:28--00:44:29] 比如说适合人和agent一起做
[00:44:29--00:44:31] 然后什么样的任务适合人做
[00:44:31--00:44:36] 就是我觉得从非常high level说
[00:44:36--00:44:39] 我觉得有不同的划分任务的方法
[00:44:39--00:44:41] 我觉得从一个划分方法来说
[00:44:41--00:44:44] 有一些任务更注重reliability
[00:44:44--00:44:49] 或者有些任务更注重creativity
[00:44:49--00:44:51] 就是说做客服
[00:44:51--00:44:53] 你重要的是比如说100次里面
[00:44:53--00:44:55] 你需要99次或者以上不要出错
[00:44:55--00:44:56] 对吧
[00:44:56--00:44:59] 如果你比如你只有85次让用户开心了
[00:44:59--00:45:00] 你有15次没有让用户开心
[00:45:00--00:45:01] 就让用户开心
[00:45:01--00:45:03] 那你可能就被炒鱿鱼了
[00:45:03--00:45:05] 就是说我觉得一类任务
[00:45:05--00:45:06] 就是说你做简单的事情
[00:45:06--00:45:08] 但是把它做的非常的reliable
[00:45:08--00:45:10] 另一类任务可能是
[00:45:10--00:45:12] 比如说我要去证明黎曼猜想
[00:45:12--00:45:14] 或者我要去写一个很难的代码
[00:45:14--00:45:16] 或者我要去创作文学剧本
[00:45:16--00:45:17] 对吧
[00:45:17--00:45:18] 就是说我可以试100次
[00:45:18--00:45:20] 我只要有一次做的特别好
[00:45:20--00:45:22] 那我就成功了
[00:45:22--00:45:23] 然后这两类任务
[00:45:23--00:45:26] 我觉得需要的挑战是不一样
[00:45:26--00:45:29] 我觉得还有另一个划分就是说
[00:45:30--00:45:32] 你是去做
[00:45:32--00:45:35] 我觉得任务的深度和广度
[00:45:35--00:45:37] 就是说你可以去做一个
[00:45:37--00:45:42] 比如说我curse其实是一个非常短的loop
[00:45:42--00:45:43] 比如我把这个文件改一下
[00:45:43--00:45:45] 可能我三秒钟做好了
[00:45:45--00:45:47] 有些事情我可能需要30分钟
[00:45:47--00:45:49] 或者三个小时
[00:45:49--00:45:50] 或者三天
[00:45:50--00:45:51] 从这个维度来说
[00:45:51--00:45:54] 就是说我需要的是就是长期记忆
[00:45:54--00:45:56] 或者later memory的这个能力
[00:45:56--00:45:58] 然后从任务的广度来说
[00:45:58--00:45:59] 比如说
[00:45:59--00:46:01] 我要去解决这一个bug
[00:46:01--00:46:02] versus我要从头搭建
[00:46:02--00:46:04] 比如windows这样的一个repo
[00:46:04--00:46:07] 那我会有就是说
[00:46:07--00:46:09] 这个广度的区别
[00:46:09--00:46:10] 对吧
[00:46:10--00:46:11] 就是一个人能做的事情
[00:46:11--00:46:12] 和一个公司能做的事情
[00:46:12--00:46:13] 和一个team能做的事情
[00:46:13--00:46:15] 那从这个角度来说
[00:46:15--00:46:18] 我觉得我们需要multiagent research
[00:46:18--00:46:21] 从reliability到creativity
[00:46:21--00:46:24] 哪个任务是agent目前更好定义的
[00:46:24--00:46:27] 它的顺序和步骤应该是什么样的
[00:46:27--00:46:28] 我觉得
[00:46:29--00:46:33] 其实我们是可以平行的做很多不同的事情的
[00:46:33--00:46:36] 而且其实有一个非常简单的
[00:46:36--00:46:39] 就是设计设计metric的方法
[00:46:39--00:46:42] 比如说做coding
[00:46:42--00:46:44] 我们有个非常传统上有一个metric
[00:46:44--00:46:47] 叫做pass at k
[00:46:47--00:46:50] 意思是说你做了
[00:46:50--00:46:54] 比如说你同样一个代码写了k次
[00:46:54--00:46:57] 你起码成功一次的概率是多少
[00:46:57--00:46:58] 那你可以想象就是说
[00:46:58--00:46:59] 当你这个k越来越大的时候
[00:46:59--00:47:01] 你的成功概率会越来越大
[00:47:01--00:47:04] 然后你会发现很多时候
[00:47:04--00:47:07] coding research它会report pass at 100
[00:47:07--00:47:08] 就是说我同样一个任务
[00:47:08--00:47:09] 我跑100次
[00:47:09--00:47:11] 我起码成功一次的概率是多少
[00:47:11--00:47:15] 但是我们去年发了一个research
[00:47:15--00:47:17] 叫做topinch
[00:47:17--00:47:18] 它的想法就是说
[00:47:18--00:47:20] 实际上对于另一类任务
[00:47:20--00:47:21] 比如说客服
[00:47:21--00:47:25] 你需要是和它正好镜面相反的metric
[00:47:25--00:47:27] 我们把它定义为pass hat k
[00:47:27--00:47:30] 就是hat就是一个
[00:47:30--00:47:32] 就是密次的那样一个符号
[00:47:32--00:47:35] 就是说你做k次
[00:47:35--00:47:37] 永远成功的概率是多少
[00:47:37--00:47:41] 或者说起码失败一次的概率是多少
[00:47:41--00:47:46] 就是说我觉得从播种程度来说
[00:47:46--00:47:50] 有些任务我们需要去optimize pass at k
[00:47:50--00:47:53] 有些任务我们需要去optimize pass hat k
[00:47:53--00:47:55] 但是往往我们现在
[00:47:55--00:47:56] 更是有很多人
[00:47:57--00:47:59] 重视的是success rate
[00:47:59--00:48:01] which is pass at 1
[00:48:01--00:48:03] 或者是我们重视pass at 100
[00:48:03--00:48:04] 对于coding
[00:48:04--00:48:06] 我们对于简单任务的robustness
[00:48:06--00:48:07] 并不是特别重视
[00:48:07--00:48:09] 而这个事情的原因
[00:48:09--00:48:10] 我觉得是因为
[00:48:10--00:48:13] 大家做AI还是没有
[00:48:13--00:48:16] 还是在做一些benchmark
[00:48:16--00:48:17] 大家还是在做
[00:48:17--00:48:18] 我做一些任务
[00:48:18--00:48:21] 而没有说我要去做一些实际的应用
[00:48:21--00:48:25] 但如果你要接受message转变之后
[00:48:25--00:48:26] 我觉得很自然
[00:48:26--00:48:27] 有些应用
[00:48:27--00:48:28] 我就是需要robustness
[00:48:28--00:48:30] 我就是需要去optimizerobustness
[00:48:30--00:48:33] 现在我觉得还没有意识到这件事情
[00:48:33--00:48:35] 但我觉得如果大家意识到这个事情
[00:48:35--00:48:37] 这个事情是会有很大进步的
[00:48:37--00:48:39] 其实创业公司很担心模型能力的溢出
[00:48:39--00:48:42] 会把创业公司做的agent吞掉
[00:48:42--00:48:44] 长期看像Kirsey这样的公司
[00:48:44--00:48:46] 你觉得它的壁垒是什么呢
[00:48:46--00:48:49] 你觉得哪些agent是模型公司必然一定会做的
[00:48:49--00:48:51] 哪些事情是有创业公司机会的
[00:48:51--00:48:54] 它这个边界你觉得可能在哪里
[00:48:54--00:48:56] 我觉得创业公司应该担心的事情是
[00:48:56--00:48:59] 模型没有溢出能力的
[00:48:59--00:49:02] 这样的话你就真的什么都做不了了
[00:49:02--00:49:04] 我觉得有溢出能力是个非常好的事情
[00:49:04--00:49:06] 这基本意味着你有机会
[00:49:06--00:49:09] 然后我觉得创业公司最大的机会就是说
[00:49:09--00:49:12] 我能够设计不同的interface
[00:49:12--00:49:16] 或者说人和数字世界交互的方式
[00:49:16--00:49:20] 就是说ChatGPT
[00:49:20--00:49:23] 或者这些所有的做模型的公司
[00:49:23--00:49:25] 其实都在做类似ChatGPT的产品
[00:49:26--00:49:28] 然后ChatGPT的本质就是说
[00:49:28--00:49:31] 你是在像和人交互一样
[00:49:31--00:49:33] 去进行和这个数字世界的交互
[00:49:33--00:49:35] 就是说你的chatbot
[00:49:35--00:49:37] 对面有个像人一样的东西
[00:49:37--00:49:38] 然后你和他聊天
[00:49:38--00:49:39] 或者你给他布置任务
[00:49:39--00:49:42] 或者你让他去帮你做deep research
[00:49:42--00:49:44] 或者让你帮他做写代码
[00:49:44--00:49:48] 但他的交互方式是一个像人一样的交互方式
[00:49:48--00:49:50] 或者是像助手一样的交互方式
[00:49:50--00:49:53] 如果你能够用模型通用的能力
[00:49:53--00:49:55] 但是创造不同的交互方式
[00:49:55--00:49:57] 那你就能创造巨大的机会
[00:49:57--00:49:58] 我觉得本质上来说
[00:49:58--00:49:59] Cursor就是说
[00:49:59--00:50:01] 我创造了一种新的交互方式
[00:50:01--00:50:04] 就是说它不是一个像人一样交互的方式
[00:50:04--00:50:06] 而是一个像copilot
[00:50:06--00:50:09] 或者说是一个新的交互方式
[00:50:09--00:50:10] 我写这个代码的时候
[00:50:10--00:50:11] 他能给你提示一些东西
[00:50:11--00:50:14] 或者我能帮你edit的一些东西
[00:50:14--00:50:17] 但是没有人和人是这样交互的
[00:50:17--00:50:19] 这也是它的价值所在
[00:50:19--00:50:23] 我觉得最终可能模型的能力是会比
[00:50:23--00:50:25] 是会产生
[00:50:25--00:50:29] Beyond ChatGPT这种交互方式的superapp
[00:50:29--00:50:30] 那这种情况下
[00:50:30--00:50:32] 创业公司最大的机会就是说
[00:50:32--00:50:34] 我能探索新的交互方式
[00:50:34--00:50:37] 并且我能够有模型溢出的能力
[00:50:37--00:50:38] 这两者缺一不可
[00:50:38--00:50:42] 如果你做的是旧的interface
[00:50:42--00:50:44] 然后你利用这些新的模型
[00:50:44--00:50:47] 那你很容易被ChatGPT取代
[00:50:47--00:50:49] 如果你的交互方式很像ChatGPT
[00:50:49--00:50:52] 那你有什么理由不被ChatGPT取代
[00:50:52--00:50:54] 如果你做新的交互方式
[00:50:54--00:50:56] 但模型没有继续变好
[00:50:56--00:50:57] 没有新的溢出能力
[00:50:57--00:50:58] 那你也很难做
[00:50:58--00:51:00] 所以对于创业公司来说
[00:51:00--00:51:01] 最好的机会就是说
[00:51:01--00:51:02] 你做新的交互方式
[00:51:02--00:51:04] 但是模型不停有新的溢出能力
[00:51:04--00:51:07] 让你能够赋能这些新的交互方式
[00:51:07--00:51:10] ChatGPT也可以跟进这个新的交互方式
[00:51:10--00:51:13] 对 但是我觉得拥有一个superapp
[00:51:13--00:51:15] 其实对于公司是双刃剑
[00:51:15--00:51:18] 因为当你已经有了一个交互方式的时候
[00:51:18--00:51:22] 你会必然的形成路径依赖
[00:51:22--00:51:24] 就像2020年
[00:51:24--00:51:26] Google它有无限多的资源和钱
[00:51:26--00:51:28] 有transformer有最好的research
[00:51:28--00:51:31] 但它可能最自然的想法是
[00:51:31--00:51:35] 我怎么用这些东西提升我的搜索引擎
[00:51:35--00:51:38] 当你有像ChatGPT这样一个superapp的时候
[00:51:38--00:51:40] 那很自然你的research
[00:51:40--00:51:42] 就会center around这个superapp
[00:51:42--00:51:44] 会center around这个交互方式
[00:51:44--00:51:46] 你会去探索新的产品
[00:51:46--00:51:48] 但是即使是大厂
[00:51:48--00:51:50] 或者即使是谷歌
[00:51:50--00:51:51] 即使是openapp
[00:51:51--00:51:54] 你大部分资源还是会围绕你的superapp的
[00:51:54--00:51:56] 交互方式
[00:51:56--00:51:58] 我觉得这是创业公司的机会
[00:51:58--00:52:00] 有趣
[00:52:00--00:52:01] 你刚才提到交互方式
[00:52:01--00:52:03] 今天还是人跟code交互
[00:52:03--00:52:05] 人跟tax交互
[00:52:05--00:52:08] 那人跟agent未来是怎么交互的呢
[00:52:08--00:52:11] 你感觉超级助理那种
[00:52:11--00:52:12] HER那种
[00:52:12--00:52:14] 属于一个正确的交互方式吗
[00:52:14--00:52:16] 如果这种交互方式
[00:52:16--00:52:17] 我觉得有没有机会
[00:52:17--00:52:20] beat ChatGPT今天的形态呢
[00:52:20--00:52:22] HER其实是不是类似于一个
[00:52:22--00:52:24] 还是一个assistant的形态
[00:52:24--00:52:27] 但是只不过它有语音而不是文字
[00:52:27--00:52:28] 对吧
[00:52:28--00:52:30] 我觉得这是一个很显然
[00:52:30--00:52:31] 很有价值的形态
[00:52:31--00:52:32] 对吧
[00:52:32--00:52:33] 因为人和人交互已经几千年
[00:52:33--00:52:35] 几万年几百万年
[00:52:35--00:52:37] 这是一个对人来说最自然的形态
[00:52:37--00:52:41] 那这肯定是最显然的superapp
[00:52:41--00:52:42] 但是
[00:52:42--00:52:43] 然后这个生态位
[00:52:43--00:52:45] 我觉得ChatGPT是占主的
[00:52:45--00:52:46] 或者说很显然
[00:52:46--00:52:50] 这间模型公司一开始做的事情就是这个
[00:52:50--00:52:52] 那我觉得不显然的事情是
[00:52:52--00:52:53] 我
[00:52:53--00:52:56] 能不能基于不像人的交互方式
[00:52:56--00:52:57] 对吧
[00:52:57--00:52:58] 我觉得克瑟是个很好的例子
[00:52:58--00:53:00] 然后从某种程度来说
[00:53:00--00:53:01] Google是个很好的例子
[00:53:01--00:53:02] 对吧
[00:53:02--00:53:04] 就是它当时这是个很新的方法
[00:53:04--00:53:05] 就没有人见过
[00:53:05--00:53:06] 很奇怪
[00:53:06--00:53:07] 对
[00:53:07--00:53:08] 然后雅虎从某种程度来说
[00:53:08--00:53:09] 是一个更像谎言的
[00:53:09--00:53:10] 对吧
[00:53:10--00:53:11] 是一个更让人熟悉的交互方式
[00:53:11--00:53:14] 但是谷歌是一个更让人不熟悉的交互方式
[00:53:14--00:53:16] 我觉得assistant
[00:53:16--00:53:17] 或者HER
[00:53:17--00:53:18] 或者
[00:53:18--00:53:20] 就和人一样的交互方式
[00:53:20--00:53:21] 是一个很显然的
[00:53:21--00:53:23] 最重要的交互方式
[00:53:23--00:53:24] 但是
[00:53:24--00:53:26] 我觉得肯定还是会有
[00:53:26--00:53:27] 足够多的机会
[00:53:27--00:53:29] 有新的交互方式产生
[00:53:29--00:53:32] 你脑海里有没有一些新的交互方式
[00:53:32--00:53:35] 就是非HRGBT现在在探索的形态
[00:53:35--00:53:38] 也非传统的互联网的交互方式
[00:53:38--00:53:39] 在你脑海里有吗
[00:53:39--00:53:43] 我觉得Canvas是一个好的尝试吧
[00:53:43--00:53:44] 就是说
[00:53:44--00:53:46] 你可以基于现在的一个任务
[00:53:46--00:53:47] 去
[00:53:47--00:53:50] 去在在线生成一个
[00:53:50--00:53:52] 最符合这个
[00:53:52--00:53:54] 情境和你的个性
[00:53:54--00:53:57] 和这个任务的一个前端
[00:53:57--00:54:00] 然后你可以让这个东西
[00:54:00--00:54:02] 对不同的事情做的很不一样
[00:54:02--00:54:04] 我觉得这是一个
[00:54:04--00:54:06] 很显然值得探索的方向
[00:54:06--00:54:07] 对但这个事情
[00:54:07--00:54:09] 显然也很难
[00:54:09--00:54:12] 你感觉应用公司的数据飞轮
[00:54:12--00:54:13] 对他们非常重要吗
[00:54:13--00:54:14] 或者说
[00:54:14--00:54:16] 在什么环境下才能形成
[00:54:16--00:54:17] 我感觉checkbot
[00:54:17--00:54:18] 就是偏好数据
[00:54:18--00:54:20] 好像没什么数据飞轮
[00:54:20--00:54:21] 那code
[00:54:21--00:54:23] 可能有思考过程的数据
[00:54:23--00:54:24] 那思考过程的数据
[00:54:24--00:54:26] 是代表一类能力的数据
[00:54:26--00:54:27] 那这个可能是有用的
[00:54:27--00:54:29] 像Canvas也好
[00:54:29--00:54:30] artifacts
[00:54:30--00:54:32] 可能是有思考过程的数据的
[00:54:32--00:54:33] 那这里能
[00:54:33--00:54:36] 能有机会形成很强的数据飞轮效应
[00:54:36--00:54:39] 我觉得
[00:54:39--00:54:41] 大多数公司还没有形成数据飞轮
[00:54:41--00:54:42] 对吧
[00:54:42--00:54:44] 大多数公司还是依赖于模型在变好
[00:54:44--00:54:46] 然后使用模型变好的
[00:54:46--00:54:48] 这个这个溢出的能力
[00:54:48--00:54:50] 然后
[00:54:50--00:54:51] 如果你要有数据飞轮
[00:54:51--00:54:53] 首先你要能够自己去去模型
[00:54:53--00:54:54] 并且
[00:54:54--00:54:55] 你能够
[00:54:55--00:54:56] 通过交互
[00:54:56--00:54:58] 有一个很好的reward
[00:54:58--00:55:00] 我觉得就是你要有一个好的reward
[00:55:00--00:55:01] 使得你能够
[00:55:01--00:55:02] 把好的
[00:55:02--00:55:04] 数据和不好的数据分开
[00:55:04--00:55:05] 对吧
[00:55:05--00:55:06] 我觉得现在可能
[00:55:06--00:55:08] 比较成功的案例就是meet the journey
[00:55:08--00:55:09] 对吧
[00:55:09--00:55:10] 就是说
[00:55:10--00:55:12] 我有个非常清晰的reward
[00:55:12--00:55:14] 就是说人更喜欢哪张图
[00:55:14--00:55:15] 然后这个reward
[00:55:15--00:55:17] 和我的应用是是aligned
[00:55:17--00:55:18] 就是说
[00:55:18--00:55:19] 我这个reward做的更好
[00:55:19--00:55:21] 那我这个公司就是更成功
[00:55:21--00:55:22] 然后这个模型就是更好
[00:55:22--00:55:24] 一些东西都是对齐的
[00:55:24--00:55:26] 然后有了这样的一个情况下
[00:55:26--00:55:28] 我又能自己去模型
[00:55:28--00:55:30] 我可以去做数据飞轮
[00:55:30--00:55:32] 然后你做这个事情又必须
[00:55:32--00:55:34] 比较
[00:55:34--00:55:35] 比较不主线
[00:55:35--00:55:37] 因为如果很主线的话
[00:55:37--00:55:38] 我也可以通过pretraining
[00:55:38--00:55:39] 或者rl
[00:55:39--00:55:40] 或者一些别的方式
[00:55:40--00:55:42] 去把这个能力给提上去
[00:55:42--00:55:43] 对吧
[00:55:43--00:55:44] 然后我可以通过泛化
[00:55:44--00:55:45] 我可以通过别的方式
[00:55:45--00:55:46] 呃
[00:55:46--00:55:48] 所以现在我觉得对大多数公司
[00:55:48--00:55:50] 好像并没有形成费用
[00:55:50--00:55:51] 对
[00:55:51--00:55:52] 如果你是curse的CEO
[00:55:52--00:55:55] 你会去做pretraining的事情吗
[00:55:55--00:55:56] 是个好问题
[00:55:56--00:55:58] 我觉得我肯定会训练模型
[00:55:58--00:56:00] 或者去尝试训练模型
[00:56:00--00:56:02] 但是做不做pretraining
[00:56:02--00:56:04] 我觉得得得看情况
[00:56:04--00:56:05] 对
[00:56:05--00:56:07] 我觉得coding是一个非常主线的任务
[00:56:07--00:56:09] 就是所有的现在大厂
[00:56:09--00:56:13] 他都会把自己的模型的coding做好
[00:56:13--00:56:14] 对吧
[00:56:14--00:56:15] 所以所有的pretraining
[00:56:15--00:56:16] 还有post training
[00:56:16--00:56:17] 还有rl
[00:56:17--00:56:18] 他都会考虑到这一点
[00:56:18--00:56:21] 那在这个情况下来说
[00:56:21--00:56:23] 呃
[00:56:23--00:56:24] 你要不要做它
[00:56:24--00:56:25] 可能取决于首先
[00:56:25--00:56:29] 就是这些币源的这些模型做的有多好
[00:56:29--00:56:30] 其次是开源模型做的有多好
[00:56:30--00:56:32] 然后这中间有多少gap
[00:56:32--00:56:33] 然后你能够填满
[00:56:33--00:56:35] 填补多少这样的gap
[00:56:35--00:56:36] 对吧
[00:56:36--00:56:37] 那那可能
[00:56:37--00:56:39] 但当然比如如果你有很多钱
[00:56:39--00:56:40] 你
[00:56:40--00:56:41] 那你有很多资源
[00:56:41--00:56:43] 那你想把这个事情做了
[00:56:43--00:56:44] 那我觉得也是合理的
[00:56:44--00:56:45] 对
[00:56:45--00:56:46] 围绕agent
[00:56:46--00:56:47] 围绕agent
[00:56:47--00:56:50] 你脑海里的一个树的结构是什么样子的
[00:56:50--00:56:52] 如果是基于foundation model
[00:56:52--00:56:53] 然后基于regener
[00:56:53--00:56:54] 然后往上涨
[00:56:54--00:56:56] 这个agent的整个的生态树
[00:56:56--00:56:59] 你在脑海里是一个什么样的结构啊
[00:56:59--00:57:04] 我觉得就是有有两个有两个方向吧
[00:57:04--00:57:08] 一个方向是就是fundamental的research会怎么演变
[00:57:08--00:57:10] 或者说这个方法方法会怎么演变
[00:57:10--00:57:13] 我觉得另一个是应用
[00:57:13--00:57:15] 或者说它的交互方式会有什么样的演变
[00:57:15--00:57:16] 然后
[00:57:16--00:57:18] 从盟主程度上来说
[00:57:18--00:57:20] 他们之间肯定是有关联
[00:57:20--00:57:21] 但是
[00:57:21--00:57:24] 我觉得会需要不同的人探索不同的方面
[00:57:24--00:57:25] 对吧
[00:57:25--00:57:27] 然后比如chris他就是
[00:57:27--00:57:30] 我我并没有在产品或者fundamental research上做创新
[00:57:30--00:57:33] 但是我做交互方式的创新
[00:57:33--00:57:34] 对
[00:57:34--00:57:36] 然后我觉得在fundamental research上
[00:57:36--00:57:40] 我我自己觉得比较重要的就是一个是一个是memory
[00:57:40--00:57:42] 一个是intrinsic reward
[00:57:42--00:57:44] 还有一个事情是multi agent
[00:57:44--00:57:45] 对吧
[00:57:45--00:57:47] 就是说我怎么
[00:57:47--00:57:50] 我怎么能够让一个agent
[00:57:50--00:57:54] 就这个事情我觉得也和openai就是接下来说的这个innovator
[00:57:54--00:57:55] 和organization很像嘛
[00:57:55--00:57:56] 对吧
[00:57:56--00:57:58] 其实就是你做一个innovator
[00:57:58--00:57:59] 那首先
[00:57:59--00:58:01] 你需要一个long term memory对吧
[00:58:01--00:58:02] 比如我
[00:58:02--00:58:03] 华尔斯我研究
[00:58:04--00:58:06] 菲尔曼定理研究比如说
[00:58:06--00:58:08] 20年那我需要一个long term memory
[00:58:09--00:58:11] 我我需要一个这个这个长期记忆
[00:58:11--00:58:13] 但是基于这长期记忆还不够
[00:58:13--00:58:15] 你需要有一个内在的reward
[00:58:15--00:58:16] 对吧
[00:58:16--00:58:17] 因为直到你证明的那一刻
[00:58:17--00:58:18] 你是没有任何外在reward
[00:58:18--00:58:19] 对吧
[00:58:19--00:58:20] 你也没有获奖
[00:58:20--00:58:21] 你也没有做任何事情
[00:58:21--00:58:23] 没有人给你任何feedback
[00:58:23--00:58:26] 你需要自己给自己一个feedback
[00:58:26--00:58:29] 那这个事情是所有innovator最重要的事情
[00:58:29--00:58:30] 无论你是艺术家
[00:58:30--00:58:31] 还是科学家
[00:58:31--00:58:33] 还是文学家
[00:58:33--00:58:35] 还是任何创作者
[00:58:35--00:58:36] 对吧
[00:58:36--00:58:39] 另一方面我觉得作为组织
[00:58:39--00:58:41] 你需要解决的就是说
[00:58:41--00:58:43] agent和agent之间怎么协作
[00:58:43--00:58:44] 怎么让multi agent scale
[00:58:44--00:58:47] 然后我觉得从某种程度来说
[00:58:47--00:58:50] 现在agent可能就像一个普通大学生
[00:58:50--00:58:54] 做一个数字化的这个实习生
[00:58:54--00:58:55] 对吧
