[00:00:03--00:00:04] Hello 大家好,我是小骏
[00:00:04--00:00:07] 2026年除了嘉宾访谈
[00:40:17--00:40:19] 我认为他们肯定是
[00:40:19--00:40:21] 最高优的
[00:40:21--00:40:23] 关注在通用的智能这一块
[00:40:23--00:40:25] 他们的底层逻辑就是要做
[00:40:25--00:40:26] 巨声的大脑
[00:40:26--00:40:28] 那这个首先一定要有泛化性
[00:40:28--00:40:29] 对吧
[00:40:29--00:40:31] 不见得这个大脑的能力那么强
[00:40:31--00:40:33] 比如说我一定要是一个零巧手
[00:40:33--00:40:35] 可以去上一个螺丝钉
[00:40:35--00:40:36] 但是
[00:40:36--00:40:39] 我应该是能够做出来一个大脑
[00:40:39--00:40:41] 他比方说在
[00:40:41--00:40:45] 10种100种不同的任务上训练了以后去
[00:40:45--00:40:47] 另外有5个任务没有见过
[00:40:47--00:40:49] 他可以去做另外5个任务
[00:40:49--00:40:52] 这个我认为是大模型团队
[00:40:52--00:40:54] 他们对这块的一个关注点
[00:40:54--00:40:57] 他们关注的是零样本的泛化的能力
[00:40:57--00:40:57] 对
[00:40:57--00:40:58] 而另外一方面呢
[00:40:58--00:40:59] 从机器人
[00:40:59--00:41:01] 客户来讲的话呢
[00:41:01--00:41:04] 他们其实越来越多的去录一道具体的场景
[00:41:04--00:41:05] 对吧
[00:41:05--00:41:06] 那在这个
[00:41:06--00:41:09] 在这个上面呢他们很关注到自己的本体
[00:41:09--00:41:11] 对吧本体的复杂性
[00:41:11--00:41:13] 可能是有轮式可能是有足式
[00:41:13--00:41:14] 可能有手
[00:41:14--00:41:16] 手上可能还有传感器
[00:41:16--00:41:20] 对吧那么他们可能很关注在是否可以把这
[00:41:20--00:41:20] 一些
[00:41:20--00:41:22] 具体的任务
[00:41:22--00:41:23] 给他执行好
[00:41:23--00:41:24] 给他落地好
[00:41:24--00:41:24] 所以
[00:41:24--00:41:27] 这两类客户他们其实
[00:41:27--00:41:28] 从最早的时候
[00:41:28--00:41:30] 关注点可能比较类似
[00:41:30--00:41:31] 但是现在其实关注的点
[00:41:31--00:41:33] 其实很分化
[00:41:33--00:41:34] 很分化
[00:41:34--00:41:37] 包括再举一个例子比如说
[00:41:37--00:41:38] 大模型团队
[00:41:38--00:41:41] 他们可能首先关注的是这些
[00:41:41--00:41:44] 最容易获取到的
[00:41:44--00:41:45] 数据比如说家居的
[00:41:45--00:41:47] 比方说这个
[00:41:47--00:41:49] 其他的一些这个商超
[00:41:49--00:41:51] 等等之类的场景
[00:41:51--00:41:52] 可能一些工厂
[00:41:52--00:41:55] 来帮助他们去提升这些泛化性的认知
[00:41:55--00:41:56] 对吧
[00:41:56--00:41:57] 而这个
[00:41:57--00:41:58] 这个机器人
[00:41:58--00:42:00] 机器人的客户呢可能他们
[00:42:00--00:42:01] 有具体的
[00:42:01--00:42:02] 就落地的路径
[00:42:02--00:42:04] 他们可能有的是去酒店
[00:42:04--00:42:06] 有的去不同的这个工厂
[00:42:06--00:42:07] 的这些车间
[00:42:07--00:42:08] 车辆的工厂的车间
[00:42:08--00:42:12] 那他们有的可能比方说是
[00:42:12--00:42:15] 去这个沙漠去给这个太阳能
[00:42:15--00:42:16] 去换太阳能板
[00:42:16--00:42:19] 那他们更多关注的是在具体的这个业务场景
[00:42:19--00:42:21] 的这些数据
[00:42:21--00:42:23] 我稍微有一个认知缺口啊
[00:42:23--00:42:23] 就是
[00:42:23--00:42:27] 大模型团队这些做VLA的团队和大模型团队做LLM的团队
[00:42:27--00:42:28] 应该是两个团队
[00:42:28--00:42:29] 对吧
[00:42:29--00:42:31] 他们之间是什么样的协作关系啊
[00:42:31--00:42:33] 其实不同的公司不一样
[00:42:33--00:42:35] 那往往是两个不同的团队
[00:42:35--00:42:37] 但是呢其实
[00:42:37--00:42:39] 他们是一个我认为
[00:42:39--00:42:41] 合作极其紧密的团队
[00:42:41--00:42:43] 其实在这我觉得可能会包括
[00:42:43--00:42:44] 大模型的
[00:42:44--00:42:45] 大圆模型的团队
[00:42:45--00:42:47] 大模型的
[00:42:47--00:42:49] 世界模型的团队
[00:42:49--00:42:50] 还有大模型的
[00:42:50--00:42:51] VLA的团队
[00:42:51--00:42:53] 那么
[00:42:53--00:42:56] 那么他们其实是一个我觉得极其共生
[00:42:56--00:42:57] 协作的一个关系
[00:42:57--00:42:58] 比如说
[00:42:58--00:43:02] VLA其实往往会用到一个基础的模型
[00:43:02--00:43:05] 那如果说你的这个公司已经是
[00:43:05--00:43:07] 全世界前五的大模型的
[00:43:07--00:43:08] 这个能力
[00:43:08--00:43:11] 那么就完全可以用自己的机构模型去做
[00:43:11--00:43:12] 如果没有呢
[00:43:12--00:43:15] 如果没有我觉得就比较困难一些
[00:43:15--00:43:16] 所以我其实
[00:43:16--00:43:18] 从我们角度来讲的话我们
[00:43:18--00:43:20] 可能合作的
[00:43:20--00:43:23] 这些公司
[00:43:23--00:43:24] 数据量最大的
[00:43:24--00:43:26] 往往都是同时具备
[00:43:26--00:43:27] 大圆模型的团队
[00:43:27--00:43:30] 世界模型的团队
[00:43:30--00:43:32] 还有VLA团队
[00:43:32--00:43:33] 这样的这个团队
[00:43:33--00:43:35] 来做的这件事
[00:43:35--00:43:38] 那如果没有的话他肯定就会用其他的
[00:43:38--00:43:40] 比方说可能会用千问
[00:43:40--00:43:42] 或者可能会用其他的这些开源的模型
[00:43:42--00:43:43] 对
[00:43:43--00:43:46] 那当然这是其一
[00:43:46--00:43:47] 第二的话呢就是说
[00:43:47--00:43:49] 他们对于数据的理解
[00:43:49--00:43:51] 我认为是极其到位的
[00:43:51--00:43:52] 比如说
[00:43:52--00:43:53] 不只是
[00:43:53--00:43:55] 纯粹正确的数据
[00:43:55--00:43:56] 也包括纠错的这个数据
[00:43:56--00:43:57] 就是错误了以后再改正的数据
[00:43:57--00:44:02] 这个认知其实很多都是从大圆模型来的
[00:44:02--00:44:02] 对
[00:44:02--00:44:03] 其实因为他更
[00:44:03--00:44:06] 更加像人另外呢就说对于数据量
[00:44:06--00:44:07] 是否可以接受
[00:44:07--00:44:09] 对于数据的
[00:44:09--00:44:11] 饥渴程度也是远远不一样的
[00:44:11--00:44:12] 因为
[00:44:12--00:44:13] 如果说你已经
[00:44:13--00:44:14] 见过了
[00:44:14--00:44:15] 很大量的一个需求
[00:44:15--00:44:17] 你对于这件事的预期
[00:44:17--00:44:19] 数据量的预期会很高
[00:44:19--00:44:20] 而如果说
[00:44:20--00:44:23] 这个团队之前他的
[00:44:23--00:44:25] 所使用的数据量比较小
[00:44:25--00:44:27] 那他也很难一下子去开一个
[00:44:27--00:44:29] 很高的一个数据量的口子
[00:44:29--00:44:32] 他的budget是完全不一样的
[00:44:32--00:44:36] 第三个点呢我其实认为是一个infrastructure
[00:44:36--00:44:38] 就是他的这些训练的基础设施
[00:44:38--00:44:41] 那我觉得卡是很相关的一个点
[00:44:41--00:44:45] 以及就是RL就是强化学习的这套的基础设施是很相关的一个点
[00:44:45--00:44:46] 我举一个例子
[00:44:46--00:44:48] 可能机器人公司
[00:44:48--00:44:49] 几千张卡已经很多了
[00:44:49--00:44:51] 但是大模型团队
[00:44:51--00:44:53] 可能都是大几万张卡
[00:44:53--00:44:57] 所以这个是一个至少一个数量级的一个提升
[00:44:57--00:44:57] 另外呢
[00:44:57--00:45:00] 就是强化学习的基础设施
[00:45:00--00:45:02] 这件事其实很难自言
[00:45:02--00:45:05] 很难自言很难为了巨深的模型
[00:45:05--00:45:06] 去做一道这个
[00:45:06--00:45:08] 强化学习的
[00:45:08--00:45:10] 大规模的并行的基础设施
[00:45:10--00:45:12] 而这些大模型团队
[00:45:12--00:45:14] 往往自己都已经有最好的这套基础设施
[00:45:14--00:45:16] 可以拿来即用
[00:45:16--00:45:17] 他只不过是从
[00:45:17--00:45:19] 大圆模型的这个场景
[00:45:19--00:45:22] 迁移到了去微调VA而已
[00:45:22--00:45:27] 所以LLM大圆模型团队是在做我们所谓那个通用的大脑
[00:45:27--00:45:28] 没错
[00:45:28--00:45:31] VLA团队是在做这个机器人大脑
[00:45:31--00:45:33] 但他大概率不是从头开始训的
[00:45:33--00:45:36] 他是基于那个大圆模型的大脑
[00:45:36--00:45:36] 没错
[00:45:36--00:45:38] 那世界模型团队呢
[00:45:38--00:45:40] 这是新出现的吗
[00:45:40--00:45:44] 其实我们也看到我们的一些客户
[00:45:44--00:45:45] 他们可能
[00:45:45--00:45:47] 再用他们的世界模型
[00:45:47--00:45:48] 或者说他们
[00:45:48--00:45:50] 希望将来用这个世界模型
[00:45:50--00:45:52] 来作为这个
[00:45:52--00:45:54] 一个机座模型
[00:45:54--00:45:55] 来做后面的VA
[00:45:55--00:45:57] 因为我觉得世界模型其实
[00:45:57--00:45:58] 有了更多的
[00:45:58--00:46:01] 对于物理世界的预测
[00:46:01--00:46:02] 理解能力
[00:46:02--00:46:05] 而基于这个再加上相应的action head
[00:46:05--00:46:05] 对吧
[00:46:05--00:46:08] 那么就可以做出来更优质的这个VA
[00:46:08--00:46:12] 其实我认为世界模型和VA是一个
[00:46:12--00:46:15] 很有意思的一个相互共生的一个关系
[00:46:15--00:46:17] 那世界模型可以作为机座
[00:46:17--00:46:18] 给到VA
[00:46:18--00:46:21] 那VA呢其实又作为一个落地
[00:46:21--00:46:23] 给到世界模型相对反馈
[00:46:23--00:46:25] 这个是很关键的一件事
[00:46:25--00:46:27] 那我举一个例子
[00:46:27--00:46:30] 如果我认为一件事它的评判标准
[00:46:30--00:46:31] 会越来越接近
[00:46:31--00:46:34] 可能这两件事将来就会是一件事
[00:46:34--00:46:35] 那比如说
[00:46:35--00:46:38] 我认为在巨深
[00:46:38--00:46:41] 可能现在最棒的这个评测集
[00:46:41--00:46:43] 叫behavior
[00:46:43--00:46:45] behavior是李飞飞教授
[00:46:45--00:46:47] 做的这套基于仿真
[00:46:47--00:46:50] 为巨深打造的一套
[00:46:50--00:46:51] 这个评测集
[00:46:51--00:46:53] 它都是比较难的
[00:46:53--00:46:55] 长程的这些任务
[00:46:55--00:46:56] 以及这些
[00:46:56--00:46:58] 很难去采集的这些数据
[00:46:58--00:47:00] 去做到的
[00:47:00--00:47:01] 那么
[00:47:01--00:47:03] 我个人也很有幸就是
[00:47:03--00:47:06] 在这个12月份的这个
[00:47:06--00:47:08] 这个NIPS的一个峰会
[00:47:08--00:47:09] 来
[00:47:09--00:47:13] 帮助这个今年就是第一次behavior challenge
[00:47:13--00:47:14] 来颁奖
[00:47:14--00:47:18] 那么我发现一个很有意思的一个情况就是
[00:47:18--00:47:21] 其实去打这个behavior
[00:47:21--00:47:22] 榜的这个团队
[00:47:22--00:47:23] 也有世界模型的团队
[00:47:23--00:47:25] 那他们其实就是
[00:47:25--00:47:26] 基于他们
[00:47:26--00:47:27] 底座的世界模型
[00:47:27--00:47:29] 基于这个action head对吧
[00:47:29--00:47:30] 然后去
[00:47:30--00:47:32] 也就也去上了这个榜
[00:47:32--00:47:33] 也做的也很好
[00:47:33--00:47:34] 这个是一个
[00:47:34--00:47:36] 另外一个呢就是
[00:47:36--00:47:37] 另外一个我觉得
[00:47:37--00:47:39] 很有意思的一个工作叫enact
[00:47:39--00:47:41] 它其实也是基于behavior
[00:47:41--00:47:42] 这套的评价体系
[00:47:42--00:47:44] 本质上来讲是评价VOA的
[00:47:44--00:47:46] 评价体系
[00:47:46--00:47:48] 做了一套去评价
[00:47:48--00:47:50] 世界模型的评价体系
[00:47:50--00:47:52] 这个也是李飞飞团队做的
[00:47:52--00:47:53] 所以你可以看
[00:47:53--00:47:54] 就是
[00:47:54--00:47:55] 同样的一个benchmark
[00:47:55--00:47:57] 它又可以去
[00:47:57--00:47:59] 作为评价VOA的标准
[00:47:59--00:48:02] 又可以去作为评价世界模型的标准
[00:48:02--00:48:04] 那如果评价系统
[00:48:04--00:48:05] 越来越一致
[00:48:05--00:48:07] 很有可能将来
[00:48:07--00:48:09] 这两件事会越来越
[00:48:09--00:48:12] 我觉得会越来越相关
[00:48:12--00:48:14] 那世界模型替代的不是VOA
[00:48:14--00:48:15] 世界模型替代的
[00:48:15--00:48:17] 其实是大圆模型吗
[00:48:17--00:48:21] 我认为世界模型可能更多的会是在云端的一个大脑
[00:48:21--00:48:24] 而VOA我觉得它会是在端侧的一个大脑
[00:48:24--00:48:25] 我觉得这个可能是一个在
[00:48:25--00:48:26] 在长线
[00:48:26--00:48:29] 它们也会是一个共生的一个关系
[00:48:29--00:48:30] 那大圆模型呢
[00:48:30--00:48:32] 我认为大圆模型
[00:48:32--00:48:33] 本质上来讲
[00:48:33--00:48:36] 大圆模型在数字世界已经具备了一定的世界模型的能力
[00:48:36--00:48:39] 但是它其实缺乏对物理世界的理解
[00:48:39--00:48:43] 我认为世界模型是有物理世界的理解能力
[00:48:43--00:48:44] 以及预测能力的
[00:48:44--00:48:46] 而我认为巨深的VOA
[00:48:46--00:48:49] 可能更多的是需要在物理世界有更加
[00:48:49--00:48:52] 精确的有效的以及高效的一个行动力
[00:48:52--00:48:54] 所以我认为这三者
[00:48:54--00:48:55] 可能还是不太一样
[00:48:55--00:48:58] 但是呢这三者可能后面的
[00:48:58--00:48:59] 训练的基础设施
[00:48:59--00:49:02] 它的底层的这个基座
[00:49:02--00:49:03] 会越来越趋同
[00:49:03--00:49:05] 底层的基座会越来越趋同
[00:49:05--00:49:07] 它可能会成为一个统一的非常大的大脑
[00:49:07--00:49:08] 对
[00:49:08--00:49:11] 所以可能未来世界模型是那个云端的大脑
[00:49:11--00:49:13] VOA是那个端侧的大脑
[00:49:13--00:49:16] 然后数字世界可能有个大脑就是大圆模型的大脑
[00:49:16--00:49:16] 对
[00:49:16--00:49:18] 听起来现在是有两股势力
[00:49:18--00:49:19] 一个是做大脑的公司
[00:49:19--00:49:22] 一个是做本体的公司
[00:49:22--00:49:23] 一类是做大脑公司
[00:49:23--00:49:25] 一类是做本体的公司
[00:49:25--00:49:25] 你觉得这两类公司
[00:49:25--00:49:27] 哪个会成为一个
[00:49:27--00:49:30] 就是在这个游戏版图上更重要的一股势力
[00:49:30--00:49:33] 我认为可能长线都会比较重要
[00:49:33--00:49:36] 但是我大概说一下我的一个观察
[00:49:36--00:49:38] 这个观察就是数据闭环这件事
[00:49:38--00:49:40] 或者数据引擎这件事
[00:49:40--00:49:43] 就是特斯拉其实发明了数据引擎
[00:49:43--00:49:44] Data Engine这个概念
[00:49:44--00:49:46] 它更多的是因为
[00:49:46--00:49:48] 它要去落地它的FSD
[00:49:48--00:49:50] 自动驾驶的这套系统
[00:49:50--00:49:54] 那它可能当时已经具备了有上百万辆车
[00:49:54--00:49:55] 在路上可以全天候的
[00:49:55--00:49:56] 基于司机
[00:49:56--00:49:59] 基于这些用户去开回来的数据
[00:49:59--00:50:01] 去训练他们的云端的大脑
[00:50:01--00:50:05] 又基于它的云端的大脑的不断的提升
[00:50:05--00:50:08] 去部署到端侧更好的自动驾驶的能力
[00:50:08--00:50:10] 进而形成了一个数据飞轮
[00:50:10--00:50:11] 这套数据引擎
[00:50:11--00:50:12] 就特斯拉的数据引擎
[00:50:12--00:50:14] 它的底层逻辑
[00:50:14--00:50:17] 其实本质上来讲是一个本体相关的
[00:50:17--00:50:17] 底层逻辑
[00:50:17--00:50:21] 就是自动驾驶商或者说OEM
[00:50:21--00:50:25] 它因为在全世界部署了最多的自己的车
[00:50:25--00:50:25] 它就开始了
[00:50:25--00:50:28] 就可以从自己的车上收回来最多的数据
[00:50:28--00:50:31] 又基于这些数据可以训练最好的大脑
[00:50:31--00:50:33] 所以这些OEM
[00:50:33--00:50:36] 它们自己就是最大的大脑商
[00:50:36--00:50:36] 对吧
[00:50:36--00:50:38] 但是我认为对于巨声来讲
[00:50:38--00:50:40] 这个逻辑可能会被颠覆
[00:50:40--00:50:41] 为什么呢
[00:50:41--00:50:41] 因为
[00:50:41--00:50:43] 从巨声来讲
[00:50:43--00:50:45] 这个世界上并不具备比方说
[00:50:45--00:50:47] 上百万台的机器人
[00:50:47--00:50:50] 部署在端侧
[00:50:50--00:50:52] 然后在自动化的执行各种各样任务
[00:50:52--00:50:55] 或者说在端侧有人
[00:50:55--00:50:55] 去摇操它们
[00:50:55--00:50:58] 去执行各种各样的任务
[00:50:58--00:50:59] 如果有人去摇操的话
[00:50:59--00:51:00] 带来的成本又过高
[00:51:00--00:51:03] 这个也不是一个可规模化的一个路径
[00:51:03--00:51:05] 那在这样一个情况下
[00:51:05--00:51:06] 我认为它一定
[00:51:06--00:51:08] 整个数据的架构
[00:51:08--00:51:10] 会去符合数据金塔
[00:51:10--00:51:11] 那就是
[00:51:11--00:51:13] 最小的数据量
[00:51:13--00:51:14] 会是
[00:51:14--00:51:16] 基于在端侧
[00:51:16--00:51:17] 真实部署的机器人
[00:51:17--00:51:19] 去采集回来的数据
[00:51:19--00:51:19] 侦缉数据
[00:51:19--00:51:20] 侦缉数据
[00:51:20--00:51:21] 没错
[00:51:21--00:51:23] 那么中间的这部分的数据量
[00:51:23--00:51:25] 会是基于仿真
[00:51:25--00:51:26] 去生成的数据
[00:51:26--00:51:28] 而下面的这个数据呢
[00:51:28--00:51:29] 会是比方说互联网
[00:51:29--00:51:32] 或者是人的第一类视角的数据
[00:51:32--00:51:34] 那下面这两类数据
[00:51:34--00:51:35] 仿真
[00:51:35--00:51:37] 和人的第一人称视角的数据
[00:51:37--00:51:38] 它们的特点是什么
[00:51:38--00:51:40] 它们都不需要基于本体
[00:51:40--00:51:42] 不需要基于一个硬件的本体
[00:51:42--00:51:43] 就可以回来数据
[00:51:43--00:51:46] 且它们的规模化能力要远远高于
[00:51:46--00:51:48] 这个真实的机器人的部署
[00:51:48--00:51:51] 那这样就会发生一件什么事呢
[00:51:51--00:51:53] 我觉得这样就会发生就是说
[00:51:53--00:51:54] 最多的
[00:51:54--00:51:55] 巨深的数据
[00:51:55--00:51:58] 一定不是本体商提供的
[00:51:58--00:51:59] 对吧
[00:51:59--00:52:01] 那在这样一个前提下
[00:52:01--00:52:03] 我认为特斯拉的数据闭环
[00:52:03--00:52:04] 在巨深就不成立了
[00:52:04--00:52:07] 相当于就是说不会存在一个本体商
[00:52:07--00:52:08] 它自己
[00:52:08--00:52:10] 是最广泛应用的本体
[00:52:10--00:52:13] 同时它又可以做全世界最好的大脑
[00:52:13--00:52:16] 我觉得这件事底层就不太会成立
[00:52:16--00:52:18] 那我再举一个例子来
[00:52:18--00:52:19] 佐证这件事
[00:52:19--00:52:20] 特斯拉
[00:52:20--00:52:22] 它们是在做机器人对吧
[00:52:22--00:52:24] 就是Optimus它在做机器人
[00:52:24--00:52:25] 但是
[00:52:25--00:52:27] Optimus的大脑
[00:52:27--00:52:27] 其实
[00:52:27--00:52:30] 是安排给XAI去提供的
[00:52:30--00:52:30] 对吧
[00:52:30--00:52:32] 而并不是让特斯拉自己去提供
[00:52:32--00:52:33] 一样的一个道理
[00:52:33--00:52:35] 一定会是一个大模型商去做这件大脑
[00:52:35--00:52:37] 那在这样一个情况下呢
[00:52:37--00:52:39] 我觉得大模型商
[00:52:39--00:52:43] 他们会是利用更多的本体无关的数据
[00:52:43--00:52:44] 去训练这个大脑
[00:52:44--00:52:46] 而本体商呢
[00:52:46--00:52:49] 可能更会是利用大模型商提供的大脑
[00:52:49--00:52:50] 去做微调
[00:52:50--00:52:52] 部署以及落地
[00:52:52--00:52:53] 那在这样一个情况下呢
[00:52:53--00:52:54] 我觉得可能还会有
[00:52:54--00:52:55] 两类
[00:52:55--00:52:57] 不同的公司会借助进来
[00:52:57--00:52:58] 一类就是数据商
[00:52:58--00:53:01] 那我认为数据商呢
[00:53:01--00:53:03] 其实它也经历了不同的演变
[00:53:03--00:53:05] 从最早的可能在
[00:53:05--00:53:06] 静态数据集的时候
[00:53:06--00:53:09] 它和客户可能纯粹的是一个
[00:53:09--00:53:11] 就是
[00:53:11--00:53:13] 就是甲方乙方的关系
[00:53:13--00:53:13] 到
[00:53:13--00:53:14] Scale AI
[00:53:14--00:53:15] Surge
[00:53:15--00:53:15] Macor
[00:53:15--00:53:18] 和客户可能更多是类似一个partnership的一个关系
[00:53:18--00:53:19] 到后面
[00:53:19--00:53:20] 我觉得
[00:53:20--00:53:23] 需要基于数据商去提供评测
[00:53:23--00:53:24] 又基于
[00:53:24--00:53:25] 评测呢
[00:53:25--00:53:26] 去提供更多的反馈
[00:53:26--00:53:28] 又基于这些反馈呢去
[00:53:28--00:53:32] 去刺激客户的需求拿到更多的数据
[00:53:32--00:53:34] 又基于这些数据训练更好的模型
[00:53:34--00:53:37] 然后这样再基于数据商去跑更多的评测
[00:53:37--00:53:39] 因此呢我认为就是数据商
[00:53:39--00:53:42] 和这个大模型的厂商
[00:53:42--00:53:45] 会越来越多的形成一个共生的一个关系
[00:53:45--00:53:46] 因为
[00:53:46--00:53:46] 就是
[00:53:46--00:53:48] 大模型商需要数据商
[00:53:48--00:53:49] 给他们
[00:53:49--00:53:51] 更加有效的评测
[00:53:51--00:53:52] 更加有效的数据
[00:53:52--00:53:54] 而数据商又需要
[00:53:54--00:53:55] 基于大模型商
[00:53:55--00:53:58] 给他们提供基于模型更好的数据验证
[00:53:58--00:53:59] 反馈
[00:53:59--00:54:02] 来帮助他们去迭代自己的数据的生产链路
[00:54:02--00:54:05] 所以这两边呢我觉得会是一个共生的关系
[00:54:05--00:54:07] 所以我觉得数据商在里头会很关键
[00:54:07--00:54:10] 还有一个呢我认为就是场景商
[00:54:10--00:54:12] 这个往往是被大家忽视的
[00:54:12--00:54:13] 场景商
[00:54:13--00:54:14] 或者就是
[00:54:14--00:54:16] 就场景公司
[00:54:16--00:54:18] 场景公司比如说OEM
[00:54:18--00:54:19] 它就是一个场景公司
[00:54:19--00:54:20] 它自己
[00:54:20--00:54:24] 就具备很多的机器人需要去落地的场景
[00:54:24--00:54:25] 在它的车间
[00:54:25--00:54:26] 在它的工厂
[00:54:26--00:54:29] 包括比方说医疗的集团
[00:54:29--00:54:31] 它有很多的自己的场景
[00:54:31--00:54:33] 需要去部署到机器人
[00:54:33--00:54:35] 包括农业的公司
[00:54:35--00:54:36] 等等
[00:54:36--00:54:37] 就算是工业
[00:54:37--00:54:38] 这就是巨大的一个机会
[00:54:38--00:54:41] 所以我认为这些不同的场景级的公司
[00:54:41--00:54:43] 他们都有大规模
[00:54:43--00:54:45] 部署落地机器人的这个需求
[00:54:45--00:54:51] 我们其实现在服务的客户可能有很大的一个比例已经开始是这些场景级的客户
[00:54:51--00:54:52] 那
[00:54:52--00:54:54] 在这样一个情况下呢我觉得
[00:54:54--00:54:57] 会是四者的一个相互的协作
[00:54:57--00:54:58] 第一个是大模型商
[00:54:58--00:55:01] 对吧那么他们呢更多的是会基于
[00:55:01--00:55:02] 本体无关的
[00:55:02--00:55:04] 就是数据商提供的数据
[00:55:04--00:55:05] 不断的去
[00:55:05--00:55:06] 冲刺scaling out
[00:55:06--00:55:08] 对放话然后提供大脑
[00:55:08--00:55:10] 把大脑提供给
[00:55:10--00:55:11] 本体公司
[00:55:11--00:55:12] 本体公司
[00:55:12--00:55:15] 可能再基于更多的场景和数据
[00:55:15--00:55:16] 去落地到场景上
[00:55:16--00:55:19] 而场景公司呢他们也有更大的一个
[00:55:19--00:55:21] 自主权
[00:55:21--00:55:22] 因为其实
[00:55:22--00:55:24] 他们可以选择
[00:55:24--00:55:27] A硬件公司的硬件也可以选择B硬件公司的硬件
[00:55:27--00:55:30] 甚至他们自己有很强的一个自研能力
[00:55:30--00:55:32] 他们也可以自己开发硬件
[00:55:32--00:55:35] 比如说我认为可能很多的OEM
[00:55:35--00:55:36] 都会开发自己的机器人
[00:55:36--00:55:38] 因为他们对量产
[00:55:38--00:55:40] 对质量的管控
[00:55:40--00:55:43] 对这个硬件的稳定性
[00:55:43--00:55:45] 对成本的控制
[00:55:45--00:55:46] 可能有更好的一个理解
[00:55:46--00:55:48] 他们呢也可以基于
[00:55:48--00:55:50] 大模型的这个
[00:55:50--00:55:51] 这个大脑的能力
[00:55:51--00:55:53] 去给自己的场景
[00:55:53--00:55:54] 直接去落地
[00:55:54--00:55:56] 所以我认为后面可能是这四者的一个联系
[00:55:56--00:55:59] 说回我们刚才讲的那个李广编那个观点
[00:55:59--00:56:01] 你觉得不能说数据及模型
[00:56:01--00:56:04] 那从长远来看你觉得什么级模型
[00:56:04--00:56:06] 我认为还是要回到第一性原理
[00:56:06--00:56:09] 看看人是如何去学习的
[00:56:09--00:56:12] 那我觉得可能系统性的学习的能力
[00:56:12--00:56:15] 我觉得这个底层应该是一个模型
[00:56:15--00:56:16] 本质上来讲我觉得
[00:56:16--00:56:18] 所以我们不能说是知识级模型
[00:56:18--00:56:19] 对
[00:56:19--00:56:21] 我觉得不能说是知识级模型
[00:56:21--00:56:24] 我觉得应该是一个不断提升的系统级能力
[00:56:24--00:56:27] 因为其实每一次系统级能力的提升
[00:56:27--00:56:30] 可能也会带来对于数据的新的需求
[00:56:30--00:56:32] 我举一个例子
[00:56:32--00:56:35] 小孩的学习可能看一些画本就够了
[00:56:35--00:56:38] 但是马斯克或者是比方说
[00:56:38--00:56:40] 巴菲特的学习
[00:56:40--00:56:42] 可能就有更加针对性的
[00:56:42--00:56:43] 高级的这些知识
[00:56:43--00:56:44] 以及这些信号
[00:56:44--00:56:46] 相当于有私教可能
[00:56:46--00:56:48] 对当然就是说我认为这个私教呢
[00:56:48--00:56:50] 它不应该是以人为中心的
[00:56:50--00:56:52] 它应该是以系统为中心的
[00:56:52--00:56:53] 只有这样才可以
[00:56:53--00:56:54] 提供
[00:56:54--00:56:56] 足够规模化的私教
[00:56:56--00:56:59] 就足够规模化的言传身教
[00:56:59--00:57:02] 我们播客其实一方面聊过很多大圆模型的嘉宾
[00:57:02--00:57:04] 一方面也聊过很多robotics领域的嘉宾
[00:57:04--00:57:05] 你觉得
[00:57:05--00:57:07] 这两个领域面对今天面对的数据问题
[00:57:07--00:57:08] 不同是什么呀
[00:57:08--00:57:09] 他们阶段
[00:57:09--00:57:11] 分别到了什么阶段
[00:57:11--00:57:13] 我认为这个两者还是
[00:57:13--00:57:15] 挺不一样的
[00:57:15--00:57:18] 那我觉得从大圆模型角度来讲的话呢
[00:57:18--00:57:20] 他们的预训练的数据是足够的
[00:57:20--00:57:23] 因为本质上来讲是整个互联网的数据
[00:57:23--00:57:25] 对所以这块是很多的
[00:57:25--00:57:28] 那他们面临的呢其实更多的是一个后训练
[00:57:28--00:57:30] 以及评测的一个问题
[00:57:30--00:57:32] 那么后训练和评测呢本质上来讲
[00:57:32--00:57:34] 就有点类似于是言传身教
[00:57:34--00:57:37] 那需要找越来越高阶的老师
[00:57:37--00:57:40] 给他们提供这些言传身教
[00:57:40--00:57:41] 那其实
[00:57:41--00:57:43] 这些老师往往在不同的行业里
[00:57:43--00:57:46] 对吧比如说可能是最好的工程师
[00:57:46--00:57:47] 可能是
[00:57:47--00:57:49] 就可能是数学的金牌
[00:57:49--00:57:50] 可能是最好的律师
[00:57:50--00:57:52] 可能是最好的医生
[00:57:52--00:57:53] 而且呢越来越多的
[00:57:53--00:57:55] 言传身教会变为就是说
[00:57:55--00:57:56] 出题
[00:57:56--00:57:59] 比方说可能普通的老师是在
[00:57:59--00:57:59] 通过
[00:57:59--00:58:00] 自己的示范
[00:58:00--00:58:02] 来教育学生
[00:58:02--00:58:04] 而越来越好的老师呢可能是
[00:58:04--00:58:06] 去问越来越难的问题
[00:58:06--00:58:09] 来激励这个学生自己去寻找答案
[00:58:09--00:58:11] 所以我认为本质上来讲
[00:58:11--00:58:13] 这个是大圆模型
[00:58:13--00:58:14] 他们在面临的数据的问题
[00:58:14--00:58:16] 是找越来越好的人
[00:58:16--00:58:19] 又基于他们的可能去出越来越难的题
[00:58:19--00:58:22] 基于这些题呢以及这些
[00:58:22--00:58:23] 信号
