[00:00:00--00:00:08] 那接下来我们把时间交给马晓彤博士,来给我们分享他们在这个方向上最新的观点。
[00:24:41--00:24:46] 然后当我们欢欣鼓舞的想去发表这个工作的时候,
[00:24:46--00:24:47] 他又迭代了一天,
[00:24:47--00:24:49] 然后迭代到了一个v24,
[00:24:49--00:24:53] 然后v24是一个非常有意思的checkpoint,
[00:24:53--00:24:55] 就是他不像之前,
[00:24:55--00:24:57] 之前一直都是在调学习率,
[00:24:57--00:25:00] 然后调一些去remixdata的一些方法,
[00:25:00--00:25:06] 然后这个v24是去fix了他自己harness里面的一个bug,
[00:25:06--00:25:08] 就是说这个evaluation的这个script,
[00:25:08--00:25:10] 其实他里面有一个specialtoken的问题,
[00:25:10--00:25:12] 然后会影响他的分数,
[00:25:12--00:25:14] 然后当他把这个问题fix了以后,
[00:25:14--00:25:16] 他的performance就高了非常多,
[00:25:16--00:25:20] 当然其实他的fix对所有的这个baseline的结果也是有影响的,
[00:25:20--00:25:22] 但是整体来说,
[00:25:22--00:25:24] 我觉得这个是一个非常reasonable的一个实验,
[00:25:24--00:25:28] 然后我们还做了一个非常有意思的一个前瞻性的产品,
[00:25:28--00:25:30] 就是叫mineclaw,
[00:25:30--00:25:33] 就是大家都知道openclaw之前是非常火的,
[00:25:33--00:25:35] 但是openclaw其实他有一个非常大的问题,
[00:25:35--00:25:38] 就是当他的skill跟对话轮述变得非常多的时候,
[00:25:38--00:25:41] 实际上他会出现很多记忆上的混乱,
[00:25:41--00:25:45] 然后但是这个特性就正好和laura的一些能力做了一个互补,
[00:25:45--00:25:47] 然后我们就做了mineclaw,
[00:25:47--00:25:50] mineclaw就是他可以通过对话的方式,
[00:25:50--00:25:54] 然后来判断就是你当时调的这个skill他到底是不是对的,
[00:25:54--00:25:57] 然后如果他认为他很好的完成了你这个任务,
[00:25:57--00:26:00] 那么他会给自己一个正向的奖励,
[00:26:00--00:26:02] 然后通过不停别代这个laura的方式,
[00:26:02--00:26:06] 然后来提升他调用skill的这个准确性,
[00:26:06--00:26:09] 然后他在每一句其实都会去收集做这样一个判断,
[00:26:09--00:26:15] 然后这个也是比较符合我们整体在未来的一个对未来世界的一个思考,
[00:26:15--00:26:17] 就他可能会是一个两层的loop,
[00:26:17--00:26:20] 然后外层的loop是一个skill的evolution,
[00:26:20--00:26:24] 然后内层的loop就是一个参数化的一个更新,
[00:26:24--00:26:26] 然后他们walk在不同的频率上,
[00:26:26--00:26:30] 然后共同使得这个系统不停的去进化提升,
[00:26:30--00:26:37] 然后最后就是讲一下可能我们为了支撑前面我们所讲到的所有这些,
[00:26:37--00:26:40] 一些intuitions去做的这样一套infrastructure,
[00:26:40--00:26:43] 然后这个infrastructure我们叫做mint,
[00:26:43--00:26:49] mint是一个对于去怎么做这种百万量级的,
[00:26:49--00:26:54] 就是万一参数模型的evolution而设计的一套infrastructure,
[00:26:54--00:26:59] 然后他把这个所有的api和这个对laura生命周期的管理呢,
[00:26:59--00:27:00] 全部都抽象起来,
[00:27:00--00:27:05] 然后让大家不用再关心每一个laura他自己怎么在这个gpu上去做调度,
[00:27:05--00:27:08] 然后他怎么去做容错,怎么去resume,
[00:27:08--00:27:10] 然后怎么去training,
[00:27:10--00:27:12] 这些全部都不需要关心,
[00:27:12--00:27:15] 你只需要关心就是你怎么去evaluate,
[00:27:15--00:27:17] 然后你用什么样的data去更新它,
[00:27:17--00:27:20] 然后你就可以call一个api来去调用,
[00:27:20--00:27:26] 然后同时我们在mint上面做了很多一些有意思的实验跟观察,
[00:27:26--00:27:31] 然后第一就是说我们去尝试让他支持到eP模型,
[00:27:31--00:27:37] 然后所以我们现在所有的eP模型其实上都是在我们自己的infrastructure上面来训,
[00:27:37--00:27:44] 然后第二就是说我们在里面迭代的核心的概念不是整个全量的参数,
[00:27:44--00:27:46] 而是一个laura adapter,
[00:27:46--00:27:57] 然后右上角这个图就展示了两种叠代laura adapter和整个叠代全量的模型之间的训练速度差异,
[00:27:57--00:28:02] 然后实际上就是当我去指叠代adapter我不去mergemodel的话,
[00:28:02--00:28:04] 其实我能节省非常多的时间,
[00:28:04--00:28:11] 然后相应其实全量训练的时候我也需要把参数从training到serving,
[00:28:11--00:28:13] 然后中间来回倒,
[00:28:13--00:28:18] 然后但是实际在laura里面我需要倒的adapter非常小,
[00:28:18--00:28:20] 所以它的传输速度就会非常快,
[00:28:20--00:28:25] 然后我们还做了百万量级的laura的serving,
[00:28:25--00:28:29] 因为我们希望可以支持一个laura的population,
[00:28:29--00:28:36] 然后当我们去观察的时候我们会发现我们设计了一个三层的缓存机制,
[00:28:36--00:28:40] 然后会有大概5万个laura它在一个热机里面,
[00:28:40--00:28:44] 然后剩下的可能就是更多的是在一个硬盘里面,
[00:28:44--00:28:49] 但是我们做了一个对laura的package的技术,
[00:28:49--00:28:55] 然后把很多fail上面里面没有用的一些tensor都去掉了,
[00:28:55--00:28:59] 然后只留下可能对laura来说最重要的这些信息,
[00:28:59--00:29:02] 然后专门设计了一个laura的格式,
[00:29:02--00:29:03] 然后把它压缩下来,
[00:29:03--00:29:07] 然后这样的话其实我们整个要传输的文件大小就小了50多倍,
[00:29:07--00:29:10] 然后整体的速度就能快8到10倍左右,
[00:29:10--00:29:18] 然后可以保证在0.2秒左右就可以把在一个硬盘上面的laura load到模型上,
[00:29:18--00:29:28] 所以几乎可以说是得到了一个生产级可用的百万量级的模型serving的系统,
[00:29:28--00:29:32] 然后这里面是可能mint的一些使用的方法就是,
[00:29:32--00:29:36] 其实它是一个完全tinker compatible的这样的一个system,
[00:29:36--00:29:39] 然后你只需要填这么几行代码,
[00:29:39--00:29:41] 然后就可以直接开始进行训练了,
[00:29:41--00:29:46] 然后我们也把我们mint整个service的runtime,
[00:29:46--00:29:50] 就是开源到了voreal社区里面去,
[00:29:50--00:29:56] 然后大家如果有需求可以希望可以在一个机器上布一些小模型的话,
[00:29:56--00:29:58] 可以尝试去用vorealmint,
[00:29:58--00:30:03] 然后就可以使用我们整个mint的基础的infrastructure,
[00:30:03--00:30:08] 然后最后再花两三分钟时间上讲一下我们的environment,
[00:30:08--00:30:14] 刚才说了就是说我们是一个research product code design的这样一个团队,
[00:30:14--00:30:18] 然后我们的environment就是macron这样一个产品,
[00:30:18--00:30:23] 然后我觉得今天就不展开说macron这个产品它具体是什么了,
[00:30:23--00:30:28] 然后我们主要就是讲macron是我们训练的iteration的一个非常重要的来源,
[00:30:28--00:30:33] 然后里面有很多真实的用户真实的任务真实的反馈,
[00:30:33--00:30:44] 然后值得一提的是大家肯定也都会想就是说我们可能是怎么去尝试为每个用户都去优化一个模型的,
[00:30:44--00:30:48] 然后我觉得这个也是self-involution需要解决的最重要的一个问题,
[00:30:48--00:30:54] 就是我们怎么去为每一个agent去创建自己的benchmark和北极星的指标,
[00:30:54--00:30:57] 然后才能get他做更好的一个involution,
[00:30:57--00:31:02] 然后我们的一个思考就是我们要做personal的constitutional的AI,
[00:31:02--00:31:07] 就是我们大家都知道像数学领域其实定理有很多,
[00:31:07--00:31:09] 但是公理实际上只有三条,
[00:31:09--00:31:12] 然后我们相信就是AI的公理实际上也是很少的,
[00:31:12--00:31:18] 然后但是我们可以结合每个用户自己的contest去设计一些符合这个用户自己的定理,
[00:31:18--00:31:21] 然后让模型就是自己去推断自己去reasoning,
[00:31:21--00:31:26] 然后应该自己应该用什么样的rubric来满足用户的这个performance,
[00:31:26--00:31:31] 然后我们通过这种方式去训练了personal chat的这个模型,
[00:31:31--00:31:38] 然后就发现它的表现要比这个稳稳接住你的GPT要好太多了,
[00:31:38--00:31:44] 然后而且就是我们发现在不同模型的skill上面去做实验,
[00:31:44--00:31:46] 然后我们在更大的模型上,
[00:31:46--00:31:50] 其实用非常少量的这样的一些数捷叠带就可以很好的调整它的这种风格,
[00:31:50--00:31:54] 然后我们大概在235B上用了5K的数据,
[00:31:54--00:31:58] 然后但是我们在我们即将发布的这个micronv1preview里面,
[00:31:58--00:32:02] 就是我们只用了这个大概1K的数据,
[00:32:02--00:32:08] 然后在这个750B左右的模型上面就调出来一个非常好的这个chat风格的模型,
[00:32:08--00:32:12] 然后时间也刚刚好,就是最后再summer一下,
[00:32:12--00:32:19] 就是我想引用就是红杉,就是和我人在红杉年度大会上面说过的一句话,
[00:32:19--00:32:24] 就是人是外物的尺度,没有任何的东西在真空中对人类有价值,
[00:32:24--00:32:26] 不是铝,不是艺术,不是智能,
[00:32:26--00:32:29] 它们之所以有价值是因为它对人们的这个体验,
[00:32:29--00:32:31] 然后这里面想说的就是,
[00:32:31--00:32:35] 其实我们现在AI发展到今天这样一个阶段,
[00:32:35--00:32:40] 其实我们会有一个非常值得参考的历史瞬间就是照相机的出现,
[00:32:40--00:32:46] 照相机的出现使得之前所有的写真的这种绘画都变得毫无意义的,
[00:32:46--00:32:49] 但是绘画这门艺术并没有消失,
[00:32:49--00:32:52] 然后它进而演进成了印象派,
[00:32:52--00:32:54] 然后进而演进成了抽象派,
[00:32:54--00:32:56] 然后各种各样新的形式的艺术,
[00:32:56--00:33:00] 然后当我们去思考智能本身的时候,
[00:33:00--00:33:04] 可能我们在未来就应该脱离就是它带来的,
[00:33:04--00:33:06] 比如说替代人类工作的价值,
[00:33:06--00:33:10] 而更应该去思考就是人本身觉得什么东西是有意义的,
[00:33:10--00:33:11] 是有价值的,
[00:33:11--00:33:15] 然后哪些是我们真正的核心的这个需求,
[00:33:15--00:33:20] 然后定义这些问题跟需求会变得前所未有的重要,
[00:33:20--00:33:22] 然后对,
[00:33:22--00:33:27] 所以这也是call back一下我的这个表题就是这个 experiential intelligence,
[00:33:27--00:33:30] 然后这是我今天全部的分享,
[00:33:30--00:33:31] 然后谢谢大家,
[00:33:31--00:33:33] 好的好的,
[00:33:33--00:33:35] 非常感谢小层带来的精彩的分享,
[00:33:35--00:33:37] 我觉得不管是从research角度,
[00:33:37--00:33:39] 还是说从这个产品角度,
[00:33:39--00:33:42] 其实都是带来了业界最前沿的一些见解,
[00:33:42--00:33:45] 包括research里面的data memory,
[00:33:45--00:33:46] 包括密测,
[00:33:46--00:33:48] 包括三种不同的scaling law,
[00:33:48--00:33:50] 然后产品里面其实我们也发现Mint,
[00:33:50--00:33:56] 包括麦卡龙对于self-involving agent这个方向上有自己独特的一个技术路线,
[00:33:56--00:33:58] 包括有自己独特的一些想法,
[00:33:58--00:34:01] 那大家有关于小腾今天分享的内容,
[00:34:01--00:34:02] 如果有任何的问题,
[00:34:02--00:34:05] 现在可以在聊天框去提出,
[00:34:05--00:34:07] 然后我们会筛选出来一些问题,
[00:34:07--00:34:09] 然后去给到小腾来解答,
[00:34:09--00:34:10] 对,然后这里的话,
[00:34:10--00:34:14] 我其实有看到有一些听众已经在之前有一些问题了,
[00:34:14--00:34:18] 然后我这边先减复一下,
[00:34:18--00:34:21] 那其实第一个问题其实就是比较好奇,
[00:34:21--00:34:23] 那个contest to Laura,
[00:34:23--00:34:25] 这个是有没有一些论文,
[00:34:25--00:34:26] 或者是公开的博客,
[00:34:26--00:34:29] 或者是一些信息可以更多的给大家分享。
[00:34:29--00:34:33] 好,其实我们刚才讲那个on the scaling of PEPS,
[00:34:33--00:34:36] 就是我们所有刚才讲到的一些工作,
[00:34:36--00:34:40] 全部都打包到on the scaling of PEPS这一篇论文里面去了,
[00:34:40--00:34:44] 然后但是就是还是一些比较preview的这个实验的结果,
[00:34:44--00:34:47] 然后但是其实就是在我的观察里,
[00:34:47--00:34:50] 我觉得这是一个比较清晰的研究的脉络,
[00:34:50--00:34:55] 然后最近就是做这方面工作的这个research其实很多,
[00:34:55--00:35:00] 然后包括就是在之前比较火的这个Dog to Laura的这样的一些技术,
[00:35:00--00:35:05] 然后还有最近就是像scale0,scale0,scale0.5,
[00:35:05--00:35:09] 然后等等,就是我觉得就是大家其实去关注一下,
[00:35:09--00:35:13] 就是把context去压缩到Laura里面的一些这个,
[00:35:13--00:35:17] 就是这个相关的论文其实能找到不少,对。
[00:35:17--00:35:19] 嗯嗯嗯,OK,
[00:35:19--00:35:23] 然后我先把听众的问题去先给到小偷,
[00:35:23--00:35:25] 然后第二个问题是,
[00:35:25--00:35:28] 因为刚刚小偷也分享了另外一个非常有影响力的工作,
[00:35:28--00:35:31] 那有一个听众其实想问,
[00:35:31--00:35:35] 如果从这个把data memory里面的state大小,
[00:35:35--00:35:38] 从rank等于8,提升到rank等于1024,
[00:35:38--00:35:40] 那这个能力会不会预升,
[00:35:40--00:35:45] 比如说完全替代推理的早期的context?
[00:35:45--00:35:47] 我觉得这个是很有可能的,
[00:35:47--00:35:49] 然后但是我们也观察到了,
[00:35:49--00:35:53] 其实像这样的一些比较小的这个adapter,
[00:35:53--00:35:56] 它的记忆能力也是有一些上限,
[00:35:56--00:35:59] 然后就是,所以其实我们现在,
[00:35:59--00:36:02] 就是我们是把这个八成八的矩阵去做一个gate,
[00:36:02--00:36:06] 就是它最后影响不是直接从这个八成八的矩阵去输出一些什么东西,
[00:36:06--00:36:10] 而是这个八成八的矩阵它会影响这个for attention,
[00:36:10--00:36:12] 然后每个attention它的这个,
[00:36:12--00:36:13] 这个注意力到底在哪儿,
[00:36:13--00:36:14] 然后去做一些调整,
[00:36:14--00:36:16] 然后我觉得就是,
[00:36:16--00:36:19] 就是这个可能对于dertaMem来说,
[00:36:19--00:36:21] 就是它的挑战不是在于,
[00:36:21--00:36:24] 我的这个记忆的容量到底是多少,
[00:36:24--00:36:27] 可能我把它这个skill到1GB,
[00:36:27--00:36:30] 然后它能记住的东西也不会像就是,
[00:36:30--00:36:32] 比如说一个file system那么多,
[00:36:32--00:36:34] 然后更重要的是我到底怎么去learn,
[00:36:34--00:36:40] 然后怎么能让它去capture更大这个时间尺度的一些memory的signal,
[00:36:40--00:36:42] 就是这个sigma,
[00:36:42--00:36:43] 对。
[00:36:43--00:36:46] 这里我觉得小腾刚刚提到一个非常有意思的问题,
[00:36:46--00:36:48] 然后其实我也想follow up一下,
[00:36:48--00:36:53] 因为刚刚小腾其实你提到这个laura它其实有一个容量的一个上限,
[00:36:53--00:36:56] 或者说这里有一个upper bound,
[00:36:56--00:36:58] 那其实我想问的是,
[00:36:58--00:37:01] 因为我们知道大模型它是随着参数量增大,
[00:37:01--00:37:04] 然后它能够存储的知识越来越多,
[00:37:04--00:37:06] 它能够解决任务可能也越来越多,
[00:37:06--00:37:07] 越来越强能力越来越强,
[00:37:07--00:37:10] 那在laura这里有似乎听上去你们是想反过来去做,
[00:37:10--00:37:11] 对吧,
[00:37:11--00:37:14] 那这里在它的upper bound上面有没有什么可以分享的,
[00:37:14--00:37:16] 就比如说一个rank等于7,
[00:37:16--00:37:21] 或者是说一个什么样的laura它大概能够存储多大的一个信息,
[00:37:21--00:37:22] 或者说是数据,
[00:37:22--00:37:25] 或者是它能够处理contact是多长的等等,
[00:37:25--00:37:27] 这方面有没有一些细节。
[00:37:27--00:37:29] 对,
[00:37:29--00:37:31] 这个我觉得分两点嘛,
[00:37:31--00:37:34] 然后第一点是我们目前做到的这个结果,
[00:37:34--00:37:37] 然后就是我们其实是有一个非常清晰的这个math,
[00:37:37--00:37:44] 就是类比于之前的chinclairlaw它描述的是一个预训练里面的parameter,
[00:37:44--00:37:47] 然后它能记住大概20个token左右,
[00:37:47--00:37:49] 然后在我们的实验里面,
[00:37:49--00:37:52] laura在后训练的阶段可能是要反过来,
[00:37:52--00:37:55] 就是100个parameter能记住一个concept,
[00:37:55--00:37:56] 能记住一个token,
[00:37:56--00:37:58] 然后我知道就是这个听上去效率非常的低,
[00:37:58--00:38:01] 然后但是我觉得这个里面是有两个limitation的,
[00:38:01--00:38:04] 然后第一个limitation是在pretrain阶段,
[00:38:04--00:38:06] 其实大家思考一下,
[00:38:06--00:38:09] 就是为什么它能一个parameter能记住20个concept,
[00:38:09--00:38:10] 或者20个这个token,
[00:38:10--00:38:12] 是因为就是在pretrain阶段,
[00:38:12--00:38:14] 其实这个不同的这个token之间,
[00:38:14--00:38:18] 它的联系是非常的网状的,
[00:38:18--00:38:20] 就是你可能同样一个token,
[00:38:20--00:38:21] 或者同样一个concept,
[00:38:21--00:38:24] 它就会出现在a这个语境下,
[00:38:24--00:38:26] 它又会出现在b语境下,
[00:38:26--00:38:27] 然后它出现的次数多,
[00:38:27--00:38:31] 实际上它的这个能记住的这个效率就变高,
[00:38:31--00:38:33] 然后但是其实你在laura里面,
[00:38:33--00:38:35] 或者后训练的任务里面,
[00:38:35--00:38:37] 然后我们往往就是见过一些concept,
[00:38:37--00:38:38] 就见过一次,
[00:38:38--00:38:40] 然后见过一次以后,
[00:38:40--00:38:42] 其实它是很难被直接记住的,
[00:38:42--00:38:45] 然后我们做了一些非常有趣的实验是,
[00:38:45--00:38:49] 我们切换这个去问这个问题的这个pattern,
[00:38:49--00:38:52] 就是刚才讲到就是说我们是用一个这个,
[00:38:52--00:38:57] 就是自己构造的这样一个这个爆菜名的任务去进行test的,
[00:38:57--00:38:59] 然后在爆菜名这个任务里面,
[00:38:59--00:39:02] 最简单的问题是我这个哪天,
[00:39:02--00:39:04] 然后在中午吃了什么,
[00:39:04--00:39:05] 对吧,
[00:39:05--00:39:06] 这是一个非常简单的方式,
[00:39:06--00:39:07] 但是我们发现这种方式,
[00:39:07--00:39:10] 其实能就是能带来的这个token,
[00:39:10--00:39:12] 就是这个parameter efficiency是非常非常低的,
[00:39:12--00:39:15] 然后但是如果我换一些这个聊的方式,
[00:39:15--00:39:17] 比如说我问他周二上,
[00:39:17--00:39:22] 这个周二上午这个的下一顿饭是什么,
[00:39:22--00:39:23] 就是说我不直接问,
[00:39:23--00:39:26] 就是只是这个locate到这个记住什么东西,
[00:39:26--00:39:30] 而是我在bridge不同的这个问题之间的联系,
[00:39:30--00:39:31] 然后或者我直接问他说,
[00:39:31--00:39:35] 我到底是喜欢吃这个炸酱面还是喜欢吃牛排,
[00:39:35--00:39:37] 然后通过更多的这样的问题,
[00:39:37--00:39:41] 其实我就可以很好的来提升这个parameter efficiency,
[00:39:41--00:39:43] 然后在我们的test里,
[00:39:43--00:39:45] 就是如果你只是问一个问题,
[00:39:45--00:39:47] 就是说这个concept只出现过一次,
[00:39:47--00:39:51] 其实他只能被大概就是16%的正确率被记住,
[00:39:51--00:39:53] 但是如果你把这个数量提升到4次,
[00:39:53--00:39:54] 就是你问同一个concept,
[00:39:54--00:39:56] 然后来回问4次,
[00:39:56--00:39:58] 你的这个记忆的效率就会提升到87%,
[00:39:58--00:40:00] 就是他正确率就会到87%,
[00:40:00--00:40:01] 这个就很有意思,
[00:40:01--00:40:03] 就好像是我们之前学英语,
[00:40:03--00:40:06] 然后我们打开这个vocabulary,
[00:40:06--00:40:08] 然后abandon,
[00:40:08--00:40:09] 不管多少遍,
[00:40:09--00:40:10] 其实我们也记不住他,
[00:40:10--00:40:12] 然后但是如果我们在一个阅读理解里面,
[00:40:12--00:40:14] 见到3,4次,
[00:40:14--00:40:17] 然后我们大概率就能把它给记下来,
[00:40:17--00:40:19] 然后同时就是我们也会想到,
[00:40:19--00:40:21] 其实通过resoning的一些方式,
[00:40:21--00:40:23] 和一些更多的这个data合成的方式,
[00:40:23--00:40:26] 我们是可以很好的去增强这个concept,
[00:40:26--00:40:32] 其实它在整个我们想被记忆的这个structure里面出现的这个频次,
[00:40:32--00:40:36] 所以就是这个是我们现在在比较active探索的一个方向,
[00:40:36--00:40:38] 然后但是我觉得就整体来说,
[00:40:38--00:40:41] 就是lora它绝对不是一个去替代reg,
[00:40:41--00:40:44] 或者替代这个file system的这样一项技术,
[00:40:44--00:40:46] 它绝对是一个在另一个纬度,
[00:40:46--00:40:49] 然后另一个频率上面去工作的这样一个东西,
[00:40:49--00:40:50] 对,
[00:40:50--00:40:51] 对,
[00:40:51--00:40:53] 然后我还有两个问题,
[00:40:53--00:40:55] 我直接快速的给到小层这边,
[00:40:55--00:40:59] 那第一个问题是有一个同学问,
[00:40:59--00:41:03] 其实我觉得刚刚跟刚刚小层讲的也比较相关,
[00:41:03--00:41:06] 就是lora跟reg可能是两个不同的路径,
[00:41:06--00:41:10] 那其实这个同学就问lora's memory跟相比于contact learning,
[00:41:10--00:41:13] 是否存在可解释性不足,
[00:41:13--00:41:15] 这样子的一些limitation,
[00:41:15--00:41:20] 我觉得这个我们其实到了今天,
[00:41:20--00:41:23] 我觉得就是谈可解释性这个事情的话,
[00:41:23--00:41:27] 就是在整个模型的发展里面应该被重新解读成,
[00:41:27--00:41:31] 它到底就是contribute到了什么样的能力上,
[00:41:31--00:41:36] 所以我觉得我更愿意把这个解释性给它理解成benchmark的一些能力,
[00:41:36--00:41:37] 因为我们知道就是,
[00:41:37--00:41:39] 因为我们知道就是,
[00:41:39--00:41:41] 现在其实我们对预讯链的模型没有任何的可解释性,
[00:41:41--00:41:45] 我们无法去解释哪一个neuron,
[00:41:45--00:41:47] 然后他们记住了什么样的concept,
[00:41:47--00:41:49] 我们是完全不知道的,
[00:41:49--00:41:51] 然后我们可以做各种实验去test,
[00:41:51--00:41:54] 可能我销掉这样一个neuron以后,
[00:41:54--00:41:55] 我失去了什么mass的能力,
[00:41:55--00:42:00] 但是我照样还是不能就是专门针对这些neuron去做什么样的设计,
[00:42:00--00:42:01] 让它去变得更好,
[00:42:01--00:42:03] 然后所以我觉得就是,
[00:42:03--00:42:08] 就是说解释性的问题其实不本质,
[00:42:08--00:42:12] 就是本质还是要说我们通过contest learning的方式,
[00:42:12--00:42:14] 到底让它在什么样的benchmark上,
[00:42:14--00:42:18] 然后到底在什么样的memory上面的提升是最有效的,
[00:42:18--00:42:20] 然后最work的,
[00:42:20--00:42:27] 然后这个确实是我觉得是现在我们在尝试去做更多理解的一个点,
[00:42:27--00:42:31] 但整体来说我觉得就是更低频的去更新的东西,
[00:42:31--00:42:34] 就应该更多的被变成contest,
[00:42:34--00:42:37] 然后最简单的直接的例子就是你的system prompt,
[00:42:37--00:42:39] 应该更多的放在contest里面去,
[00:42:39--00:42:41] 就更多的放在这个参数里面去,
[00:42:41--00:42:43] 因为它是每次都出现的,
[00:42:43--00:42:45] 然后它出现的这个频率越低,
[00:42:45--00:42:47] 然后我就应该更多的把它放在contest里面去,
[00:42:47--00:42:49] 出现的这个频率越高,
[00:42:49--00:42:53] 我就应该更多的把它放在这个attention的这个上下文里面去,
[00:42:53--00:42:57] 然后这样的话就我们能把这个就是更有限的这个注意力,
[00:42:57--00:43:01] 放到一些更重要的这个即时需要处理的这个任务上面,
[00:43:01--00:43:05] 对,这个是我现在的这样的一些思考。
[00:43:05--00:43:07] OK,那刚好还有最后一个问题,
[00:43:07--00:43:10] 我觉得可能也是小藤非常非常关注的,
[00:43:10--00:43:11] 那有一个听众问,
[00:43:11--00:43:15] 现在小藤刚刚分享的contest to Laura,
[00:43:15--00:43:17] 跟这个doctoral,
[00:43:17--00:43:18] 包括跟skilling,
[00:43:18--00:43:22] 他们之间的这个比较直白的联系,
[00:43:22--00:43:24] 或者说是整个的这样的一个技术路线,
[00:43:24--00:43:26] 小藤是怎么看的,
[00:43:26--00:43:28] 然后包括这个同学刚刚也好奇,
[00:43:28--00:43:31] 就是mylab或者myclone是否在招医生,
[00:43:31--00:43:34] 或者是招research等等这样的一些信息。
[00:43:34--00:43:38] 对,然后我们是显然是在招的,
[00:43:38--00:43:42] 然后我们是在active的招更多的一些research,
[00:43:42--00:43:44] 来做一些这方面的research,
[00:43:44--00:43:47] 然后回到刚才那个问题就是说,
[00:43:47--00:43:49] 可能这个skilling还有doctoral,
[00:43:49--00:43:52] 然后还有像就是可能contest learning,
[00:43:52--00:43:54] 然后contest Laura这些方法,
[00:43:54--00:43:56] 然后他们之间的关系是什么,
[00:43:56--00:43:57] 然后我的理解就是说,
[00:43:57--00:43:58] 在我的视角里面,
[00:43:58--00:44:02] 他们整体是在contest learning这样一个大的topic下面去,
[00:44:02--00:44:06] 然后contest learning可能是一个小于pre-train,
[00:44:06--00:44:11] 然后但是大于其他的这些concrete的这个方法的一个concept,
[00:44:11--00:44:16] 然后他就就像是他类似于这个self-evolution这样的一个概念一样,
[00:44:16--00:44:18] 就是说contest learning实际上就是说,
[00:44:18--00:44:20] 我把我怎么把一些contest,
[00:44:20--00:44:22] 然后把它压缩到这个参数里面去,
[00:44:22--00:44:26] 然后让把它内化成这个模型的一种记忆跟能力,
[00:44:26--00:44:28] 然后就至于像skilling,
[00:44:28--00:44:31] skilling可能就是把skilling当做contest,
[00:44:31--00:44:33] 然后压缩到模型的参数里面去,
[00:44:33--00:44:35] 然后那他在这样的一种场景上,
[00:44:35--00:44:37] 就提出来了很多这个,
[00:44:37--00:44:38] 比如说skill的课程学习,
[00:44:38--00:44:42] 然后怎么去规划这个任务的设计,
[00:44:42--00:44:43] 然后让他往里压缩,
[00:44:43--00:44:45] 然后Dr.Laura就是把document,
[00:44:45--00:44:46] 然后当成一种contest,
[00:44:46--00:44:48] 然后我怎么把这个document,
[00:44:48--00:44:50] 然后压缩到这个Laura参数里,
[00:44:50--00:44:53] 然后变成一个可插法的这样的一个document,
[00:44:53--00:44:56] 然后但是我觉得还是有很多其他东西是值得去做的,
[00:44:56--00:45:00] 比如说preference of personal as contest,
[00:45:00--00:45:03] 然后这个也是我们最近在产品里尝试落地的一个方向,
[00:45:03--00:45:07] 然后因为我们在尝试做这个千人千变的这样一个模型,
[00:45:07--00:45:10] 我们觉得就是第一就是应该先把模型提取的这个,
[00:45:10--00:45:12] 比如说这个500到1000个facts,
[00:45:12--00:45:15] 然后我把它压缩到一个很小的参数空间里,
[00:45:15--00:45:18] 然后我plugin以后他就能真的懂你,
[00:45:18--00:45:20] 然后享用你的这个语言风格,
[00:45:20--00:45:21] 然后享用你的这样的,
[00:45:21--00:45:23] 你关注的一些事情,
[00:45:23--00:45:27] 然后包括就是说可能像一些harness,
[00:45:27--00:45:32] 然后也是就是非常值得去就是做contest learning的,
[00:45:32--00:45:37] 然后还有就是像我之前跟NVIDIA的一个老师,
[00:45:37--00:45:39] 就是他也是看到我们的这个工作,
[00:45:39--00:45:44] 然后来说就是说NVIDIA其实每一次去更新新的这个芯片的时候,
[00:45:44--00:45:46] 它都会有一些新的功能,
[00:45:46--00:45:49] 然后新的功能它是这个有一些新的kernel,
[00:45:49--00:45:53] 然后就是新的这样的一些这个语言去描述,
[00:45:53--00:45:56] 然后但是因为这些东西没有被train过,
[00:45:56--00:46:01] 实际上是它是很难就是由这个这个sata model去去掌握去学会,
[00:46:01--00:46:03] 然后那怎么能把这样的一些knowledge,
[00:46:03--00:46:08] 放到这个一些laura的这个参数化记忆里面去,
[00:46:08--00:46:11] 然后让它不停的在新的这样的一些能力,
[00:46:11--00:46:14] 然后新的一些设计上面去熟悉,
[00:46:14--00:46:16] 然后去去写新的一些kernel,
[00:46:16--00:46:19] 然后我觉得这些都是可能在我的整个这个topic里面,
[00:46:19--00:46:23] 都属于这个contest learning的一个大的范畴下面去,
[00:46:23--00:46:27] 然后所以我在我的这个整个对未来selfie
[00:46:27--00:46:30] involution的这个规划跟思考里面,
[00:46:30--00:46:34] 然后就是它会分成一个大两层的这样的一个东西,
[00:46:34--00:46:37] 然后上层其实是一个就是通过autoresearch也好,
[00:46:37--00:46:39] 通过像什么metaharness也好,
[00:46:39--00:46:43] 然后去迭代一个在language空间的这样的一个变化,
[00:46:43--00:46:45] 然后这个变化可能是harness,
[00:46:45--00:46:46] 然后可能是skill,
[00:46:46--00:46:48] 可能是whatever别的东西,
[00:46:48--00:46:51] 然后它会在一个比较高频的这个领域去发生,
[00:46:51--00:46:54] 然后我们会在一个相对比较低频的领域,
[00:46:54--00:46:55] maybe it's stream,
[00:46:55--00:46:56] 对吧,
[00:46:56--00:46:59] 就是大家也看到就是现在cloud和openAI
[00:46:59--00:47:01] 其实都上了一些dreaming的能力,
