[00:00:05--00:00:07] Hello大家好,我是小骏
[00:23:30--00:23:33] 而且Azorpiq这个团队好像也一直比较稳定
[00:23:33--00:23:36] 不像OpenAI团队没那么稳定
[00:23:36--00:23:38] 人才流失之类的
[00:23:38--00:23:40] 以及你跟Azorpiq的人交流
[00:23:40--00:23:42] 我感觉他们每个人都很相信AGI
[00:23:42--00:23:45] 就特别AGI原生的那种这个状态吧
[00:23:45--00:23:48] 可能这个创始人也特别有洗脑能力吧
[00:23:48--00:23:53] 经常会传递一些比较像宗教一样的这个发言
[00:23:53--00:23:56] 其实你看Azorpiq过去说的
[00:23:56--00:23:59] 包括融资奖的好像全都实现了
[00:23:59--00:24:03] 我觉得这可能是一个优秀公司应该有的样子吧
[00:24:03--00:24:06] 就是弄清楚战略之后就
[00:24:06--00:24:07] 坚定的执行
[00:24:07--00:24:09] 组织和文化也都跟进
[00:24:09--00:24:10] 对吧
[00:24:10--00:24:11] 我觉得坚定最重要
[00:24:11--00:24:12] 就不要摇摆
[00:24:12--00:24:16] 其实你看他们很早就不做多摩泰了
[00:24:16--00:24:18] 或者投入非常小
[00:24:18--00:24:22] 可能这就不是他们所认为的科技书的主线
[00:24:22--00:24:24] 很多人去年说预训练撞墙了
[00:24:24--00:24:26] 他们好像也没觉得撞墙
[00:24:26--00:24:28] 依然坚持做也是他们擅长的
[00:24:28--00:24:31] 很多人觉得RO这个事封神了
[00:24:31--00:24:33] 他们也没有把RO封神
[00:24:33--00:24:35] 也没有去做所谓的resonate model
[00:24:35--00:24:39] 好像他们没有刻意神化一个人
[00:24:39--00:24:40] 或者某一块
[00:24:40--00:24:43] 最终目的好像就是做好一个模型
[00:24:43--00:24:45] 也没有觉得非得就一个环节重要
[00:24:45--00:24:47] 更像是一个集体
[00:24:47--00:24:48] 一个球队
[00:24:48--00:24:49] 一个工业化的体系
[00:24:49--00:24:50] 每个环节都做好
[00:24:50--00:24:51] 就是相比之下
[00:24:51--00:24:53] 欧盘可能有些做的不好的地方
[00:24:53--00:24:55] 其实可能比较像VC
[00:24:55--00:24:57] 喜欢造新的概念
[00:24:57--00:24:59] 把某些概念可能推得很高
[00:24:59--00:25:02] 或者容易神化某一个环节
[00:25:02--00:25:03] 就是以前神化Protrain
[00:25:03--00:25:04] 后面Posttrain
[00:25:04--00:25:05] 对吧
[00:25:05--00:25:08] 后面O1 O3对吧
[00:25:08--00:25:11] 但好像Anthropic就不太会
[00:25:11--00:25:15] 就这个动荡摇摆很大
[00:25:15--00:25:17] 我觉得这可能是
[00:25:17--00:25:20] 文化特点可能比较重要的
[00:25:20--00:25:22] 其实你看组织上的Anthropic
[00:25:22--00:25:24] 可能是一帮人就做一件事
[00:25:24--00:25:26] 欧盘你跟他小伙伴交流一下
[00:25:26--00:25:30] 经常是一个人做一个新的事
[00:25:30--00:25:32] 所以专注度聚焦
[00:25:32--00:25:34] 我觉得可能是一个比较关键的
[00:25:34--00:25:38] 而且Anthropic好像一直是
[00:25:38--00:25:40] 不怎么招那些big name
[00:25:40--00:25:42] 都是招underdog
[00:25:42--00:25:44] 而且对文化面试也比较严
[00:25:44--00:25:46] 经常会问你很多文化问题
[00:25:46--00:25:48] 比如说AGI实现了之后
[00:25:48--00:25:49] 种种种种各种选择
[00:25:49--00:25:50] 你会怎么做
[00:25:50--00:25:53] 我的感觉好像Anthropic早期的人
[00:25:53--00:25:57] 都还是比较AGI mission驱动的
[00:25:57--00:26:00] 你看Alpha当时比OpenFD风险也大
[00:26:00--00:26:01] 很多人还是进来了
[00:26:01--00:26:03] 可能也是一个筛选吧
[00:26:03--00:26:06] 然后这些人都还是比较AGI原生的
[00:26:06--00:26:08] 所以他们的文化也一直比较稳定
[00:26:08--00:26:10] 人才流失也比较少
[00:26:10--00:26:11] 你说到Anthropic
[00:26:11--00:26:13] 我想到我觉得他们除了模型
[00:26:13--00:26:15] 他们在产品上做的也挺有sense的
[00:26:15--00:26:16] 他们产品有什么方法论吗
[00:26:16--00:26:18] 就是感觉他的产品非常的AI native
[00:26:18--00:26:19] 非常懂产品
[00:26:19--00:26:20] 对
[00:26:20--00:26:22] 我是感觉他们的产品文化
[00:26:22--00:26:24] 和产品sense都是蛮好的
[00:26:24--00:26:26] 其实随着模型能力的提升
[00:26:26--00:26:28] 他们好像是把模型能力
[00:26:28--00:26:29] 转化到产品
[00:26:29--00:26:31] 转化到用户体验
[00:26:31--00:26:32] 这个效率是更高的
[00:26:32--00:26:34] 因为他们做产品的很多人
[00:26:34--00:26:35] 还是工程师或者研究员
[00:26:35--00:26:36] 很懂模型能力
[00:26:36--00:26:39] 你比如说Cloud Code的创始人Boris
[00:26:39--00:26:41] Boris其实是很强的code
[00:26:41--00:26:44] 他其实是想deliver一个最强的
[00:26:44--00:26:47] coding的工作方式
[00:26:47--00:26:49] 在引领整个开发范式
[00:26:49--00:26:51] 其实你看Cursor火了以后
[00:26:51--00:26:53] 很多人在讨论说
[00:26:53--00:26:55] 模型公司要不要再做一个IDE
[00:26:55--00:26:57] 好像Anthropic没有做IDE
[00:26:57--00:26:59] 而是他做了一个终端的形式
[00:26:59--00:27:01] 就是今天的Cloud Code
[00:27:01--00:27:03] 因为这个可能是更能承接住
[00:27:03--00:27:05] 模型的红利的
[00:27:05--00:27:08] 因为模型是指数级增长的
[00:27:08--00:27:10] 但你产品也得指数级
[00:27:10--00:27:11] 接住这个东西
[00:27:11--00:27:13] 我是感觉他们的产品sense
[00:27:13--00:27:14] 还是挺在线的
[00:27:14--00:27:18] 就是产品比较面向AGI
[00:27:18--00:27:21] 面向模型指数增长的红利上
[00:27:21--00:27:24] 我觉得他们用户体验也确实不错
[00:27:24--00:27:26] 然后产品的harness这些东西
[00:27:26--00:27:27] 做的也比较好
[00:27:27--00:27:29] 你刚才也提到了
[00:27:29--00:27:30] Anthropic的组织和文化
[00:27:30--00:27:32] 他的founding team是什么样的
[00:27:32--00:27:35] 能不能评价一下他们的核心团队
[00:27:35--00:27:38] 以及这些做产品也都是来自模型team
[00:27:38--00:27:39] 对吧
[00:27:39--00:27:40] 对
[00:27:40--00:27:43] 其实你看他们其中两个founder
[00:27:43--00:27:45] 一个是CEO Dario
[00:27:45--00:27:47] 还有一个手艺科学家Jerry Kaplan
[00:27:47--00:27:49] 他们俩是物理学家出身
[00:27:49--00:27:50] 其实他们对AI的理解
[00:27:50--00:27:53] 更多是从一个物理观察的角度出发的
[00:27:53--00:27:56] 他也没想着创造新的什么transformer架构
[00:27:56--00:27:58] 但就是会把transformer这个架构
[00:27:58--00:27:59] scale的比较好
[00:27:59--00:28:01] 其实是像物理学家一样
[00:28:01--00:28:03] 洞察了AI的规律
[00:28:03--00:28:05] 找到了data efficiency
[00:28:05--00:28:06] 架构的efficiency
[00:28:06--00:28:07] 工程的efficiency
[00:28:07--00:28:08] 对吧
[00:28:08--00:28:10] 好像也没有像欧盘一样有执念
[00:28:10--00:28:12] 费力做下一个方式
[00:28:12--00:28:14] 就是踏踏实实执行的比较好
[00:28:14--00:28:17] 好像也没有说绝对的各种secret
[00:28:17--00:28:18] 别人不知道的
[00:28:18--00:28:21] 但好像就是把工程把细节做的比较好
[00:28:21--00:28:27] 产品团队其实很多还是工程师和researcher
[00:28:27--00:28:29] 其实是比较像
[00:28:29--00:28:31] 早年姑姑的文化的
[00:28:31--00:28:34] 你说他们没什么secret
[00:28:34--00:28:36] 但他们其实是防泄密
[00:28:36--00:28:40] 然后做信息保护做最严的一家微股模型公司
[00:28:40--00:28:41] 对不
[00:28:41--00:28:42] 我觉得是他们的文化吧
[00:28:42--00:28:43] 就是内部很透明
[00:28:43--00:28:47] 然后防止信息外泄
[00:28:47--00:28:49] 可能一旦出现信息泄露
[00:28:49--00:28:50] 可能就开除
[00:28:50--00:28:51] 或者很严格的
[00:28:51--00:28:53] 大家也都比较尊重这个事
[00:28:53--00:28:57] 所以你看大家对AnswerPay的了解还是比较少的
[00:28:57--00:28:58] 那你觉得
[00:28:58--00:29:02] 因为AnswerPay它其实有一两年的时间窗口
[00:29:02--00:29:05] 因为直到去年都只有一部分人看懂了coding
[00:29:05--00:29:08] 那今年似乎所有人都开始all in了
[00:29:08--00:29:11] 你觉得它在coding上的护城河高吗
[00:29:11--00:29:12] 有多高呢
[00:29:12--00:29:16] 以及现在市场对于AnswerPay是不是高估了
[00:29:16--00:29:21] 因为他们产品线或者revenue是高度集中在coding或者agent tech
[00:29:21--00:29:25] 可能maybe百分之七八十的revenue都来自于这块
[00:29:25--00:29:28] 我觉得就看这件事的难度系数吧
[00:29:28--00:29:30] 未来竞争肯定还是非常激烈的
[00:29:30--00:29:34] 但我感觉也主要是头上的三四加吧
[00:29:34--00:29:36] AnswerPay还是有危机感的吧
[00:29:36--00:29:38] 如果就是现有方式不动
[00:29:38--00:29:40] 就是往前scale
[00:29:40--00:29:43] 可能他们还是有信心保持一定的优势的
[00:29:43--00:29:45] 但技术变化总是很快的
[00:29:45--00:29:50] 这个大家又很担心OpenAI要搞出一个惊天动地的新的东西
[00:29:50--00:29:55] 我自己的判断是OpenAI和Google最终都是能追上来的
[00:29:55--00:29:57] 如果你说风险的话
[00:29:57--00:29:59] 我觉得算力可能是一个
[00:29:59--00:30:05] 之前包括他们自己内部可能也没有预估过去一个季度需求的爆发吧
[00:30:05--00:30:07] 所以算力规划也保守了
[00:30:07--00:30:10] 我感觉今年实现一千亿美金的AR
[00:30:10--00:30:12] 最大的bottleneck可能就是算力
[00:30:12--00:30:17] 我估计可能后面要到处扫货各种GPU吧
[00:30:17--00:30:21] 然后AnswerPay我觉得有一个比较有意思的是
[00:30:21--00:30:25] 它定位的是高价格带的那个用户群
[00:30:25--00:30:27] 它的定价是很高的
[00:30:27--00:30:28] 一直也没有降价
[00:30:28--00:30:31] 其实OpenAI以前是不敢把模型做得很大的
[00:30:31--00:30:33] 因为它的用户量太大了
[00:30:33--00:30:34] 很多人不付费
[00:30:34--00:30:38] 但是你要是去定位一个高价格带的用户呢
[00:30:38--00:30:40] 那我就scale很大的模型
[00:30:40--00:30:41] 有最好的效果
[00:30:41--00:30:42] 我就最高的定价
[00:30:42--00:30:44] 也有好的margin
[00:30:44--00:30:47] 所以它是做了一个金字塔塔尖的一个市场
[00:30:47--00:30:50] 所以就看它未来能不能守得住这个市场了
[00:30:50--00:30:52] 这个很有趣
[00:30:52--00:30:53] 所以总结来讲
[00:30:53--00:30:57] 我觉得AnswerPay更像是战略的一个升级
[00:30:57--00:30:59] 或者产品专注的胜利
[00:30:59--00:31:00] 或者文化呀
[00:31:00--00:31:03] 我觉得这几个隐形要素是比较重要的
[00:31:03--00:31:06] 我觉得不然它们不可能从落后的一个位置杀出来了
[00:31:06--00:31:08] 不然早就挂掉了
[00:31:08--00:31:11] 你讲到AnswerPay它做的是塔尖用户
[00:31:11--00:31:14] 那OpenAI现在也开始重铸coding
[00:31:14--00:31:16] 它现在没有办法掉头了呀
[00:31:16--00:31:18] 因为它已经成了一个大DAU的产品
[00:31:18--00:31:21] 那它应该怎么做它的战略和定位呢
[00:31:21--00:31:24] 我get到的sense就是
[00:31:24--00:31:26] OpenAI也要把coding放到最高级
[00:31:26--00:31:29] 其实GPT5.4的coding能力
[00:31:29--00:31:31] 最近社区反馈是非常好的
[00:31:31--00:31:32] 甚至不弱
[00:31:32--00:31:35] 但agentic能力还是弱一些
[00:31:35--00:31:40] 我的感觉是它的coding能力已经上来了
[00:31:40--00:31:43] 其实agentic能力上来有可能也是时间问题吧
[00:31:43--00:31:46] 所以最后就看那个塔尖的市场
[00:31:46--00:31:48] 是不是能守得住吧
[00:31:48--00:31:50] 我觉得不好说
[00:31:50--00:31:52] 如果它做得很强的话
[00:31:52--00:31:55] 那你还能不能只做那个高端市场
[00:31:56--00:31:58] 我是感觉OpenAI的人才密度
[00:31:58--00:32:02] 资源能力其实也是不差的
[00:32:02--00:32:04] 只是过去战略不太聚焦
[00:32:04--00:32:06] 或者没有意识到coding如此重要
[00:32:06--00:32:08] Dropin在商业化上
[00:32:08--00:32:10] 现在除了coding还有其他的吗
[00:32:10--00:32:13] 我觉得就是把agentic做好吧
[00:32:13--00:32:15] 也把agent的产品
[00:32:15--00:32:17] 一方的agent的产品做好
[00:32:17--00:32:19] 其实最终的目的就是用agent
[00:32:19--00:32:23] 用AI去automate整个globalGDP
[00:32:23--00:32:25] 那如果从long term来看我觉得
[00:32:25--00:32:26] OpenAI也好
[00:32:26--00:32:27] Anthropia也好
[00:32:27--00:32:28] Google也好
[00:32:28--00:32:30] 最终最终都是奔向一个事
[00:32:30--00:32:33] 叫有一个自动化的AI researcher
[00:32:33--00:32:34] 或者AI scientist
[00:32:34--00:32:38] 帮你去做很多基础科研的一个研究探索
[00:32:38--00:32:40] 因为我们知道OpenAI有上市计划吗
[00:32:40--00:32:42] Anthropia今年有上市计划吗
[00:32:42--00:32:44] 有可能10月份11月份吧
[00:32:44--00:32:46] 我估计年底是不是都会上市
[00:32:46--00:32:49] 它不都上市了会对于这些公司
[00:32:49--00:32:51] 人来说会有什么影响吗
[00:32:51--00:32:55] 你说内部员工吗还是什么
[00:32:55--00:32:57] 内部员工
[00:32:57--00:32:59] 这都有钱了
[00:32:59--00:33:01] 我觉得researcher朋友们
[00:33:01--00:33:03] 都是很担心自己的工作的
[00:33:03--00:33:07] 我过去一个季度最大感受是
[00:33:07--00:33:09] 最牛逼的AI researcher都担心
[00:33:09--00:33:11] 自己一到两年后没有工作了
[00:33:11--00:33:14] 可能自己未来一到两年
[00:33:14--00:33:17] 可能是仅有的一个工作的窗口吧
[00:33:17--00:33:21] 因为后面AI可以automate整个AI research了
[00:33:21--00:33:24] 自动化的研究的workflow
[00:33:24--00:33:28] 有可能是未来一两年是最关键的
[00:33:28--00:33:32] 他们工作和赚一些钱的窗口了吧
[00:33:32--00:33:34] 这么悲观吗
[00:33:34--00:33:38] 那以上是硅谷育三家的第一家Anthropic
[00:33:38--00:33:41] 接下来我们来聊聊我们最熟悉的OpenAI吧
[00:33:41--00:33:43] 对OpenAI
[00:33:43--00:33:46] 我觉得上一期播客其实聊了很多好的地方
[00:33:46--00:33:47] 对吧
[00:33:47--00:33:48] C端遥遥领先
[00:33:48--00:33:50] 9个多亿的周活
[00:33:50--00:33:52] 但最近比较flat没怎么涨
[00:33:52--00:33:54] 五六千万的付费用户
[00:33:54--00:33:56] 过去Lead过两次
[00:33:56--00:33:57] 翻译上新
[00:33:57--00:33:58] 下一次大概
[00:33:58--00:34:00] 大概率也是OpenAI能力的
[00:34:00--00:34:02] 他的新的模型Spire应该很快发了吧
[00:34:02--00:34:04] 大概率也是很强的
[00:34:04--00:34:06] 还是一个待机上的一个提升
[00:34:06--00:34:09] 反正综合的实力和人才密度都还是挺强的
[00:34:09--00:34:11] 也比较重视research
[00:34:11--00:34:15] researcher其实在内部也比较像一等公民吧
[00:34:15--00:34:17] 但现在问题是什么呢
[00:34:17--00:34:19] ChatGPT C端看着赢了
[00:34:19--00:34:22] 但发现coding比Chatbot要大很多
[00:34:22--00:34:24] 可能大10倍到100倍
[00:34:24--00:34:25] 对
[00:34:25--00:34:27] 所以这是一个最大问题
[00:34:27--00:34:28] 对
[00:34:28--00:34:33] 我想问问OpenAI是什么时候意识到coding很重要开始加码的
[00:34:33--00:34:36] 我猜也就两三个月之前吧
[00:34:36--00:34:40] 因为之前还忙着跟Google Gemini去抢C端的流量呢
[00:34:40--00:34:43] 去抢DAO去做增长
[00:34:43--00:34:46] 其实你看Meta来了那个Fiji做商业化对吧
[00:34:46--00:34:49] 我感觉他还是像互联网的老人
[00:34:49--00:34:52] 其实你发现那个并不重要
[00:34:52--00:34:54] 其实是对coding有严重的战略误判了
[00:34:54--00:34:57] 包括Google我感觉也被带沟里了
[00:34:57--00:34:59] 其实大家对coding都有战略误判
[00:34:59--00:35:01] 其实不应该再用互联网思维
[00:35:01--00:35:03] 用DAO这些思维再去看这些东西了
[00:35:03--00:35:05] 我看Fiji已经被调了
[00:35:05--00:35:07] 我估计可能是不是背锅去了
[00:35:07--00:35:13] 这个战略决定跟最近Sora被关掉会有关系吗
[00:35:13--00:35:16] 因为我觉得它可能意识到了coding才是主线
[00:35:16--00:35:19] 动了它不是那应该更加的战略聚焦
[00:35:19--00:35:21] 我觉得肯定有关系吧
[00:35:21--00:35:22] 因为GPU太有限了嘛
[00:35:22--00:35:24] 其实多么它还挺耗卡的
[00:35:24--00:35:26] 其实你说Sora发出来之后
[00:35:26--00:35:27] 那么多人
[00:35:27--00:35:28] 即便你模型做好了
[00:35:28--00:35:30] 那么多人去创作
[00:35:30--00:35:31] 这个对OpenAI有什么好处呢
[00:35:31--00:35:33] 好像也没什么好处
[00:35:33--00:35:36] 所以在AI时代DAO不重要
[00:35:36--00:35:37] 不知道
[00:35:37--00:35:40] 我觉得这个是开放答案
[00:35:40--00:35:41] 有可能重要
[00:35:41--00:35:46] 有可能只有塔尖的token usage更重要
[00:35:46--00:35:51] 因为绝大多数人的智力没有模型高了
[00:35:51--00:35:55] 那我不知道人类在整个社会中的价值
[00:35:55--00:35:57] 是不是发生了变化
[00:35:57--00:36:01] 那人类价值发生了变化谁给AI买单呢
[00:36:01--00:36:03] 那塔尖的用户创造了更多东西
[00:36:03--00:36:08] 你比如说脑科学材料新的药物
[00:36:08--00:36:09] 治疗人类所有疾病
[00:36:09--00:36:12] 好像又会有生产力的提升嘛
[00:36:12--00:36:15] 那通过税收来调整嘛
[00:36:15--00:36:18] 进入福利社会
[00:36:18--00:36:20] 但是这个对美国肯定是
[00:36:20--00:36:22] 挑战很大的
[00:36:22--00:36:24] 因为美国是一个中产社会
[00:36:24--00:36:26] 一个多亿的中产对吧
[00:36:26--00:36:30] 程序员律师医生中介
[00:36:30--00:36:31] Banker
[00:36:31--00:36:34] 其实我是感觉可能
[00:36:34--00:36:37] 很多人在未来一两年就是没有工作
[00:36:37--00:36:42] 这个肯定会带来社会的贫富差距拉大
[00:36:42--00:36:44] 矛盾的激化
[00:36:44--00:36:47] 你说Sam最近有两次被袭击
[00:36:47--00:36:49] 我感觉有可能未来这种事情会越来越多
[00:36:49--00:36:50] 肯定会有这种情况
[00:36:50--00:36:52] 你有没有觉得有一个现象是
[00:36:52--00:36:55] 在美国对于AI的情绪更悲观
[00:36:55--00:36:57] 在中国更乐观
[00:36:57--00:37:01] 我觉得在硅谷的话是很乐观的吧
[00:37:01--00:37:03] 但有可能
[00:37:03--00:37:05] 这里面重要的一个点是
[00:37:05--00:37:06] 技术变化太快
[00:37:06--00:37:07] 进步太快
[00:37:07--00:37:09] 每个人都没有安全感
[00:37:09--00:37:11] 每个公司都没有安全感
[00:37:11--00:37:15] 甚至说大家都担心自己未来一两年两三年以后工作都没了
[00:37:15--00:37:18] 所以有点那种末日论的感觉
[00:37:19--00:37:23] 但是我是感觉AI终究会带来繁荣
[00:37:23--00:37:26] 但是这里面可能会有一个痛苦的窗口
[00:37:26--00:37:28] 因为人类没做好准备
[00:37:28--00:37:31] AI过去一个季度的智商的进步
[00:37:31--00:37:35] 可能比人类过去两百年智商的进步要快
[00:37:35--00:37:38] 那我们没做好准备怎么驾驭好这个
[00:37:38--00:37:42] 因为很多的工作还是过去的饭食
[00:37:42--00:37:45] 所以这个错位有可能是比较痛苦的
[00:37:45--00:37:48] 刚才我们说了Anthropic和OpenAI
[00:37:48--00:37:53] 那你觉得目前Cloud Code和Codex它的市占率分别是多少
[00:37:53--00:37:56] 我看Sam在推特上宣布了
[00:37:56--00:37:58] Codex有个300万的活跃用户
[00:37:58--00:38:00] 应该是周活跃对吧
[00:38:00--00:38:04] 那Cloud Code我猜可能1500到2000万
[00:38:04--00:38:08] 我估计可能是一个7比3的关系
[00:38:08--00:38:09] 猜测
[00:38:09--00:38:10] 我没有准确数字
[00:38:10--00:38:11] 我只是猜测
[00:38:11--00:38:13] 你看意识到Coding非常重要的
[00:38:13--00:38:14] 还有一家公司Cursor
[00:38:14--00:38:16] 但是我们到现在都没有提起来
[00:38:16--00:38:18] 模型公司现在都把Cursor提起来了
[00:38:18--00:38:20] 把Coding当作主线去卷
[00:38:20--00:38:22] 那像Cursor这样的应用公司
[00:38:22--00:38:24] 虽然他们也自己开始训练模型了
[00:38:24--00:38:26] 那你觉得这个公司后面怎么办
[00:38:26--00:38:27] 你看好呢
[00:38:27--00:38:35] 如果最强的模型公司不把Misos跟Spark的最强模型API开放出来
[00:38:35--00:38:38] 而是优先通过产品通过agent
[00:38:38--00:38:40] 或者cowork的方式提供出来
[00:38:40--00:38:42] 优先弄好自己的产品和生态
[00:38:42--00:38:45] 那Cursor用不了最强的模型怎么办呢
[00:38:45--00:38:48] 因为Cursor的本质还是吃到了
[00:38:48--00:38:50] 模型公司技术溢出的红利
[00:38:50--00:38:53] 那如果模型公司选择不溢出了
[00:38:53--00:38:55] 那好像也合理
[00:38:55--00:38:57] 就像自己接触嘛
[00:38:57--00:38:59] 除非有一种情况是
[00:38:59--00:39:01] 开源的模型或者自己train的模型
[00:39:01--00:39:03] 也跟frontier差不多了
[00:39:03--00:39:05] 但今天肯定还是有一个gap
[00:39:05--00:39:07] 所以我感觉Cursor
[00:39:07--00:39:09] 最好的是卖给微软
[00:39:09--00:39:10] 做开发者
[00:39:10--00:39:12] 可能还是比较好的吧
[00:39:12--00:39:15] 或者卖给Mask
[00:39:15--00:39:17] 对
[00:39:17--00:39:20] 所以Cursor-OpenCloud
[00:39:20--00:39:22] 它的本质可能是一样的
[00:39:22--00:39:25] 都是吃了模型公司技术溢出的红利
[00:39:25--00:39:27] 但是它是阶段性的
[00:39:27--00:39:28] 大家都有窗口
[00:39:28--00:39:30] 有的人可以借助窗口
[00:39:30--00:39:32] 变成一个伟大公司
[00:39:32--00:39:36] 但有的窗口终归是阶段性窗口吧
[00:39:36--00:39:40] 就是壳公司好像还是阶段性的窗口
[00:39:40--00:39:41] 不一定
[00:39:41--00:39:43] 有的壳可能是有价值的
[00:39:43--00:39:45] 如果未来有新的交互了
[00:39:45--00:39:47] 用户的context都在了
[00:39:47--00:39:51] 我觉得是存在窗口的机遇的
[00:39:51--00:39:54] 只是说模型公司作为大哥
[00:39:54--00:39:55] 他也想吃掉这块肉
[00:39:55--00:39:57] 就看谁的速度快了
[00:39:57--00:40:00] 今天问题是模型公司的速度
[00:40:00--00:40:02] 好像比创业公司速度更快
[00:40:02--00:40:04] 它自闭华了吗
[00:40:04--00:40:05] 对
[00:40:05--00:40:06] 那说回OpenEye
[00:40:06--00:40:08] 你对OpenEye的前景
[00:40:08--00:40:09] 现在是觉得更乐观
[00:40:09--00:40:10] 还是更悲观
[00:40:10--00:40:13] 如果这几家模型公司都交替着
[00:40:13--00:40:14] 往前走
[00:40:14--00:40:16] 未来比拼的关键是什么呢
[00:40:16--00:40:18] 我对全球领先的三四家
[00:40:18--00:40:20] 甚至三五家模型都很乐观
[00:40:20--00:40:23] 我觉得未来这些模型公司都非常重要
[00:40:23--00:40:27] 现在市场对OpenEye的叙事是比较悲观的
[00:40:27--00:40:29] 我是没有那么悲观的
[00:40:29--00:40:31] 我觉得有50%的概率
[00:40:31--00:40:33] 整个AGI最终的winner
[00:40:33--00:40:35] 可能还是OpenEye
[00:40:35--00:40:37] 因为在这个时代
[00:40:37--00:40:39] 今天胜利的秘籍可能
[00:40:39--00:40:41] 就是下个时代的毒药对吧
[00:40:41--00:40:43] OpenEye在拆掉GPT过于成功
[00:40:43--00:40:45] 让他们专注2C
[00:40:45--00:40:47] 而忽视了coding
[00:40:47--00:40:49] 因为要重视那个inference的成本
[00:40:49--00:40:51] 所以模型一直没有做很大
[00:40:51--00:40:53] 那今天Anthropic的成功呢
[00:40:53--00:40:54] 更多还是渐进式积累的
[00:40:54--00:40:55] 把细节做好
[00:40:55--00:40:57] 我觉得更多是执行的胜利
[00:40:57--00:40:59] 专注或者组织的一个胜利
[00:40:59--00:41:01] 但有可能并不一定能抵御
[00:41:01--00:41:03] OpenEye下一个泛世级的突破
[00:41:03--00:41:05] 因为OpenEye它有一种文化
[00:41:05--00:41:06] 是自下而上的
[00:41:06--00:41:08] 就放开你去自由的探索
[00:41:08--00:41:10] 因为今天coding能力很强了
[00:41:10--00:41:12] 可能一两个人就能干出来
[00:41:12--00:41:14] 一件惊天动地的大事
[00:41:14--00:41:16] 有可能未来决定胜局的
[00:41:16--00:41:17] 可能就是一两个人
[00:41:17--00:41:18] 有可能
[00:41:18--00:41:20] 就是OpenEye的这种文化下
[00:41:20--00:41:25] 是有可能搞出惊天动地的新泛世的
[00:41:25--00:41:27] 所以今天你看着有的优势
[00:41:27--00:41:29] 都不见得是优势了
[00:41:29--00:41:31] 我觉得未来今年一年
[00:41:31--00:41:33] 年内格局是定下来了
[00:41:33--00:41:35] 过去三年格局都没稳定过
[00:41:35--00:41:36] 只是持续的淘汰赛
[00:41:36--00:41:38] 今天又是巡回赛
[00:41:38--00:41:40] 可能还得打一年
[00:41:42--00:41:44] 就是以前所谓的壁垒
[00:41:44--00:41:46] 是防冷兵器的
[00:41:46--00:41:49] 但今天是各种现代化武器
[00:41:49--00:41:51] 模型又开始自我迭代
[00:41:51--00:41:54] 我是感觉以前讨论的那些壁垒
[00:41:54--00:41:55] 不知道
[00:41:55--00:41:56] 规模效应
[00:41:56--00:41:57] 数据飞轮
[00:41:57--00:41:58] 网络效应
[00:41:58--00:41:59] 可能都不知道
[00:41:59--00:42:01] 有可能未来有未来的这些东西
[00:42:01--00:42:03] 你觉得OpenEye有什么做得不好的地方吗
[00:42:03--00:42:04] 你刚才也说的
[00:42:04--00:42:06] 你批评一下它
[00:42:06--00:42:09] 我觉得还是有不少做得不好的地方的
[00:42:09--00:42:12] 我觉得这个可能也是值得借鉴
[00:42:12--00:42:14] 或引以为戒的吧
[00:42:14--00:42:16] 我觉得最大的可能就不够聚焦吧
[00:42:16--00:42:18] 因为SAM它还是一个VC出身
[00:42:18--00:42:20] 容易摊大饼对吧
[00:42:20--00:42:21] 就什么都想要
[00:42:21--00:42:23] 也比较容易FOMO
[00:42:23--00:42:25] 其实它文化也是自下而上的
[00:42:25--00:42:27] 反正自下而上这个呢
[00:42:27--00:42:29] 分硬币的两面
[00:42:29--00:42:30] 有好有坏
[00:42:30--00:42:32] 你比如说多摩泰比如SORROR
[00:42:32--00:42:34] 其实以前应该是一个支线
[00:42:34--00:42:37] 但团队都在努力的推
[00:42:37--00:42:38] 说很重要对吧
[00:42:38--00:42:39] 去找SAM要卡
[00:42:39--00:42:42] 那SAM还是会allocate很多资源给到SORROR团队
[00:42:42--00:42:44] 其实就很像VC
[00:42:44--00:42:46] 去allocate capital嘛
[00:42:46--00:42:48] 其实没啥拒绝
[00:42:48--00:42:50] 有可能这是SAM它不是技术出身的原因吧
[00:42:50--00:42:52] 可能团队要
[00:42:52--00:42:53] 那就给了
[00:42:53--00:42:55] 想做的项目可能也很多
[00:42:55--00:42:57] 另外一个点
[00:42:57--00:43:01] 我感觉他们文化上是特别value这种0到1的突破
[00:43:01--00:43:03] 但是没有那么value1到100的突破
[00:43:03--00:43:05] 那这种文化引导向来
[00:43:05--00:43:07] 就会导致很多人抑过很强
[00:43:07--00:43:09] 就没有人做脏活累活苦活
[00:43:09--00:43:11] 所有人都想去做突破性的工作
[00:43:11--00:43:13] 所以就没有人踏踏实实的搞数据
[00:43:13--00:43:15] 清理数据做好产品运营对吧
[00:43:15--00:43:18] 包括你看chatGP这个产品很成功
[00:43:18--00:43:20] 但是感觉又没有灵魂
[00:43:20--00:43:23] 你都不知道chatGP这个产品经理是谁
[00:43:23--00:43:26] 是SAM还是谁
[00:43:26--00:43:27] 对
[00:43:27--00:43:28] 所以我是感觉
[00:43:28--00:43:30] 没有灵魂
[00:43:30--00:43:33] 对它更多是一个技术模型很牛逼
[00:43:33--00:43:36] 比如说chatGP很成功
