[00:00:01--00:00:08] 我觉得在硅谷,大家都觉得机器人可能是即将发生的一个最重要的变革
[00:29:57--00:30:01] 尤其是你用机器人A才的数据
[00:30:02--00:30:07] 你只能学机器人A上的这个task和skill
[00:30:07--00:30:10] 当你机器人A它可能升级以后
[00:30:10--00:30:13] 它可能它的比如camera换了一个新的
[00:30:13--00:30:15] 或者它mount在一个不同的位置
[00:30:15--00:30:18] 或者我的手臂多了一个自由度
[00:30:18--00:30:19] 每天踩的它都没有用
[00:30:19--00:30:21] 而且还有一些其他的机器人
[00:30:21--00:30:21] 比如人形机器人
[00:30:21--00:30:23] 或者机器人B机器人C
[00:30:23--00:30:25] 它们因为构型不一样
[00:30:25--00:30:28] 所以它们的数据是不能放在一起互用的
[00:30:28--00:30:31] 这样就导致你其实数据上就更少了
[00:30:32--00:30:34] 所以每一个单一的机器人你都得单独的踩数据
[00:30:34--00:30:37] 就在Gemmeer Robotics 1.5
[00:30:37--00:30:39] 我们发现就是不管你使用什么样的机器人
[00:30:39--00:30:41] 至少我们测的那个三个机器人
[00:30:41--00:30:42] 一个是Aloha
[00:30:42--00:30:44] 是一个非常简单的双臂的机器人
[00:30:44--00:30:46] 一个是by arm franca
[00:30:46--00:30:49] 是一个更工业级的更powerful的机器人
[00:30:49--00:30:51] 还有一个是Uptronic的人形机器人
[00:30:51--00:30:54] 当我们把所有的数据放在一起
[00:30:54--00:30:57] 然后我们又开发了一个新的技术叫Motion Transfer
[00:30:57--00:31:02] 它可以更好的利用这种就是Cross-Embodiment数据
[00:31:02--00:31:06] 使得在机器人A上见过的任务
[00:31:06--00:31:08] 机器人B也能够执行
[00:31:08--00:31:09] 就举个例子就是说
[00:31:09--00:31:11] 假设你学会了开车
[00:31:11--00:31:13] 我从来没有学过开车这个任务
[00:31:13--00:31:15] 但我也学会了开车
[00:31:15--00:31:16] 它可以跨本体
[00:31:16--00:31:17] 它可以跨本体
[00:31:17--00:31:19] 这个从根本上解决了一个问题
[00:31:19--00:31:22] 就是数据量不够的问题
[00:31:22--00:31:25] 因为任何机器人他做的任务采集数据
[00:31:25--00:31:28] 被其他机器人都可以利用
[00:31:28--00:31:30] 先说第一点就是把Thinking加入VLA
[00:31:30--00:31:32] 因为它的模态转换
[00:31:32--00:31:33] 就是会比较多
[00:31:33--00:31:34] 你觉得它在不同的模态
[00:31:34--00:31:35] 比如说文本
[00:31:35--00:31:37] 然后包括运动不停转换过程中
[00:31:37--00:31:38] 它会发生混乱吗
[00:31:38--00:31:40] 怎么解决这个问题
[00:31:40--00:31:42] 我们其实没有发现有发生混乱这个问题
[00:31:42--00:31:44] 就是因为你在输出的时候
[00:31:44--00:31:47] 一般性都会非常清楚的说
[00:31:47--00:31:49] 下面我要输出的是文本
[00:31:49--00:31:52] 然后你会有一个起始符和终止符
[00:31:52--00:31:55] 然后你会是下面我们输出的是这个动作
[00:31:55--00:31:57] 然后你有个起始和终止
[00:31:57--00:31:58] 所以它们是不会混在一起的
[00:31:58--00:32:00] 在大圆模型加入Thinking
[00:32:00--00:32:01] 和在机器人里面加入Thinking
[00:32:01--00:32:03] 你觉得不同是什么
[00:32:03--00:32:04] 它的核心难点是什么
[00:32:04--00:32:08] 就是大圆模型其实它比较大
[00:32:08--00:32:11] 对机器人模型其实没有大圆模型那么大
[00:32:11--00:32:11] 为什么
[00:32:11--00:32:13] 因为机器人模型它要很快的做Inference
[00:32:13--00:32:16] 它不能说我可以等5秒钟
[00:32:16--00:32:17] 然后我再做下一个动作
[00:32:17--00:32:20] 所以它的Inference的Budget非常小
[00:32:20--00:32:21] 你还是希望比如说每0.5秒
[00:32:21--00:32:24] 或者每1秒它可以做一些动作
[00:32:24--00:32:26] 所以说它的Thinking的长度
[00:32:26--00:32:28] 和大圆模型是非常不一样的
[00:32:28--00:32:30] 它Thinking的更短一些
[00:32:30--00:32:31] 要短很多
[00:32:31--00:32:33] 它可以为了解决一个东西
[00:32:33--00:32:35] 它可以想20秒
[00:32:35--00:32:36] 然后给你一个答案
[00:32:36--00:32:37] 只要那个答案是对的
[00:32:37--00:32:39] 一般人都很高兴
[00:32:39--00:32:40] 但如果你交给机器人一个任务
[00:32:40--00:32:42] 如果它每一步都要想20秒
[00:32:42--00:32:43] 你就崩溃了
[00:32:43--00:32:45] 所以它可能每一步想的只有0.5秒
[00:32:45--00:32:47] 所以它们俩的Budget是非常不一样的
[00:32:47--00:32:49] 它能处理的最复杂的问题会是什么呢
[00:32:49--00:32:50] 对
[00:32:50--00:32:53] 就是我们现在就是在VOA上的Thinking
[00:32:53--00:32:54] 还是相对比较弱的Thinking
[00:32:54--00:32:55] 因为它就像我说的
[00:32:55--00:32:57] 它其实有很多限制
[00:32:57--00:33:00] 所以我发觉一般性如果你是一个Task
[00:33:00--00:33:01] 只需要就是几步的分解
[00:33:01--00:33:05] 说比如说我要Sort the fruit by color
[00:33:05--00:33:06] 或者Sort the clothes by color
[00:33:06--00:33:09] 它可能第一步是认清楚颜色是什么
[00:33:09--00:33:12] 第二个是认清楚在另外的几堆东西里面
[00:33:12--00:33:13] 对应的颜色是什么
[00:33:13--00:33:15] 第三步是把它放到对应的堆里面
[00:33:15--00:33:19] 就这种比较简单的推理是可以的
[00:33:19--00:33:22] 但是如果你需要它额外的再去获取信息
[00:33:22--00:33:23] 那个是做不了的
[00:33:23--00:33:27] 比如说我说你帮我帮我整理一下行李
[00:33:27--00:33:29] 它可能说那整理行李的话
[00:33:29--00:33:31] 我想知道你要去哪里旅行
[00:33:31--00:33:31] 你要去多久
[00:33:31--00:33:34] 然后那边的天气状况是什么样
[00:33:34--00:33:36] 它需要就是额外的获取更多的信息
[00:33:36--00:33:39] 然后通过是所有的信息再做Thinking
[00:33:39--00:33:42] 那个在VLA的那一段是做不了
[00:33:42--00:33:44] 所以在我们GemMail把它1.5的时候
[00:33:44--00:33:47] 我们其实把我们做了一个快慢模型的
[00:33:47--00:33:50] 这样一个就是Division
[00:33:50--00:33:51] 就是有一个比较慢的模型
[00:33:51--00:33:54] 它是可以做这种非常长的Thinking的
[00:33:54--00:33:55] 然后它可以做一些决策
[00:33:55--00:33:58] 比如说你帮我打包行李
[00:33:58--00:34:00] 它可以去搜Google search
[00:34:00--00:34:01] 它可以搜你的Caddy
[00:34:01--00:34:04] 它可以搜Weather report
[00:34:04--00:34:06] 然后它可以先想20秒
[00:34:06--00:34:08] 然后Come up with a plan
[00:34:08--00:34:10] 然后问你这个plan是不是合理
[00:34:10--00:34:12] 然后到了VLA那一段的时候
[00:34:12--00:34:13] 它执行这个plan的时候
[00:34:13--00:34:17] 它可以说我可能需要把这一堆衣服放进来
[00:34:17--00:34:19] 就是它可以一件一件拿下来
[00:34:19--00:34:21] 这相当于大小脑吗
[00:34:21--00:34:22] 小脑一般是运动控制
[00:34:22--00:34:25] 所以它更多的是它们都是大脑
[00:34:25--00:34:28] 但是大脑也有就是分层
[00:34:28--00:34:30] 对你很多大脑的事情
[00:34:30--00:34:31] 你是要做很多计算
[00:34:31--00:34:32] 要做很多planning的
[00:34:32--00:34:34] 那是比较慢的思考
[00:34:34--00:34:36] 很多大脑的决策是instinct的
[00:34:36--00:34:38] 那个就是比较快的思考
[00:34:38--00:34:43] 对你们是把它拆分成了一个ER和一个VLA两个模型
[00:34:43--00:34:45] 对ER其实叫embody reasoning
[00:34:45--00:34:48] 所以它更多的是一个慢思考的过程
[00:34:48--00:34:51] 然后VLA是它要出robot action
[00:34:51--00:34:53] 所以它更多是在执行端
[00:34:53--00:34:54] 所以它是一个非常快思考的过程
[00:34:54--00:34:56] 这是选择了一个双模型结构
[00:34:56--00:34:57] 对吧
[00:34:57--00:34:59] 它不是一个端到端的统一模型
[00:34:59--00:35:01] 那你觉得这会是一个过渡的方式啊
[00:35:01--00:35:03] 还是一个终极的方式
[00:35:03--00:35:05] 我现在觉得它应该是个过渡的方式
[00:35:05--00:35:09] 因为现在受制于很多比如说算力的限制
[00:35:09--00:35:12] 受制于很多现在模型大小的这个限制
[00:35:12--00:35:14] 但我觉得可能再过几年
[00:35:14--00:35:16] 当算力不是很大问题的时候
[00:35:16--00:35:19] 我觉得如果有一个就是unified的这个model
[00:35:19--00:35:21] 那可能是最佳的
[00:35:21--00:35:22] 因为你有两个模型的话
[00:35:22--00:35:25] 你总是要界定它们之间是怎么交流的
[00:35:25--00:35:27] 现在这个大模型小模型之间
[00:35:27--00:35:29] 是用就语言来交流的
[00:35:29--00:35:31] 但是语言它并不是一个怎么说呢
[00:35:31--00:35:31] hybrid
[00:35:31--00:35:32] end with的交流方式
[00:35:32--00:35:35] 因为语言其实它会丢掉很多信息
[00:35:35--00:35:37] 所以你希望其实是一个模型
[00:35:37--00:35:40] 它内部不需要一个额外的这个interface来做交流
[00:35:40--00:35:40] 对
[00:35:40--00:35:41] 所以这样的话
[00:35:41--00:35:42] 如果你有一个模型的话
[00:35:42--00:35:45] 其实它当中没有这个信息的损失
[00:35:45--00:35:47] 但同时因为现在算力的等等原因
[00:35:47--00:35:50] 使得这个实现非常困难
[00:35:50--00:35:52] 它需要特别大的算力吗
[00:35:52--00:35:54] 因为你要做reasoning的话
[00:35:54--00:35:56] 然后你要做比如说websearch之类的
[00:35:56--00:35:58] 其实你是需要一个非常大的模型的
[00:35:58--00:35:59] 对
[00:35:59--00:36:01] 那个是就是你很难在real time
[00:36:01--00:36:05] 或者在每秒钟做5到10次的决策
[00:36:05--00:36:07] 但小模型的话你可以做5到10次的决策
[00:36:07--00:36:10] 所以当你要需要一个unified model的时候
[00:36:10--00:36:11] 它必须非常大
[00:36:11--00:36:13] 因为它要做reasoning
[00:36:13--00:36:16] 现在的算力是不足以支持这样的大模型
[00:36:16--00:36:19] 现在的快思考和慢思考分成两个
[00:36:19--00:36:20] 相当于是两个步骤
[00:36:20--00:36:21] 两个阶段来完成
[00:36:21--00:36:21] 对
[00:36:21--00:36:24] 很大的一个原因是因为算力还不够
[00:36:24--00:36:26] 有没有其他的一些原因
[00:36:26--00:36:28] 我觉得现在主要是算力原因
[00:36:28--00:36:29] 这个也make sense
[00:36:29--00:36:31] 因为自动驾驶其实最后也过渡到了端到端
[00:36:31--00:36:32] 对
[00:36:32--00:36:32] 对吧
[00:36:32--00:36:35] 但自动驾驶其实它不需要很多planning的过程
[00:36:35--00:36:38] 因为它planning有很多是通过传统方法
[00:36:38--00:36:40] 比如说我有一个map
[00:36:40--00:36:40] 对吧
[00:36:40--00:36:41] 当我有个map
[00:36:41--00:36:42] 然后有A点
[00:36:42--00:36:43] 我要去B点
[00:36:43--00:36:46] 然后我怎么样找到一个路径
[00:36:46--00:36:47] 这个都是用传统方法做的
[00:36:47--00:36:49] 它并不是真正的端到端
[00:36:49--00:36:51] 把什么mapping和planning都做到了
[00:36:51--00:36:52] 就是执行的一起
[00:36:52--00:36:56] 其实planning在自动驾驶里面是一个分开的步骤
[00:36:56--00:36:58] 是一个传统方法做的
[00:36:58--00:37:00] 就是像google map也好
[00:37:00--00:37:01] 这个百度地图也好
[00:37:01--00:37:02] 然后执行的话
[00:37:02--00:37:06] 其实对于自动驾驶它是一个非常快的
[00:37:06--00:37:08] 因为自动驾驶它的车速非常高
[00:37:08--00:37:11] 所以它做决策的速率也非常高
[00:37:11--00:37:15] 所以自动驾驶的端到端模型不会很大
[00:37:15--00:37:17] 你们在做实验的时候
[00:37:17--00:37:20] 加入thinking容易出错的环节可能是什么
[00:37:20--00:37:24] 我觉得有一个可能就是overfit
[00:37:24--00:37:26] 就是当你加入thinking的时候
[00:37:26--00:37:29] 你需要标很多它是怎么think的
[00:37:29--00:37:31] 就是在做training之前
[00:37:31--00:37:33] 你不是采了很多数据吗
[00:37:33--00:37:34] 然后采数据的时候
[00:37:34--00:37:35] 你得说我是这么想的
[00:37:35--00:37:36] 我下午要干什么
[00:37:36--00:37:38] 然后这是我的动作
[00:37:38--00:37:41] 但是如果你的这个标注
[00:37:41--00:37:44] 它非常的就是单一的话
[00:37:44--00:37:46] 就是非常容易出现overfit的状况
[00:37:46--00:37:50] 就是过你和使得你只有做这样一些事情的时候
[00:37:50--00:37:52] 它的这个thinking是make sense的
[00:37:52--00:37:55] 如果你做一些其他你没见过的任务的时候
[00:37:55--00:37:56] 因为他没有见过
[00:37:56--00:37:58] 所以他的thinking choice会非常奇怪
[00:37:58--00:38:01] 然后他会做完全不make sense的事情
[00:38:01--00:38:02] 你刚才是分享第二点
[00:38:02--00:38:04] 就是跨本体的能够运用数据
[00:38:04--00:38:07] 这个里面有没有更多的可以跟我们分享的
[00:38:07--00:38:07] 我给你举个例子
[00:38:07--00:38:11] 就是我觉得我第一次看到这个结果的时候
[00:38:11--00:38:13] 我还是怎么说呢
[00:38:13--00:38:15] 印象非常深刻
[00:38:15--00:38:18] 因为我觉得这是真的一个就是质变
[00:38:18--00:38:21] 就是大家说跨本体已经说了很多年了
[00:38:21--00:38:25] 但是我觉得这个概念是有点oversell
[00:38:25--00:38:30] 就是哪怕早期其实谷歌自己做了一篇paper叫RTX
[00:38:30--00:38:31] 就是他跟
[00:38:31--00:38:33] 二十几个不同的学校
[00:38:33--00:38:36] 不同的lab说我们收集不同的这个机器人数据
[00:38:36--00:38:37] 我们混在一块
[00:38:37--00:38:39] 然后我们训练一个大模型
[00:38:39--00:38:40] 然后说啊
[00:38:40--00:38:42] 我们发现了这二十几个学校的数据放在一起
[00:38:42--00:38:43] 是有优势
[00:38:43--00:38:44] 是有是有advantage
[00:38:44--00:38:45] 会有benefit的
[00:38:45--00:38:46] 对
[00:38:46--00:38:47] 但其实呢
[00:38:47--00:38:48] 那个东西很难量化
[00:38:48--00:38:51] 然后包括最近看physical intelligence
[00:38:51--00:38:53] 很多很多圈大模型机器人大模型
[00:38:53--00:38:55] 他都会说我有五个不同的本体
[00:38:55--00:38:56] 我把数据混在一起
[00:38:56--00:38:58] 然后使得我们这个东西更general
[00:38:58--00:39:00] 但这个也很难量化
[00:39:00--00:39:01] 这次就是我们发现
[00:39:01--00:39:02] 比如说我们有一个aloha
[00:39:02--00:39:05] aloha是一个叫tabletop robot
[00:39:05--00:39:07] 所以说他做的事情都是在tabletop
[00:39:07--00:39:08] 就在这个平面上做的事情
[00:39:08--00:39:10] 我们所有data collection
[00:39:10--00:39:12] 可能就是从这个桌面上抓一个东西放到别的地方
[00:39:12--00:39:14] 在这个桌面上做一些
[00:39:14--00:39:15] 比如说开瓶盖啊
[00:39:15--00:39:17] 写字啊之类的事情
[00:39:17--00:39:19] 他没有见过就是3D的场景
[00:39:19--00:39:20] 他没有见过
[00:39:20--00:39:22] 比如说在一个垂直的平面上
[00:39:22--00:39:24] 或者一个一个厨子
[00:39:24--00:39:25] 他有高低的地方
[00:39:25--00:39:26] 他可以做很多事情
[00:39:26--00:39:28] 他没有见过这样的数据
[00:39:28--00:39:30] 所以说如果你给他一个输出
[00:39:30--00:39:31] 然后他有高低
[00:39:31--00:39:34] 说你把那个上面那一档的这个书给我拿下来
[00:39:34--00:39:35] 他是做不到的
[00:39:35--00:39:39] 因为这个完全在他的训练数据集之外
[00:39:39--00:39:40] 他会做的事情就是他还是在桌面上
[00:39:40--00:39:42] 在那磨磨蹭蹭摸一些东西
[00:39:42--00:39:44] 虽然说那个书架是垂直的
[00:39:44--00:39:46] 然后但是我们有另外一个机器人
[00:39:46--00:39:48] 就是叫byam franca
[00:39:48--00:39:49] 然后他做的很多数据采集
[00:39:49--00:39:52] 都是在这个垂直的这个领域
[00:39:52--00:39:54] 他有很多就是工具
[00:39:54--00:39:57] 他可以从一个叫workbench上面垂直的拿下来
[00:39:57--00:39:58] 对啊
[00:39:58--00:40:00] 然后把数据放在一起训练
[00:40:00--00:40:01] aloha是从来没有见过的
[00:40:01--00:40:03] 这个垂直的这个场景的
[00:40:03--00:40:06] 但是当你把这个
[00:40:06--00:40:10] franca能做的事情放到aloha这个场景里面
[00:40:10--00:40:13] 就aloha突然间也能做两个事情
[00:40:13--00:40:15] 怎么做到的呢
[00:40:15--00:40:17] 就是我们有一个方法叫motion transfer
[00:40:17--00:40:18] motion transfer
[00:40:18--00:40:23] 对对他就说第一个是你不仅要把数据放在一块
[00:40:23--00:40:26] 同时你在就是模型的architecture上
[00:40:26--00:40:28] 模型的这个training recipe上
[00:40:28--00:40:29] 你要做相应的改动
[00:40:29--00:40:30] 这个是一个
[00:40:30--00:40:33] 已经能够泛化到很多领域的一个方法
[00:40:33--00:40:37] 就可能除了你们现在实验的这三个
[00:40:37--00:40:39] 他能够有一定的泛化性
[00:40:39--00:40:40] 首先他并不代表说
[00:40:40--00:40:42] 你先给我个新的机器人
[00:40:42--00:40:45] 他不用任何训练就能做那些事情
[00:40:45--00:40:46] 他不是这个意思
[00:40:46--00:40:49] 只是说在我有训练数据的机器人里面
[00:40:49--00:40:51] 虽然我没有见过这个task
[00:40:51--00:40:53] 但这个task是别人见过的
[00:40:53--00:40:55] 我就能做那个任务
[00:40:55--00:40:56] 对所以他是有一定的泛化性
[00:40:56--00:41:00] 但他的泛化性是任务层面的泛化性
[00:41:00--00:41:03] 并不是机器人本体上的泛化性
[00:41:03--00:41:04] 这个能够更接近
[00:41:04--00:41:07] 相对接近跨形体的通用智能的
[00:41:07--00:41:09] 是一个可行的路径是吗
[00:41:09--00:41:10] 我觉得是个可行的路径
[00:41:10--00:41:11] 对
[00:41:11--00:41:13] 这个还挺本质的
[00:41:13--00:41:15] 对我非常同意
[00:41:15--00:41:17] 所以我觉得我们团队就是看到这个结果以后
[00:41:17--00:41:19] 都觉得非常激动人心
[00:41:19--00:41:21] motion transfer怎么做的
[00:41:21--00:41:24] 这是一个secret sauce
[00:41:24--00:41:27] ok
[00:41:27--00:41:29] 这个问题在call的时候我会问了很多遍
[00:41:29--00:41:31] 但真的很难评论
[00:41:32--00:41:35] 很多研究者会提到说
[00:41:35--00:41:37] 就是巨声智能难点
[00:41:37--00:41:39] 不一定在算法而在信号
[00:41:39--00:41:41] 因为它缺乏像语言模型那样
[00:41:41--00:41:43] 清晰可以验证的反馈
[00:41:43--00:41:45] 你怎么看这个问题
[00:41:45--00:41:46] 然后以及你们的robotics
[00:41:46--00:41:48] 在系统的设计上
[00:41:48--00:41:52] 是如何获取和构造这种信号的呢
[00:41:52--00:41:55] 我其实不是很理解这面反馈的意思
[00:41:55--00:42:00] 就是我觉得当你有数据的时候
[00:42:00--00:42:01] 然后你试用
[00:42:02--00:42:05] 传统的比如说模拟学习
[00:42:05--00:42:07] 就imitation learning的时候
[00:42:07--00:42:09] 你已经有了足够的信号
[00:42:09--00:42:13] 我并不理解说它缺信号是什么意思
[00:42:13--00:42:17] 但是如果你说我是用强化学习
[00:42:17--00:42:20] 但强化学习需要一个叫reward signal
[00:42:20--00:42:26] 但是很多任务其实你很难写一个reward function
[00:42:26--00:42:30] 比如说我要把这盘菜放到冰箱里面
[00:42:30--00:42:31] 这个怎么用一个
[00:42:32--00:42:35] 数学来表达成功与否
[00:42:35--00:42:37] 这个reward function很难表达出来
[00:42:37--00:42:39] 我是同意的
[00:42:39--00:42:41] 这个我觉得就是得分不同情况来解释
[00:42:41--00:42:44] 我觉得对模拟学习或者imitation learning来说
[00:42:44--00:42:46] 我不觉得信号是个问题
[00:42:46--00:42:47] 但对于强化学习来说
[00:42:47--00:42:52] 你怎么用reward function来specify你的任务
[00:42:52--00:42:55] 的确是一个很难并未解决的问题
[00:42:55--00:42:56] 如果是reward function呢
[00:42:56--00:42:58] 你们是怎么解决这个问题的现在
[00:42:58--00:42:59] 我觉得问题并没有很好的解决
[00:42:59--00:43:01] 这个问题为什么
[00:43:02--00:43:03] 可以岔开讲一点
[00:43:03--00:43:06] 为什么强化学习解决了
[00:43:06--00:43:08] 阻止机器人走路的问题
[00:43:08--00:43:11] 是因为这个reward function特别容易
[00:43:11--00:43:12] 也不能特别容易
[00:43:12--00:43:15] 相对来说比较straight forward
[00:43:15--00:43:15] 对
[00:43:15--00:43:18] 就是你只要向前走了
[00:43:18--00:43:20] 然后没有摔跤
[00:43:20--00:43:23] 所以你可以很容易写一个数学的表达
[00:43:23--00:43:25] 但是对于manipulation来说
[00:43:25--00:43:27] 有太多的不同的任务了
[00:43:27--00:43:31] 你比如说我希望抓起一个筷子
[00:43:31--00:43:31] 嗯
[00:43:32--00:43:33] 就是很难用数学来表达
[00:43:33--00:43:35] 数学就是expression来表达
[00:43:35--00:43:37] 我是不是拿个筷子
[00:43:37--00:43:39] 比如说我要把东西放进抽屉里
[00:43:39--00:43:41] 你其实很难写一个数学表达
[00:43:41--00:43:43] 把就这个东西是不是在抽屉里
[00:43:43--00:43:46] 然后有成千上万个不同的这样的任务
[00:43:46--00:43:49] 你都要用reward signal来老征它
[00:43:49--00:43:50] 嗯
[00:43:50--00:43:52] 我觉得这是一个几乎不可能的事情
[00:43:52--00:43:55] 这就是为什么强化学习在manipulation里面
[00:43:55--00:43:58] 并没有解决的很好的原因
[00:43:58--00:44:00] 就是这个reward function
[00:44:00--00:44:02] 非常难以specify
[00:44:02--00:44:05] 对于你们这种跨形体迁移的任务
[00:44:05--00:44:07] 它怎么设计呢
[00:44:07--00:44:10] 因为我们现在主要还是做imitation而已
[00:44:10--00:44:12] 对我们并不是通过强化学习
[00:44:12--00:44:15] 所以说只要你就是学会了
[00:44:15--00:44:17] 就是因为你是有榜样的嘛
[00:44:17--00:44:18] imitation其实是有label
[00:44:18--00:44:19] 你有榜样的
[00:44:19--00:44:23] 对你只要使得你的神经网络
[00:44:23--00:44:25] 它的输出和你的label尽可能接近
[00:44:25--00:44:26] 就没有问题
[00:44:26--00:44:27] 嗯
[00:44:27--00:44:29] 就是这个你们的secret的这个还有什么
[00:44:29--00:44:30] 可以更多的分享一点吗?
[00:44:30--00:44:31] 一点点
[00:44:31--00:44:33] motion transfer
[00:44:33--00:44:38] it's very secret
[00:44:38--00:44:42] 哪些因素有可能会决定这种迁移的上限
[00:44:42--00:44:43] 对这是一个很好的问题
[00:44:43--00:44:45] 就是说其实虽然我们有很多例子
[00:44:45--00:44:47] 证明这个迁移是成功的
[00:44:47--00:44:49] 但是我们有很多例子证明
[00:44:49--00:44:52] 有在很多场景中这个迁移并不是非常成功
[00:44:52--00:44:54] 我觉得两个不同的机器人
[00:44:54--00:44:56] 它到底形态差多少
[00:44:56--00:44:58] 是会有很大影响的
[00:44:58--00:45:02] 比如说我是从一个单臂甲爪机器人
[00:45:02--00:45:02] 要迁移到一个迁移上限的机器人
[00:45:03--00:45:05] 要迁移到一个双臂人性机器人
[00:45:05--00:45:07] 这肯定是一个非常非常难的问题
[00:45:07--00:45:07] 嗯
[00:45:07--00:45:09] 所以你看我们三个机器人都是双臂的
[00:45:09--00:45:11] 然后虽然它们构型很不一样
[00:45:11--00:45:13] 比如说有的是六个自由度
[00:45:13--00:45:14] 有的是七个自由度
[00:45:14--00:45:15] 有的是更高自由度的
[00:45:15--00:45:16] 但是它们都是双臂的
[00:45:16--00:45:19] 如果你是甲爪到比如说灵敲手
[00:45:19--00:45:20] 五指灵敲手
[00:45:20--00:45:23] 它肯定也会比甲爪到甲爪要难一些
[00:45:23--00:45:26] 所以说就是还有一个叫embodyment gap
[00:45:26--00:45:28] 如果那个embodyment gap非常大的话
[00:45:28--00:45:32] 这种跨这个构型的迁移就会比较难
[00:45:32--00:45:33] 这是一点
[00:45:33--00:45:35] 第二点就是
[00:45:35--00:45:37] 我们发觉在不同的embodyment上
[00:45:37--00:45:40] 你就是收集的数据量也非常重要
[00:45:40--00:45:42] 如果你已经收集很大量的数据
[00:45:42--00:45:46] 那么其实不需要那些其他的embodyment迁移
[00:45:46--00:45:48] 其实做事情已经做得非常好了
[00:45:48--00:45:51] 所以你其他的embodyment给你的那个正向的那个delta
[00:45:51--00:45:52] 是会非常小的
[00:45:52--00:45:53] 嗯
[00:45:53--00:45:56] 但是如果说有一些机器人比如说人形机器人
[00:45:56--00:45:59] 你要采集数据是非常困难的
[00:45:59--00:46:02] 然后但是你可能在阿罗哈上有非常非常多的数据
[00:46:02--00:46:02] 嗯
[00:46:02--00:46:04] 这样这个迁移就会非常有效
[00:46:04--00:46:05] 嗯
[00:46:05--00:46:10] 为什么你们这篇论文是写的标题是将AI agents带入物理视觉
[00:46:10--00:46:11] 嗯
[00:46:11--00:46:13] 你们这次在AI agents上借鉴了那些
[00:46:13--00:46:18] 对就是说这个首先robots就是一个physical agent
[00:46:18--00:46:18] 是
[00:46:18--00:46:21] 对我觉得对agent定义就是说
[00:46:21--00:46:23] 它能够做决策
[00:46:23--00:46:25] 然后能够execute actions
[00:46:25--00:46:26] 对
[00:46:26--00:46:29] 然后这边其实这篇文章就强调了一点
[00:46:29--00:46:32] 就是说有一个非常重要的问题就是说
[00:46:32--00:46:35] 我们用的agent的feature就是它可以use tools
[00:46:35--00:46:36] 对
[00:46:36--00:46:37] 嗯
[00:46:37--00:46:42] 现在就说我们的embody reading model它其实可以写code
[00:46:42--00:46:46] 它可以查阅比如说网站
[00:46:46--00:46:48] 就是它可以用这些tools来做决策
[00:46:48--00:46:54] 就是我们有好几个video是比如说你帮我做就是垃圾收集或垃圾分解
[00:46:54--00:46:56] 于是根据不同的地点
[00:46:56--00:46:58] 它可以说我是在San Francisco
[00:46:58--00:47:01] 它可以search google map找到你的地点
[00:47:01--00:47:04] 然后它可以根据当地的这个法律法规
[00:47:04--00:47:07] 决定它是应该如何的做这个垃圾的分解
[00:47:07--00:47:10] 这些都是use这种digital tool的例子
[00:47:10--00:47:13] 这使得就是机器人它可以比如做web search
[00:47:13--00:47:16] 使得它的knowledge base宽广了很多
[00:47:16--00:47:21] 它并不是只有说大模型它已经captured common sense
[00:47:21--00:47:25] 它可以通过web search和其他的这些tools使得
[00:47:25--00:47:27] 机器人的这个functionality也好
[00:47:27--00:47:29] 它的capability也好
[00:47:29--00:47:31] 有很大的这个扩展
[00:47:31--00:47:33] 沿着Gemini Robotics一点往后发展
[00:47:33--00:47:36] 你觉得下一步的关键突破口会是什么
[00:47:36--00:47:38] 这个问题非常好
[00:47:38--00:47:40] 就是其实有很多很多方向可以发展
[00:47:40--00:47:45] 这个我们在其实在最后的一章也讲了一下就是未来的一些方向
[00:47:45--00:47:49] 我觉得可能我们比较重视的一点就是数据
[00:47:49--00:47:52] 就像我已经强调好多遍数据数据数据
[00:47:52--00:47:56] 对就是我觉得摇操还是一个非常难以获取的数据
[00:47:56--00:48:00] 就是有什么办法我们可以利用越来越少的摇操数据
[00:48:01--00:48:04] 最多我们可以快速获得的数据
[00:48:04--00:48:08] 来训练这样的大模型可能是非常重要的一步
[00:48:08--00:48:10] 所以我们会花更多的精力
[00:48:10--00:48:13] 比如说利用simulation数据
[00:48:13--00:48:14] 仿真数据
[00:48:14--00:48:20] 利用这个human video在youtube上的一些数据
[00:48:20--00:48:23] 利用甚至是现在模型生成的数据
[00:48:23--00:48:26] 比如说vio生成的一些数据
[00:48:26--00:48:28] 这种数据因为你可以大量获得
[00:48:28--00:48:29] 所以说我觉得这是一种
[00:48:29--00:48:31] 更精细的
[00:48:31--00:48:34] 更有效的获得机器人数据的方式
[00:48:34--00:48:37] 然后如果我们能在这方面有些突破的话
[00:48:37--00:48:42] 那我觉得解决机器人问题指日可待
[00:48:42--00:48:44] 你们现在阶段用真实数据用多少
[00:48:44--00:48:46] 我们现在主要是用真实数据
[00:48:46--00:48:48] OK
[00:48:48--00:48:50] 所以成本会很高
[00:48:50--00:48:52] 成本非常的高
[00:48:52--00:48:55] 国内其实在数据问题上有很多的争论
[00:48:55--00:48:59] 王赫就是一个仿真数据的代表态
[00:48:59--00:49:00] 嗯
[00:49:01--00:49:04] 除了他以外大家还是更加倾向于
[00:49:04--00:49:05] 依靠真实数据
[00:49:05--00:49:08] 因为真实数据的泛化性可能更好
