[00:00:01--00:00:15] Hello 大家好 我是小骏
[00:00:15--00:00:18] 今天我们来到了美国硅谷
[01:02:59--01:03:03] 现在我们看到的是基于国法的
[01:03:03--01:03:06] 就是副门就是建国的那一些人
[01:03:06--01:03:10] 他们的原旨原意来应该来这样诠释宪法
[01:03:10--01:03:11] 这是这是第一种
[01:03:11--01:03:14] 然后第二种就是叫做textualism
[01:03:14--01:03:17] 就是说宪法写的这个英语字是什么
[01:03:17--01:03:18] 你就把它读成什么
[01:03:18--01:03:21] 你不要去想他们原来可能想的是什么
[01:03:21--01:03:24] 你就是去一字一句的去解读
[01:03:24--01:03:25] 去看到一个定义
[01:03:25--01:03:27] 特别像一个数学家可能会去
[01:03:27--01:03:29] 会去做的一个诠释
[01:03:29--01:03:32] 第三个叫living constitutionalism
[01:03:32--01:03:33] 或者叫policy constitutionalism
[01:03:33--01:03:36] 就是说这个宪法它会呼吸
[01:03:36--01:03:38] 它会与时代一起成长
[01:03:38--01:03:40] 原来的宪法是这样写的
[01:03:40--01:03:43] 我们应该把它看到21世纪去怎么样去解读它
[01:03:43--01:03:45] 就是然后在我在法学院
[01:03:45--01:03:47] 就当时对这些东西非常感兴趣
[01:03:47--01:03:49] 我是一个非常
[01:03:49--01:03:51] 我是一个textualist
[01:03:51--01:03:53] 就是我是一个按照它是什么样就是什么样的
[01:03:53--01:03:55] 这样这是我的我的司法哲学
[01:03:55--01:03:57] judicial philosophy
[01:03:57--01:03:59] 然后当时他们就有人说
[01:03:59--01:04:02] 如果你想去了解这个到底是什么意思
[01:04:02--01:04:04] 因为我们不知道这些词是什么意思
[01:04:04--01:04:07] 可以去拿一个就是lm
[01:04:07--01:04:11] 去去去去给他一些就是一些data
[01:04:11--01:04:13] 让他这些data可以包括什么
[01:04:13--01:04:15] 在里面也值得商圈
[01:04:15--01:04:17] 可以包括这些建国文献
[01:04:17--01:04:19] 也可以就是包括现在的一些
[01:04:19--01:04:22] 一些一些一些新的当代的一些
[01:04:22--01:04:26] 一些政治与哲学的一些一些一些一些著作
[01:04:26--01:04:29] 然后我当时就有一个想法就是
[01:04:29--01:04:31] 如果我们已经到了一个能拿ai去
[01:04:31--01:04:34] 看这个宪法是什么意思的
[01:04:34--01:04:36] 这样的一个时代了
[01:04:36--01:04:38] 我为什么不能拿ai做数学
[01:04:38--01:04:40] 我当时就在课上我在想这件事情
[01:04:40--01:04:42] 我就觉得ai应该可以做数学
[01:04:42--01:04:44] 然后我就想到一件事情
[01:04:44--01:04:46] 就我最好的一个朋友之一
[01:04:46--01:04:48] 就是他叫kenny lo
[01:04:48--01:04:50] 他是帝国理工imperial college
[01:04:50--01:04:52] 他交换到mit
[01:04:52--01:04:53] 我们大一就认识
[01:04:53--01:04:55] 然后我们一块上了很多的课
[01:04:55--01:04:57] 我们是非常好的朋友
[01:04:57--01:04:59] 然后他还教会我怎么下这个象棋
[01:04:59--01:05:00] 他是这个象棋学生
[01:05:00--01:05:02] 他是这个象棋的这个大师
[01:05:02--01:05:05] 然后他就是告诉我
[01:05:05--01:05:07] 从2020年开始告诉我
[01:05:07--01:05:09] 他在做令他在做形式化证明
[01:05:09--01:05:12] 他是最开始令里面什么都没有的
[01:05:12--01:05:16] 就是mathlib是一个空空如也的一个
[01:05:16--01:05:17] 一个library
[01:05:17--01:05:20] 他把他里面所有的本科的代数
[01:05:20--01:05:23] 本科的分析去把他一行行的把他打出来
[01:05:23--01:05:25] 做基础的这个建设的
[01:05:25--01:05:27] 那五到七个学生之一
[01:05:27--01:05:29] 是kevin buzzer的学生
[01:05:29--01:05:30] 所以他就
[01:05:30--01:05:32] 我就我当时我就在想一件事情
[01:05:32--01:05:36] 就是说ai如果能去做法律
[01:05:36--01:05:38] 是去看比较structure的东西
[01:05:38--01:05:40] 就是这个东西到底是是什么意思
[01:05:40--01:05:43] 而不是研究的是比较specification这一块
[01:05:43--01:05:48] 而不是比如说让你去拿ai去判一个
[01:05:48--01:05:50] 这个人到底有没有杀了另外一个人
[01:05:50--01:05:52] 一个普通的trial court一个case
[01:05:52--01:05:54] 而是去看这个constitutional law
[01:05:54--01:05:56] 比较就是precisely define
[01:05:56--01:05:59] 比较严谨的去去定义的
[01:05:59--01:06:02] 这个那我需要数学不是英语
[01:06:02--01:06:05] 而是一个更结构性的
[01:06:05--01:06:07] 一种一种呈现
[01:06:07--01:06:09] 而这个令这个形式化语言
[01:06:09--01:06:11] 他就把数学变成了一个代码
[01:06:11--01:06:13] 所以他就可能能够去
[01:06:13--01:06:15] 我当然就有一些这样的一个想法
[01:06:15--01:06:17] 然后当时同时和shubo我们在这个
[01:06:17--01:06:19] 呃一个叫做verve的一个咖啡店
[01:06:19--01:06:21] 我们一开始认识的
[01:06:21--01:06:23] 然后接下来我就是在palo auto
[01:06:23--01:06:25] 在palo auto对就是
[01:06:25--01:06:26] 呃verve咖啡
[01:06:26--01:06:27] 现在墙上还有我们两个
[01:06:27--01:06:29] 当时就是照了一张pdf
[01:06:29--01:06:30] 拍立得相片
[01:06:30--01:06:32] 他当时说你买了一共买了一千杯咖啡
[01:06:32--01:06:34] 你就可以照一张拍立得
[01:06:34--01:06:36] 我和shubo在那一定买过一千杯咖啡
[01:06:36--01:06:37] 哦
[01:06:37--01:06:39] 对我们我们给这个咖啡店就是
[01:06:39--01:06:41] 带来了非常多的这个营收
[01:06:41--01:06:43] 我们现在整个办公室的每一个人
[01:06:43--01:06:45] 他们每一天都在这个咖啡店
[01:06:45--01:06:46] 然后
[01:06:46--01:06:47] 然后shubo
[01:06:47--01:06:48] 对对
[01:06:48--01:06:50] 然后我们当时也一直在聊这件事情
[01:06:50--01:06:52] 就是乔哲轩老师有很
[01:06:52--01:06:53] 很多的
[01:06:53--01:06:57] 不管是播客还是就是写的博客
[01:06:57--01:06:59] 你就讲这个形式化证明
[01:06:59--01:07:01] 然后我身边的就是kenny
[01:07:01--01:07:03] 他我我知道他有多对这个令进行狂热
[01:07:03--01:07:05] 他现在也在action偏执
[01:07:05--01:07:07] 所以就是好多好朋友们
[01:07:07--01:07:09] 大家现在就慢慢的聚到了一起
[01:07:09--01:07:11] 就是希望能做能做这件事情
[01:07:11--01:07:13] 我当时看到的一个事情就是
[01:07:13--01:07:15] 嗯
[01:07:15--01:07:17] 一切我们认为的不可能
[01:07:17--01:07:19] 都有可能
[01:07:19--01:07:21] 然后如果是这样的话
[01:07:21--01:07:23] 对我个人意义最大的就是
[01:07:23--01:07:27] 让ai能够帮助我进行一些数学证明
[01:07:27--01:07:28] 尤其
[01:07:28--01:07:29] 我
[01:07:29--01:07:31] 我不是天赋型选手
[01:07:31--01:07:33] 我有些时候真的是花
[01:07:33--01:07:34] 某种程度上
[01:07:34--01:07:36] 你说ai能够帮助最大的是谁
[01:07:36--01:07:38] 是那些蛮力型数学家
[01:07:38--01:07:39] 就我
[01:07:39--01:07:42] 就我可能真的就是我要美举多少个可能性
[01:07:42--01:07:43] 我要经历
[01:07:43--01:07:45] 呃多少天去验证一个非常
[01:07:45--01:07:46] 呃
[01:07:46--01:07:48] 可能是一个standard argument
[01:07:48--01:07:50] 一个标准的一种
[01:07:50--01:07:52] 一种一种一种一种证明方式
[01:07:52--01:07:54] 我按照按照那个比对
[01:07:54--01:07:56] 我记得当时
[01:07:56--01:07:58] 呃就有一个一个事情就是ben green老师
[01:07:58--01:07:59] 有一篇文章
[01:07:59--01:08:01] 叫sharkozy theorem for shifted primes
[01:08:01--01:08:03] 他讲的就是说
[01:08:03--01:08:04] 我有一个集合
[01:08:04--01:08:10] 我要保证这个里面的集合的a和b两个元素中间的这个差值就是a减b
[01:08:10--01:08:12] 他不是p加1或p减1
[01:08:12--01:08:13] p是一个素数
[01:08:13--01:08:21] 然后我能够就是呃从1到n中数出多少个这样的一个一个一个多大的一个集合
[01:08:21--01:08:23] 然后我当时就我看到那篇文章
[01:08:23--01:08:24] 我想
[01:08:24--01:08:27] 这个东西能够被证明多少的数学问题
[01:08:27--01:08:28] 就同样的这一套
[01:08:28--01:08:29] machinery
[01:08:29--01:08:30] 就是ben green老师的这一套
[01:08:30--01:08:32] 这一套发明或者是发现
[01:08:32--01:08:34] 你可以把它去做function field
[01:08:34--01:08:36] 你可以把它去做
[01:08:36--01:08:39] 呃当然说做shifted sum of two squares
[01:08:39--01:08:40] 没有特别大的意义
[01:08:40--01:08:42] 可以做x方加y方加减1
[01:08:42--01:08:43] 这个没有特别大的
[01:08:43--01:08:44] 不知道有没有特别大的意义
[01:08:44--01:08:45] 反正就是
[01:08:45--01:08:49] 这一套的东西是工具是可以用来做很多的事情的
[01:08:49--01:08:51] AI应该把它完全解决
[01:08:51--01:08:53] AI应该能够达到一个
[01:08:53--01:08:57] 一个很熟练运用所有davenport里面数论的
[01:08:57--01:09:01] 呃工具技巧的一个博士生的程度
[01:09:01--01:09:02] 我当时觉得这一件事
[01:09:02--01:09:03] 这个事情一定能做
[01:09:03--01:09:06] 然后我就开始想怎么能做这件事情
[01:09:06--01:09:08] 就要算力
[01:09:08--01:09:10] 就要我要想我有多少的
[01:09:10--01:09:11] 这是哪一年
[01:09:11--01:09:13] 2024
[01:09:13--01:09:14] 2024年
[01:09:14--01:09:16] 就是你跟shubo平凡的进入咖啡
[01:09:16--01:09:17] 出入咖啡馆那一年
[01:09:17--01:09:18] 就是2024年ok
[01:09:18--01:09:20] 2024
[01:09:20--01:09:24] 2023年9月份到20
[01:09:24--01:09:27] 25年的12月份
[01:09:27--01:09:29] 去年12月份
[01:09:29--01:09:31] 不是2024年的12月份
[01:09:31--01:09:32] ok
[01:09:32--01:09:34] 就差不多
[01:09:34--01:09:35] 因为我当时还在
[01:09:35--01:09:36] 我第一年其实
[01:09:36--01:09:38] 我大部分的时间就是
[01:09:38--01:09:40] 我在作为一个法学生的时候
[01:09:40--01:09:41] I had a lot of fun
[01:09:41--01:09:43] 就是我每一天就是感觉特别的
[01:09:43--01:09:44] 特别的神奇
[01:09:44--01:09:46] 我从来没有任何的
[01:09:46--01:09:49] 就是作业是让我去阅读的
[01:09:49--01:09:50] 阅读这30页
[01:09:50--01:09:51] 这就是你的作业
[01:09:51--01:09:53] 我的本科是一个工程学校
[01:09:53--01:09:55] 一个MIT是一个理工科学校
[01:09:55--01:09:56] 我不是一个文理
[01:09:56--01:09:57] 我没有这个
[01:09:57--01:09:58] 我接受过一个
[01:09:58--01:09:59] liberal arts的education
[01:09:59--01:10:01] 所以我就非常非常希望
[01:10:01--01:10:02] 能够多读点书
[01:10:02--01:10:03] 然后我可以
[01:10:03--01:10:04] 我还想练练英文写作
[01:10:04--01:10:05] 我当时觉得我都可以去
[01:10:05--01:10:07] 所以我那一年就是
[01:10:07--01:10:09] 但是就是第一次吧
[01:10:09--01:10:10] 可能科学数学
[01:10:10--01:10:11] 它不在你的生活之中
[01:10:11--01:10:12] 就有点想念
[01:10:12--01:10:14] 然后就是我想念的时候
[01:10:14--01:10:15] 我就跑到那个咖啡馆去
[01:10:15--01:10:16] 我坐那个校巴
[01:10:16--01:10:18] 当时没有钱
[01:10:18--01:10:21] 当时是特别就是一穷二白
[01:10:21--01:10:22] 打不起Uber
[01:10:22--01:10:25] 然后从这个斯坦福
[01:10:25--01:10:26] 就是坐8分钟的一个
[01:10:26--01:10:28] 你要走20分钟
[01:10:28--01:10:30] 你走20分钟到这个大草坪
[01:10:30--01:10:31] 你到了大草坪
[01:10:31--01:10:32] 你就可以坐一个就是校巴
[01:10:32--01:10:34] 坐校巴8到9分钟
[01:10:34--01:10:35] 你就到了这个火车站
[01:10:35--01:10:37] 这火车站穿越一个隧道
[01:10:37--01:10:38] 里面有一些流浪汉
[01:10:38--01:10:39] 住在这个隧道里面
[01:10:39--01:10:40] 你就可以到这一个
[01:10:40--01:10:41] WERF的咖啡馆
[01:10:41--01:10:42] 书否就在那里
[01:10:42--01:10:43] 你就可以去跟他聊
[01:10:43--01:10:44] 这个科技与科学
[01:10:44--01:10:46] 他当时已经在META上班了
[01:10:46--01:10:47] 他一直都在
[01:10:47--01:10:48] 他是在META是
[01:10:48--01:10:51] 89年的一个META的一个元老
[01:10:51--01:10:55] 他是META的Facebook AI Research的
[01:10:55--01:10:57] Director
[01:10:57--01:10:58] 就是他当时跟
[01:10:58--01:11:00] 他当时跟田元栋老师
[01:11:00--01:11:01] 差不多时候进去的
[01:11:01--01:11:03] 就是可能还比田元栋老师早一些
[01:11:03--01:11:05] 那你们怎么成为朋友的呀
[01:11:05--01:11:06] 我也不知道他是谁
[01:11:06--01:11:07] 他也不知道我是谁
[01:11:07--01:11:08] 那你怎么认识的呢
[01:11:08--01:11:10] 我们就在这个咖啡馆的这个桌子
[01:11:10--01:11:12] 就是我一开始当那写作业
[01:11:12--01:11:13] 我一开始当那就是
[01:11:13--01:11:14] 我有30页的阅读
[01:11:14--01:11:15] 每堂课有30页的阅读
[01:11:15--01:11:16] 我就抱着这个
[01:11:16--01:11:18] 这么大的这个法律书
[01:11:18--01:11:20] 我就抱着这三个法律书
[01:11:20--01:11:21] 我就去
[01:11:21--01:11:22] 其实挺
[01:11:22--01:11:25] 就是非常不明智的一个选择
[01:11:25--01:11:26] 你有那么厚的书
[01:11:26--01:11:27] 你抱着它们去做小吧
[01:11:27--01:11:28] 但当时就是喜欢
[01:11:28--01:11:30] 那你为什么一定要去那里去做作业
[01:11:30--01:11:32] 在Palo Alto downtown
[01:11:32--01:11:33] 就是我
[01:11:33--01:11:35] 可能我们这个法学院的图书馆
[01:11:35--01:11:38] 就是一般周一到周五待的有点闷
[01:11:38--01:11:39] 我说实话就是
[01:11:39--01:11:40] 它有地毯
[01:11:40--01:11:42] 然后有点密不透风
[01:11:42--01:11:43] 环境
[01:11:43--01:11:45] 你周末你就是想放松一下心情
[01:11:45--01:11:46] 对
[01:11:46--01:11:48] 然后我记得这个Verve咖啡馆的一个点
[01:11:48--01:11:50] 它那个庭院有很多狗
[01:11:50--01:11:52] 然后它只有周末有狗
[01:11:52--01:11:54] 就是它周中的时候
[01:11:54--01:11:55] 那些狗的时候
[01:11:55--01:11:57] 主人可能没有时间带它们遛狗
[01:11:57--01:11:59] 我当时一开始去那里的motivation
[01:11:59--01:12:00] 就我可以读书
[01:12:00--01:12:01] 我可以喝这个
[01:12:01--01:12:03] 我会点一杯抹茶
[01:12:03--01:12:04] 然后我就可以看狗
[01:12:04--01:12:05] 这是我的一个
[01:12:05--01:12:06] 我的快乐
[01:12:06--01:12:08] 就是读法律案例
[01:12:08--01:12:09] 做笔记
[01:12:09--01:12:10] 看狗 喝抹茶
[01:12:10--01:12:12] 然后时间一多
[01:12:12--01:12:14] 就总是我发现我
[01:12:14--01:12:15] 然后就有这么一个
[01:12:15--01:12:17] 每一次看的感觉非常面熟的一个人
[01:12:17--01:12:19] 然后我们一开始聊起来了
[01:12:19--01:12:20] 哦
[01:12:20--01:12:21] 是在里边还是外面
[01:12:21--01:12:22] 因为它有里边一个区
[01:12:22--01:12:23] 外面一个区
[01:12:23--01:12:24] 在里面
[01:12:24--01:12:25] 对
[01:12:25--01:12:26] 在一个长桌上
[01:12:26--01:12:27] 对一个六个人的桌子
[01:12:27--01:12:28] 对
[01:12:28--01:12:29] 然后
[01:12:29--01:12:30] 唯一的一个六人桌子
[01:12:30--01:12:31] 这个六个人的桌子里面
[01:12:31--01:12:32] 其他人也永远都在那里
[01:12:32--01:12:33] 哦
[01:12:33--01:12:34] 对
[01:12:34--01:12:35] 成了一个常客
[01:12:35--01:12:36] 对
[01:12:36--01:12:38] 谁开始先聊天的
[01:12:38--01:12:40] 应该是一个就是
[01:12:40--01:12:42] 没人打算聊天
[01:12:42--01:12:43] 好像是他坐在窗边
[01:12:43--01:12:44] 然后那个太阳特别晒
[01:12:44--01:12:46] 然后我需要那个窗帘拉起来
[01:12:46--01:12:47] 这么说上话的
[01:12:47--01:12:48] 哦 然后呢
[01:12:48--01:12:50] 然后接着就反正
[01:12:50--01:12:51] 我就说
[01:12:51--01:12:53] 我就非常谢谢你
[01:12:53--01:12:54] 就是拉这个窗帘
[01:12:54--01:12:55] 然后他就说
[01:12:55--01:12:56] 我经常看到你
[01:12:56--01:12:57] 然后我就说
[01:12:57--01:12:58] 是我也经常看到你
[01:12:58--01:12:59] 然后一个团话就开始了
[01:12:59--01:13:00] 嗯
[01:13:00--01:13:02] 然后那怎么聊的数学的呢
[01:13:02--01:13:03] 发现他有
[01:13:03--01:13:04] 他学过数学
[01:13:04--01:13:05] 他的本科是数学
[01:13:05--01:13:06] 他的硕士也是数学
[01:13:06--01:13:07] 然后他后面
[01:13:07--01:13:09] 他好像还读了两个数学的硕士
[01:13:09--01:13:10] 我印象记得不是特别清
[01:13:10--01:13:11] 反正就是
[01:13:11--01:13:12] 然后我的那个
[01:13:12--01:13:14] 就是他就很好奇我
[01:13:14--01:13:17] 就是他觉得我应该是个法律学生
[01:13:17--01:13:18] 因为我有这个书
[01:13:18--01:13:20] 然后我们就聊这个
[01:13:20--01:13:21] 我当时可能
[01:13:21--01:13:23] 我不知道我在看哪一块呢
[01:13:23--01:13:24] 我反正就是
[01:13:24--01:13:25] 我们就讲这个这个案例
[01:13:25--01:13:26] 这是非常的离奇
[01:13:26--01:13:27] 然后就
[01:13:27--01:13:28] 反正两个人就开始做朋友吧
[01:13:28--01:13:29] 就是我觉得
[01:13:29--01:13:30] 还是感觉这个21世纪
[01:13:30--01:13:31] 就是有很多事情
[01:13:31--01:13:32] 就是在互联网上
[01:13:32--01:13:34] 大家不太到一个咖啡厅
[01:13:34--01:13:36] 咖啡馆去聊天了
[01:13:36--01:13:37] 嗯
[01:13:37--01:13:38] 你聊了多久
[01:13:38--01:13:39] 我们聊了就是
[01:13:39--01:13:40] 我们一两年
[01:13:40--01:13:41] 我们是朋友
[01:13:41--01:13:43] 我们不知道对方在哪
[01:13:43--01:13:45] 那他不知道你是
[01:13:45--01:13:46] Stanford的学生
[01:13:46--01:13:47] 他知道我是Stanford的学生
[01:13:47--01:13:48] 但他不知道
[01:13:48--01:13:50] 他可能知道我是
[01:13:50--01:13:51] 法学院数学
[01:13:51--01:13:53] 但他不知道我
[01:13:53--01:13:54] 他可能不知道
[01:13:54--01:13:56] 我有一个数学研究背景
[01:13:56--01:13:57] 就是他可能
[01:13:57--01:13:59] 他好像听说过摩根奖
[01:13:59--01:14:00] 他听说摩根奖
[01:14:00--01:14:01] 可能是因为
[01:14:01--01:14:02] 有很多摩根奖的同学
[01:14:02--01:14:03] 转入了AI
[01:14:03--01:14:04] 比如说
[01:14:04--01:14:05] Lavon Alpert在
[01:14:05--01:14:06] Anthropic
[01:14:06--01:14:07] Greg Young
[01:14:07--01:14:08] XAI的co-founder
[01:14:08--01:14:09] 就是Morgan Price
[01:14:09--01:14:10] 是AI的一个东西
[01:14:10--01:14:12] 然后他不知道
[01:14:12--01:14:14] 我也不是个什么人物
[01:14:14--01:14:15] 他不知道也没关系
[01:14:15--01:14:16] 但是我是真不知道
[01:14:16--01:14:18] 他是一个这么厉害的
[01:14:18--01:14:19] 一个AI人了
[01:14:19--01:14:20] 你知道他在买它吗
[01:14:20--01:14:21] 他现在就是
[01:14:21--01:14:22] 你知道他在买它吗
[01:14:22--01:14:23] 我当时不知道
[01:14:23--01:14:24] 我当时不知道
[01:14:24--01:14:25] 我一直不知道他在买它
[01:14:25--01:14:27] 后来你们是怎么开始决定要创业的呢
[01:14:27--01:14:29] 就是在你们这种漫无目的的认识
[01:14:29--01:14:31] 漫无目的的认识和聊天
[01:14:31--01:14:32] 对
[01:14:32--01:14:33] 对
[01:14:33--01:14:34] 我有一天
[01:14:34--01:14:36] 你们这种谈话持续了多久
[01:14:36--01:14:39] 持续了一年半
[01:14:39--01:14:40] 聊什么呢
[01:14:40--01:14:41] 这一年半
[01:14:41--01:14:45] 聊科学历史
[01:14:45--01:14:46] 对
[01:14:46--01:14:47] 然后就
[01:14:47--01:14:49] 有一天我印象是
[01:14:49--01:14:51] 秋天2024年的秋天
[01:14:51--01:14:53] 那个时候我刚开始数学的PhD
[01:14:53--01:14:58] 但我当时很多的时间其实在给XTX去做一些工作
[01:14:58--01:15:03] 就是XTX是一个量化金融的一个
[01:15:03--01:15:05] 我暑假就是后半段在那里
[01:15:05--01:15:08] 然后我当时就觉得
[01:15:08--01:15:10] 我在那里就是觉得
[01:15:10--01:15:12] 天哪这个AI更有意思了
[01:15:12--01:15:14] 就是你XTX有卡呀
[01:15:14--01:15:15] 对吧
[01:15:15--01:15:16] 它有卡
[01:15:16--01:15:17] 所以你能做的事情
[01:15:17--01:15:19] 就比你在盖茨比做的事情多很多
[01:15:19--01:15:22] 所以就当时觉得AI很有意思
[01:15:22--01:15:23] 然后回来
[01:15:23--01:15:24] 然后就
[01:15:24--01:15:25] 我有一天我就跟
[01:15:25--01:15:26] 我是去跑步
[01:15:26--01:15:27] 我就是晨跑
[01:15:27--01:15:28] 然后
[01:15:28--01:15:29] 跑完之后我不知道为什么
[01:15:29--01:15:30] 我就觉得
[01:15:30--01:15:32] 好像这个事情真的要
[01:15:32--01:15:33] 真的要发生
[01:15:33--01:15:34] 然后我就去找舒伯
[01:15:34--01:15:35] 我说
[01:15:35--01:15:36] 这个事情大概
[01:15:36--01:15:37] 如果我想融资
[01:15:37--01:15:38] 要融多少钱呢
[01:15:38--01:15:40] 然后我们两个人在那算
[01:15:40--01:15:41] 我们算就是多少张卡
[01:15:41--01:15:42] 然后
[01:15:42--01:15:45] 就拿了张那个餐巾纸在那算
[01:15:45--01:15:46] 然后我们就说
[01:15:46--01:15:49] 好像这个事情还是得做一个创业公司
[01:15:49--01:15:51] 就是没有可能在学界去做
[01:15:51--01:15:52] 我那一个学期在做XTX
[01:15:52--01:15:54] 我疯狂的往CS的那里跑
[01:15:54--01:15:55] 有一个CS
[01:15:55--01:15:56] 斯坦福CS
[01:15:56--01:15:57] 我觉得最好的一门课
[01:15:57--01:15:58] 是一个叫做
[01:15:58--01:16:00] 就是first year PhD seminar
[01:16:00--01:16:03] 每一个教授为了就是招新的学生
[01:16:03--01:16:05] 他们就会去讲他的这个research highlight
[01:16:05--01:16:06] 你每周去
[01:16:06--01:16:07] 就一个学分
[01:16:07--01:16:09] 你每周三下午去
[01:16:09--01:16:10] 下午五点
[01:16:10--01:16:12] 然后你可以认识你所有其他的一些
[01:16:12--01:16:13] 计算机系的同学们
[01:16:13--01:16:14] 我就坐在后排厅
[01:16:14--01:16:15] 我是个数学系的
[01:16:15--01:16:17] 然后完了之后
[01:16:17--01:16:18] 你就可以知道我的天哪
[01:16:18--01:16:19] 就是有这么多
[01:16:19--01:16:20] 就是做机器人的
[01:16:20--01:16:21] 他们在做什么
[01:16:21--01:16:24] 做这个computer vision的在做什么
[01:16:24--01:16:25] 你就反正就是非常
[01:16:25--01:16:27] It's an intellectual feast
[01:16:27--01:16:32] 你是在哪一刻决定辍学要创业的
[01:16:32--01:16:34] 其实我大概知道
[01:16:34--01:16:35] 就我开始融资的时候
[01:16:35--01:16:36] 我就知道我总有一天要辍学
[01:16:36--01:16:37] 就是
[01:16:37--01:16:39] 你先开始融资才辍学的
[01:16:39--01:16:40] 你是先开始融资再辍学
[01:16:40--01:16:41] 我先开始融资再辍学
[01:16:41--01:16:43] 因为这个我不能辍学
[01:16:43--01:16:44] 因为我辍学了我没有身份
[01:16:44--01:16:46] 我要拿到我的这个身份
[01:16:46--01:16:47] 工作签证
[01:16:47--01:16:48] 我才能够辍学
[01:16:48--01:16:49] 所以我拿到我的工作签证
[01:16:49--01:16:51] 我就辍学了
[01:16:51--01:16:52] 因为就是一般来说
[01:16:52--01:16:53] 投资人也期待你辍学
[01:16:53--01:16:55] 就是你很难说是同时
[01:16:55--01:16:56] 你的就是
[01:16:56--01:16:57] 硅谷这个一般拿到融资
[01:16:57--01:16:58] 就是开始要
[01:16:58--01:17:00] 甚至有些时候
[01:17:00--01:17:02] 辍学是融资的closing condition
[01:17:02--01:17:03] OK
[01:17:03--01:17:05] 为什么不是Shubo当CEO
[01:17:05--01:17:07] 是你当CEO
[01:17:07--01:17:08] Shubo当时其实还在
[01:17:08--01:17:09] 一开始大部分的时间
[01:17:09--01:17:11] 他还在Meta
[01:17:11--01:17:12] 他没有
[01:17:12--01:17:15] 他到后刻决定要加入你的
[01:17:15--01:17:16] OK
[01:17:16--01:17:17] 因为我们当时谁都不知道
[01:17:17--01:17:18] 这个事情能否
[01:17:18--01:17:21] 得到这个投资人的支持
[01:17:21--01:17:22] 这个事情是
[01:17:22--01:17:24] 就是想不想不明白
[01:17:24--01:17:26] 所以从哪个月份决定的
[01:17:26--01:17:28] 我从我从9月份就决定了
[01:17:28--01:17:30] 但我不到11月我没有融资
[01:17:30--01:17:31] 因为我一直在劝自己
[01:17:31--01:17:32] 不要做这件事情
[01:17:32--01:17:33] 为什么
[01:17:33--01:17:36] 我不太喜欢
[01:17:36--01:17:37] 就是我当然
[01:17:37--01:17:39] 我觉得中国语境下的创业者
[01:17:39--01:17:40] 是一种就是气质
[01:17:40--01:17:41] 但美国语境下
[01:17:41--01:17:43] 现在就整个Valley都是Founder
[01:17:43--01:17:44] 就是创业者
[01:17:44--01:17:45] 某种程度上辍学创业
[01:17:45--01:17:46] 他就是浮躁
[01:17:46--01:17:47] 我其实觉得
[01:17:47--01:17:48] 如果我是一个本科生
[01:17:48--01:17:49] 我绝对不会去辍学
[01:17:49--01:17:51] 然后去Y Combinator
[01:17:51--01:17:52] 我某种程度上
[01:17:52--01:17:53] 我觉得我是最不可能
[01:17:53--01:17:54] 创业的一个创业者
[01:17:54--01:17:56] 我非常的喜欢向往学界
[01:17:56--01:17:59] 我非常的希望能够去做
[01:17:59--01:18:01] 更多的数学的一些探索
[01:18:01--01:18:04] 我非常喜欢在大学的一个环境
[01:18:04--01:18:07] 所以我就两个月是在劝退自己
[01:18:07--01:18:09] 然后但是每天早上还在跑步
[01:18:09--01:18:11] 然后跑步的时候
[01:18:11--01:18:12] 想事情想得非常清楚
[01:18:12--01:18:15] 到后面确定是非常非常确定
[01:18:15--01:18:17] 然后到我非常非常确定的时候
[01:18:17--01:18:18] 马上就感恩节了
[01:18:18--01:18:20] 从感恩节到圣诞节的时候
[01:18:20--01:18:21] 没有VC上班
[01:18:21--01:18:22] 所以你要么就是
[01:18:22--01:18:24] 那个时候到感恩节融完
[01:18:24--01:18:25] 只有十天
[01:18:25--01:18:26] 要么你就来年再融
[01:18:26--01:18:28] 所以我当时就来年再融
[01:18:28--01:18:29] 哦
[01:18:29--01:18:30] 那两个月最后
[01:18:30--01:18:33] 你是怎么经过了怎么样的COT
[01:18:33--01:18:34] 然后决定一定要做
[01:18:34--01:18:39] 我当时去读了这个科学史
[01:18:39--01:18:41] 然后读了科学史
[01:18:41--01:18:42] 真的读了科学史
[01:18:42--01:18:44] 创业读科学史
[01:18:44--01:18:45] 就是多少个
[01:18:45--01:18:48] 先是从维基百科开始读科学史
[01:18:48--01:18:50] 后面要找书读科学史
[01:18:50--01:18:51] 然后有一个叫
[01:18:51--01:18:53] 一个GitHub REPL
[01:18:53--01:18:54] 这个GitHub REPL里面
[01:18:54--01:18:55] 大概有几百篇文章
[01:18:55--01:18:57] 每篇文章的after我都读过
[01:18:57--01:18:58] 然后有意思的after
[01:18:58--01:19:00] 我就会把整篇文章看完
[01:19:00--01:19:02] 然后我就做了多少次费曼的过程
[01:19:02--01:19:03] 在就是纸上去想
[01:19:03--01:19:05] 如果说我这个东西要搭起来
[01:19:05--01:19:07] 应该技术上怎么做
[01:19:07--01:19:08] 我不可能说
[01:19:08--01:19:10] 我自己觉得这个事情不会成功
[01:19:10--01:19:11] 然后去骗别人的钱
[01:19:11--01:19:13] 这个事情我觉得做不到
[01:19:13--01:19:15] 所以我当时就到了一个程度
[01:19:15--01:19:16] 我发现我觉得
