[00:00:04--00:00:08] 这个我还没答完,因为我觉得这还不是终极实力
[00:41:12--00:41:13] 比如说我们有公司章程
[00:41:14--00:41:14] 不会的
[00:41:14--00:41:15] 多大的事情我们会投票的
[00:41:16--00:41:16] 这是正常的
[00:41:17--00:41:17] 决策对吧
[00:41:18--00:41:19] 然后我们会有各种各样的委员会
[00:41:19--00:41:20] 就是这些
[00:41:21--00:41:21] 产品委员会
[00:41:21--00:41:22] 经营委员会
[00:41:23--00:41:23] 质量委员会
[00:41:23--00:41:24] 就是你们的委员会
[00:41:24--00:41:26] 委员会不是按级别的
[00:41:26--00:41:26] 是按职能的
[00:41:27--00:41:28] 然后
[00:41:28--00:41:30] 然后这些都是
[00:41:30--00:41:30] 就是阅读进行
[00:41:31--00:41:31] 然后的话
[00:41:31--00:41:33] 在不同的细分的里面
[00:41:33--00:41:34] 就是比如说
[00:41:35--00:41:36] 关于这个
[00:41:36--00:41:37] 资本市场的
[00:41:38--00:41:38] 然后关于销售的
[00:41:39--00:41:40] 会有不同的风格吗
[00:41:41--00:41:42] 会还是挺多的
[00:41:43--00:41:43] 对没有
[00:41:43--00:41:46] 我们三个人专门的一个决议的会议对吧
[00:41:46--00:41:47] 三个人一般都是
[00:41:47--00:41:48] 我们三个没有一个明确的
[00:41:48--00:41:49] 开会的时间
[00:41:49--00:41:51] 因为就大家都在一个办公室里
[00:41:51--00:41:53] 基本上重要的事情也等不到开会
[00:41:53--00:41:54] 或者说
[00:41:54--00:41:56] 即使不重要的事情在吃饭的时候也都聊
[00:41:57--00:41:58] 所以我倒觉得这是挺好的
[00:41:58--00:41:59] 而且这个事呢
[00:41:59--00:42:00] 它
[00:42:00--00:42:01] 它不是我发明的
[00:42:01--00:42:02] 挺有意思的一点是
[00:42:03--00:42:06] 我们历史上还是都有自己的小办公室的
[00:42:06--00:42:07] 然后呢
[00:42:08--00:42:09] 我们
[00:42:10--00:42:11] 应该是我有一次
[00:42:12--00:42:12] 在
[00:42:13--00:42:16] 与我们合作的那个欧洲特别大的车企
[00:42:16--00:42:17] 见他的
[00:42:18--00:42:19] 大领导的时候
[00:42:20--00:42:22] 我突然发现他的办公室是开放的
[00:42:22--00:42:23] 和他的那个
[00:42:23--00:42:25] 顶层领导之间不是一个
[00:42:25--00:42:27] 封闭了一个一个的玻璃房子
[00:42:28--00:42:29] 这件事对我触动
[00:42:29--00:42:30] 特别大
[00:42:30--00:42:32] 因为我会觉得典型的这么大的车企
[00:42:32--00:42:33] 对不起
[00:42:33--00:42:34] 某
[00:42:34--00:42:35] 大车企
[00:42:35--00:42:38] 我们就报了客户名字
[00:42:38--00:42:40] 肯定是这个基点的
[00:42:40--00:42:41] 然后那个
[00:42:41--00:42:43] 我却发现了
[00:42:43--00:42:50] 就是你会认为这样的传统企业车企它的顶层大老板之间每个人有个办公室
[00:42:50--00:42:51] 他们会觉得
[00:42:52--00:42:53] 你不能这么干
[00:42:54--00:42:55] 你要把办公室的钱卸掉
[00:42:56--00:42:56] 你要让
[00:42:57--00:42:58] 有人跟你汇报工作的时候
[00:42:59--00:43:03] 他旁边的人也能听到甚至走过要闲聊两句他会很在意这种
[00:43:03--00:43:05] 组织之间沟通的这个
[00:43:05--00:43:07] 非官方沟通的重要性
[00:43:07--00:43:09] 这个我感觉在美国
[00:43:09--00:43:11] 八十年开始这个开放办公室的话里
[00:43:11--00:43:12] 讲的比较多了
[00:43:12--00:43:13] 然后
[00:43:14--00:43:15] 他践行的很好
[00:43:15--00:43:16] 就对我触动特别
[00:43:17--00:43:18] 就我觉得他都这么干
[00:43:18--00:43:21] 我们没有必要把自己都关在一个一个小房子里
[00:43:21--00:43:22] 所以就说
[00:43:22--00:43:23] 这件事就我说
[00:43:23--00:43:24] 我也是
[00:43:24--00:43:26] 觉得是个挺好的一个方法
[00:43:26--00:43:28] 我记得李平和秦平同也在一个办公室
[00:43:29--00:43:31] 那也挺好的那可能是一样的
[00:43:31--00:43:31] 对对对
[00:43:32--00:43:34] 我很好奇啊你们这个创业IPX三个人是最新提出来的
[00:43:35--00:43:37] 这个还真是我们一直一起酝酿的
[00:43:38--00:43:39] 就是
[00:43:39--00:43:41] 这个事是属于
[00:43:42--00:43:45] 就可能不是一个瞬间反而是大家一直觉得要做点什么事
[00:43:45--00:43:46] 然后呢
[00:43:46--00:43:48] 确实一直没有想好
[00:43:48--00:43:49] 做什么
[00:43:49--00:43:51] 确实那个点上呢
[00:43:51--00:43:55] 我们想来讲就最好的第一个想法就是把松开实验室的基础删热化
[00:43:56--00:43:57] 实验室技术就是
[00:43:57--00:43:58] 激光
[00:43:59--00:43:59] 检测
[00:43:59--00:44:01] 所以我们最早就做了激光传感器
[00:44:01--00:44:02] 就回到刚才那块去
[00:44:02--00:44:03] 是这样的
[00:44:04--00:44:04] 但是
[00:44:05--00:44:07] 想要创业这件事其实我当年
[00:44:08--00:44:10] 13年去硅谷
[00:44:10--00:44:12] 很重要的原因也是希望
[00:44:12--00:44:16] 有机会起码看一看创业环境和找一些创业计划
[00:44:16--00:44:18] 你当时有想过就在硅谷创业还是硅谷创业吗
[00:44:18--00:44:20] 为什么在2014年选择了硅谷
[00:44:20--00:44:22] 是华人在硅谷创业这个中期
[00:44:22--00:44:25] 那个时候感觉
[00:44:25--00:44:26] 不过这一波又好一些
[00:44:26--00:44:27] AI这一波又好一些
[00:44:27--00:44:29] 一度感觉是越来越少
[00:44:30--00:44:31] 然后
[00:44:33--00:44:34] 当时是
[00:44:34--00:44:37] 我感觉也是一个大家三观特别合的一个表现
[00:44:37--00:44:40] 就没有任何一个人想过要留在美国
[00:44:41--00:44:42] 就是
[00:44:42--00:44:46] 都会觉得美国是一个更安逸但是
[00:44:48--00:44:50] 不适合做一家这样的创业公司
[00:44:51--00:44:53] 就大家都很坚定
[00:44:54--00:44:54] 确实是
[00:44:54--00:44:56] 2014年怎么决定的
[00:44:56--00:44:57] 在那时候一起回来
[00:44:57--00:44:57] 好
[00:44:58--00:44:59] 当时是这样的
[00:44:59--00:45:01] 最早的时候其实我们也没有真正在创业
[00:45:01--00:45:02] 就是做一些这些
[00:45:03--00:45:04] 车库点
[00:45:04--00:45:05] 做一些小东西
[00:45:05--00:45:06] 就是业余时间玩一玩
[00:45:07--00:45:08] 然后在这过程中我就想
[00:45:08--00:45:09] 就是说
[00:45:09--00:45:10] 如果
[00:45:11--00:45:12] 有
[00:45:12--00:45:14] 就因为你回国第一个问题肯定还是有钱嘛
[00:45:15--00:45:17] 所以我们就在想就是说我们设立一个线
[00:45:17--00:45:19] 如果有人投资我们多少钱
[00:45:20--00:45:22] 我们就可以回国创业
[00:45:22--00:45:24] 回国和创业这两件事没有分开过
[00:45:24--00:45:25] 一直是一起要做
[00:45:26--00:45:27] 这个线我们当时设了一个线
[00:45:28--00:45:29] 我记得是200美金
[00:45:30--00:45:31] 然后
[00:45:31--00:45:32] 200美金
[00:45:34--00:45:36] 有200美金就一起走
[00:45:36--00:45:37] 对对对
[00:45:37--00:45:38] 然后
[00:45:38--00:45:42] 在当时呢200美金还挺很荣耗的
[00:45:42--00:45:43] 因为首先是时间长
[00:45:43--00:45:45] 其次就是说我们也没有任何背景
[00:45:45--00:45:46] 除了是很优秀的
[00:45:47--00:45:48] 学任何工程师以外
[00:45:48--00:45:49] 肯定没有什么创业经验
[00:45:50--00:45:50] 还挺难的
[00:45:51--00:45:52] 然后
[00:45:52--00:45:53] 有这么一个故事
[00:45:54--00:45:54] 大数这样
[00:45:55--00:45:56] 我不为这个数字准确性
[00:45:56--00:45:57] 负责
[00:45:57--00:45:58] 大故事是这样的就是说
[00:45:59--00:46:02] 最开始我想的想法是融100万美金占20%
[00:46:03--00:46:05] 就是500美金估值
[00:46:05--00:46:06] 我后来发现
[00:46:06--00:46:07] 怎么能融到
[00:46:08--00:46:09] 然后呢
[00:46:09--00:46:11] 后来有一天我们想了想说
[00:46:11--00:46:13] 我们要融200美金对吧
[00:46:13--00:46:13] 然后
[00:46:14--00:46:16] 当时他们就说当时我们创了100万美金100万美金不是融不到了
[00:46:17--00:46:18] 然后大家就说100万美金不够
[00:46:19--00:46:20] 不是不够我们要搞200美金
[00:46:21--00:46:22] 然后我想说200美金那怎么办
[00:46:23--00:46:24] 那不是够融到的吗
[00:46:24--00:46:27] 然后我突然想说这下好办了我说为什么呀
[00:46:27--00:46:29] 然后我就跟两个人分别说
[00:46:29--00:46:31] 我说你要出100万美金占10%
[00:46:32--00:46:34] 就会有另外一个人出100万美金占10%
[00:46:35--00:46:35] 分别说
[00:46:36--00:46:36] 对
[00:46:36--00:46:39] 其实这个人A和B都没有同事都没有答应过你
[00:46:39--00:46:39] 对对
[00:46:40--00:46:40] 然后
[00:46:40--00:46:44] 他们基本答案都是如果有人出10%我会考虑的
[00:46:44--00:46:46] 然后我也想了想去好可以就你们俩
[00:46:46--00:46:47] 谁呀
[00:46:47--00:46:48] 就是两个
[00:46:49--00:46:51] 都不算太知名的VCR
[00:46:51--00:46:55] 都是比较小的基金一个是这个
[00:46:55--00:46:56] 远瞻资本
[00:46:57--00:46:58] 然后他是
[00:46:59--00:47:00] 他是算是一个
[00:47:00--00:47:02] 高科技的早期基金吧
[00:47:03--00:47:05] 然后他的创始人Max
[00:47:05--00:47:07] 也是在美国留学了很多年
[00:47:08--00:47:10] 但是他最有名的应该是何赛普
[00:47:11--00:47:13] 应该是大疆早期的天使
[00:47:13--00:47:14] 最早的天使
[00:47:15--00:47:16] 所以他是
[00:47:17--00:47:17] 看到了
[00:47:18--00:47:20] 很重要的一间企业的机会
[00:47:20--00:47:23] 另一个是一个深圳的机构叫
[00:47:25--00:47:25] 大米
[00:47:25--00:47:26] 然后他们也是
[00:47:26--00:47:29] 其实是那个时间才开始创业做基金
[00:47:29--00:47:30] 你可不认识他们的呀
[00:47:30--00:47:32] 你是在美国谈的还是在欧洲谈的
[00:47:32--00:47:35] 在美国谈的那个年代还是挺难的那个年代其实没有这么多的
[00:47:36--00:47:39] 专业服务机构呀什么这些平台呀都没有
[00:47:39--00:47:40] 真的是在各种
[00:47:41--00:47:42] 比较random的
[00:47:43--00:47:45] 区域会和通路介绍中认识
[00:47:45--00:47:47] 我当时没有任何机会跟
[00:47:48--00:47:49] 这些所谓的
[00:47:49--00:47:50] 著名的基金交流
[00:47:50--00:47:51] 在那个年代其实都没有
[00:47:52--00:47:54] 他们后来发现你只炸过他们
[00:47:55--00:47:56] 炸过他们
[00:47:56--00:47:58] 我那个
[00:47:58--00:47:59] 他们都同意完我马上就说了
[00:48:00--00:48:01] 我说这事就是这样的
[00:48:01--00:48:02] 倒没有炸过
[00:48:02--00:48:05] 因为他说的也是有人偷我就可以换
[00:48:07--00:48:09] 我们当时一直很诚实的
[00:48:09--00:48:11] 我觉得还是一个公司
[00:48:11--00:48:13] 给出的所有信息是准确的还是挺重要的
[00:48:13--00:48:15] 那你准确认科技创业者很少是吗
[00:48:18--00:48:18] 在14年
[00:48:20--00:48:21] 14年
[00:48:22--00:48:23] 我其实一直觉得
[00:48:24--00:48:26] 从美国的创业者做硬件的
[00:48:26--00:48:27] 都会很难
[00:48:27--00:48:29] 我相信14年深圳应该挺多的
[00:48:29--00:48:30] 我觉得美国都会很难
[00:48:31--00:48:32] 因为在我看来美国根本就不适合
[00:48:33--00:48:33] 做
[00:48:34--00:48:35] 真的硬科技
[00:48:36--00:48:40] 就比如说他做一些硬科技但实际做的是一个消费品本质上是他那种设计
[00:48:40--00:48:41] 那我说也可以
[00:48:41--00:48:45] 一旦设计到比较复杂的硬件制造要品控要成本
[00:48:46--00:48:48] 这些在我看来你看这么多年
[00:48:49--00:48:54] 硅谷我们能说得上名的好的硬件企业苹果这种的太大了
[00:48:55--00:48:56] 其实好像不多吧
[00:48:56--00:49:01] 那回国了以后呢我们开始做的事情是什么
[00:49:01--00:49:05] 长话短说就是回国的前一年多时间
[00:49:06--00:49:09] 辗转反转了各种各样激光可以干的事
[00:49:09--00:49:12] 第一个干的事是扫射阶段
[00:49:13--00:49:14] 都不叫扫射
[00:49:14--00:49:16] 扫射的意思是你就知道你要做好多事
[00:49:17--00:49:21] 更多的是点射点一下发现不行又换一个点打一枪换一个地方
[00:49:21--00:49:23] 你叫pivot啊就是
[00:49:23--00:49:25] 最早做的是那个
[00:49:26--00:49:26] 用
[00:49:26--00:49:28] 激光检测
[00:49:28--00:49:29] 天然气泄漏
[00:49:30--00:49:35] 非常艰难就是一个激光就是非要服务这个相对传统的天然气行业
[00:49:35--00:49:37] 然后你可以想象
[00:49:37--00:49:40] 就是给他做一种检测设备检测他天然气管道会泄漏啊
[00:49:40--00:49:41] 这个就是
[00:49:41--00:49:46] 就是一个蛮难做的事因为他这行业人认证也很多然后客户也是一些偏传统的客户
[00:49:47--00:49:48] 然后呢
[00:49:48--00:49:51] 甚至我给你讲一下何塞声明有多强啊就是
[00:49:51--00:49:53] 我们跟客户交流的时候他突然有一天
[00:49:54--00:49:54] 提出他说
[00:49:54--00:49:58] 因为14年了当时已经有那个15年
[00:49:58--00:50:01] 已经有无人机消费无人机就大江这样大家在玩了
[00:50:02--00:50:05] 能不能把你那种激光东西装到飞机上给我做全自动的
[00:50:06--00:50:07] 天然气巡检
[00:50:09--00:50:11] 这事你给正常公司你说不能我做不了
[00:50:11--00:50:13] 我们在那个点硬是
[00:50:14--00:50:19] 就是当然也和大江沟通他们给了我们基础支持和产品架构的支持
[00:50:19--00:50:21] 我们愣是把我们的激光东西
[00:50:21--00:50:23] 做成了一个可以全自动
[00:50:24--00:50:24] 检测
[00:50:25--00:50:29] 天然气泄漏的一套方案加上iPad加上软件系统
[00:50:29--00:50:30] 提供给客户
[00:50:30--00:50:34] 然后而且是中国应该是最大的支付量天然气巡磁的那个
[00:50:35--00:50:36] 信号仪器
[00:50:36--00:50:39] 所以我当时他们在廊坊我去了好多趟廊坊
[00:50:39--00:50:41] 就做这个业务
[00:50:41--00:50:41] 这是第一个单子
[00:50:42--00:50:42] 第一个单子
[00:50:42--00:50:43] 然后后来我发现
[00:50:43--00:50:47] 很难当时那订单签了2000万亿
[00:50:47--00:50:50] 想作为一个创业第一年的企业
[00:50:50--00:50:52] 第一年也收了2000万
[00:50:52--00:50:53] 第一年没有已经收了2000万了
[00:50:53--00:50:53] 签了签了后来
[00:50:54--00:50:54] 后来可能
[00:50:54--00:50:56] 让人们就出去交付了一些
[00:50:56--00:50:58] 但是签这第一年签的
[00:50:58--00:51:00] 你想你创业的前几个月
[00:51:00--00:51:02] 能签一单2000万人民币的
[00:51:02--00:51:05] 显然毛利非常高只是特别艰难的一个产品
[00:51:05--00:51:06] 还挺有意思
[00:51:06--00:51:08] 也锻炼的对不
[00:51:08--00:51:11] 然后但后来很快就发现就是我们这样的基因不太适合做
[00:51:12--00:51:14] 太传统的像天然气这样的业务
[00:51:14--00:51:16] 就是它的销售模式
[00:51:17--00:51:20] 包括就是你新技术能解决的问题和它的商业价值还是有很大差距
[00:51:22--00:51:23] 很快就发现这个事
[00:51:23--00:51:24] 另外坦白讲那个人
[00:51:24--00:51:24] 是一个败类的
[00:51:25--00:51:29] 绝对只是客户提着但不代表那个是一个好的方向后来那个东西
[00:51:29--00:51:31] 也没有任何人真正把它做成再大量的产品了
[00:51:32--00:51:32] 就停留在了
[00:51:33--00:51:33] 那个博物馆里面
[00:51:34--00:51:37] 后来那段时间我们很痛苦的时候呢
[00:51:38--00:51:38] 第二年
[00:51:38--00:51:40] 没有第一年就开始很痛苦
[00:51:40--00:51:41] 因为交付很痛苦
[00:51:41--00:51:42] 就你想我
[00:51:43--00:51:44] 一年跑了那么多趟廊坊
[00:51:44--00:51:45] 然后就像
[00:51:45--00:51:47] 对好多趟我都不记得了
[00:51:48--00:51:52] 就是就感觉这个业务不太像是我们最初心想要做的事
[00:51:53--00:51:53] 然后呢
[00:51:54--00:51:54] 确实我们
[00:51:54--00:51:57] 我们觉得我们的技术也没有创造足够多的价值
[00:51:57--00:51:58] 客观点也是这样子
[00:51:59--00:52:00] 后来到第2年
[00:52:00--00:52:02] 没有到第1年开始我们又发现当时那个点
[00:52:03--00:52:04] 就是
[00:52:04--00:52:05] 空气质量不太好
[00:52:06--00:52:09] 我们能做很小的那种空气质量的检测事
[00:52:10--00:52:10] 所以我们又
[00:52:11--00:52:12] 去做非常多的小的
[00:52:14--00:52:14] 颗粒物检测
[00:52:14--00:52:15] 就编发来武器的东西
[00:52:16--00:52:18] 然后我们就希望在就是
[00:52:18--00:52:22] 相当于跟法宝局合作和跟一些监测站合作去做更多样的
[00:52:23--00:52:24] 所以我们有一度还把那个东西装在
[00:52:25--00:52:27] 公交车上
[00:52:27--00:52:27] 然后
[00:52:28--00:52:28] 去
[00:52:28--00:52:31] 四处跑然后去采集这个
[00:52:32--00:52:34] 空气质量的变化建模然后做了一套
[00:52:35--00:52:37] APP然后就做了好多这样的事
[00:52:37--00:52:38] 都是第一年做的
[00:52:38--00:52:39] 何在的
[00:52:39--00:52:41] 我们那个年代的基因就是说
[00:52:41--00:52:43] 就是想做一个东西
[00:52:43--00:52:45] 不论是软件的硬件甚至你想
[00:52:46--00:52:48] 还得控制无人机的那些东西
[00:52:48--00:52:49] 然后还要做
[00:52:49--00:52:51] APP采访全站的
[00:52:51--00:52:53] 就是在
[00:52:53--00:52:54] 香港新的代理线
[00:52:54--00:52:56] 就是想做什么都能做出来的
[00:52:57--00:52:58] 这样订单多少钱
[00:52:59--00:53:02] 做了几百万然后就觉得好像也挺难的
[00:53:03--00:53:03] 然后
[00:53:03--00:53:05] 好像你们第一年是营收
[00:53:05--00:53:05] 有有有
[00:53:06--00:53:08] 应该看那个公司简历
[00:53:08--00:53:10] 我想肯定几百万营收肯定还是有的
[00:53:10--00:53:11] 第二年
[00:53:11--00:53:12] 第二年是更好的
[00:53:12--00:53:15] 我觉得应该是更好的我们其实迄今为止每年都是增长
[00:53:15--00:53:17] 从第一年开始
[00:53:17--00:53:18] 然后
[00:53:18--00:53:21] 只是在几百万营收把大家已经累成那样并且看不到
[00:53:21--00:53:23] 足够大的市场的时候
[00:53:23--00:53:24] 其实你作为创业者你已经意识到
[00:53:25--00:53:25] 这个是不对的
[00:53:26--00:53:26] 前两年是多少人
[00:53:27--00:53:29] 第一年可能十个人
[00:53:29--00:53:30] 十几个人
[00:53:30--00:53:31] 第二年我猜到
[00:53:32--00:53:32] 三个十个
[00:53:33--00:53:34] 这得确认一下
[00:53:35--00:53:36] 还是挺少的
[00:53:37--00:53:39] 但是因为第二年已经到六年了
[00:53:39--00:53:41] 一六年初的时候
[00:53:41--00:53:42] 其实这个
[00:53:42--00:53:44] 大气质量检测这个事
[00:53:44--00:53:47] 我也已经看到了肚子劲头
[00:53:47--00:53:48] 就是
[00:53:48--00:53:50] 它也不创造太多商业价值
[00:53:50--00:53:51] 就是你
[00:53:52--00:53:53] 拿着这叫什么
[00:53:54--00:53:54] 拿着水上的丁
[00:53:55--00:53:55] 丁字的这个事
[00:53:56--00:53:57] 感觉也不太行
[00:53:57--00:53:58] 这是硬科技创业者的一个
[00:53:59--00:54:00] 早期的普遍状态
[00:54:00--00:54:01] 拿着锤子找丁子
[00:54:02--00:54:05] 大量的非常重的很难交付的事情
[00:54:05--00:54:08] 对我觉得几个你说的对我觉得几点
[00:54:08--00:54:10] 第一点就是说因为硬科技创业者
[00:54:10--00:54:12] 天然其实它的出发路径
[00:54:13--00:54:14] 都太会是
[00:54:15--00:54:16] 从市场需求短长
[00:54:17--00:54:19] 这里面抛开你的舒适区的问题
[00:54:19--00:54:20] 你不擅长以外
[00:54:20--00:54:21] 你其实也没有机会
[00:54:21--00:54:22] 就是
[00:54:22--00:54:23] 你毕竟不是从VC过来
[00:54:24--00:54:24] 你也不是从资讯行业
[00:54:25--00:54:25] 过来的
[00:54:26--00:54:27] 你为什么会知道这样的通验
[00:54:28--00:54:29] 对吧其实是比较难的
[00:54:29--00:54:30] 而
[00:54:30--00:54:32] 翻过来讲你的技术
[00:54:32--00:54:33] 你是很熟悉的
[00:54:33--00:54:36] 甚至他能做到的边界你是很熟悉的
[00:54:37--00:54:42] 所以有一点点人说有一点点兴趣甚至人家没说有兴趣你觉得他可能有兴趣你就会去干
[00:54:43--00:54:43] 对吧
[00:54:44--00:54:44] 那然后
[00:54:46--00:54:48] 东方文化他给赋反馈是比较慢的
[00:54:48--00:54:52] 就是很多时候你做一东西大家不会跟你说大家在练
[00:54:52--00:54:53] 就是他都想鼓励你
[00:54:54--00:54:55] 大家都很友好
[00:54:55--00:54:57] 那所以你比如说我们历史上做
[00:54:57--00:55:00] 做这个各种各样的尝试
[00:55:01--00:55:03] 甚至包括我们早期投资人
[00:55:03--00:55:05] 他还是觉得就是年轻人你们做
[00:55:05--00:55:07] 我们投资人你们想做什么
[00:55:08--00:55:09] 都支持我们
[00:55:09--00:55:11] 他不会说跳出来说
[00:55:12--00:55:15] 你这个太抢他了你不要这么把钱都走他就往这里打
[00:55:16--00:55:18] 这个呢你还是很感谢他们的因为其实
[00:55:19--00:55:21] 他既然这么说了对我们来说也很难一个创业者
[00:55:21--00:55:23] 如果你做什么事需要听你的投资人告诉你
[00:55:23--00:55:25] 其实也是一个挺糟糕的状态
[00:55:26--00:55:29] 所以在这过程中我决定合计创业者特别准备走向这个
[00:55:29--00:55:30] 就是说
[00:55:30--00:55:32] 你就觉得是一个他们家的卢内斯海
[00:55:32--00:55:33] 统资有事然后你就特别
[00:55:34--00:55:34] 特别顾炫
[00:55:35--00:55:36] 然后你就
[00:55:36--00:55:39] 拼命的去做这些技术没有考虑过它产生什么商业价值
[00:55:39--00:55:41] 同时又不擅长获得市场的反馈
[00:55:42--00:55:44] 那站在2016年初你的想法是什么
[00:55:44--00:55:46] 那个时候就又走进死胡同了嘛
[00:55:47--00:55:48] 然后就是大家就
[00:55:48--00:55:49] 就开会
[00:55:50--00:55:51] 那十几个人
[00:55:52--00:55:53] 就想说完蛋了
[00:55:53--00:55:55] 手上有一点点激光的技术
[00:55:56--00:55:58] 没做出任何一个
[00:55:58--00:55:59] 看到足够
[00:55:59--00:56:00] 激动人心的市场
[00:56:00--00:56:02] 然后我们就认真开始研究
[00:56:03--00:56:07] 那个时候我觉得就开始真正把自己从一个科技创业者变成一个更
[00:56:08--00:56:09] 更怎么说
[00:56:10--00:56:13] 更合理的一个理性的创业者就是你真的得分析
[00:56:15--00:56:16] 应该进入哪个行业
[00:56:17--00:56:19] 其实也算比较幸运前两个事做
[00:56:20--00:56:21] 特别坏的就死掉了
[00:56:21--00:56:22] 就是说如果你又
[00:56:22--00:56:23] 活了一些时间你不一定有
[00:56:24--00:56:24] 能够出来
[00:56:25--00:56:25] 然后我们
[00:56:26--00:56:28] 那个点我记得当时我办公所
[00:56:28--00:56:29] 超传条
[00:56:31--00:56:33] 就我就在那写所有能做的
[00:56:33--00:56:38] 但我没有不希望做这种纯跟原有技术无关还是跟激光相关
[00:56:38--00:56:39] 就以这个技术出发
[00:56:40--00:56:41] 对的对的那个还是一定
[00:56:41--00:56:43] 还有点技术创业者的这种
[00:56:44--00:56:46] 就是说我还是要做一件
[00:56:46--00:56:47] 我有一些擅长的事
[00:56:47--00:56:49] 我不能去开发一个网友
[00:56:49--00:56:51] 我不能做社交
[00:56:51--00:56:52] 我还是要做一个
[00:56:52--00:56:53] 做社交媒体
[00:56:53--00:56:55] 我不知道反正就是
[00:56:55--00:56:58] 就是如果纯从转天机会有可能我们根本就没去看
[00:56:58--00:56:59] 而是去看就是说我
[00:56:59--00:57:01] 我还是希望在我现有的技术里
[00:57:01--00:57:05] 做一个我觉得我有一定程度上有可能做得比别人好的产品
[00:57:05--00:57:08] 然后我去研究过特别多的东西
[00:57:08--00:57:09] 然后
[00:57:09--00:57:11] 一度看过
[00:57:11--00:57:14] 彩片展一度看过要不要做扫地机上的那个激光媒体
[00:57:14--00:57:15] 一个
[00:57:15--00:57:18] 甚至我记得有一度crazy的时候我们去想看
[00:57:20--00:57:22] 能不能做一个比如说
[00:57:22--00:57:23] 跟那个
[00:57:23--00:57:23] 现在的英文来说
[00:57:24--00:57:24] 就是你的杯子里
[00:57:25--00:57:28] 我们能通过激光光图分析一下这个热量
[00:57:28--00:57:29] 这挺好玩的
[00:57:29--00:57:31] 想想就是如果你的一个
[00:57:31--00:57:32] 盘子是吧
[00:57:32--00:57:33] 他上来
[00:57:33--00:57:36] 他给你打一个光什么就能知道今天吃了多少卡
[00:57:37--00:57:39] 包括就是食物的那个成分分析吧
[00:57:40--00:57:42] 很多这种好玩的事我们搞好多
[00:57:42--00:57:45] 但这个点我觉得就有一点点这个创业者意识
[00:57:45--00:57:46] 就是说
[00:57:46--00:57:48] 你要做足够大的市场
[00:57:48--00:57:50] 差异化有
[00:57:50--00:57:50] 足够大
[00:57:51--00:57:52] 有足够新的机会
[00:57:52--00:57:53] 然后又要
[00:57:54--00:57:57] 去做一个我们有可能擅长的事
[00:57:57--00:57:58] 就是说
[00:57:58--00:58:01] 反正要反正在那个点我才会去研究
[00:58:01--00:58:03] 古典创业理论里面
[00:58:04--00:58:04] 如何
[00:58:06--00:58:06] 做一个BP
[00:58:07--00:58:09] 就是叫做你分析需求在哪儿
[00:58:10--00:58:11] 准备有多大
[00:58:11--00:58:12] 我们的
[00:58:12--00:58:16] 做了一个独特的产品我们的就叫做off-air advantage是什么
[00:58:17--00:58:20] 然后就长期以后建立就那套东西就开始
[00:58:20--00:58:21] 第一次去想
[00:58:22--00:58:23] 看到看过非常多的机会
[00:58:24--00:58:28] 当出现激光雷达这四个字的时候
[00:58:29--00:58:30] 大家是很兴奋
[00:58:31--00:58:32] 为什么呢因为
[00:58:34--00:58:37] 其他的激光感觉是一个
[00:58:38--00:58:40] 传感器机会
[00:58:40--00:58:42] 就比如说我简单说激光切割
[00:58:43--00:58:43] 对吧
[00:58:44--00:58:45] 它其实就是一个
[00:58:46--00:58:48] 这么大的行业你可能做出一个好一点的产品
[00:58:49--00:58:49] 然后
[00:58:50--00:58:53] 那它的市场是多大取决于有多少人想切割
[00:58:53--00:58:54] 对吧
[00:58:54--00:58:55] 那这时候就
[00:58:55--00:58:56] 就这类的机会看了好多
[00:58:57--00:58:58] 而我想到激光雷达的时候
[00:58:59--00:59:00] 它的机会根本就不在于激光雷达本身
[00:59:01--00:59:03] 而在于它赋能的行业
[00:59:04--00:59:06] 而你想到激光雷达的时候它赋能行业
[00:59:06--00:59:07] 天然的就是机器人
[00:59:08--00:59:09] 包括我们现在看到的车其实是机器人嘛
[00:59:09--00:59:10] 对吧
[00:59:10--00:59:11] 那这个时候
[00:59:12--00:59:14] 尤其你像我一直以来用过那么多激光雷达我觉得太好了
[00:59:15--00:59:17] 为什么到16年才想到呢
[00:59:17--00:59:19] 你用过那么多激光雷达然后已经创业了一两年了
[00:59:20--00:59:24] 一直在找激光机会为什么到16年的时候才想到激光雷达
[00:59:25--00:59:30] 好问题我无法回答我也不知道为什么但我猜是因为
[00:59:31--00:59:33] 当年想到激光雷达的时候
[00:59:34--00:59:34] 觉得
[00:59:34--00:59:36] 太难了我们不一定能做出来
[00:59:36--00:59:39] 我觉得当时是一个非常高深的行业
[00:59:39--00:59:41] 所以你不到绝路的时候
[00:59:42--00:59:43] 你其实
[00:59:43--00:59:45] 不一定会想去做一个
[00:59:45--00:59:46] 还是有一些差异的
[00:59:46--00:59:51] 就是我们激光雷达的方法原理是你出锚发射你收回来要测时间嘛
[00:59:52--00:59:54] 这个其实并不是当时我们已经
[00:59:55--00:59:56] 具备的基础
[00:59:56--00:59:57] 但我确实也记得
[00:59:58--01:00:00] 我们最早想到的时候我问孙凯我说咱们这个
[01:00:00--01:00:01] 激光
[01:00:01--01:00:03] 搞这事能行吗
[01:00:05--01:00:06] 不是
[01:00:06--01:00:07] 就是
