[00:00:06--00:00:07] 在现在来说的话
[00:34:07--00:34:08] 其实
[00:34:08--00:34:11] 在21年这个时间点吧
[00:34:11--00:34:11] 对
[00:34:11--00:34:14] 当时可以看到的一个事情就是
[00:34:14--00:34:17] 第一个判断是到底聚变发展到什么程度了
[00:34:17--00:34:19] 一个基本的结论就是在那个时间点
[00:34:19--00:34:23] 如果人类不计成本的去用聚变发电的话
[00:34:23--00:34:24] 是肯定做得到的
[00:34:24--00:34:26] 就比如说eater这样的一台装置
[00:34:26--00:34:28] 它就是建造收集厂
[00:34:28--00:34:32] 但它的设计很多的事情都是90年代定稿的
[00:34:32--00:34:36] 所以它是非常保守非常传统的这些物理去做的设计
[00:34:36--00:34:37] 它会做得出来吗
[00:34:37--00:34:43] 我觉得如果不犯一些相对来说工程上的一些低级错误的话
[00:34:43--00:34:45] 把它做出来这件事难度不大
[00:34:45--00:34:46] 不就是说难不得
[00:34:46--00:34:48] 它肯定是会发生的
[00:34:48--00:34:51] 只不过它需要花多长时间和花多少钱的问题
[00:34:51--00:34:55] 它是一个六七个国家一起联盟的一个国家队的项目
[00:34:55--00:34:56] 这个很复杂
[00:34:56--00:34:57] 对
[00:34:57--00:34:58] 因为在那个时间
[00:34:58--00:35:03] 当这是一个上百亿250亿欧元的一个资金规模的项目
[00:35:03--00:35:07] 它对于任何一个国家来说可能都是一个非常大的负担
[00:35:07--00:35:11] 它也是全世界其实从国际联合项目上来说的话
[00:35:11--00:35:12] 应该是第二贵的项目了
[00:35:12--00:35:13] 第一个是什么
[00:35:13--00:35:15] 空间站国际空间站
[00:35:15--00:35:15] 对
[00:35:15--00:35:19] 当你的资金规模到了这种上百亿
[00:35:19--00:35:21] 好几百亿这种欧元或者美元
[00:35:21--00:35:24] 但是类似于千亿人民币的规模的时候
[00:35:24--00:35:26] 这种联合的方式
[00:35:26--00:35:28] 国际联合的方式就是一种
[00:35:28--00:35:30] 可能可行的一个方法了
[00:35:30--00:35:31] 当然最开始的话
[00:35:31--00:35:32] 实际上是90年代
[00:35:32--00:35:33] 大家已经看到
[00:35:33--00:35:35] 据变做到了Q大于1的
[00:35:35--00:35:38] 直到21次方的这个参数已经做出来几台了
[00:35:38--00:35:42] 所以其实最开始是苏联和美国提出来的这个Ether计划
[00:35:42--00:35:44] 就是两个当时的强国
[00:35:44--00:35:47] 去说我们能不能一起去做出来一个
[00:35:47--00:35:51] 真正的对于工程上来说有意义的Q大于10的装置
[00:35:51--00:35:54] 这就是90年代最开始提出的这个Ether计划
[00:35:54--00:35:54] 当然后来
[00:35:54--00:35:55] 在里根的时代
[00:35:55--00:35:56] 对
[00:35:56--00:35:58] 后来的话株连解体了
[00:35:58--00:36:00] 后来这个项目就由欧盟主导了
[00:36:00--00:36:02] 装置也落在法国
[00:36:02--00:36:05] 最开始的话是苏联美国提出这个项目
[00:36:05--00:36:06] 后来的话欧盟主导
[00:36:06--00:36:07] 然后中国呀美国呀
[00:36:07--00:36:11] 还有其他的四个国家加起来一起参与的这个项目
[00:36:11--00:36:12] 一直推进到现在
[00:36:12--00:36:14] 会不会造出来就发现过时了
[00:36:14--00:36:15] 这其实是一个现在的情况
[00:36:15--00:36:18] 就是它确实是由于时间工期过长
[00:36:18--00:36:20] 导致于你看现在
[00:36:20--00:36:22] 可能真正的一台Q大于10的装置
[00:36:22--00:36:26] 人们认为最早的可能就是美国的那台高温超导的SPARK装置
[00:36:26--00:36:28] 是22年开建的
[00:36:28--00:36:29] 可能到26年
[00:36:29--00:36:31] 大概他们对外宣称是明年就能建成
[00:36:31--00:36:32] 回到刚刚最开始的一个问题
[00:36:32--00:36:35] 21年的时候当时的一个基本判断就是
[00:36:35--00:36:39] 巨变这件事其实从科学的可行性
[00:36:39--00:36:41] 甚至说如果我不计成本的话
[00:36:41--00:36:43] 从工程的可行性上来说
[00:36:43--00:36:46] 是有比较扎实的基础和经验的积累的
[00:36:46--00:36:49] 那么到底巨变商业化这件事
[00:36:49--00:36:51] 我们缺啥我们需要啥
[00:36:51--00:36:53] 核心点其实就是我们需要将
[00:36:53--00:36:55] 巨变的度电成本降下来
[00:36:55--00:36:57] 换句话说什么叫做巨变的商业化
[00:36:57--00:37:00] 这个在团队里面我们也非常清楚
[00:37:00--00:37:03] 就是你哪天把度电成本降到跟火电一样
[00:37:03--00:37:05] 你就商业化了
[00:37:05--00:37:08] 哪天你把这个度电成本降到比火电低一个数量级了
[00:37:08--00:37:12] 你基本上就可以提供一个数量级甚至两个数量级以上的能源
[00:37:12--00:37:14] 这就是所谓的能源自由的一个状态了
[00:37:14--00:37:17] 所以它的金标准就是你的度电成本
[00:37:17--00:37:18] 而这件事的话
[00:37:18--00:37:21] 我们当时的21年的一个看法就是
[00:37:21--00:37:24] 也许高温超导这样的一条技术路线
[00:37:24--00:37:27] 可以显著的缩小装置体积
[00:37:27--00:37:30] 然后将它的成本两个数量级的降低
[00:37:30--00:37:32] 让我们觉得这件事是可以干的
[00:37:32--00:37:34] 你觉得是一个工程化的拐一点
[00:37:34--00:37:36] 是的由于新材料的变革
[00:37:36--00:37:42] 导致了它的成本从比如说火电的两个数量级以上降到跟火电差不多
[00:37:42--00:37:43] 因为像这种
[00:37:43--00:37:46] 你差量级的这种成本的区别
[00:37:46--00:37:47] 你用这种
[00:37:47--00:37:51] 渐进式的就是比如今天降个10%明天降个20%的方法
[00:37:51--00:37:52] 你可能
[00:37:52--00:37:54] 甚至能不能过去都不一定
[00:37:54--00:37:55] 它是个非常漫长的时候
[00:37:55--00:37:57] 这种事往往它真正的变革就是有
[00:37:57--00:37:58] 有一些比如说
[00:37:58--00:38:02] 材料的变革或者新的技术的变革导致成本数量级的缩小
[00:38:02--00:38:05] 然后你再规模化再把它再降一个数量级
[00:38:05--00:38:06] 那是另一件事
[00:38:06--00:38:09] 所以在21年当时我就觉得这件事情
[00:38:09--00:38:11] 我们的目标就是要将
[00:38:11--00:38:15] 聚变的度电成本降到跟火电一样甚至更低
[00:38:15--00:38:17] 那么我们这个公司提供的价值
[00:38:17--00:38:18] 就是在
[00:38:18--00:38:20] 最终聚变发电这个技术过程中
[00:38:20--00:38:22] 所有能够持续的去
[00:38:22--00:38:25] 提高性价比降低聚变度电成本的事
[00:38:25--00:38:27] 那就是我们都要去做的事情
[00:38:27--00:38:29] 这是为什么我们最开始讲装置的整体的设计
[00:38:29--00:38:31] 我们一定是自己做的
[00:38:31--00:38:34] 装置磁体的从设计加工到最终测试运行
[00:38:34--00:38:35] 我们都要自己做
[00:38:35--00:38:36] 这都是显著
[00:38:36--00:38:38] 核心的影响你的装置成本的东西
[00:38:38--00:38:40] 包括后面的话我们的
[00:38:40--00:38:41] 基本上
[00:38:41--00:38:42] 核心的子系统全部都自研了
[00:38:43--00:38:46] 因为从提高性价比上来说
[00:38:46--00:38:48] 你的设计上变更一点点
[00:38:48--00:38:50] 其实你的成本区别会非常大
[00:38:50--00:38:52] 你的核心的子系统
[00:38:52--00:38:54] 因为它会影响其他所有系统的接口
[00:38:55--00:38:57] 它的设计变更一点点的话
[00:38:57--00:38:57] 那么你
[00:38:57--00:38:59] 整个装置的变化也是非常大的
[00:38:59--00:39:00] 而且
[00:39:00--00:39:03] 如果我能够将我的成本都变成原材料的成本
[00:39:04--00:39:08] 也就是说所有的知识和信息是由我团队自己摸索出来的
[00:39:08--00:39:12] 那么我就可以真正的将一台装置它的成本就降到了
[00:39:12--00:39:12] 其实就是
[00:39:13--00:39:17] 有可能的你越往上要去推它的这个原材料的成本是越低的
[00:39:17--00:39:19] 这就是我们当时决定
[00:39:19--00:39:20] 设计上完全自己去干
[00:39:21--00:39:22] 核心子系统自己去
[00:39:22--00:39:24] 设计加工自己去这个
[00:39:24--00:39:27] 产出包括它的最终的调试运行
[00:39:27--00:39:29] 因为只有你把这台装置
[00:39:29--00:39:32] 对你来说变成一个完全不是一个黑盒
[00:39:32--00:39:33] 所有东西透明你才知道
[00:39:34--00:39:37] 我有一个新的目标比如说达到一个更高参数的情况下
[00:39:37--00:39:39] 去优化它的成本的时候
[00:39:39--00:39:40] 我要调什么系统
[00:39:40--00:39:42] 每个系统的最优质是在哪里
[00:39:42--00:39:46] 21年的时候我们想清楚了这件事情也就搭起来这样最开始其实就四个人
[00:39:46--00:39:49] 现在就是有像东哥在负责总体嘛
[00:39:49--00:39:51] 在负责物理的设计和我们的实验运行
[00:39:51--00:39:53] 最开始的最关键的系统是磁体
[00:39:54--00:39:55] 磁体全部自己加工有力助勇
[00:39:55--00:39:56] 当然这个事情
[00:39:56--00:39:58] 我们也是一个对于
[00:39:58--00:40:00] 团队的运营对于资金的要求
[00:40:00--00:40:04] 高求也是很高的 像包括愚民的加入 就最开始就想四个人在做这件事情
[00:40:04--00:40:08] 为什么以创业公司的方式去做 比如说不用高校团是对
[00:40:08--00:40:12] 刚想说的就是在这儿 我们现在要解决的问题是用最短的时间
[00:40:12--00:40:17] 最小的成本实现整个聚变性价比的一个飞速的量级的一个变化
[00:40:17--00:40:20] 这件事本质上就是一家创业公司适合干的事
[00:40:20--00:40:24] 甚至像我们从工业品来说的话其实就是spacex
[00:40:24--00:40:28] 对大家在做的事情 对因为从一个组织的属性上来说
[00:40:28--00:40:31] 最短的决策流程 最高效的办事的方法
[00:40:31--00:40:38] 去将一个东西从实验室推到真正低成本大规模的使用的这个过程
[00:40:38--00:40:43] 这是商业公司最擅长做的事 而不是高校或者科研院所最擅长做的事情
[00:40:43--00:40:48] 所以当聚变的问题从解决科学和工程可行性
[00:40:48--00:40:50] 变到了解决商业可行性的这个阶段的时候
[00:40:50--00:40:54] 其实最适合做这件事的载体实际上是一个创业公司
[00:40:54--00:40:57] 这就是我们知道了我们的目标
[00:40:57--00:40:58] 也知道了
[00:40:58--00:40:58] 你需要一个什么样的方法去做这件事情 也知道了你需要一个什么样的方法去做这件事情
[00:40:58--00:40:58] 也知道了你需要一个什么样的方法去做这件事情
[00:40:58--00:41:01] 有什么团队以及什么组织形式去做这件事的时候
[00:41:01--00:41:03] 大概21年我们就开始做这件事了
[00:41:03--00:41:04] 你能不能先讲讲你的背景
[00:41:04--00:41:08] 我是学物理科班出身的 在北大物理系
[00:41:08--00:41:11] 我是在斯坦福做的理论物理的方向
[00:41:11--00:41:12] 你的研究具体是什么方向
[00:41:12--00:41:15] 对 我做的其实是比较底层的物理
[00:41:15--00:41:17] 我是做量子引力 做弦论
[00:41:17--00:41:19] 包括量子引力和量子信息的一些交叉
[00:41:19--00:41:23] 离这个世界比较远的一些基础物理
[00:41:23--00:41:26] 这个大概是在博士期间吧
[00:41:26--00:41:28] 在斯坦福做的主要都是这些
[00:41:28--00:41:28] 非常精彩的一些基础物理 对这个大概是在博士期间吧
[00:41:28--00:41:29] 非常精彩的一些基础物理的研究
[00:41:29--00:41:31] 你是从小很喜欢物理是吗
[00:41:31--00:41:34] 差不多 当时也是物理竞赛保送上去的
[00:41:34--00:41:36] 当然就是从本科开始吧
[00:41:36--00:41:38] 我觉得那个时候是真正的去理解了
[00:41:38--00:41:41] 包括物理是解决哪一类的问题
[00:41:41--00:41:44] 而且也比较喜欢这种用最简单的
[00:41:44--00:41:49] 最假设最少的方式去理解一个复杂的
[00:41:49--00:41:51] 真实世界里面发生的这个过程
[00:41:51--00:41:53] 这样的一种看待世界的思路吧
[00:41:53--00:41:55] 物理是在解决什么方向的 什么问题
[00:41:55--00:41:56] 世界什么问题
[00:41:56--00:41:58] 这就很大了
[00:41:58--00:42:01] 这个问题就比较
[00:42:01--00:42:02] 它确实暴露的太多了
[00:42:02--00:42:08] 但它主要其实在解决的还是跟物质和信息相关的一些
[00:42:08--00:42:09] 物质和信息
[00:42:09--00:42:12] 对 在很长一段时间里面
[00:42:12--00:42:15] 实际上大家在沿着还原论的思想
[00:42:15--00:42:18] 认为如果我将一个系统
[00:42:18--00:42:20] 它拆分到足够小足够细的话
[00:42:20--00:42:23] 且我把这个最小的像乐高一样
[00:42:23--00:42:26] 这个积木的它的物理性质能够去理解清楚的话
[00:42:26--00:42:28] 我就应该可以对这个世界
[00:42:28--00:42:31] 有一个非常底层的 且非常精准的描述
[00:42:31--00:42:35] 这是为什么大家在很长一段时间里面就从
[00:42:35--00:42:38] 比如说宏观物体研究到原子
[00:42:38--00:42:39] 分子 原子
[00:42:39--00:42:43] 然后一直再往下去走到了基本粒子的这么一个研究的过程
[00:42:43--00:42:44] 甚至在我们做弦理论的
[00:42:44--00:42:46] 就一直也研究到更小的尺度
[00:42:46--00:42:47] 比如说研究到弦
[00:42:47--00:42:49] 后来的话其实大家在做的过程中也发现
[00:42:49--00:42:52] 就是这个单纯的还原论这个思想也不太行
[00:42:52--00:42:54] 对 因为当你的尺度
[00:42:54--00:42:56] 比如说你研究一个宏观物体的时候
[00:42:56--00:42:58] 你用非常威力的方式去研究一个宏观物体的时候
[00:42:58--00:42:59] 你用非常威力的方法去做这个研究的时候
[00:42:59--00:43:03] 实际上它跨了几个数量级的尺度之后
[00:43:03--00:43:07] 原理上最底层的理论肯定是可以工作的
[00:43:07--00:43:11] 但是实际上你可以直接在宏观尺度上找一套
[00:43:11--00:43:13] 直接可以描述它的一个微向理论
[00:43:13--00:43:16] 可以更有效地帮你去解释现在的现象
[00:43:16--00:43:18] 而且更准确
[00:43:18--00:43:21] 而不是你用一个底层理论跨几个数量级去解释
[00:43:21--00:43:23] 它中间的误差其实它会积累的非常大
[00:43:23--00:43:27] 而且甚至理论是很难去做直接计算的
[00:43:27--00:43:28] 所以这就会成为一个很难去做直接计算的
[00:43:28--00:43:28] 所以这就会成为一个很难去做直接计算的
[00:43:28--00:43:28] 所以这就会成为一个很难去做直接计算的
[00:43:28--00:43:28] 所以这就会成为一个很难去做直接计算的
[00:43:28--00:43:28] 所以这就会成为一个很难去做直接计算的
[00:43:28--00:43:29] 对于复杂系统
[00:43:29--00:43:32] 包括大家所谓现在在AI里面经常会说涌现
[00:43:32--00:43:35] 这样这其实是在原来物理里面
[00:43:35--00:43:37] 大家发现当你的尺度变了之后
[00:43:37--00:43:39] 它可能在一个不同的尺度上
[00:43:39--00:43:42] 一些原来这个尺度上不是很关键的特性
[00:43:42--00:43:44] 突然就变得很关键了
[00:43:44--00:43:45] 成为主导的特性
[00:43:45--00:43:47] 这就是在做复杂系统的时候
[00:43:47--00:43:49] 大家其实就是换了一个视角
[00:43:49--00:43:52] 而不是不一定非得追求到最底层的尺度的理论
[00:43:52--00:43:53] 去做这个研究了
[00:43:58--00:44:00] 有一个最简单的对于它的各种现象
[00:44:00--00:44:02] 有一个最简单的解释
[00:44:02--00:44:03] 然后在研究的过程中
[00:44:03--00:44:05] 大家经历了从大到小
[00:44:05--00:44:07] 后来又发现
[00:44:07--00:44:09] 也许我直接去描述不同尺度上的
[00:44:09--00:44:10] 直接的这个现象
[00:44:10--00:44:12] 找到它的对应的描述的理论
[00:44:12--00:44:13] 这也是个更有效的方法
[00:44:13--00:44:16] 所以就慢慢的会有不同的尺度
[00:44:16--00:44:18] 然后不同的物理现象
[00:44:18--00:44:20] 然后不同的场景
[00:44:20--00:44:22] 它就分成了物理学各种各样的分支了
[00:44:22--00:44:24] 人工智能哪部分是物理学问题
[00:44:24--00:44:26] 早期的时候
[00:44:26--00:44:27] 这一部分的深度学习
[00:44:27--00:44:30] 包括诺贝尔奖也给到了
[00:44:30--00:44:32] 物理学的诺贝尔奖给到了深度学习这个身上
[00:44:32--00:44:37] 是因为它和物理学的一些系统有一点像
[00:44:37--00:44:39] 但当时做AI的这些人做了一个类比
[00:44:39--00:44:41] 然后就是所谓的波尔兹曼基
[00:44:41--00:44:44] 去应用到了AI系统里面去
[00:44:44--00:44:45] 作为它的模型
[00:44:45--00:44:47] 实际上我觉得AI的研发
[00:44:47--00:44:51] 主要还是做计算机的和做AI的这些人在推进
[00:44:51--00:44:53] 它的类比可能是在观点上
[00:44:53--00:44:57] 或者可能一些分析工具上的一些界界
[00:44:57--00:44:57] 我并不觉得
[00:44:57--00:45:00] 它其实是物理的人在推进
[00:45:00--00:45:03] 或者是它不应该被认为是一个物理学科
[00:45:03--00:45:06] 你的物理是不是所有science的鄙视链顶端
[00:45:06--00:45:07] 也不能这么说
[00:45:07--00:45:09] 鄙视链这件事
[00:45:09--00:45:11] 会有这么一个说法
[00:45:11--00:45:11] 对
[00:45:11--00:45:14] 因为毕竟它是一个相对更抽象的
[00:45:14--00:45:16] 尤其是做这种高能的
[00:45:16--00:45:18] 或者说是这种很基础物理的
[00:45:18--00:45:20] 它的研究的对象比较抽象
[00:45:20--00:45:23] 然后需要的工具都不是一个很直观的东西
[00:45:23--00:45:25] 所以大家会形成这个说法
[00:45:25--00:45:27] 但其实你做任何一个物理学的
[00:45:27--00:45:29] 你自己的目标
[00:45:29--00:45:31] 比如说你真的是要解释这个现象
[00:45:31--00:45:32] 甚至你要把它工程化
[00:45:32--00:45:34] 把它去做出来
[00:45:34--00:45:36] 真的是不只是一个理论
[00:45:36--00:45:37] 是一个变成实物的话
[00:45:37--00:45:39] 它的难度都差不多
[00:45:39--00:45:42] 所以这个鄙视链我觉得更多是一个笑话
[00:45:42--00:45:44] 可控和具变多少是物理问题呢
[00:45:44--00:45:46] 绝大部分都是物理学问题
[00:45:46--00:45:46] 对
[00:45:46--00:45:47] 对老师 化学问题
[00:45:47--00:45:50] 化学接触的其实不是特别多
[00:45:50--00:45:51] 就是我们这边的话
[00:45:51--00:45:54] 它的基本上所有东西都是物理的事情
[00:45:54--00:45:56] 包括你的原子核的反应
[00:45:56--00:45:57] 等离子体的状态
[00:45:57--00:45:57] 原子核的反应等离子体的状态
[00:45:57--00:45:59] 原子核的反应它其实就是核物理了
[00:45:59--00:46:00] 等离子体的性能
[00:46:00--00:46:01] 状态的预测
[00:46:01--00:46:02] 其实是等离子体物理
[00:46:02--00:46:05] 包括我们用超导体去做磁体
[00:46:05--00:46:06] 去做一台装置
[00:46:06--00:46:08] 那么就会涉及到超导
[00:46:08--00:46:09] 涉及到大量的电学
[00:46:09--00:46:11] 麦克斯微方程这些东西
[00:46:11--00:46:16] 我们对于材料是研究会多一些
[00:46:16--00:46:17] 因为你涉及到了新材料
[00:46:17--00:46:18] 甚至你在不同的部件上
[00:46:18--00:46:20] 都会用不同的材料
[00:46:20--00:46:20] 对
[00:46:20--00:46:23] 但这个其实我们不直接去进行材料研究
[00:46:23--00:46:27] 我们只是去找人们已经研究好的材料
[00:46:27--00:46:28] 然后去挑选
[00:46:28--00:46:30] 然后去把它使用在这
[00:46:30--00:46:31] 然后去考虑它的结构
[00:46:32--00:46:33] 它的散热这些问题
[00:46:33--00:46:36] 什么时候你想做可控核聚变这件事情
[00:46:36--00:46:37] 大体来说的话
[00:46:37--00:46:40] 其实这个事最早其实想过这个事
[00:46:40--00:46:41] 其实在本科阶段
[00:46:41--00:46:42] 我们学物理的
[00:46:43--00:46:44] 其实对于各个分支的
[00:46:44--00:46:46] 基础的物理的研究
[00:46:46--00:46:47] 还是都是有些概念的
[00:46:47--00:46:49] 然后当时确实想过
[00:46:49--00:46:52] 就是说到底学物理这个事
[00:46:52--00:46:55] 对于未来人类的生活和发展
[00:46:55--00:46:57] 大概会什么东西
[00:46:57--00:46:59] 会是有比较重大的影响的
[00:46:59--00:47:00] 这是当年想过的一个问题
[00:47:00--00:47:01] 在当时的认知
[00:47:01--00:47:03] 甚至到现在来说的话
[00:47:03--00:47:06] 我认为可能对于未来一定会发生的
[00:47:06--00:47:08] 且影响最大的这么一件事
[00:47:08--00:47:09] 可能就是聚变这件事
[00:47:10--00:47:11] 当然我说未来相对短时间的未来
[00:47:11--00:47:13] 你说100年后这个事咱不好说
[00:47:13--00:47:14] 在现在来说的话
[00:47:14--00:47:15] 10年的尺度上
[00:47:15--00:47:17] 我们其实是觉得聚变
[00:47:17--00:47:18] 可能是在物理学
[00:47:18--00:47:20] 对于人类整个文明来说的话
[00:47:20--00:47:22] 它影响最大的一件事
[00:47:22--00:47:24] 就是可能对我个人来说的话
[00:47:24--00:47:26] 包括当年做物理研究也是这样
[00:47:26--00:47:27] 我比较喜欢做的一类
[00:47:27--00:47:29] 事情其实就是这类事情
[00:47:29--00:47:31] 无论是不是我做
[00:47:31--00:47:33] 它早晚会有人做
[00:47:33--00:47:35] 所谓的历史必然会发生
[00:47:35--00:47:37] 发展的这么一个趋势
[00:47:37--00:47:38] 这类事情是对我来说
[00:47:38--00:47:40] 吸引力最大的一件事
[00:47:40--00:47:42] 而在这些事情里面的话
[00:47:42--00:47:44] 其实通过聚变去改变整个
[00:47:44--00:47:46] 能源的供给的结构
[00:47:46--00:47:48] 甚至我可以去提供
[00:47:48--00:47:51] 数量级比当前数量级以上
[00:47:51--00:47:53] 更高的能量这件事情
[00:47:53--00:47:55] 我觉得这件事对于整个的人类的
[00:47:55--00:47:57] 发展来说是一个巨大的变故
[00:47:57--00:48:00] 可能我想不到更大的变革的事情了
[00:48:00--00:48:02] 所以甚至这件事做成之后的话
[00:48:02--00:48:07] 通过驯服聚变能去把它去用来去做
[00:48:07--00:48:10] 这种无工制的这种太空旅行的这种推进机
[00:48:10--00:48:13] 发动机而不是现在的化学火箭
[00:48:13--00:48:15] 这样我才觉得它才是一个真正
[00:48:15--00:48:18] 有意义的行星际的这样的一个
[00:48:18--00:48:19] 商业航天的一个概念
[00:48:19--00:48:21] 对所以就是这件事情
[00:48:21--00:48:23] 它的无论是从能源供给
[00:48:23--00:48:25] 还是从动力的角度来说
[00:48:25--00:48:27] 都是对人类的发展来说
[00:48:27--00:48:28] 巨大的一个变化
[00:48:28--00:48:30] 所以当时就属于有生之年系列
[00:48:31--00:48:33] 本科的时候就觉得这辈子早晚
[00:48:33--00:48:34] 如果有可能的话
[00:48:34--00:48:36] 把这件事或者参与到这件事里面去
[00:48:36--00:48:38] 有生之年系列除了可控和聚变
[00:48:38--00:48:39] 还有什么别的
[00:48:39--00:48:41] 能做的事很多了
[00:48:41--00:48:42] 对这个排第一吗
[00:48:42--00:48:44] 包括到现在对我的认知
[00:48:44--00:48:45] 从物理学的角度上来说的话
[00:48:45--00:48:47] 我觉得这件事是影响最大的一件事
[00:48:47--00:48:48] 而且是比人发生的事
[00:48:48--00:48:50] 当然了其实还有其他的事情
[00:48:50--00:48:51] 比如说现在的量子计算
[00:48:51--00:48:54] 也是一个很明显的这么一个趋势
[00:48:54--00:48:56] 然后包括人工智能它也是一个
[00:48:57--00:48:59] 在会发生的一件事情
[00:48:59--00:49:00] 我说的通用人工智能
[00:49:00--00:49:02] 对当然了就是比如说人工智能这件事
[00:49:02--00:49:04] 可能就不是一个对我来说
[00:49:04--00:49:05] 做物理的人来说
[00:49:05--00:49:06] 他最擅长做的事
[00:49:06--00:49:08] 有很多历史上一定会发生的事
[00:49:08--00:49:11] 但是有些事可能我的参与
[00:49:11--00:49:13] 可能会把这个进程缩得更短
[00:49:13--00:49:14] 10年的事可能变成5年
[00:49:14--00:49:15] 20年事变成10年
[00:49:15--00:49:17] 那么你就起到了一定的推进的贡献
[00:49:17--00:49:19] 而有些事可能不适合你去做
[00:49:19--00:49:20] 就是你或者你做这件事
[00:49:20--00:49:22] 不做这件事没什么大的影响
[00:49:22--00:49:25] 这件事你就不要去掺和对吧
[00:49:25--00:49:26] 所以这就是对于
[00:49:26--00:49:27] 像AI
[00:49:27--00:49:27] 这件事的话
[00:49:27--00:49:28] 至少对我来说
[00:49:28--00:49:31] 可能不是我能够起到最大的作用的
[00:49:31--00:49:32] 这么一个领域了
[00:49:32--00:49:35] 但它一定是一个历史必然发展的一个方向了
[00:49:35--00:49:40] 你觉得全球现在science领域的明珠有哪几颗
[00:49:40--00:49:42] 又难倒我了
[00:49:42--00:49:44] 我想一下
[00:49:44--00:49:46] 其实非常多
[00:49:46--00:49:49] 在科学领域这样的问题非常多
[00:49:49--00:49:51] 因为我是做基础理论的
[00:49:51--00:49:55] 人们其实对于比如说引力的量子描述
[00:49:55--00:49:56] 就是真正微观尺度下
[00:49:56--00:49:59] 引力到底是一个什么样的行为
[00:49:59--00:50:00] 而不是一个
[00:50:00--00:50:02] 这个经典理论从爱因斯坦开始就已经在研究了
[00:50:02--00:50:05] 到现在做闲论的人也没有完全的去把这件事搞清楚
[00:50:05--00:50:06] 对
[00:50:06--00:50:09] 包括宇宙学上的大家的氨物质呀
[00:50:09--00:50:12] 以上时宇宙膨胀的氨能量是啥也不是很清楚
[00:50:12--00:50:15] 就是有非常多的基础物理的问题
[00:50:15--00:50:17] 大家是很希望能够理解的
[00:50:17--00:50:21] 但是我们至少现在无论是理论还是实验上
[00:50:21--00:50:23] 这个认知都达不到这个水平
[00:50:23--00:50:24] 那么再具象一些的话
[00:50:24--00:50:27] 比如大家在不停的研究新的材料
[00:50:27--00:50:29] 那这个就多了去了
[00:50:29--00:50:32] 比如我们现在大家都觉得很习惯的
[00:50:32--00:50:33] 像手机呀 半导体呀
[00:50:33--00:50:35] 其实也就是在七八十年代吧
[00:50:35--00:50:38] 那个时候当时最前沿的做固体物理的
[00:50:38--00:50:41] 做这种半导体理论的这些人发现这种材料预测了之后
[00:50:41--00:50:43] 然后经过了几十年工程化变成芯片
[00:50:43--00:50:46] 对 所以就是现在很多的大量的
[00:50:46--00:50:49] 比如宁玉台物理学家或者说是一些固体物理学家
[00:50:49--00:50:53] 他们在研究的很多新材料的很前沿的这种材料
[00:50:53--00:50:55] 在未来慢慢都会变成我们日常生活中的一些
[00:50:55--00:50:57] 有用的一些物件
[00:50:57--00:50:58] 对 这种问题其实是非常多的
[00:50:58--00:51:03] 只不过就是大家对这个影响的尺度可能会不太一样
[00:51:03--00:51:05] 这是你为什么想要做科工和剧片这件事情
[00:51:05--00:51:09] 那你博士毕业 你好像是17年博士毕业 对吧
[00:51:09--00:51:10] 对的 对的
[00:51:10--00:51:11] 后来你在干嘛
[00:51:11--00:51:13] 17到18年其实在美国待了一年
[00:51:13--00:51:15] 对 当时的话在思考
[00:51:15--00:51:16] 因为我觉得那个时候的话
[00:51:16--00:51:20] 其实只是觉得早晚要做成像剧片这种事的话
[00:51:20--00:51:23] 你还是得通过创业的方式去实现的
[00:51:23--00:51:25] 但是刚毕业也不知道该干啥 说实话
[00:51:25--00:51:27] 所以当时在有一年的时间在思考
[00:51:27--00:51:28] 如果我去
[00:51:28--00:51:30] 做一个创业的一个公司的话
[00:51:30--00:51:32] 我第一次要做什么事情
[00:51:32--00:51:34] 大概我从18年底回国
[00:51:34--00:51:36] 然后身手上一家公司
[00:51:36--00:51:37] 金家江
[00:51:37--00:51:38] 18年底回国之后
[00:51:38--00:51:40] 当时是金家江投了我们那个公司
[00:51:40--00:51:41] 对
[00:51:41--00:51:43] 你现在金家江创投做ER
[00:51:43--00:51:44] 第一根创业N
[00:51:44--00:51:45] 对的 对的
[00:51:45--00:51:47] 到18年底出来之后就去
[00:51:47--00:51:51] 当时做了一家人工智能和音乐教育结合的一家公司
[00:51:51--00:51:52] 大概做了
[00:51:52--00:51:55] 那时候就已经有人工智能是很多创业项目是吗
[00:51:55--00:51:56] 对的 对的
[00:51:56--00:51:58] 因为毕竟直接做闲论项目
[00:51:58--00:52:00] 相关的创业项目也确实找不到
[00:52:00--00:52:04] 就是我的物理研究的方向是闲论嘛
[00:52:04--00:52:05] 对String Theory
[00:52:05--00:52:07] 做这个方向的也不存在这样的创业项目
[00:52:07--00:52:10] 对 所以当时觉得我毕竟是技术出身的嘛
[00:52:10--00:52:12] 从技术方向去推到应用上
[00:52:12--00:52:15] 然后就找了这样一个和音乐教育的一个契合点
[00:52:15--00:52:18] 对 这个公司大概做了三年吧
[00:52:18--00:52:19] 大概到21年的这个时间点
[00:52:19--00:52:23] 当时也经历了在线教育一个非常快速变化的这么一周期
[00:52:23--00:52:24] 从21年其实就在思考
[00:52:24--00:52:26] 当时会觉得再往前的话
