[00:00:12--00:00:14] Hello 大家好,我是小骏
[00:00:14--00:00:17] 今天这期节目我们来到了美国纽约
[01:08:32--01:08:33] 就是有点天方夜谭
[01:08:33--01:08:35] 只是在做AI而已
[01:08:35--01:08:36] 啊
[01:08:36--01:08:38] 但现在我们看到他们已经至少实现了一步
[01:08:38--01:08:39] 啊
[01:08:39--01:08:41] 我觉得我觉得我觉得真的是非常非常敬佩
[01:08:41--01:08:42] 嗯
[01:08:42--01:08:43] 啊
[01:08:43--01:08:45] 其实Afterfall的这个这个整个的team
[01:08:45--01:08:47] 就是在我实习的那个过程中
[01:08:47--01:08:48] 呃
[01:08:48--01:08:49] 逐渐逐渐衍生起来的
[01:08:49--01:08:52] 对我我其实能看到哪些人在做这些事情
[01:08:52--01:08:55] 然后一开始也也有一些intern在参与这个过程
[01:08:55--01:08:56] 然后一步一步
[01:08:56--01:09:00] 他是怎么样从一个探索性的这样一个idea
[01:09:00--01:09:01] 逐渐变成一个有组织
[01:09:01--01:09:02] 有组织
[01:09:02--01:09:03] 讲究execution
[01:09:03--01:09:06] 一步一步能够去达到最后彻底改变这样
[01:09:06--01:09:10] 世界的这样一个一个一个项目的这样过程
[01:09:10--01:09:14] 组织问题我们稍后会着重的来聊
[01:09:14--01:09:15] 嗯
[01:09:15--01:09:17] 我在想你是不是实习太多
[01:09:17--01:09:19] 所以你后面没有best paper了
[01:09:19--01:09:20] 啊
[01:09:20--01:09:22] 我觉得有可能是这样啊
[01:09:22--01:09:25] 或者说我觉得我做的东西
[01:09:25--01:09:26] 啊
[01:09:26--01:09:28] 可能太多太杂
[01:09:28--01:09:31] 实习是从搏击开始的
[01:09:31--01:09:33] 就是第一年开始
[01:09:33--01:09:34] 哦第一年开始
[01:09:34--01:09:36] 所以这两个一直是交扎交织的
[01:09:36--01:09:37] 一直是交织的
[01:09:37--01:09:38] 嗯对
[01:09:38--01:09:40] 所以所以我觉得你说的很对
[01:09:40--01:09:42] 其实我的时间线其实是被打乱的
[01:09:42--01:09:43] 对吧
[01:09:43--01:09:45] 确实会失去一些注意力
[01:09:45--01:09:48] 但我觉得这也是一个我自己的设计
[01:09:48--01:09:51] 所以说回回来就是说怎么把这些事情串起来呢
[01:09:51--01:09:55] 我觉得我的博士的论文题目是啊
[01:09:55--01:09:58] 这个deep representation learning
[01:09:58--01:10:00] with induced destructural priors
[01:10:00--01:10:05] 大概就是说一些结构化的鲜艳
[01:10:05--01:10:06] 嗯
[01:10:06--01:10:08] 用用这些鲜艳来指导
[01:10:08--01:10:11] 我们怎样能学到一个更好的深度学习的表征
[01:10:11--01:10:12] 嗯
[01:10:12--01:10:14] 然后这件事情
[01:10:14--01:10:16] again已经过了很多很多年了
[01:10:16--01:10:19] 但我发现我现在在做的事情还是这件事
[01:10:19--01:10:24] 然后并且这个11月还是12月开会的时候
[01:10:24--01:10:25] 然后
[01:10:25--01:10:26] 然后然后有一个workshop
[01:10:26--01:10:29] 他们这个workshop title就是说representation learning
[01:10:29--01:10:31] with a structural prior
[01:10:31--01:10:34] 大概就是用结构化鲜艳和表生
[01:10:34--01:10:36] 大概类似这样的一个topic
[01:10:36--01:10:38] 然后我再给了一个talk过去
[01:10:38--01:10:40] 然后我在我talk的最后我就说
[01:10:40--01:10:42] 其实过去的12年
[01:10:42--01:10:44] 你们这个workshop的topic
[01:10:44--01:10:46] 虽然现在还是frontier
[01:10:46--01:10:49] 我们我们在讨论它的时候有了一些不同的意义
[01:10:49--01:10:53] 但是这个也是我当初一开始想要study的问题
[01:10:53--01:10:56] 也是我现在觉得还还是没有完全解决的问题
[01:10:56--01:10:57] 对
[01:10:57--01:10:59] 所以一方面我觉得我的
[01:10:59--01:11:01] 这个读PhD期间
[01:11:01--01:11:03] 时间现在有点支离破碎
[01:11:03--01:11:06] 原因是我在不同的地方在做不同的事情
[01:11:06--01:11:08] 但另一方面这也是
[01:11:08--01:11:12] 如果你想要去涉及的东西是表征学习这个topic的话
[01:11:12--01:11:14] 这也是不可避免的
[01:11:14--01:11:16] 原因是它就像种一棵树一样
[01:11:16--01:11:19] 你的表征其实是你这个树的树根
[01:11:19--01:11:21] 这个树长起来之后
[01:11:21--01:11:23] 它得要有不同的枝芽
[01:11:23--01:11:24] 对吧
[01:11:24--01:11:26] 这每一枝其实就是一个不同的
[01:11:26--01:11:28] 我们叫做downstream的这种application
[01:11:28--01:11:29] 就是
[01:11:29--01:11:31] 这是一个新的应用
[01:11:31--01:11:34] 所以我做过图像识别
[01:11:34--01:11:35] 然后图像分割
[01:11:35--01:11:37] 边缘检测
[01:11:37--01:11:38] 视频识别
[01:11:38--01:11:39] 动作识别
[01:11:39--01:11:40] 对吧
[01:11:40--01:11:44] 然后包括甚至后期有一些这种embody的RL相关的task
[01:11:44--01:11:46] 在所有做这些事情的时候
[01:11:46--01:11:48] 我看到的这些问题
[01:11:48--01:11:50] 它们都是这些树枝上的一个分叉
[01:11:50--01:11:51] 它们不是根
[01:11:51--01:11:52] 对吧
[01:11:52--01:11:53] 我觉得有可能你说的对
[01:11:53--01:11:54] 我没考虑过这个问题
[01:11:54--01:11:56] 我会不会有更多best paper
[01:11:56--01:11:58] 但我希望还是能够
[01:11:58--01:11:59] 更多种这棵树
[01:11:59--01:12:01] 然后我希望能够扎更深的根
[01:12:01--01:12:08] 而不是去在这个branches上面走得更远
[01:12:08--01:12:09] 对
[01:12:09--01:12:10] 然后我觉得again
[01:12:10--01:12:12] 我觉得这件事情是deep learning的核心
[01:12:12--01:12:15] 就是我们说这个表征学习representation learning
[01:12:15--01:12:18] 这件事情基本等价于deep learning
[01:12:18--01:12:21] 给大家解释一下什么是表征学习
[01:12:21--01:12:22] 好问题
[01:12:22--01:12:23] 对
[01:12:23--01:12:24] 这件事情
[01:12:24--01:12:27] 我觉得之所以我很喜欢说
[01:12:27--01:12:29] 我是一个做表征学习的人
[01:12:29--01:12:31] 是因为这件事情还是蛮难定义的
[01:12:31--01:12:32] 从数学上来讲
[01:12:32--01:12:35] 你可以认为表征学习就是说你有一个data
[01:12:35--01:12:36] 对吧
[01:12:36--01:12:37] X
[01:12:37--01:12:42] 然后你现在要把它map到一个space去
[01:12:42--01:12:45] 然后现在这个space可能会具有一些性质
[01:12:45--01:12:47] 这些性质可能
[01:12:47--01:12:53] 这些好的性质可能会更容易让你在下游的任务上面取得更好的结果
[01:12:53--01:12:54] 对吧
[01:12:54--01:12:57] 然后所以你要学的这个从
[01:12:57--01:13:02] 从初始的这种数据
[01:13:02--01:13:07] 再到具有良好性质的空间的映射的函数
[01:13:07--01:13:09] 这就是所谓的表征学习
[01:13:09--01:13:10] 对
[01:13:10--01:13:12] 然后这个函数也不是只是一个简单的映射
[01:13:12--01:13:15] 它有可能是一个hierarchical层级化的一个映射
[01:13:15--01:13:16] 对
[01:13:16--01:13:17] 然后我们现在
[01:13:17--01:13:19] 当然这件事情可以用不同的方式实现
[01:13:19--01:13:26] 现在主流的实现的方式就是用一个非线性的神经网络来实现这个函数
[01:13:26--01:13:27] 对
[01:13:27--01:13:29] 所以我觉得这是一个定义
[01:13:29--01:13:30] 但我刚说我会
[01:13:30--01:13:31] 我会愿意
[01:13:31--01:13:34] 说我自己是做一个representation learning的人
[01:13:34--01:13:36] 是因为我觉得这是一个永恒的title
[01:13:36--01:13:39] 就因为这个领域发展太快了
[01:13:39--01:13:41] 很多时候我们做很多的事情
[01:13:41--01:13:43] 包括我我举一个例子吧
[01:13:43--01:13:46] 这个可能是一个非常非常非常native的example
[01:13:46--01:13:49] 就是以前其实在我
[01:13:49--01:13:51] 在我什么时候
[01:13:51--01:13:52] 可能PhD刚毕业的时候
[01:13:52--01:13:54] 有个东西非常非常火
[01:13:54--01:13:55] 叫NAS
[01:13:55--01:13:56] 叫neural architecture search
[01:13:56--01:14:01] 就是叫做神经架构检索吧
[01:14:01--01:14:02] 我不知道应该怎么翻译
[01:14:02--01:14:06] 就是neural architecture search
[01:14:06--01:14:08] 这个领域里面很多共识
[01:14:08--01:14:10] 就是说这样一个topic
[01:14:10--01:14:13] 耽误了整个领域大概两年的时间
[01:14:13--01:14:14] 这是一个错误的方向
[01:14:14--01:14:17] 大家在这个错误的方向上面发了几千篇论文
[01:14:17--01:14:20] 但最后没有任何的收获
[01:14:20--01:14:24] 然后所以为什么我说表征学习是一个很好的这样一个title呢
[01:14:24--01:14:25] 或者说
[01:14:25--01:14:28] 我愿意跟所有人说我是一个做表征学习的人
[01:14:28--01:14:30] 是因为这是一个fundamental的问题
[01:14:30--01:14:35] 如果你现在说我是做一个neural architecture search的人
[01:14:35--01:14:38] 那这件事情就很麻烦
[01:14:38--01:14:39] 有可能过了两年之后
[01:14:39--01:14:41] 你就立刻得要改行
[01:14:41--01:14:43] 你就要把自己网站上说
[01:14:43--01:14:46] 我的research方向是neural architecture search
[01:14:46--01:14:47] 把这句话删掉
[01:14:47--01:14:49] 替换成下一个更fancy
[01:14:49--01:14:51] 或者说更不一样的一个term
[01:14:51--01:14:52] 它不是一个永恒的主题
[01:14:52--01:14:54] 它不是一个永恒的主题
[01:14:54--01:14:56] representation是一个永恒的主题
[01:14:56--01:14:58] 是一个最fundamental的主题
[01:14:58--01:15:00] 也是一个还没有被解决的主题
[01:15:05--01:15:06] 所以
[01:15:06--01:15:09] PhD可能讲的有点长了
[01:15:09--01:15:10] 但是但还要说就是说
[01:15:10--01:15:12] 我觉得PhD的时候其实也
[01:15:12--01:15:14] 也遭受了更多的挫折
[01:15:14--01:15:16] 包括比如说我们一开始
[01:15:16--01:15:18] Deeply Supressed Nets这个论文
[01:15:18--01:15:20] 这件事情也是一开始
[01:15:20--01:15:21] 我们投了NeurIPS
[01:15:21--01:15:23] 得了一个挺高的分数
[01:15:23--01:15:26] 大概是886还是怎么样887的一个分数
[01:15:26--01:15:28] 最后还是被拒稿了
[01:15:28--01:15:31] 然后这件事情对我来说也是一个打击
[01:15:31--01:15:32] 我发现
[01:15:32--01:15:35] 原来发表一篇论文这么难
[01:15:35--01:15:37] 即使得到了很好的评价
[01:15:37--01:15:40] 但还是因为一些很离谱的原因
[01:15:40--01:15:41] 然后被拒稿
[01:15:41--01:15:42] 离谱是什么
[01:15:42--01:15:44] 离谱原因是因为我们当初
[01:15:44--01:15:46] 我们的里面有一个数学公式
[01:15:46--01:15:47] 它应该是平方
[01:15:47--01:15:48] 没有一个type
[01:15:48--01:15:51] 把这个平方向落在哪了
[01:15:51--01:15:52] 没有写
[01:15:52--01:15:53] 纯粹是一个type
[01:15:53--01:15:54] 非常容易fix
[01:15:54--01:15:55] 但PC说
[01:15:55--01:15:58] 就是这种program chair
[01:15:58--01:16:00] 就是负责这种会议的人
[01:16:00--01:16:01] 就会说
[01:16:01--01:16:04] 这件事情导致你的数学上不成立
[01:16:04--01:16:05] 是一个错误
[01:16:05--01:16:07] 然后这件事情rebuttal的时候
[01:16:07--01:16:09] 就是说你在反驳review的时候
[01:16:09--01:16:10] review没有看到
[01:16:10--01:16:12] 所以我们很不幸
[01:16:12--01:16:14] 你没有办法被fix
[01:16:14--01:16:16] 那现在我们只能拒稿
[01:16:16--01:16:18] 现在看起来已经不可想象了
[01:16:18--01:16:19] 就是因为
[01:16:19--01:16:21] 第一现在可能大家也不会去检查
[01:16:21--01:16:22] 论文里的公式了
[01:16:22--01:16:24] 第二我觉得大家也相对来说更加宽容了
[01:16:24--01:16:25] 在那个时候
[01:16:25--01:16:28] 其实大家会非常扣这些细节
[01:16:28--01:16:29] 对
[01:16:29--01:16:30] 但没关系
[01:16:30--01:16:31] 反正我们就投了AI stats
[01:16:31--01:16:33] 另外一个会议
[01:16:33--01:16:34] 机器学习的会议
[01:16:34--01:16:36] 然后这个论文去年
[01:16:36--01:16:39] 得了他们的test time award
[01:16:39--01:16:41] 就是一个时间检验奖
[01:16:41--01:16:42] 所以我觉得
[01:16:42--01:16:43] 那么久
[01:16:43--01:16:45] 对因为所有的时间检验奖都是说
[01:16:45--01:16:47] 你要评价10年以后的
[01:16:47--01:16:49] 在10年以后的节点
[01:16:49--01:16:52] 评价10年前所有发表的paper里面
[01:16:52--01:16:54] 哪一篇论文
[01:16:54--01:16:55] 影响力最大
[01:16:55--01:16:57] 对这个领域影响最大
[01:16:57--01:16:58] 对
[01:16:58--01:16:59] 所以
[01:16:59--01:17:00] 我觉得
[01:17:00--01:17:01] 我突然又释怀了
[01:17:01--01:17:02] 我觉得
[01:17:02--01:17:05] 确实做研究是一个长期的过程
[01:17:05--01:17:06] 然后
[01:17:06--01:17:07] 所以这也是为什么
[01:17:07--01:17:10] 我跟很多学生也会说这件事情
[01:17:10--01:17:12] 然后我觉得
[01:17:12--01:17:13] 其实
[01:17:13--01:17:16] 其实不要在乎
[01:17:16--01:17:18] 每一个时刻
[01:17:18--01:17:19] 你的成败吧
[01:17:19--01:17:20] 我觉得
[01:17:20--01:17:22] 或者说从数学的角度来描述的话
[01:17:22--01:17:24] 就是说不要在乎一个point estimate
[01:17:24--01:17:25] 不要在这个时间轴上
[01:17:25--01:17:26] 在每一个点
[01:17:26--01:17:28] 估计你做的好还是不好
[01:17:28--01:17:30] 因为所有的评价
[01:17:30--01:17:34] 它到最后都会是一个积分
[01:17:34--01:17:36] 你需要时间的积累
[01:17:36--01:17:37] 到最后你看
[01:17:37--01:17:39] 你之前做过的所有的事情
[01:17:39--01:17:41] 累加到一起
[01:17:41--01:17:44] 它决定了你是不是一个好的researcher
[01:17:44--01:17:47] 但是在那一刻你还是会很沮丧的
[01:17:47--01:17:48] 很沮丧
[01:17:48--01:17:49] 对非常非常沮丧
[01:17:49--01:17:51] 你在那一刻很难想到10年后的事情
[01:17:51--01:17:52] 很难想到10年后的事情
[01:17:52--01:17:53] 嗯
[01:17:53--01:17:55] 你在博士毕业的时候
[01:17:55--01:17:57] 对自己的人生是抱着什么样的期待呀
[01:17:57--01:17:59] 因为你也发了一些很好的论文
[01:17:59--01:18:03] 你也是有过五次实习经历了
[01:18:03--01:18:06] 你觉得你自己是应该往科研方向走
[01:18:06--01:18:07] 还是往产业走
[01:18:07--01:18:08] 你有做这个选择吗
[01:18:08--01:18:10] 我觉得那时候一直都不是很自信
[01:18:10--01:18:13] 那时候我都没有去想过找教职
[01:18:13--01:18:15] 因为我觉得我不配啊
[01:18:17--01:18:19] 你为什么在每一刻都觉得我不配
[01:18:19--01:18:20] 我觉得现在好一点
[01:18:20--01:18:22] 但是可能这个有点夸张了
[01:18:22--01:18:23] 也没有觉得真的不配吧
[01:18:23--01:18:26] 但只是觉得比起我的那些peer
[01:18:26--01:18:28] 他们在这个既定的轨道上面
[01:18:28--01:18:32] 像我说的一步一步通向这个很好的教职
[01:18:32--01:18:35] 这条路线我觉得我不在这条路线上
[01:18:35--01:18:38] 或者说你刚说的这件事情也很有道理
[01:18:38--01:18:40] 如果你最后真的路线是要找一个教职的话
[01:18:40--01:18:42] 至少在当初那个时间点上
[01:18:42--01:18:45] 你不应该去五个地方做五个实习
[01:18:45--01:18:46] 做五个不同的项目
[01:18:46--01:18:49] 这件事情非常不利于找教职
[01:18:49--01:18:50] 因为如果你想找教职的话
[01:18:50--01:18:52] 你留在何开明的那个时间点上
[01:18:52--01:18:53] 在那个团队里面
[01:18:53--01:18:55] 你可能会能发更多的paper
[01:18:55--01:18:56] 然后你有更多的结果
[01:18:56--01:18:58] 在那个时间段
[01:18:58--01:19:02] 它可能能够更加顺畅的通往一个确定的目的
[01:19:02--01:19:04] 对我不知道是不是一个确定目的
[01:19:04--01:19:06] 我真的我觉得还是挺玄学的
[01:19:06--01:19:08] 所有这些决策都是说
[01:19:08--01:19:10] 我只考虑的事情是
[01:19:10--01:19:12] 我应该去做哪里
[01:19:12--01:19:14] 做我最想做的事情
[01:19:14--01:19:18] 然后最好是跟我最想要共事的人一起共事
[01:19:18--01:19:20] 我觉得其实这个想法其实非常非常单纯
[01:19:20--01:19:22] 所以在当初找工作也是
[01:19:22--01:19:24] 也四处都在找
[01:19:24--01:19:26] 各个大厂其实也有不少offer
[01:19:26--01:19:29] 然后我之前也讲过
[01:19:29--01:19:31] 我当初面试open eye的经历
[01:19:31--01:19:33] 其实还是蛮酷的
[01:19:33--01:19:34] 反正在一个小黑屋里面
[01:19:34--01:19:37] 关了五六个小时做一道题目
[01:19:37--01:19:39] 出来的时候天都黑了
[01:19:39--01:19:41] 我觉得我对那个体验也比较奇妙
[01:19:41--01:19:43] 感觉也比较奇妙
[01:19:43--01:19:45] 谁是面试官在open eye
[01:19:45--01:19:46] 张舒曼
[01:19:46--01:19:49] 对我看到你在支付上写过这个经历对吧
[01:19:49--01:19:51] 都是在推特上面在apps上面
[01:19:51--01:19:53] 对支付转了那就是
[01:19:53--01:19:54] 是的
[01:19:54--01:19:57] 他当初的面试题是一张A4纸
[01:19:57--01:19:58] 他是手写的
[01:19:58--01:20:01] 铅笔手写的一行一行的面试题
[01:20:01--01:20:04] 我觉得这件事情对我也是一个很大的触动
[01:20:04--01:20:05] 我觉得太有意思了
[01:20:05--01:20:07] 这个地方很有意思
[01:20:07--01:20:11] 然后最后其实当然也有offer了
[01:20:11--01:20:13] 但是最后
[01:20:13--01:20:14] 没有去open eye
[01:20:14--01:20:15] 没有去open eye
[01:20:15--01:20:17] 这就是时间线开始
[01:20:17--01:20:20] 量子力学开始发生了一些变化
[01:20:20--01:20:22] 就是2018年
[01:20:22--01:20:23] 好早
[01:20:23--01:20:25] 所以如果我去open eye
[01:20:25--01:20:28] 现在又是LLM的一员
[01:20:28--01:20:29] maybe
[01:20:29--01:20:30] 我觉得可能不会
[01:20:30--01:20:32] 我不知道我不知道会发生什么
[01:20:32--01:20:34] 但那时候其实想都没想
[01:20:34--01:20:36] 那时候我就想去fair
[01:20:36--01:20:38] 如果fair给我这个offer我一定会去
[01:20:38--01:20:40] 你想去fair的原因是凯明
[01:20:40--01:20:43] 对凯明Peter Ross Gershick
[01:20:43--01:20:47] 就是所谓的当初的计算机视觉的三驾马车
[01:20:47--01:20:49] 他们都不是那种很senior的
[01:20:49--01:20:51] 比如说大学的教授或者怎么样
[01:20:51--01:20:55] 都是这种中青年吧大概的研究员
[01:20:55--01:20:57] 但就是最顶尖的三个人
[01:20:57--01:20:58] 他们在那
[01:20:58--01:21:01] 然后他们做的研究就是最顶尖的计算机视觉研究
[01:21:01--01:21:03] 所以对我来说没有什么好选的
[01:21:03--01:21:04] 所以当初还挺好玩的
[01:21:04--01:21:05] 就是这个
[01:21:05--01:21:07] 这个Illya给我打电话
[01:21:07--01:21:08] 就我什么都没说
[01:21:08--01:21:09] 我就把open eye拒了
[01:21:09--01:21:10] 他们发给我一个offer
[01:21:10--01:21:11] 然后说我不去抱歉
[01:21:11--01:21:13] Illya打电话说什么
[01:21:13--01:21:14] 非常生气
[01:21:14--01:21:15] 然后他问我说
[01:21:15--01:21:18] 你为什么不讨论一下
[01:21:18--01:21:19] 就把这个offer拒了
[01:21:19--01:21:21] 是我们给的钱不够吗
[01:21:21--01:21:22] 多少钱
[01:21:22--01:21:24] 记不太清了
[01:21:24--01:21:25] 其实非常非常低
[01:21:25--01:21:27] 可能就可能几十万吧
[01:21:27--01:21:28] 当初的那个pay
[01:21:28--01:21:31] 都是就是一个顶尖的PhD的学生
[01:21:31--01:21:33] 在2008年能拿到的这个工资
[01:21:33--01:21:35] 大概是可能40到50万左右
[01:21:35--01:21:36] 对
[01:21:36--01:21:37] 美金
[01:21:37--01:21:40] 然后现在已经至少翻了三倍
[01:21:40--01:21:41] 但是anyway
[01:21:41--01:21:44] 然后那个时候open eye也是这个level
[01:21:44--01:21:45] 没有什么问题
[01:21:45--01:21:46] 对
[01:21:46--01:21:47] 然后但是Illya很生气
[01:21:47--01:21:49] 然后我也只能搪塞两句
[01:21:49--01:21:51] 然后跟她说不能去
[01:21:51--01:21:53] 然后但那时候确实因为
[01:21:53--01:21:55] 她生气会说什么呢
[01:21:55--01:21:56] 其实也没有
[01:21:56--01:21:57] 就只是语气非常严厉吧
[01:21:57--01:21:59] 她为什么要决定打这个电话
[01:21:59--01:22:00] 我不知道
[01:22:00--01:22:02] 那说明她确实对招人很用心吧
[01:22:02--01:22:04] 她没有被拒绝过
[01:22:04--01:22:05] 我不觉得是这样
[01:22:05--01:22:06] 在2018年的时候
[01:22:06--01:22:08] 我觉得她应该经常被拒绝
[01:22:08--01:22:10] 因为那时候的fair
[01:22:10--01:22:11] 不止在微人
[01:22:11--01:22:13] 我觉得在很多方面
[01:22:13--01:22:15] 对于最顶尖的PhD毕业生来说
[01:22:15--01:22:17] 我觉得都是一个比open eye
[01:22:17--01:22:20] 更有确定性
[01:22:20--01:22:22] 更open
[01:22:22--01:22:24] 然后更像一个学术环境的
[01:22:24--01:22:26] 这样一个机构
[01:22:26--01:22:29] 我觉得至少在那个时间点上
[01:22:29--01:22:30] 我身边的所有人
[01:22:30--01:22:32] 如果有这样的选择的话
[01:22:32--01:22:35] 除非他们是确实要做一些open eye
[01:22:35--01:22:37] 已经在做的很擅长的这些事情
[01:22:37--01:22:40] 我觉得大家还是会倾向于fair的
[01:22:40--01:22:43] 你是很顺畅的拿到了fair的offer吗
[01:22:43--01:22:44] 也没有那么顺畅了
[01:22:44--01:22:46] 我觉得也挺
[01:22:46--01:22:47] 对
[01:22:47--01:22:48] 都很坎坷
[01:22:48--01:22:49] 你当时拒绝了open eye
[01:22:49--01:22:50] 是因为你拿到offer的吗
[01:22:50--01:22:51] 是的
[01:22:51--01:22:52] 但在fair的时候
[01:22:52--01:22:54] 你像我给了一个talk
[01:22:54--01:22:55] 这个talk
[01:22:55--01:22:56] 我当初也没有任何经验
[01:22:56--01:22:58] 我觉得所有人在我那个阶段
[01:22:58--01:23:01] 好像找工作都蛮有经验的
[01:23:01--01:23:02] 我啥也不知道
[01:23:02--01:23:03] 然后给了一个talk
[01:23:03--01:23:07] 本来allocate的时间是一个小时
[01:23:07--01:23:10] 正常大家应该是讲45分钟到50分钟
[01:23:10--01:23:12] 然后有10分钟提问
[01:23:12--01:23:14] 然后我讲了半个小时
[01:23:14--01:23:16] 讲完了
[01:23:16--01:23:20] 然后大家面面相觑
[01:23:20--01:23:21] 不知道该怎么办
[01:23:21--01:23:24] 当然我觉得会有很多下面的researcher
[01:23:24--01:23:25] 给了我很大的面子
[01:23:25--01:23:26] 然后提了很多的问题
[01:23:26--01:23:29] 所以把时间三炮撑到了45分钟
[01:23:29--01:23:31] 然后不至于那么尴尬
[01:23:31--01:23:33] 然后后来侃明跟我讲说
[01:23:33--01:23:36] 大家觉得这件事情第一很不常规
[01:23:36--01:23:38] 怎么能这么快就讲完
[01:23:38--01:23:41] 第二我觉得要不以后面试都这样算了
[01:23:41--01:23:43] 半小时讲个talk也挺好的
[01:23:43--01:23:44] 省省大家的时间
[01:23:44--01:23:45] 所以有很多时候
[01:23:45--01:23:50] 我觉得我做的这些事情都没有做到尽善尽美
[01:23:50--01:23:51] 你为什么那么快讲完了
[01:23:51--01:23:53] 你为什么不遵守他的规则
[01:23:53--01:23:55] 我不知道有这个规则
[01:23:55--01:23:56] 没有读
[01:23:56--01:23:58] 我不知道有这个规则
[01:23:58--01:24:03] 因为这个规则其实是一个drop talk的规则
[01:24:03--01:24:05] 没有人告诉我这个规则
[01:24:05--01:24:08] 大家说有这么一个11点开始有一个talk
[01:24:08--01:24:10] 但其实这是一个既定的规则
[01:24:10--01:24:13] 因为在学术界的面试就是这样
[01:24:13--01:24:18] 然后Fair在当初其实是一个学术机构
[01:24:18--01:24:20] 它其实是一个大学
[01:24:20--01:24:24] 它的运作的模式其实就是PI带着一些小年轻
[01:24:24--01:24:27] 不管是intern也好还是一些新入职的同学们也好
[01:24:27--01:24:29] 然后一起做事情
[01:24:29--01:24:31] 并且当初我加入Fair的时候
[01:24:31--01:24:34] 我可能是我不知道是前几个
[01:24:34--01:24:36] 可能陈新雷可能是第一个
[01:24:36--01:24:37] 但我可能是第二个
[01:24:37--01:24:40] 就是这种fresh PhD graduate能够加入Fair
[01:24:40--01:24:43] 一开始他们不招这种new PhD graduate的
[01:24:43--01:24:45] 如果只是一个PhD毕业生
[01:24:45--01:24:47] 他们不愿意要
[01:24:47--01:24:50] 他们只会招这些像凯明一样
[01:24:50--01:24:54] 已经做得很不错的这种研究员
[01:24:54--01:24:56] 所以我也是比较幸运
[01:24:56--01:25:02] 我觉得Fair确实是那个时候的圣殿了
[01:25:02--01:25:08] 所以我觉得我也没有纠结太多的其他的可能性
[01:25:08--01:25:12] 然后伊利亚这件事情再多插一句
[01:25:12--01:25:16] 我一共就跟伊利亚打过两次电话
[01:25:16--01:25:17] 这是第一次
[01:25:17--01:25:19] 第二次可以之后再聊
[01:25:19--01:25:21] 也是24年7月的时候
[01:25:21--01:25:23] 他SSI刚成立
[01:25:23--01:25:25] 然后他跟我发邮件说愿不愿意来一起工作
[01:25:25--01:25:27] 你又拒绝了他
[01:25:27--01:25:28] 对
[01:25:28--01:25:30] 这次为什么呢
[01:25:30--01:25:33] 这次是因为我刚在NYU开始我的工作
[01:25:33--01:25:36] 然后我觉得好几点吧
[01:25:36--01:25:38] 我跟大家聊的时候
[01:25:38--01:25:41] 我们主要讨论的topic这次不是工资什么的
[01:25:41--01:25:42] 都没有聊这些事情
[01:25:42--01:25:48] 主要讨论问题是怎么样给未来的人工智能给予爱的能力
[01:25:48--01:25:50] 给予爱的能力
[01:25:50--01:25:51] 讨论哲学
[01:25:51--01:25:53] 当然我最后问他了一句话
[01:25:53--01:25:57] 我说你对多莫泰这件事情怎么看
[01:25:57--01:25:59] 你对计算机视觉这件事情
[01:25:59--01:26:03] 或者你对general的这种感知的模型
[01:26:03--01:26:05] 你怎么看
[01:26:05--01:26:07] 伊利亚的说法是
[01:26:07--01:26:10] 他觉得这件事情已经解决得很不错了
[01:26:11--01:26:19] 所以我觉得可能SSI有自己的基于预言的这样一个路线
[01:26:19--01:26:24] 然后这条路线至少在现在为止不是我想要去设计的路线
[01:26:24--01:26:26] 这是你们底层的分歧
[01:26:26--01:26:29] 到底是LLM还是视觉
[01:26:29--01:26:30] 对
[01:26:30--01:26:32] 我觉得之后可以再细聊
[01:26:32--01:26:35] 但是我并不觉得这是一个分歧
[01:26:35--01:26:38] 我觉得这是一个有机体
[01:26:38--01:26:40] 然后大家只是在不同的地方
[01:26:40--01:26:41] 在不同的时间
[01:26:41--01:26:43] 在做不同的事情而已
[01:26:43--01:26:45] 我一直喜欢说一句话是
[01:26:45--01:26:47] 兄弟爬山各自努力
[01:26:47--01:26:49] 大家在各个地方做各自的事情
[01:26:49--01:26:50] 我觉得没有任何问题
[01:26:50--01:26:53] 不是要拼的你死我活的状态
[01:26:53--01:26:56] LLM跟我想做的事情不冲突
[01:26:56--01:26:59] 并且没有LLM最近的这些发展
[01:26:59--01:27:03] 可能也没有现在计算机视觉现在的这种状态
[01:27:03--01:27:08] 你们那个话题怎么赋予人工智能爱的能力有结论吗
[01:27:08--01:27:10] 结论就是这件事情很重要的
[01:27:10--01:27:11] 为什么
[01:27:11--01:27:13] 因为如果没有的话
[01:27:13--01:27:18] 我们面临的是一个非常不确定非常危险的未来
[01:27:18--01:27:21] 但是有爱的同时一定就有恨
[01:27:21--01:27:23] 它是一体两面
[01:27:23--01:27:24] 它不可能只有爱
[01:27:24--01:27:25] 当他学会了爱的时候
[01:27:25--01:27:28] 他一定知道它的反面是什么
[01:27:28--01:27:29] 对
[01:27:29--01:27:31] 我完全同意你说的
[01:27:31--01:27:35] 这件事情就上升到哲学命题了
[01:27:35--01:27:36] 但我觉得
[01:27:36--01:27:38] 霍若香反问一句
[01:27:38--01:27:40] 为什么大家
[01:27:40--01:27:42] 会对自己的孩子
[01:27:42--01:27:44] 会对人这么信任
[01:27:44--01:27:49] 然后对AI新的这样的一个智能的实体
